date,open,high,low,close,volume
2021-02-02,8.3340,8.5486,8.0405,8.0405,4750609
2021-02-03,8.1688,8.2477,7.8210,8.1145,3966477
2021-02-04,8.1293,8.2378,7.9961,8.0899,3650229
2021-02-05,8.0751,8.1170,7.8703,8.0159,4402737
2021-02-08,8.0529,8.9506,8.0208,8.4722,3162478
2021-02-09,8.5363,8.6547,8.1688,8.3636,1374461
2021-02-10,8.4352,8.4352,7.9295,8.1392,3511567
2021-02-11,8.1392,8.2921,8.0479,8.1811,1655030
2021-02-12,8.1638,8.4524,8.1219,8.2576,649929
2021-02-17,8.3612,8.6793,8.3562,8.5461,2613098
2021-02-18,8.5609,8.6695,8.3858,8.4845,993747
2021-02-19,8.4105,8.9235,8.3908,8.7558,1995604
2021-02-22,8.2872,9.0740,8.2822,8.5831,1355405
2021-02-23,8.5856,8.7879,8.5091,8.5831,1706116
2021-02-24,8.7533,8.8766,8.3513,8.6078,1445414
2021-02-25,8.6473,8.6941,8.1589,8.3858,1264991
2021-02-26,8.4080,8.7879,8.0282,8.5091,1865862
2021-03-01,8.5165,8.6818,8.2255,8.2255,1349729
2021-03-02,8.2280,8.4327,7.8925,8.4327,1173360
2021-03-03,8.3513,8.3513,8.1022,8.3242,1419466
2021-03-04,8.3612,8.4845,8.1836,8.3858,757778
2021-03-05,8.3612,8.4302,8.2403,8.2428,1309995
2021-03-08,8.2428,8.2428,7.8161,7.8161,1015642
2021-03-09,7.9345,8.0109,7.4807,7.5472,2514170
2021-03-10,7.7372,7.7446,7.1945,7.3450,1291345
2021-03-11,7.3869,7.8358,7.3006,7.8358,2230763
2021-03-12,7.8087,8.1022,7.5842,7.8654,3263434
2021-03-15,7.8334,8.3735,7.8334,8.2625,2428215
2021-03-16,8.1885,8.7237,8.1885,8.6818,4282725
2021-03-17,8.6818,8.9778,8.5585,8.8791,5070506
2021-03-18,8.9284,9.2787,8.7632,8.9161,3661176
2021-03-19,8.9284,9.1381,8.7287,8.8298,2872989
2021-03-22,8.8273,9.1726,8.4598,8.8791,5377429
2021-03-23,8.8249,8.8791,8.7361,8.8298,638577
2021-03-24,8.6843,8.9950,8.4105,8.4105,973070
2021-03-25,8.4105,9.1504,8.2625,9.0518,2991380
2021-03-26,9.0715,9.1504,8.7583,8.8322,2604179
2021-03-29,8.8914,9.0024,8.4968,8.4968,3953908
2021-03-30,8.5264,8.6695,8.3858,8.3858,1472174
2021-03-31,8.4894,8.6695,8.2206,8.6325,2544984
2021-04-01,8.6448,8.8396,8.4253,8.6325,877384
2021-04-05,8.6941,8.6941,8.5289,8.6078,1080107
2021-04-06,8.6571,8.6695,8.4475,8.4722,1319726
2021-04-07,8.4746,8.6793,8.3957,8.5091,1401221
2021-04-08,8.5091,9.1504,8.4771,8.9161,2111967
2021-04-09,8.9235,9.2491,8.7805,8.9901,1442171
2021-04-12,9.0320,9.4168,8.9802,9.1504,2187380
2021-04-13,9.1480,9.2787,8.9778,9.0764,1044023
2021-04-14,9.1480,9.2540,8.8322,9.2540,2026013
2021-04-15,9.2737,9.6166,9.2713,9.5302,2034122
2021-04-16,9.5302,9.6930,9.5056,9.6190,1067133
2021-04-19,9.6190,9.6856,9.4686,9.6437,546541
2021-04-20,9.6412,9.6856,9.4908,9.6289,282595
2021-04-22,9.7029,9.8336,9.4735,9.6141,608979
2021-04-23,9.6511,9.6560,9.3083,9.6190,1129166
2021-04-26,9.6166,9.6190,9.3255,9.3724,1270667
2021-04-27,9.3971,9.6141,9.3280,9.5352,2786224
2021-04-28,9.5352,9.9495,9.5352,9.8657,4397466
2021-04-29,9.9495,10.3565,9.5944,10.1123,3250459
2021-04-30,10.0803,10.2603,10.0803,10.2603,3200590
2021-05-03,10.2603,10.7166,10.1518,10.3960,2468354
2021-05-04,10.3960,11.2123,10.2430,10.9238,2875017
2021-05-05,10.9238,11.7402,10.8942,11.4935,3818084
2021-05-06,11.4935,11.4935,11.2049,11.4713,8042425
2021-05-07,11.5453,11.8092,11.2247,11.5922,7085572
2021-05-10,11.5922,11.6144,10.8720,11.0200,3466157
2021-05-11,10.9188,11.3307,10.5316,11.2987,2188597
2021-05-12,11.2345,11.4467,10.9509,11.1975,1563804
