date,open,high,low,close,volume
2021-09-02,9.2727,10.0909,8.5000,9.1364,2271610
2021-09-03,9.5364,9.7091,8.6636,8.7636,894520
2021-09-06,8.8182,9.2273,8.7182,8.9091,372900
2021-09-08,8.9182,9.2273,8.6364,8.9091,563530
2021-09-09,8.9545,9.0909,8.6364,8.7727,379060
2021-09-10,8.9091,9.0909,8.6364,8.6364,194480
2021-09-13,8.7727,8.8909,8.6909,8.7091,139590
2021-09-14,8.6909,9.0364,8.6364,8.6727,209000
2021-09-15,8.7000,8.7727,8.5182,8.6545,129360
2021-09-16,8.5818,8.8182,8.5455,8.5455,283800
2021-09-17,8.5273,8.6818,8.3182,8.4545,113080
2021-09-20,8.2273,8.3636,8.0909,8.3636,122980
2021-09-21,8.4182,8.6455,8.2909,8.3000,209660
2021-09-22,8.4273,8.7273,8.3364,8.7273,124410
2021-09-23,8.6364,8.9000,8.5545,8.8182,180070
2021-09-24,8.7818,8.8091,8.6182,8.7545,118030
2021-09-27,8.7273,8.8455,8.6818,8.6818,41690
2021-09-28,8.4636,8.7273,8.3545,8.6364,137610
2021-09-29,8.7000,9.0000,8.3818,8.4909,170940
2021-09-30,8.7273,8.7273,8.4545,8.7000,151140
2021-10-01,8.7182,8.8091,8.6455,8.7091,117040
2021-10-04,8.6636,8.7273,8.3091,8.3273,168740
2021-10-05,8.3273,8.3818,8.0273,8.1818,162800
2021-10-06,8.2091,8.5364,7.7273,8.4364,203500
2021-10-07,8.5364,8.5909,8.2636,8.3727,149710
2021-10-08,8.5000,8.6455,8.4545,8.5636,137500
2021-10-11,8.5545,8.6182,8.4364,8.5455,83710
2021-10-13,8.5909,8.6273,8.4636,8.5545,98340
2021-10-14,8.5545,8.8182,8.4364,8.4909,126390
2021-10-15,8.4545,8.7273,8.3364,8.3364,77550
2021-10-18,8.3818,9.2727,8.2727,9.2727,626340
2021-10-19,9.1455,9.3636,8.7636,9.1818,313060
2021-10-20,9.4091,9.4091,8.6909,8.8909,64350
2021-10-21,8.6364,8.9455,8.3818,8.4182,49610
2021-10-22,8.6455,8.6455,8.1818,8.2909,97130
2021-10-25,8.5091,9.3545,8.5091,9.3545,57640
2021-10-26,9.2273,9.2273,8.7818,8.9545,82060
2021-10-27,8.6909,9.0000,8.1818,8.1818,37400
2021-10-28,8.7909,8.7909,8.2273,8.3545,96360
2021-10-29,8.4182,8.8364,8.3636,8.8364,191730
2021-11-01,8.9909,9.0000,8.5545,8.5636,62920
2021-11-03,8.7273,8.9091,8.3727,8.9091,59840
2021-11-04,8.6364,9.1909,8.6364,9.0000,215050
2021-11-05,9.0000,9.9545,8.9636,9.9545,60940
2021-11-08,10.0909,10.2636,9.4000,10.2636,68750
2021-11-09,10.3545,10.6364,9.6364,10.6364,65340
2021-11-10,10.5455,11.0273,10.3000,10.9000,54450
2021-11-11,10.9000,11.1818,10.8273,11.1818,36080
2021-11-12,11.3545,12.4000,11.3545,11.5455,330660
2021-11-16,11.5455,11.7364,11.0909,11.6364,159280
2021-11-17,11.5727,11.8000,11.4091,11.5455,43670
2021-11-18,11.6364,11.7273,11.2909,11.6182,117700
2021-11-19,11.7636,11.8000,11.1000,11.4545,290730
2021-11-22,11.2364,11.4364,11.2273,11.3636,136180
2021-11-23,11.2364,12.7273,11.2364,12.1000,279180
2021-11-24,11.8545,12.3364,11.8545,11.9091,303380
2021-11-25,11.9182,12.1818,11.3818,11.5455,105600
2021-11-26,11.3727,11.7727,10.7455,11.6364,237710
2021-11-29,11.6364,11.6545,11.1818,11.6364,68530
2021-11-30,11.4455,11.5455,11.1636,11.4545,32780
2021-12-01,11.5818,11.6364,11.0545,11.0909,83710
2021-12-02,11.3636,11.7273,11.1000,11.2909,56100
2021-12-03,11.2909,11.6909,10.9545,10.9545,42350
2021-12-06,11.1636,11.1727,10.4545,10.4545,87780
2021-12-07,10.4636,11.0182,10.4545,10.6364,143000
2021-12-08,10.6636,11.7727,10.6636,11.2636,99550
2021-12-09,11.5545,11.5818,11.1818,11.1818,93720
2021-12-10,11.3364,11.5000,11.0455,11.2636,91630
2021-12-13,11.6091,11.6364,11.4818,11.5182,25410
2021-12-14,11.4091,11.7182,11.1000,11.5909,64020
2021-12-15,11.5273,12.2727,11.3000,12.2727,54010
2021-12-16,12.2636,12.3818,11.8636,12.2455,116160
2021-12-17,11.8818,12.5000,11.8273,12.2364,120890
2021-12-20,12.5455,12.5455,11.8182,12.2727,37620
2021-12-21,12.1364,12.2727,11.8182,12.1364,141350
2021-12-22,12.0909,12.1364,11.8273,11.8727,33110
2021-12-23,11.8182,12.2727,11.7364,12.2727,35420
2021-12-27,12.2636,12.6364,12.0545,12.2727,267740
2021-12-28,12.2727,12.5000,12.1182,12.5000,658350
2021-12-29,12.4909,12.6818,12.4455,12.6818,8250
2021-12-30,12.7273,13.4000,12.7273,13.1091,102960
2022-01-03,13.1364,13.6364,12.6818,13.2000,86460
2022-01-04,12.9636,13.0273,12.4364,13.0000,74910
2022-01-05,12.5636,12.5636,12.0455,12.3727,221430
2022-01-06,12.3727,12.3727,10.5000,11.2727,808170
2022-01-07,11.6091,11.6091,10.1364,10.9364,788920
2022-01-10,10.8636,11.4545,10.8636,11.4455,38610
2022-01-11,11.4455,11.6818,11.1273,11.6545,54890
2022-01-12,11.9000,12.1636,11.4818,11.5545,19470
2022-01-13,11.5545,11.5545,10.5818,11.2000,157080
2022-01-14,10.9182,11.2000,10.5000,10.8091,145200
2022-01-17,10.7727,10.7818,10.1818,10.4273,108900
2022-01-18,10.3545,10.3545,9.8273,10.0636,107690
2022-01-19,10.0636,11.0364,10.0636,10.8636,101530
2022-01-20,10.8636,11.8182,10.7545,11.3727,51260
2022-01-21,11.1091,11.3273,10.8273,10.8273,42900
2022-01-24,10.6364,11.0818,10.5818,10.9091,168190
2022-01-25,10.8909,10.8909,10.4000,10.4000,70730
2022-01-26,10.4273,11.3091,10.4091,10.7273,409200
2022-01-27,10.7273,11.9727,10.7273,11.9727,664180
2022-01-28,11.7000,12.9455,11.5818,12.9455,206910
2022-01-31,13.1727,14.2000,12.6909,13.8000,177870
2022-02-01,13.7636,13.7727,13.3455,13.6364,194040
2022-02-02,13.2818,13.7455,13.2818,13.6182,107800
2022-02-03,13.8091,13.8091,12.9818,13.3273,133430
2022-02-04,13.0909,13.6364,12.7455,13.6364,97020
2022-02-07,13.6364,13.8182,13.0909,13.0909,63250
2022-02-08,13.1909,13.2182,12.8000,12.9364,68750
2022-02-09,13.2455,13.5455,13.1909,13.5455,60720
2022-02-10,13.5455,13.5909,13.0091,13.5909,205700
2022-02-11,13.6455,13.6455,13.0545,13.5455,152130
2022-02-14,13.5364,13.5455,13.0909,13.0909,54230
2022-02-15,13.1091,13.6364,13.1091,13.5455,62480
