date,open,high,low,close,volume
2015-01-02,1.1445,1.1445,1.1051,1.1051,760
2015-01-05,1.1051,1.1051,1.1051,1.1051,0
2015-01-06,1.1051,1.1051,1.1051,1.1051,0
2015-01-07,1.1051,1.1051,1.1051,1.1051,0
2015-01-08,1.1051,1.1051,1.1051,1.1051,0
2015-01-09,1.1051,1.1051,1.1051,1.1051,0
2015-01-12,1.1445,1.1445,1.1445,1.1445,785
2015-01-13,1.1445,1.1840,1.1445,1.1840,2533
2015-01-14,1.1840,1.1840,1.1840,1.1840,0
2015-01-15,1.1445,1.1445,1.1445,1.1445,1520
2015-01-16,1.1445,1.1445,1.1445,1.1445,0
2015-01-19,1.1445,1.1445,1.1445,1.1445,0
2015-01-20,1.1840,1.1840,1.1840,1.1840,1444
2015-01-21,1.1051,1.1051,1.1051,1.1051,1520
2015-01-22,1.1445,1.1840,1.1445,1.1840,5472
2015-01-23,1.1445,1.1840,1.1445,1.1840,5472
2015-01-26,1.1840,1.1840,1.1840,1.1840,0
2015-01-27,1.1840,1.1840,1.1840,1.1840,0
2015-01-28,1.1840,1.1840,1.1840,1.1840,228
2015-01-29,1.1445,1.1445,1.1051,1.1445,4738
2015-01-30,1.1445,1.1445,1.1445,1.1445,0
2015-02-02,1.1051,1.1051,1.1051,1.1051,1266
2015-02-03,1.1445,1.1445,1.1051,1.1051,785
2015-02-04,1.1051,1.1051,1.1051,1.1051,0
2015-02-05,1.1445,1.1840,1.1051,1.1051,5016
2015-02-06,1.1051,1.1051,1.1051,1.1051,0
2015-02-09,1.1051,1.1051,1.1051,1.1051,0
2015-02-10,1.1051,1.1051,1.1051,1.1051,0
2015-02-11,1.1051,1.1051,1.1051,1.1051,152
2015-02-12,1.0656,1.1051,1.0656,1.0656,1216
2015-02-13,1.0656,1.0656,1.0656,1.0656,0
2015-02-18,1.0656,1.0656,1.0656,1.0656,0
2015-02-19,1.0656,1.0656,1.0656,1.0656,0
2015-02-20,1.0656,1.0656,1.0656,1.0656,0
2015-02-23,1.0656,1.0656,1.0656,1.0656,506
2015-02-24,1.0656,1.0656,1.0656,1.0656,1722
2015-02-25,1.0656,1.0656,1.0656,1.0656,0
2015-02-26,1.0656,1.0656,1.0656,1.0656,0
2015-02-27,1.0261,1.0261,1.0261,1.0261,253
2015-03-02,1.0261,1.0656,1.0261,1.0656,1773
2015-03-03,1.0656,1.0656,1.0656,1.0656,0
2015-03-04,1.0656,1.0656,1.0656,1.0656,0
2015-03-05,1.0656,1.0656,1.0656,1.0656,0
