date,open,high,low,close,volume
2015-01-02,5.9231,6.1212,5.8750,5.9231,3116360
2015-01-05,5.9635,5.9731,5.8500,5.9635,3908840
2015-01-06,5.9365,5.9385,5.7308,5.8750,4307160
2015-01-07,5.8673,5.9096,5.7692,5.8077,1829880
2015-01-08,5.8481,5.9442,5.8058,5.9058,1586000
2015-01-09,5.8827,5.9750,5.8327,5.8788,1813240
2015-01-12,5.8654,5.9308,5.8250,5.8462,2717520
2015-01-13,5.8635,5.9423,5.8327,5.8673,1899040
2015-01-14,5.9077,6.0692,5.8712,5.9615,2895360
2015-01-15,5.9904,6.0346,5.9365,5.9615,3128320
2015-01-16,5.9846,6.0096,5.9423,5.9615,2713880
2015-01-19,5.9808,5.9962,5.9269,5.9923,2163720
2015-01-20,6.0192,6.0942,6.0096,6.0673,3791320
2015-01-21,6.0596,6.1173,5.9808,6.0019,3078400
2015-01-22,6.0269,6.0962,5.9827,6.0519,3037320
2015-01-23,6.0231,6.1538,5.9923,6.1231,4569760
2015-01-26,6.1154,6.1154,5.9712,6.0500,2490800
2015-01-27,6.0308,6.1519,6.0096,6.1519,3045640
2015-01-28,6.1538,6.2500,6.0750,6.2115,2005120
2015-01-29,6.1827,6.3981,6.1827,6.3519,3386240
2015-01-30,6.3481,6.4250,6.1538,6.1692,4946240
2015-02-02,6.2308,6.3462,6.1769,6.3346,2069600
2015-02-03,6.2923,6.3538,6.2423,6.2846,1620840
2015-02-04,6.2846,6.3577,6.2731,6.3154,3271320
2015-02-05,6.3096,6.3269,6.2538,6.2981,4990960
2015-02-06,6.2962,6.3481,6.2481,6.2846,4041440
2015-02-09,6.3192,6.3288,6.2673,6.2942,3581240
2015-02-10,6.2827,6.5423,6.2673,6.4596,5055960
2015-02-11,6.3654,6.4615,6.3481,6.4135,3399760
2015-02-12,6.4231,6.4865,6.2096,6.3404,3221400
2015-02-13,6.3462,6.3904,6.0923,6.2385,4907240
2015-02-18,6.2346,6.2865,6.1538,6.2308,3576560
2015-02-19,6.2596,6.3462,6.1923,6.3462,3195920
2015-02-20,6.3212,6.3212,6.2327,6.2500,2158520
2015-02-23,6.2558,6.3327,6.2077,6.2212,2050360
2015-02-24,6.3269,6.3269,6.2365,6.2500,3264560
2015-02-25,6.2442,6.2596,6.0615,6.0962,3592160
2015-02-26,6.1538,6.1538,6.0308,6.0712,3018080
2015-02-27,6.0404,6.0808,5.8808,5.8808,5079360
2015-03-02,5.9058,5.9885,5.7981,5.9769,6914440
2015-03-03,5.9635,6.1135,5.9462,6.0962,7074080
2015-03-04,6.0673,6.1885,6.0673,6.0865,6588400
2015-03-05,6.0962,6.1308,6.0077,6.0192,11430640
2015-03-06,6.0269,6.1115,5.9269,6.0500,4772560
2015-03-09,6.0038,6.0558,5.8577,5.9731,4503200
2015-03-10,5.9692,5.9981,5.8846,5.9038,2976480
2015-03-11,5.9904,6.0038,5.9519,5.9865,2511600
2015-03-12,6.0385,6.1077,5.9846,6.0865,3182400
2015-03-13,6.0673,6.1154,6.0058,6.0577,2286440
2015-03-16,6.0577,6.0769,5.8846,5.9038,4793360
2015-03-17,5.8923,6.0019,5.8712,5.9212,4258280
2015-03-18,5.9000,6.0692,5.9000,6.0077,3010800
2015-03-19,6.0058,6.0750,5.9615,5.9788,1829360
2015-03-20,6.0788,6.0962,5.9519,6.0365,3814200
2015-03-23,6.0577,6.0577,5.8942,5.9327,6585800
2015-03-24,5.9308,5.9846,5.8962,5.9135,4303000
2015-03-25,5.9308,5.9846,5.8673,5.9558,1535040
2015-03-26,5.8769,5.9327,5.7135,5.8481,3281200
2015-03-27,5.8615,6.0173,5.7692,5.9596,3724760
2015-03-30,5.9173,6.1442,5.9173,6.1231,6712680
2015-03-31,6.1269,6.2096,6.0788,6.1154,5260320
2015-04-01,6.1538,6.2808,6.1192,6.2192,5945160
2015-04-02,6.2885,6.3577,6.2038,6.2154,4787900
2015-04-06,6.3038,6.3231,6.2077,6.2308,5193240
2015-04-07,6.2962,6.3731,6.2500,6.2577,2448940
2015-04-08,6.3000,6.3654,6.1385,6.2500,3775980
2015-04-09,6.2654,6.3192,6.1462,6.1692,3537040
2015-04-10,6.1808,6.2654,6.1692,6.2000,1259440
2015-04-13,6.2385,6.2500,6.1577,6.1885,3296280
2015-04-14,6.1577,6.2808,6.1346,6.2500,2365740
2015-04-15,6.2346,6.2885,6.2038,6.2423,2344680
2015-04-16,6.2500,6.2500,6.1000,6.1308,3211780
2015-04-17,6.1192,6.2154,6.0423,6.1192,3488420
2015-04-20,6.1346,6.1654,6.0500,6.0500,2854280
2015-04-22,6.0154,6.1308,5.9808,6.0192,5937100
2015-04-23,6.0615,6.1000,5.9962,6.0538,3156140
2015-04-24,6.0846,6.1731,6.0500,6.1231,4073940
2015-04-27,6.1538,6.1654,6.0577,6.0962,2221440
2015-04-28,6.1115,6.1115,5.9654,6.0385,2499120
2015-04-29,6.0654,6.1115,6.0192,6.0962,3131440
2015-04-30,6.1346,6.2000,6.0846,6.1692,5409040
