date,open,high,low,close,volume
2015-06-05,13.6000,14.1500,13.5000,13.9000,15536400
2015-06-08,14.1100,14.1800,13.6500,13.7800,1648300
2015-06-09,13.7800,13.8400,13.5200,13.6500,2161400
2015-06-10,13.7000,14.0700,13.6600,14.0000,676000
2015-06-11,14.0100,14.5000,13.8500,14.2600,1118600
2015-06-12,14.4000,14.6900,14.1700,14.5300,787100
2015-06-15,14.5100,14.6400,14.3000,14.6400,306400
2015-06-16,14.6300,14.9000,14.4700,14.5500,824000
2015-06-17,14.6000,14.6800,14.2100,14.2500,468400
2015-06-18,14.2500,14.6000,13.9000,14.6000,794500
2015-06-19,14.5800,14.8900,14.2000,14.7000,524100
2015-06-22,14.9000,14.9000,14.6500,14.7800,243600
2015-06-23,14.7500,14.7500,14.5500,14.6000,532700
2015-06-24,14.6000,14.7700,14.4900,14.5100,224200
2015-06-25,14.4600,14.5000,13.9500,13.9500,870300
2015-06-26,13.9200,14.0900,13.3600,13.4000,1169900
2015-06-29,13.3600,13.3700,12.8500,13.2500,3135800
2015-06-30,13.2900,13.7700,12.9200,13.5600,1839700
2015-07-01,13.7700,13.7900,13.3300,13.7000,1049400
2015-07-02,13.7800,14.0900,13.4000,14.0700,958800
2015-07-03,14.0500,14.3800,13.8000,14.2000,362900
2015-07-06,14.0000,14.2000,13.7500,14.0600,399500
2015-07-07,14.0600,14.0800,13.9000,14.0000,232800
2015-07-08,14.2000,14.4100,13.9200,14.0000,239500
2015-07-10,14.1700,14.1700,13.8600,14.0000,129800
2015-07-13,14.0500,14.0900,14.0000,14.0500,233600
2015-07-14,14.0900,14.0900,13.8000,13.9500,217500
2015-07-15,14.0000,14.1500,13.9500,14.0500,102400
2015-07-16,14.0900,14.3800,14.0800,14.3000,137700
2015-07-17,14.3000,14.3000,14.1100,14.3000,176000
2015-07-20,14.2100,14.2100,13.8300,14.1000,431700
2015-07-21,13.9700,14.0000,13.8600,13.9000,136000
2015-07-22,13.9500,13.9900,13.4300,13.9900,454400
2015-07-23,13.6500,14.0000,13.5300,13.9900,197400
2015-07-24,13.8300,13.9800,13.7000,13.8000,458100
2015-07-27,13.8000,13.8500,13.6400,13.7000,447400
2015-07-28,13.7800,14.0000,13.7800,13.9900,440500
2015-07-29,13.8800,14.0900,13.8600,14.0500,223000
2015-07-30,13.9500,14.0900,13.8100,14.0700,203700
2015-07-31,14.0900,14.2000,13.9800,14.2000,205600
2015-08-03,14.0900,14.4000,14.0000,14.3000,139100
2015-08-04,14.1600,14.3000,13.9100,14.3000,90800
2015-08-05,14.1800,14.1900,14.0000,14.0000,443200
2015-08-06,13.9900,14.1000,13.7700,14.1000,283300
2015-08-07,14.1000,14.1000,13.7000,13.8000,71500
2015-08-10,14.0000,14.0000,13.4200,13.4600,347700
2015-08-11,13.4000,13.9000,13.3600,13.9000,55600
2015-08-12,13.8000,13.9500,13.5100,13.6600,110700
2015-08-13,13.7500,13.9700,13.5400,13.8300,301300
2015-08-14,13.8900,13.9400,13.4200,13.4200,37700
2015-08-17,13.4800,13.7900,13.4200,13.7000,35600
2015-08-18,13.7000,14.3000,13.7000,14.3000,178400
2015-08-19,14.1000,14.1300,13.8100,14.0000,77800
2015-08-20,13.9900,14.0000,13.6200,13.9000,144800
2015-08-21,13.7400,13.8800,13.6000,13.6100,89800
2015-08-24,13.5000,13.7600,12.9500,13.4000,295800
