date,open,high,low,close,volume
2021-10-04,218.5000,231.7300,217.9200,223.8000,9950865
2021-10-05,225.0000,226.5000,213.6900,219.1700,2636287
2021-10-06,217.4200,217.4200,207.0000,215.6500,2556665
2021-10-07,217.3500,231.5000,217.3500,231.5000,12157101
2021-10-08,228.7900,233.2000,218.3200,220.6300,4982319
2021-10-11,218.4100,219.8200,205.0000,205.0000,2006205
2021-10-13,198.5300,203.6000,193.0000,193.0000,3487621
2021-10-14,195.6000,197.8700,187.0100,187.5500,3205420
2021-10-15,190.0000,203.7300,190.0000,200.0000,2643581
2021-10-18,201.2000,207.4800,199.2800,204.2300,1369949
2021-10-19,202.1000,204.2200,198.5000,199.3000,722779
2021-10-20,201.0000,203.1800,193.3300,198.5000,1907987
2021-10-21,197.3800,200.5900,190.2800,192.8500,1852525
2021-10-22,193.0000,194.4900,181.9100,189.0200,1387914
2021-10-25,190.9000,198.7300,190.5100,192.5100,1203463
2021-10-26,192.1000,193.8000,182.0200,186.6400,810455
2021-10-27,190.0000,191.8500,186.4900,186.4900,503418
2021-10-28,186.0100,189.8800,180.6100,188.0100,1047427
2021-10-29,189.1000,190.4800,183.5000,185.0000,643563
2021-11-01,185.0000,194.8800,184.3300,193.2000,466029
2021-11-03,192.0000,192.0000,183.7000,187.4200,834348
2021-11-04,191.5000,193.9900,180.7200,182.5500,1051127
2021-11-05,183.2000,195.0000,181.1500,194.0500,806903
2021-11-08,196.9500,197.0000,188.4900,190.0900,352216
2021-11-09,190.5000,193.3400,184.5000,186.4200,336270
2021-11-10,185.3500,188.9500,179.7500,180.5000,596401
2021-11-11,183.9000,188.4000,181.5200,184.6100,479646
2021-11-12,184.6100,185.0000,179.2000,184.0100,339439
2021-11-16,183.2000,183.9900,176.3200,177.0300,392032
2021-11-17,178.0000,179.5200,166.8800,167.7200,1006563
2021-11-18,168.3000,170.4400,160.6600,160.6600,1135748
2021-11-19,162.2900,169.6600,160.0100,167.5500,581745
2021-11-22,166.1100,171.5000,159.2500,159.4200,547961
2021-11-23,162.0000,167.5700,155.2100,165.0000,809322
2021-11-24,164.5100,170.9900,164.3900,169.3100,231702
2021-11-25,168.5500,173.9900,168.5500,172.2400,222385
2021-11-26,169.3000,169.3000,163.2000,167.0300,241997
2021-11-29,169.3000,171.2400,166.2200,167.3500,333389
2021-11-30,167.6800,167.6800,159.0900,160.0000,711030
2021-12-01,162.0000,172.1500,161.0100,164.2700,941983
2021-12-02,166.0000,171.3300,162.8300,163.6700,584287
2021-12-03,163.4200,170.0000,162.4100,163.9900,471453
2021-12-06,165.0100,169.9800,158.5000,168.2000,521095
2021-12-07,171.0000,174.2100,168.3400,168.5000,560968
2021-12-08,168.7500,171.0000,166.1900,166.5900,297967
2021-12-09,166.7000,169.4900,163.6100,166.9700,319045
2021-12-10,168.6000,171.0000,166.5700,168.7200,506410
2021-12-13,168.7000,181.6200,167.5100,177.0000,707090
2021-12-14,171.5000,171.8000,160.6400,167.5900,995575
2021-12-15,166.0100,172.5000,161.9000,171.5400,314440
2021-12-16,168.6000,174.0000,164.2600,165.8800,399045
2021-12-17,164.0000,167.8000,161.4400,165.0000,507335
2021-12-20,164.6500,166.5200,158.5100,166.0900,356146
2021-12-21,166.5500,170.3400,164.8200,169.5900,221674
2021-12-22,168.1500,169.5500,164.0000,166.4500,439793
2021-12-23,166.4500,170.4900,164.0100,169.5200,381841
2021-12-27,167.3800,174.9500,167.3800,170.8000,232495
2021-12-28,171.3000,172.4000,160.6100,161.3000,577682
2021-12-29,161.8500,162.9700,157.5600,159.3500,277505
2021-12-30,159.4000,160.8000,155.6200,160.4900,445854
2022-01-03,161.8400,164.8400,157.9900,164.8400,369633
2022-01-04,164.8400,166.7600,157.8400,159.7000,382138
2022-01-05,159.7000,161.9000,151.5100,153.5000,1366948
2022-01-06,153.5000,155.9800,147.5100,153.9800,814212
2022-01-07,157.0000,161.8500,152.7600,156.2200,686988
2022-01-10,156.2100,157.6200,150.1500,156.5400,730000
2022-01-11,156.6000,169.6200,152.1100,166.6300,715197
2022-01-12,166.7000,171.6500,165.6900,170.1100,416574
2022-01-13,170.1600,170.3500,161.3200,162.7400,401557
2022-01-14,162.7400,163.6100,155.2600,158.2800,386316
2022-01-17,157.1600,159.6700,155.8400,158.0000,75291
2022-01-18,157.3000,158.0000,151.5900,151.5900,435258
2022-01-19,152.0000,161.2900,151.4500,158.9200,381153
2022-01-20,157.2100,169.8900,157.2100,165.3800,666913
2022-01-21,165.4000,165.7000,159.7400,162.9900,292243
2022-01-24,162.8000,165.4300,155.3200,162.9700,940613
2022-01-25,159.5500,170.2000,159.5500,167.6900,456302
2022-01-26,169.1500,178.8800,168.7100,172.7700,671208
2022-01-27,172.5000,178.2200,167.7000,170.1600,697237
2022-01-28,170.1700,170.6600,162.4900,167.9600,1084942
2022-01-31,167.3500,176.8000,166.0400,176.5000,286473
2022-02-01,173.5200,179.1200,172.0200,177.1000,577815
2022-02-02,177.3500,180.0000,169.5000,169.6000,466282
2022-02-03,169.8500,170.7000,165.6700,166.5000,228387
2022-02-04,170.0000,171.8900,163.4400,170.2900,455710
2022-02-07,170.2500,173.2300,167.0000,167.4700,353300
2022-02-08,168.1000,169.9700,164.1800,169.9700,326666
2022-02-09,175.0000,181.9000,172.3700,179.3000,1361639
2022-02-10,179.3000,185.7000,172.2100,173.7400,704053
2022-02-11,173.4500,182.3000,172.2600,177.5800,740597
2022-02-14,177.5800,179.7600,173.1000,174.1000,409040
2022-02-15,177.8900,184.2000,176.0100,183.4300,501987
2022-02-16,183.4300,187.4600,179.9300,183.0500,383335
2022-02-17,183.0400,183.4800,177.7600,178.2900,315564
2022-02-18,178.7000,181.6000,174.7000,177.0000,742998
2022-02-21,176.0000,177.2200,170.2700,171.1000,185476
2022-02-22,171.3500,176.5000,170.3800,171.1500,352471
2022-02-23,171.1500,174.8000,167.2900,167.6400,373832
2022-02-24,163.1500,168.5900,158.5000,168.5900,704723
2022-02-25,166.0500,169.8000,160.7800,165.2100,765160
2022-03-02,165.0000,166.0000,161.2300,161.2300,220670
2022-03-03,162.2200,163.1600,154.2300,155.0000,801826
2022-03-04,152.8100,158.4700,146.3700,147.3000,615045
2022-03-07,147.5000,148.2800,133.2700,133.2700,1053703
2022-03-08,134.7100,142.9800,131.8900,141.6500,713320
2022-03-09,142.0000,157.8600,141.9000,157.8600,891534
2022-03-10,156.5000,158.4100,151.6700,154.5600,543810
2022-03-11,154.5900,157.9000,149.2700,149.8200,422012
2022-03-14,149.8200,152.3400,144.2000,144.2000,265850
2022-03-15,144.5500,150.4800,141.5500,149.6700,302237
2022-03-16,151.0000,162.0300,151.0000,158.7800,861619
2022-03-17,159.4000,161.7500,154.5800,157.7800,600068
2022-03-18,157.7900,165.1900,156.1200,162.0000,570545
2022-03-21,161.0500,162.8500,157.5600,159.1000,351500
2022-03-22,159.1000,167.1400,159.1000,163.3100,384464
2022-03-23,153.1100,156.4500,148.6300,151.1000,1133860
2022-03-24,151.7100,156.2500,150.8100,155.1200,438667
2022-03-25,154.0200,159.4000,151.8700,152.4500,403765
2022-03-28,153.4000,159.1900,150.8000,153.6000,527873
2022-03-29,157.0000,159.8900,153.8500,158.8800,830631
2022-03-30,157.0800,158.5500,148.7000,148.7500,554943
2022-03-31,149.8900,150.4500,140.5500,143.5000,791956
2022-04-01,144.0000,146.9600,141.8500,145.0000,526406
2022-04-04,145.0000,146.9400,143.0100,146.9400,325077
2022-04-05,146.0000,148.1600,143.0100,145.7900,767000
2022-04-06,144.7600,145.0000,139.6600,142.3100,694358
2022-04-07,142.0100,146.3900,140.0100,144.5100,544395
2022-04-08,144.3300,145.8000,140.6700,140.6700,403536
2022-04-11,140.0000,140.6600,135.8700,138.7200,348006
2022-04-12,140.0000,142.4800,134.5200,134.5500,576598
2022-04-13,135.2700,137.5000,134.0400,136.3400,714435
2022-04-14,136.3400,136.6000,130.5700,131.5900,497156
2022-04-18,130.0000,131.0600,127.5500,128.0000,589431
2022-04-19,128.1000,132.4000,126.5000,131.2100,794893
2022-04-20,130.3500,132.6800,128.6000,129.7600,232622
2022-04-22,127.0000,127.0000,121.0000,122.7000,509466
2022-04-25,121.0000,127.3000,120.6000,126.9600,607459
2022-04-26,125.1300,128.2800,121.0500,122.2600,615417
2022-04-27,124.7000,125.7500,118.4900,119.0000,1036983
2022-04-28,119.0000,124.7400,118.4100,123.5000,799584
2022-04-29,123.0700,127.6000,122.0000,122.5200,762051
2022-05-02,122.0100,123.5700,118.9100,121.9900,497573
2022-05-03,121.9600,122.0000,115.8900,117.0000,541792
2022-05-04,114.3000,114.3000,96.2400,107.6000,3193940
2022-05-05,107.5000,108.7200,104.1100,106.7000,1265698
2022-05-06,106.7000,108.6400,102.8000,102.8000,602571
2022-05-09,100.9000,103.2900,94.9100,97.4900,1267170
2022-05-10,97.7100,101.3500,95.0100,96.2000,595901
2022-05-11,96.2000,98.5600,92.8000,93.1800,624829
2022-05-12,92.1800,110.2000,91.8300,101.8200,2304224
2022-05-13,103.1000,105.2100,100.0600,102.2000,780406
2022-05-16,103.8700,103.8700,95.9500,95.9500,704002
2022-05-17,97.2000,100.4500,96.2900,99.0100,1257850
2022-05-18,98.8400,99.2500,95.4200,95.7300,617555
