date,open,high,low,close,volume
2015-01-02,24.0000,24.0000,21.8700,22.0500,4466200
2015-01-05,21.8000,21.8000,19.8400,20.7300,9412000
2015-01-06,20.8900,21.0800,19.0100,19.5200,11751900
2015-01-07,20.1500,20.1500,18.7600,18.9100,8317800
2015-01-08,19.0600,19.9300,19.0000,19.5000,8984400
2015-01-09,19.4000,19.5700,18.9400,19.0000,7205800
2015-01-12,18.9000,19.0700,16.9200,17.0400,11445900
2015-01-13,17.1900,17.9500,16.2700,17.3100,9757400
2015-01-14,17.0500,18.0000,17.0500,17.7800,3644000
2015-01-15,17.6500,17.7000,16.8500,17.0900,6522400
2015-01-16,16.9100,18.4600,16.9000,18.0100,6917100
2015-01-19,18.2000,18.3800,17.7700,18.1200,3703600
2015-01-20,18.2000,18.6700,18.0100,18.2500,5632100
2015-01-21,18.3400,19.7400,18.1100,19.3500,5788900
2015-01-22,19.1000,19.2000,15.7000,16.4400,21236100
2015-01-23,16.8100,17.1800,15.9900,16.2300,10225400
2015-01-26,16.1900,17.3000,15.5800,16.9600,4512800
2015-01-27,16.9000,17.0500,16.5400,16.8100,2843100
2015-01-28,16.7400,16.9000,16.4400,16.4700,4389300
2015-01-29,16.5000,17.2300,16.4800,17.1800,6196400
2015-01-30,16.9500,17.0400,16.6000,16.6200,8544900
2015-02-02,16.7900,17.0600,16.6500,17.0500,3866100
2015-02-03,17.2200,17.2900,14.5200,16.4700,15893300
2015-02-04,16.3000,18.0300,16.1500,17.6600,9583400
2015-02-05,17.3500,18.4700,17.3500,17.8500,6968900
2015-02-06,17.8300,17.8300,16.4600,16.7100,5857600
2015-02-09,16.7700,17.1400,16.1700,16.2000,4541400
2015-02-10,16.3300,16.4700,15.5500,15.7000,3358200
2015-02-11,15.5800,16.2300,15.5500,16.0400,9387100
2015-02-12,16.6400,18.3800,16.5500,17.5000,7158900
2015-02-13,18.2000,18.3000,17.1900,18.1700,4311900
2015-02-18,17.9100,19.0700,17.9100,18.6400,2820500
2015-02-19,18.6000,20.0000,18.5200,20.0000,2917300
2015-02-20,19.8000,19.8100,18.9200,19.0200,2824600
2015-02-23,21.5000,21.6900,20.2000,20.2000,4335300
2015-02-24,20.4300,21.5000,20.2000,21.3200,3480700
2015-02-25,21.3500,23.0000,21.3500,22.5300,7923600
