date,open,high,low,close,volume
2005-01-03,22.8316,23.0475,22.4431,22.4431,3211000
2005-01-04,22.5973,22.6343,21.2774,21.8325,5831700
2005-01-05,21.6537,22.1471,21.5118,21.9312,6026900
2005-01-06,21.9312,22.1409,21.7523,21.8942,4049400
2005-01-07,21.8942,22.3321,21.7277,21.925,3925700
2005-01-10,21.6845,22.1594,21.629,21.8387,2809900
2005-01-11,21.6475,21.8078,21.444,21.6352,3394500
2005-01-12,21.8017,22.0484,21.4748,21.9312,3263600
2005-01-13,21.9312,22.0052,21.555,21.6475,3907900
2005-01-14,21.7092,22.2026,21.7092,21.9805,2530200
2005-01-18,21.8942,22.4739,21.7647,22.2457,3791200
2005-01-19,22.2519,22.4431,21.6413,21.6722,3614600
2005-01-20,21.555,21.9065,21.296,21.37,4633600
2005-01-21,21.3761,21.6722,21.2343,21.2589,3580200
2005-01-24,21.5118,21.5118,20.9382,20.9999,3899300
2005-01-25,21.0924,21.3761,21.0061,21.1541,2803200
2005-01-26,21.37,21.5797,21.1788,21.5118,3364400
2005-01-27,21.5118,21.6537,21.2589,21.481,2652100
2005-01-28,21.4625,21.7955,21.2343,21.4255,2777900
2005-01-31,21.6475,22.1532,21.6475,22.1347,3617300
2005-02-01,22.1347,22.6466,22.1101,22.1964,3079500
2005-02-02,22.11,22.3691,21.9867,22.2087,2316300
2005-02-03,22.2087,22.2087,21.555,21.7338,2919800
2005-02-04,21.9559,23.1893,21.925,23.14,5226100
2005-02-07,23.0351,23.473,22.9056,23.14,3296900
2005-02-08,23.0968,23.9048,23.0598,23.4484,3350400
2005-02-09,23.4052,23.4052,22.7946,22.9303,3771500
2005-02-10,23.5471,23.6704,22.4678,22.7145,7508600
2005-02-11,22.6343,23.9726,22.5911,23.4669,9298400
2005-02-14,23.4422,23.4977,23.0352,23.1893,3323300
2005-02-15,23.1955,23.4915,22.8316,23.0166,3464100
2005-02-16,22.9426,23.1523,22.6404,22.8995,2475400
2005-02-17,22.8316,23.066,22.5726,22.6343,3180300
2005-02-18,22.6343,22.6651,22.3506,22.3876,2131500
2005-02-22,22.1779,23.1277,22.1656,22.5109,4146100
2005-02-23,22.721,22.9186,22.27,22.6036,3333200
2005-02-24,22.5295,23.0731,22.4368,23.0545,3340200
2005-02-25,22.9495,23.4561,22.8013,23.1657,3363400
2005-02-28,23.2028,23.5117,22.5912,22.6839,3373900
2005-03-01,22.9619,23.5179,22.9619,23.4746,3731300
2005-03-02,23.1657,23.6599,23.0237,23.2955,4101600
2005-03-03,23.3449,23.4128,22.6468,22.8136,3313400
2005-03-04,23.104,23.2893,22.6098,22.931,2799400
2005-03-07,22.931,23.1843,22.7951,22.8878,3700200
2005-03-08,22.7642,23.1225,22.7024,22.826,2862200
2005-03-09,22.9804,23.2893,22.7704,22.8074,3548800
2005-03-10,22.8383,23.4746,22.6221,23.382,4794000
2005-03-11,23.6599,23.6599,22.8569,22.9372,5608000
2005-03-14,22.9372,23.1719,22.8445,22.9866,2840500
2005-03-15,23.1472,23.1472,22.5542,22.5912,3241600
2005-03-16,22.5171,22.7704,22.1156,22.1897,3334100
2005-03-17,22.2021,22.4677,22.0661,22.2515,2211300
2005-03-18,22.2576,22.3256,21.9549,22.1341,2694300
2005-03-21,22.0662,22.2329,21.7758,22.06,3221000
2005-03-22,22.2638,22.6715,22.1341,22.1341,3548900
2005-03-23,22.0353,22.7457,22.0353,22.3812,2670600
2005-03-24,22.3812,22.5109,22.1156,22.1156,2507400
2005-03-28,22.165,22.4553,22.0291,22.0291,1731800
2005-03-29,21.887,22.2144,21.6646,21.6955,3268900
2005-03-30,21.7634,22.443,21.7634,22.443,3461800
2005-03-31,22.443,22.4924,22.2082,22.3256,2422900
2005-04-01,22.4862,22.548,21.9611,22.06,2696500
2005-04-04,22.1712,22.2021,21.7449,21.992,2406300
2005-04-05,21.992,22.27,21.7573,21.8129,2749000
2005-04-06,21.9673,22.1156,21.8129,21.8746,2844200
2005-04-07,21.8746,22.3009,21.8252,22.2947,2378800
2005-04-08,22.27,22.3874,22.0291,22.0353,1735900
2005-04-11,22.0847,22.1773,21.7943,21.8314,1138800
2005-04-12,21.8314,21.8376,21.0592,21.5781,3859100
2005-04-13,21.4978,21.504,20.9418,21.0654,2250100
2005-04-14,21.121,21.4608,20.633,20.7874,2840200
2005-04-15,20.6021,20.6082,20.1696,20.287,4469300
2005-04-18,20.4476,20.8121,20.3611,20.6082,2893500
2005-04-19,20.9171,21.1333,20.8492,20.9109,3637000
2005-04-20,21.016,21.158,20.5465,20.6453,4812100
2005-04-21,20.9109,21.2692,20.7318,21.2198,2769800
2005-04-22,21.0963,21.121,20.6453,20.8801,1997500
2005-04-25,20.9295,21.0839,20.7874,20.8183,2209300
2005-04-26,20.7936,21.3866,20.6947,20.7071,2597500
2005-04-27,20.5403,20.8924,20.3303,20.6082,2368600
2005-04-28,20.6515,21.0963,20.6515,20.7071,3089600
2005-04-29,20.9233,21.1766,20.5403,21.0716,2465400
2005-05-02,21.0716,21.2384,20.8306,20.9109,1902800
2005-05-03,20.9109,21.158,20.7256,20.7997,2458800
2005-05-04,20.9974,21.4113,20.9109,21.3496,2862000
2005-05-05,21.2569,21.7202,21.2569,21.3866,1934000
2005-05-06,21.5287,21.5596,21.3001,21.3866,1869800
2005-05-09,21.3125,21.5287,21.1889,21.3434,2243000
2005-05-10,21.2569,21.3619,21.0036,21.0839,1872300
2005-05-11,21.2692,21.3063,20.6947,21.0407,2405600
2005-05-12,21.1519,21.4731,21.016,21.1951,4304000
2005-05-13,21.5472,22.3627,21.3434,21.9241,6184600
2005-05-16,22.0291,22.5171,21.8561,22.4986,4115000
2005-05-17,22.443,22.7519,22.3688,22.6715,2487200
2005-05-18,22.6901,22.8816,22.3936,22.7704,2554600
2005-05-19,22.8569,23.0113,22.6777,22.7889,2239800
2005-05-20,22.8383,22.9804,22.548,22.9063,1534000
2005-05-23,22.9125,22.9681,22.5109,22.5665,2307700
2005-05-24,22.4924,22.7951,22.3441,22.7642,2341300
2005-05-25,22.82,22.82,22.312,22.4793,1718700
2005-05-26,22.6899,22.9934,22.6093,22.9129,1772500
2005-05-27,22.8571,22.8571,22.4855,22.727,1576000
2005-05-31,22.8076,23.043,22.6217,22.9686,2420500
2005-06-01,22.9686,23.3093,22.7952,22.9438,2239000
2005-06-02,22.9624,23.4951,22.8881,23.4827,2392900
2005-06-03,23.4022,23.8172,23.2969,23.4642,3243600
2005-06-06,23.5447,23.5447,23.204,23.4084,2739500
2005-06-07,23.5323,23.8296,23.1854,23.2102,2139200
2005-06-08,23.6314,23.6624,23.2969,23.3775,2722400
2005-06-09,23.3774,23.9721,23.0925,23.9287,2672700
2005-06-10,24.0031,24.0093,23.5385,23.5881,3327700
2005-06-13,23.5385,23.7119,23.3465,23.5075,3182900
2005-06-14,23.5075,23.6314,23.204,23.2597,2019000
2005-06-15,23.3712,23.5385,23.1792,23.4518,3345000
2005-06-16,23.5013,24.0464,23.4146,23.8234,3243100
2005-06-17,24.0464,24.0464,23.5571,23.6934,2274900
2005-06-20,23.5385,23.6933,23.4146,23.4827,1557300
2005-06-21,23.4332,23.7243,23.396,23.458,2666300
2005-06-22,23.6314,23.7987,23.4889,23.6376,1427500
2005-06-23,23.6686,24.6287,23.6376,23.9349,3530200
2005-06-24,23.8482,23.8854,23.5075,23.5137,3055000
2005-06-27,23.5137,23.5385,23.0925,23.0925,2668900
2005-06-28,23.2412,23.4084,23.1421,23.3403,2061900
2005-06-29,23.3589,23.3589,23.0429,23.173,1956700
2005-06-30,23.1978,23.4022,23.0182,23.1111,2319500
2005-07-01,23.1978,23.3465,22.9748,23.1235,1149200
2005-07-05,23.0182,23.4518,22.981,23.2721,2489700
2005-07-06,23.3217,23.9659,23.2783,23.8234,3447500
2005-07-07,23.8668,24.3438,23.7243,24.3314,3986500
2005-07-08,24.2942,24.4677,24.1579,24.4615,4019700
2005-07-11,24.6473,25.019,24.5977,25.0066,3068300
2005-07-12,24.8827,25.2915,24.8827,25.149,3320800
2005-07-13,25.0561,25.18,24.9508,25.0871,3273500
2005-07-14,25.2419,25.6446,24.9322,25.3348,3451300
2005-07-15,25.2729,25.3225,24.9013,25.0561,3208200
2005-07-18,24.9198,24.9446,24.6844,24.926,2097800
2005-07-19,25.1181,25.3844,24.8703,25.3658,1356200
2005-07-20,25.211,25.6322,24.9384,25.595,2695800
2005-07-21,25.595,25.595,25.18,25.3101,3052900
2005-07-22,25.3225,25.595,24.988,25.2172,2358500
2005-07-25,25.2296,25.4464,25.0004,25.0933,1466900
2005-07-26,25.2853,25.2853,24.9756,25.149,2385800
2005-07-27,25.0004,25.1119,24.1022,24.7588,3987400
2005-07-28,24.765,24.8889,24.4677,24.7278,2031600
2005-07-29,24.6287,24.6535,24.1765,24.2818,3310100
2005-08-01,24.3128,24.4553,24.0526,24.1951,2492300
2005-08-02,24.6535,25.5269,24.511,25.2234,5260400
2005-08-03,24.3128,24.6968,23.8482,23.8978,7304800
2005-08-04,23.6314,23.7739,23.3093,23.3155,3454100
2005-08-05,23.2907,23.3836,22.9438,23.012,3365900
2005-08-08,23.1049,23.3403,22.95,23.1606,2958300
