date,open,high,low,close,volume
2005-01-03,13.5337,13.5337,13.1663,13.2265,2171100
2005-01-04,13.2988,13.371,12.9735,13.0819,2603100
2005-01-05,13.0819,13.1301,12.8591,12.8591,3178000
2005-01-06,12.8651,13.2265,12.8651,13.1241,2417400
2005-01-07,13.1542,13.3168,13.1,13.1542,2821600
2005-01-10,13.2205,13.2747,13.1542,13.2626,2045400
2005-01-11,13.2626,13.2626,13.0578,13.0759,1961300
2005-01-12,13.0398,13.1663,12.9615,12.9916,2293200
2005-01-13,12.9976,13.2686,12.9916,13.1602,2026400
2005-01-14,13.1903,13.2506,13.1361,13.1964,1830000
2005-01-18,13.2927,13.9733,13.2807,13.9673,4195500
2005-01-19,14.0034,14.2383,13.9733,14.0396,3929500
2005-01-20,14.0516,14.1962,13.9854,14.0516,2933900
2005-01-21,13.9553,13.9794,13.6421,13.6481,2456500
2005-01-24,13.7926,13.8649,13.6601,13.7565,2857500
2005-01-25,13.8228,13.8348,13.618,13.6421,2280900
2005-01-26,13.7324,13.8107,13.6421,13.6421,3422300
2005-01-27,13.6421,13.8408,13.636,13.7264,2074200
2005-01-28,13.636,13.9492,13.1602,13.889,3682100
2005-01-31,14.2624,14.6298,14.1841,14.5756,4593200
2005-02-01,14.5937,14.6178,14.407,14.4492,3627300
2005-02-02,14.5034,14.5455,14.3769,14.4311,2678700
2005-02-03,14.4612,14.5034,14.2685,14.4853,2315200
2005-02-04,14.407,14.5154,14.2444,14.5034,2589700
2005-02-07,14.4853,14.5034,14.2926,14.4371,1929200
2005-02-08,14.401,14.4552,14.148,14.2926,1985500
2005-02-09,14.3708,14.3708,14.0396,14.2564,1666800
2005-02-10,14.2624,14.3648,14.154,14.3648,1514500
2005-02-11,14.3709,14.6058,14.1841,14.6058,1819300
2005-02-14,14.666,14.8166,14.6298,14.8166,3237900
2005-02-15,14.8256,14.8317,14.6745,14.7471,2527600
2005-02-16,14.7471,15.2185,14.7289,15.0734,3686900
2005-02-17,15.1278,15.1701,14.9223,14.9828,2189400
2005-02-18,15.0372,15.0976,14.9888,15.0009,2317400
2005-02-22,15.0553,15.1762,15.0069,15.0553,3883000
2005-02-23,14.2635,14.7712,13.774,13.9613,6734900
2005-02-24,13.6894,14.1971,12.952,14.0883,5458800
2005-02-25,14.2938,14.6141,14.2696,14.6141,4271000
2005-02-28,14.6564,14.6927,14.4207,14.5657,3711900
2005-03-01,14.5355,14.7833,14.5355,14.741,2343200
2005-03-02,14.602,14.747,14.5657,14.7289,1630100
2005-03-03,14.7591,15.019,14.6322,14.9949,2820600
2005-03-04,15.0795,15.3091,15.0372,15.3031,4376000
2005-03-07,15.3212,15.3333,15.1339,15.1399,2297500
2005-03-08,15.1701,15.1701,14.7894,15.0372,3291600
2005-03-09,15.0795,15.0976,14.8075,14.8135,2757200
2005-03-10,14.88,15.0009,14.7108,14.9707,2888800
2005-03-11,15.0492,15.0674,14.747,14.874,2583600
2005-03-14,14.874,15.0372,14.8558,14.9284,2543100
2005-03-15,14.9767,14.9888,14.7712,14.8679,2542300
2005-03-16,14.8196,14.8558,14.5718,14.5778,3750600
2005-03-17,14.6564,14.8014,14.5718,14.7168,2472400
2005-03-18,14.6685,14.8014,14.5234,14.6564,4297900
2005-03-21,14.6262,14.6503,14.3784,14.4146,2949900
2005-03-22,14.3784,14.5053,14.324,14.324,2225600
2005-03-23,14.33,14.9042,14.33,14.8377,4317900
2005-03-24,14.7773,14.8981,14.5416,14.7471,3400800
2005-03-28,14.7954,14.9646,14.741,14.7531,2628200
2005-03-29,14.7531,14.9888,14.596,14.7591,4315300
2005-03-30,14.7591,14.9223,14.6866,14.7168,2628500
2005-03-31,14.7168,14.9586,14.6141,14.8558,2272400
2005-04-01,14.9405,15.291,14.8981,15.0916,4331600
2005-04-04,15.0976,15.0976,14.874,14.88,3212400
2005-04-05,14.874,14.88,14.4207,14.5053,4264200
2005-04-06,13.5987,13.9976,12.6619,12.8855,13405100
2005-04-07,12.8191,13.2361,12.8191,13.085,5550100
2005-04-08,13.2361,13.3388,12.9943,13.1092,4352100
2005-04-11,13.1092,13.1152,12.8735,12.8855,4083400
2005-04-12,12.8432,13.2542,12.807,13.1817,3796100
2005-04-13,13.1817,13.2119,12.9943,13.0306,3198600
2005-04-14,13.0306,13.1756,12.9701,13.1031,2639000
2005-04-15,13.1031,13.1092,12.5169,12.5592,4230600
2005-04-18,12.3174,12.6075,12.0213,12.2268,6242500
2005-04-19,12.0877,12.396,12.0877,12.3899,5347900
2005-04-20,12.3839,12.4081,11.9729,11.9971,3795900
2005-04-21,12.0757,12.4443,12.0636,12.2751,4360500
2005-04-22,12.124,12.4806,12.124,12.2993,2997400
2005-04-25,12.4504,12.9158,12.4141,12.7828,4328000
2005-04-26,12.7828,12.946,12.6075,12.7647,3077600
2005-04-27,12.7647,13.1212,12.6015,13.0306,3028500
2005-04-28,13.0366,13.2663,12.9158,13.0729,3649800
2005-04-29,10.8185,11.163,10.5768,10.8729,20215600
2005-05-02,10.8971,11.29,10.879,11.2597,10463600
2005-05-03,11.2718,11.5377,11.2114,11.5136,7649300
2005-05-04,11.4652,11.4834,11.3383,11.3685,7191200
2005-05-05,11.3746,11.441,11.1026,11.2718,5234700
2005-05-06,11.4108,11.4229,11.3081,11.3625,3902000
2005-05-09,11.3625,11.6647,11.2537,11.6284,5119100
2005-05-10,11.6284,11.6949,11.5801,11.6526,2833200
2005-05-11,11.6405,11.6768,11.5196,11.5559,5026200
2005-05-12,11.574,11.9306,11.5196,11.7432,3864600
2005-05-13,11.846,11.846,11.5982,11.6949,4523200
2005-05-16,11.6949,11.8399,11.6768,11.8037,3500900
2005-05-17,11.8371,11.9767,11.831,11.8553,2932400
2005-05-18,11.9281,12.0981,11.8735,12.0981,2472700
2005-05-19,12.0981,12.1406,12.001,12.0495,2802100
2005-05-20,12.0617,12.1284,12.007,12.0495,2694200
2005-05-23,12.092,12.1831,12.0252,12.1406,2728400
2005-05-24,12.1649,12.2013,12.1042,12.1952,2596100
2005-05-25,12.1588,12.1891,12.1102,12.1102,2201600
2005-05-26,12.1891,12.2013,12.1406,12.1709,3040700
2005-05-27,12.1831,12.2134,12.1406,12.1467,1339500
2005-05-31,12.1224,12.1406,12.0192,12.0495,2832200
2005-06-01,12.0799,12.2013,12.0495,12.2013,2128800
2005-06-02,12.1588,12.4016,12.1102,12.4016,3503200
2005-06-03,12.3652,12.3834,12.262,12.2741,1908700
2005-06-06,12.2438,12.2802,12.1163,12.2316,3642800
2005-06-07,12.2802,12.6141,12.2195,12.5594,2432300
2005-06-08,12.7112,12.8144,12.5655,12.7476,3700800
2005-06-09,12.7901,12.8629,12.6687,12.7719,2775400
2005-06-10,12.8144,12.8144,12.353,12.4016,2327400
2005-06-13,12.4198,12.7476,12.3652,12.7415,2843800
2005-06-14,12.7355,12.778,12.6808,12.7233,2373200
2005-06-15,12.7476,12.8994,12.5412,12.8569,3796900
2005-06-16,12.869,12.9601,12.7476,12.7962,2409500
2005-06-17,13.039,13.1725,12.8387,12.9904,3235200
2005-06-20,12.954,13.0147,12.8751,12.9783,2467500
2005-06-21,12.9783,13.0997,12.8994,13.0693,3218100
2005-06-22,13.1422,13.215,12.9965,13.209,2488600
2005-06-23,13.2211,13.2211,12.8083,12.8144,1618000
2005-06-24,12.8812,13.0511,12.8265,12.9054,2464200
2005-06-27,12.9054,12.9297,12.6383,12.7476,1315200
2005-06-28,12.7415,12.9419,12.6748,12.9237,1712900
2005-06-29,12.9115,12.9661,12.6383,12.6869,1623900
2005-06-30,12.9479,13.2029,12.8933,12.9783,1830200
2005-07-01,13.0693,13.0875,12.869,13.039,1450700
2005-07-05,12.9479,12.954,12.6869,12.8872,2569900
2005-07-06,12.8994,12.9479,12.7173,12.7233,2584900
2005-07-07,12.4744,12.6869,12.4077,12.6687,4695800
2005-07-08,12.6262,12.7415,12.5959,12.6808,1472600
2005-07-11,12.5959,12.7294,12.5959,12.699,2033100
2005-07-12,12.6383,12.7112,12.5837,12.6869,2461800
2005-07-13,12.6869,12.8205,12.6262,12.8083,1813100
2005-07-14,12.7476,13.0269,12.7476,12.954,1999900
2005-07-15,13.0208,13.215,12.9904,13.1968,2323900
2005-07-18,13.1968,13.209,13.0147,13.0208,2253100
2005-07-19,13.0997,13.2636,13.0511,13.1968,2027900
2005-07-20,13.1968,13.2939,13.1361,13.2939,2613800
2005-07-21,13.2939,13.2939,13.0633,13.0815,1393500
2005-07-22,13.2029,13.4093,13.1665,13.3486,2581300
2005-07-25,13.4032,13.4153,13.2818,13.3546,2470300
2005-07-26,13.4457,13.4457,13.215,13.2697,1906600
2005-07-27,13.3607,13.3668,13.1118,13.3546,3248500
2005-07-28,13.4275,13.6399,13.0026,13.5671,3142800
2005-07-29,13.9495,14.508,13.8099,13.9252,4909500
2005-08-01,13.8403,13.8463,13.0815,13.1483,4546600
2005-08-02,13.1725,13.3243,13.1725,13.3121,3726900
2005-08-03,13.2514,13.3546,13.1665,13.209,2828500
2005-08-04,13.1725,13.2575,12.9054,12.9297,2790000
2005-08-05,12.869,12.9297,12.6141,12.6141,3193700
2005-08-08,12.6201,12.6869,12.5048,12.5534,1963900
2005-08-09,12.5534,12.608,11.9888,12.4805,3618000
2005-08-10,12.5837,12.9115,12.5291,12.784,3510100
2005-08-11,12.8083,12.8933,12.7173,12.8144,1915000
2005-08-12,12.7537,12.8508,12.7233,12.7658,1181500
2005-08-15,12.7476,12.8205,12.6869,12.7537,1427300
2005-08-16,12.7598,12.8144,12.5352,12.5412,1043900
2005-08-17,12.5687,12.7271,12.5382,12.6662,1404900
2005-08-18,12.5869,12.7881,12.5626,12.7576,1527200
2005-08-19,12.7576,12.8247,12.6174,12.8003,2129000
2005-08-22,13.4037,13.6475,13.1477,13.3489,3838600
2005-08-23,13.6536,13.8914,13.5988,13.6049,6582700
2005-08-24,13.6536,13.6719,13.3915,13.4586,3563500
2005-08-25,13.5317,13.7938,13.5012,13.678,3764300
2005-08-26,13.6841,13.8487,13.6658,13.6963,3050100
2005-08-29,13.7085,13.7572,13.5866,13.678,2330000
2005-08-30,13.6049,13.7024,13.5378,13.617,2332900
2005-08-31,13.6171,13.7451,13.5012,13.7207,4108400
2005-09-01,13.7694,14.4521,13.7512,14.3119,5720600
2005-09-02,14.5253,14.7508,14.4277,14.4521,3699500
2005-09-06,14.5862,14.7325,14.446,14.4826,3046200
2005-09-07,14.4826,14.5375,14.0376,14.1413,4412500
2005-09-08,14.1534,14.2693,14.0498,14.1291,2311500
2005-09-09,14.19,14.2997,14.1291,14.1413,2116500
2005-09-12,13.867,14.3241,13.867,14.2693,3263600
2005-09-13,14.062,14.1717,13.9767,13.9767,2349600
2005-09-14,14.062,14.1656,13.8548,13.934,2611700
2005-09-15,13.995,14.2144,13.9706,14.1169,2263200
