date,open,high,low,close,volume
2005-01-03,21.4022,21.5954,21.1316,21.1848,1673761
2005-01-04,21.1944,21.2572,20.7934,20.8466,1978150
2005-01-05,20.8707,20.9963,20.663,20.7596,2578858
2005-01-06,20.7016,20.7451,20.4987,20.6195,2444695
2005-01-07,20.663,20.7644,20.3006,20.5809,1876771
2005-01-10,20.5374,20.7499,20.4697,20.5953,2100335
2005-01-11,20.5953,20.6678,20.5084,20.634,2158211
2005-01-12,20.5809,20.6437,20.2765,20.4456,2926245
2005-01-13,20.3393,20.4504,20.0494,20.0494,1923552
2005-01-14,20.1509,20.4842,20.1509,20.4842,3305534
2005-01-18,20.6292,21.3587,20.6292,21.3249,4785742
2005-01-19,21.3055,21.4794,21.1558,21.2186,4153258
2005-01-20,21.2186,21.2186,20.8659,21.0157,4351981
2005-01-21,21.0157,21.3538,20.6292,20.692,4764684
2005-01-24,20.8466,21.1509,20.7789,20.8949,3212729
2005-01-25,20.9335,21.1558,20.8997,21.0785,2568140
2005-01-26,21.0591,21.1992,21.0157,21.0543,2604960
2005-01-27,21.0591,21.0785,20.7016,20.8514,2119501
2005-01-28,20.9384,20.9915,20.6292,20.8707,1601510
2005-01-31,20.8949,21.0495,20.8514,21.006,2118996
2005-02-01,20.9674,21.2959,20.8466,21.2476,2434608
2005-02-02,21.1703,21.2959,20.9432,21.093,2160229
2005-02-03,20.9915,21.3104,20.9287,21.3104,2311667
2005-02-04,21.3055,21.3297,21.0157,21.3297,2552379
2005-02-07,21.064,21.2765,21.0398,21.1219,1718903
2005-02-08,21.0398,21.2427,20.9577,21.1461,1969450
2005-02-09,21.064,21.1461,20.6582,20.7016,3166831
2005-02-10,20.8079,20.8127,20.5422,20.5422,2171199
2005-02-11,20.4939,20.7886,20.4939,20.7451,2203857
2005-02-14,20.8224,20.8224,20.5567,20.5567,1961758
2005-02-15,20.5084,20.6823,20.4552,20.5084,2140180
2005-02-16,20.4118,20.5422,20.2668,20.3973,2512912
2005-02-17,20.3973,20.6243,20.3973,20.4746,2087221
2005-02-18,20.5084,20.5229,20.2717,20.2717,2415820
2005-02-22,20.2427,20.3828,20.1509,20.1509,1872106
2005-02-23,20.1799,20.6098,19.8707,20.2572,2670276
2005-02-24,20.2572,20.6388,20.2523,20.5953,2222267
2005-02-25,20.6292,20.8417,20.5567,20.7741,2769890
2005-02-28,20.6775,20.8031,20.6292,20.7548,3297085
2005-03-01,20.7499,20.948,20.6533,20.7741,2056833
2005-03-02,20.6775,20.75,20.6147,20.7161,2248116
2005-03-03,20.7113,20.721,20.5422,20.6195,1941331
2005-03-04,20.7741,20.8659,20.5809,20.7065,3839286
2005-03-07,20.6775,21.0157,20.6775,20.948,2207640
2005-03-08,20.8707,21.0495,20.8562,20.9577,2750597
2005-03-09,20.8224,20.9577,20.7451,20.8997,3538806
2005-03-10,20.8633,21.0864,20.8149,21.0864,1898838
2005-03-11,21.0185,21.2367,21.0185,21.0961,2962182
2005-03-14,21.0815,21.29,21.0379,21.29,1697719
2005-03-15,21.3336,21.5712,21.324,21.4452,3670826
2005-03-16,21.3094,21.5518,21.1785,21.5324,3347144
2005-03-17,21.5179,21.7409,21.4549,21.6585,3582056
2005-03-18,21.6731,21.8088,21.6052,21.7118,5036163
2005-03-21,21.673,21.8185,21.644,21.77,2870008
2005-03-22,21.707,22.0512,21.6876,21.804,3177423
2005-03-23,21.6973,21.9882,21.6488,21.9155,3532627
2005-03-24,21.9397,22.0609,21.7943,21.8912,2206883
2005-03-28,21.9349,22.0561,21.93,21.9737,1810572
2005-03-29,21.9494,21.9494,21.7458,21.7943,3305029
2005-03-30,21.7943,21.867,21.7555,21.8137,3369841
2005-03-31,21.8185,21.8525,21.7458,21.7943,2493367
2005-04-01,21.7943,21.8185,21.5858,21.7361,2630052
2005-04-04,21.7458,21.8088,21.6488,21.7603,2603068
2005-04-05,21.8185,21.9737,21.77,21.9009,1871223
2005-04-06,21.9737,22.0755,21.9106,21.9397,1562547
2005-04-07,21.9931,22.0512,21.9252,22.0464,1538842
2005-04-08,21.9543,22.09,21.9155,21.93,1620424
2005-04-11,21.4597,21.6828,21.3337,21.6537,2445452
2005-04-12,21.5761,21.7991,21.4112,21.7652,2055950
2005-04-13,21.7458,21.9009,21.6731,21.7312,2513794
2005-04-14,21.7458,21.7943,21.5615,21.5858,2101974
2005-04-15,21.45,21.5809,21.0185,21.0718,3019932
2005-04-18,20.9118,21.1252,20.8585,21.0234,2679859
2005-04-19,20.9943,20.9991,20.7955,20.9215,2068937
2005-04-20,20.873,21.0233,20.7276,20.7567,1854453
2005-04-21,21.4549,21.8088,21.1397,21.5276,3117403
2005-04-22,21.6488,21.6488,21.3191,21.4985,2527034
2005-04-25,21.5082,21.7215,21.4209,21.5906,2470166
2005-04-26,21.5955,21.6003,21.1591,21.1591,2161742
2005-04-27,21.0718,21.3385,21.033,21.2803,1942844
2005-04-28,21.1591,21.2561,20.9312,20.9943,1882950
2005-04-29,21.0427,21.0815,20.81,21.0621,2429942
2005-05-02,21.0621,21.3337,21.0621,21.2464,1871475
2005-05-03,21.2512,21.6052,21.2512,21.4306,2348990
2005-05-04,21.5664,21.6003,21.3627,21.4694,1652704
2005-05-05,21.3482,21.4694,21.1494,21.387,1541742
2005-05-06,21.4791,21.5761,21.324,21.3433,1458646
2005-05-09,21.29,21.3288,21.0912,21.3046,1451711
2005-05-10,21.1106,21.1494,20.9021,20.9749,2424899
2005-05-11,21.0912,21.3337,20.9846,21.29,2177756
2005-05-12,21.324,21.3288,21.1737,21.3094,1681201
2005-05-13,21.3094,21.3821,21.1494,21.3288,1968063
2005-05-16,21.3773,21.4161,21.2658,21.3337,1292960
2005-05-17,21.3385,21.353,21.1349,21.3288,1572761
2005-05-18,21.3337,21.4549,21.2076,21.4549,2297797
2005-05-19,21.4161,21.5906,21.3434,21.5712,1512992
2005-05-20,21.5761,21.7021,21.4694,21.673,1391943
2005-05-23,21.6343,21.7118,21.5324,21.6003,1904386
2005-05-24,21.5033,21.6343,21.3627,21.6003,1679309
2005-05-25,21.4549,21.5324,21.3433,21.4306,1597727
2005-05-26,21.5179,21.644,21.4064,21.5082,1607436
2005-05-27,21.547,21.644,21.4112,21.5858,1175567
2005-05-31,21.5082,21.5082,21.2173,21.2367,2804061
2005-06-01,21.2852,21.4064,21.2318,21.3482,1902999
2005-06-02,21.2367,21.5034,21.2367,21.4306,1808933
2005-06-03,21.3434,21.4161,21.0961,21.164,2003999
2005-06-06,21.0961,21.2561,21.0233,21.2318,2036531
2005-06-07,21.1446,21.4064,21.0912,21.1931,1555990
2005-06-08,21.2636,21.2733,20.8987,20.9571,2853489
2005-06-09,20.8646,21.0884,20.8646,21.0106,2337138
2005-06-10,20.996,21.1128,20.7576,20.8841,2405354
2005-06-13,20.8889,21.0592,20.7819,20.8695,1807798
2005-06-14,20.8792,20.8841,20.7138,20.8013,1721929
2005-06-15,20.923,21.03,20.6505,20.704,2468905
2005-06-16,20.7624,20.8889,20.704,20.8257,2509759
2005-06-17,20.923,20.923,20.6992,20.8111,2998875
2005-06-20,20.7478,20.816,20.6748,20.6943,2203605
2005-06-21,20.6943,20.7624,20.4851,20.5581,2936333
2005-06-22,20.5629,20.6456,20.4267,20.4267,2780986
2005-06-23,20.4753,20.4753,20.0374,20.0617,4671880
2005-06-24,20.0472,20.1104,19.726,19.799,4932767
2005-06-27,19.8039,20.0423,19.6433,20.0131,2775690
2005-06-28,20.3391,20.8208,20.3391,20.6213,3540824
2005-06-29,20.8208,20.8208,20.4364,20.5094,1990255
2005-06-30,20.4608,20.6554,20.3975,20.4218,2503833
2005-07-01,20.4851,20.6992,20.4607,20.5727,1510975
