date,open,high,low,close,volume
2005-01-03,21.33,21.3554,20.8498,20.9093,718100
2005-01-04,21.024,21.024,20.7138,20.7436,579600
2005-01-05,20.7436,20.7691,20.5014,20.5566,581200
2005-01-06,20.4716,20.7903,20.4674,20.7648,604300
2005-01-07,20.8413,20.99,20.7224,20.7563,465400
2005-01-10,20.8201,20.9645,20.7563,20.9433,601300
2005-01-11,20.9773,20.9773,20.7351,20.8498,432000
2005-01-12,20.9475,20.9858,20.7606,20.9263,544600
2005-01-13,20.956,21.075,20.8711,20.9263,333900
2005-01-14,21.0028,21.1388,20.8498,21.0368,337700
2005-01-18,21.0325,21.2195,20.9008,21.1812,615700
2005-01-19,21.245,21.33,21.1473,21.211,613300
2005-01-20,21.211,21.2492,21.058,21.211,495400
2005-01-21,21.211,21.2407,20.9475,20.9858,625500
2005-01-24,21.0708,21.2662,21.0155,21.2492,618500
2005-01-25,21.2492,21.2747,20.99,21.0198,355400
2005-01-26,21.0283,21.2407,21.0113,21.1897,424600
2005-01-27,21.1897,21.245,20.9985,21.1175,494300
2005-01-28,21.16,21.16,20.9475,21.16,572300
2005-01-31,21.1982,21.296,21.1345,21.296,479000
2005-02-01,21.296,21.6231,21.2025,21.5849,700800
2005-02-02,21.6274,21.6486,21.4277,21.5042,519300
2005-02-03,21.4149,21.5297,21.2662,21.4574,470700
2005-02-04,21.5551,21.5849,21.4149,21.4532,918900
2005-02-07,21.5424,21.5424,21.3979,21.4574,485700
2005-02-08,21.5424,21.6401,21.4234,21.4574,884300
2005-02-09,21.4659,21.7336,21.4659,21.6571,755400
2005-02-10,21.7124,21.7209,21.5891,21.6614,689300
2005-02-11,21.6911,21.8526,21.5127,21.7591,759400
2005-02-14,21.8653,22.0778,21.8058,21.9503,1094300
2005-02-15,22.0608,22.0608,21.8568,21.8951,727900
2005-02-16,21.8951,21.8951,21.6189,21.7931,1238600
2005-02-17,21.8526,21.8611,21.7081,21.7974,660800
2005-02-18,21.7973,21.7973,21.5891,21.6741,718400
2005-02-22,21.6741,21.6741,21.16,21.2025,1051700
2005-02-23,21.33,21.4234,21.2917,21.2917,659600
2005-02-24,21.3852,21.5084,21.3554,21.4957,754100
2005-02-25,21.5976,21.9545,21.4702,21.8101,1058600
2005-02-28,21.8568,21.9036,21.7761,21.8696,1078100
2005-03-01,21.8781,22.0735,21.8441,21.9376,697400
2005-03-02,21.9376,22.0013,21.8611,21.9418,884200
2005-03-03,21.9418,21.9631,21.6784,21.7803,865900
2005-03-04,21.946,22.0948,21.8823,22.0225,801200
2005-03-07,22.072,22.1365,22.0075,22.0677,1335000
2005-03-08,22.0677,22.072,21.8526,21.9731,578100
2005-03-09,21.9387,21.9387,21.4526,21.487,1055600
2005-03-10,21.4913,21.6504,21.3149,21.6289,635500
2005-03-11,21.6289,21.7236,21.2676,21.2934,780900
2005-03-14,21.3364,21.659,21.3364,21.659,783200
2005-03-15,21.7666,21.8053,21.487,21.5214,503800
2005-03-16,21.5515,21.6289,21.1902,21.3192,713000
2005-03-17,21.444,21.7666,21.3493,21.3837,762500
2005-03-18,21.388,21.444,21.1643,21.2246,988600
2005-03-21,21.2375,21.3235,21.1385,21.16,461900
2005-03-22,21.1644,21.1859,20.5191,20.6869,772000
2005-03-23,20.6912,20.803,20.4374,20.7084,749200
2005-03-24,20.7729,20.9235,20.7557,20.7772,1373500
2005-03-28,20.7772,20.8761,20.7299,20.7385,433100
2005-03-29,20.7557,20.7557,20.4761,20.5277,584700
2005-03-30,20.6697,20.8718,20.6266,20.8718,1721600
2005-03-31,21.0482,21.1601,20.945,21.0826,691700
2005-04-01,21.3967,21.5085,20.9579,21.1041,770100
2005-04-04,21.173,21.1902,20.9493,21.1428,528300
