date,open,high,low,close,volume
2005-01-03,14.9741,15.0091,14.8602,14.8909,1551400
2005-01-04,14.904,15.0309,14.8252,14.834,975400
2005-01-05,14.8165,14.8734,14.6239,14.6589,1091400
2005-01-06,14.707,14.7114,14.5538,14.6633,1781500
2005-01-07,14.7114,14.9215,14.5757,14.6064,1406000
2005-01-10,14.5714,14.7464,14.532,14.6545,1108200
2005-01-11,14.6633,14.7027,14.5714,14.6545,899700
2005-01-12,14.6195,14.7464,14.5582,14.7158,1119100
2005-01-13,14.6852,14.9609,14.6852,14.8471,1426600
2005-01-14,14.8602,15.1885,14.8515,15.1316,1669600
2005-01-18,15.101,15.3111,15.0616,15.2367,1691000
2005-01-19,15.2323,15.3374,15.1885,15.2104,994600
2005-01-20,15.1666,15.241,15.066,15.1885,1072700
2005-01-21,15.0353,15.0485,14.7421,14.7639,3652100
2005-01-24,14.7727,14.9522,14.6633,14.834,1354500
2005-01-25,14.8821,14.8996,14.6677,14.6983,1521700
2005-01-26,14.6195,15.3636,14.6195,15.101,2995800
2005-01-27,15.0353,15.438,15.0266,15.438,2720000
2005-01-28,15.3855,15.4905,15.2104,15.4905,1679100
2005-01-31,15.5168,15.5387,15.3461,15.4293,1849500
2005-02-01,15.4643,15.6,15.3855,15.5912,1332600
2005-02-02,15.5387,15.6043,15.4511,15.6043,1781500
2005-02-03,15.5474,15.5912,15.473,15.5912,1045800
2005-02-04,15.5912,15.7006,15.5081,15.6043,1460800
2005-02-07,15.5825,15.6,15.4468,15.4599,956600
2005-02-08,15.4997,15.566,15.4334,15.4643,2697600
2005-02-09,15.4466,15.4953,15.345,15.3494,940800
2005-02-10,15.4069,15.4201,15.2831,15.3096,812000
2005-02-11,15.314,15.3538,15.1504,15.2742,1219300
2005-02-14,15.2919,15.429,15.2786,15.3803,1841200
2005-02-15,15.4201,15.4201,15.2786,15.3184,1137000
2005-02-16,15.2742,15.2963,15.1858,15.2477,899600
2005-02-17,15.2521,15.3671,15.1681,15.2168,1093500
2005-02-18,15.2212,15.2212,14.8321,14.9117,1880100
2005-02-22,14.8675,14.8675,14.3724,14.4564,3003000
2005-02-23,14.3679,14.726,14.2574,14.3679,2215000
2005-02-24,14.4343,14.5757,14.3945,14.5713,1665900
2005-02-25,14.5713,14.8764,14.5359,14.7703,1994300
2005-02-28,14.7879,14.8896,14.6465,14.7658,1694100
2005-03-01,14.7658,14.9736,14.7305,14.9029,1887700
2005-03-02,14.9427,15.1106,14.8631,14.9913,2154600
2005-03-03,14.9913,15.0532,14.9029,15.0134,1318200
2005-03-04,15.0753,15.2079,15.062,15.1416,1359600
2005-03-07,15.2079,15.3317,15.1637,15.2786,1139500
2005-03-08,15.2521,15.3759,15.1195,15.3096,1650600
2005-03-09,15.3096,15.3317,14.8675,14.8896,2012900
2005-03-10,14.9515,15.1239,14.894,15.1239,1842100
2005-03-11,15.0664,15.2079,14.8321,14.841,1766800
2005-03-14,14.81,15.177,14.7968,15.1416,1842000
2005-03-15,15.1858,15.314,14.9869,14.9869,1626400
2005-03-16,14.9427,15.1018,14.8498,14.9515,1373800
2005-03-17,14.978,15.0753,14.8321,14.9913,1272200
2005-03-18,14.9913,15.0974,14.7747,14.841,2162500
2005-03-21,14.8542,14.9471,14.8012,14.8498,1123300
2005-03-22,14.8542,14.9338,14.5271,14.558,1875600
2005-03-23,14.558,14.5669,14.3281,14.5182,2609000
2005-03-24,14.589,14.8277,14.589,14.7614,1518600
2005-03-28,14.7835,14.9382,14.7437,14.7747,1100100
2005-03-29,14.726,14.726,14.4564,14.5138,2096000
2005-03-30,14.6111,14.9161,14.589,14.8321,2885100
2005-03-31,14.9294,15.0974,14.8763,15.0576,1463600
2005-04-01,15.1991,15.2698,14.9913,15.0885,1690600
2005-04-04,15.1151,15.1151,14.9382,15.0134,1741400
2005-04-05,15.0311,15.1902,14.9913,15.1902,1935700
2005-04-06,15.1858,15.2389,15.1195,15.1549,1077500
2005-04-07,15.1195,15.314,15.0797,15.2344,1438400
2005-04-08,15.1814,15.3273,15.1549,15.2654,1763700
2005-04-11,15.2477,15.4643,15.2477,15.4245,1249900
2005-04-12,15.3803,15.5837,15.2256,15.5174,1990300
2005-04-13,15.4732,15.5218,15.3317,15.4378,1627500
2005-04-14,15.398,15.5174,15.3361,15.3494,1798800
2005-04-15,15.3273,15.398,15.1062,15.1151,1578800
2005-04-18,15.0355,15.3096,15.0355,15.2831,1668800
2005-04-19,15.2831,15.3936,15.1814,15.3671,1508900
2005-04-20,15.3273,15.3626,15.1991,15.2831,1714400
2005-04-21,15.4732,15.5041,15.2963,15.4201,1705300
2005-04-22,15.4334,15.5262,15.3582,15.4599,1609800
2005-04-25,15.4422,15.5925,15.4245,15.5306,1327400
2005-04-26,15.5085,15.5748,15.3803,15.4245,1344400
2005-04-27,15.4068,15.7163,15.2875,15.6102,2047100
2005-04-28,15.6058,15.6854,15.429,15.4732,1388400
2005-04-29,15.4732,15.5925,15.4069,15.5704,1662600
2005-05-02,15.5748,15.7163,15.5395,15.6367,1265700
2005-05-03,15.6323,15.8489,15.5527,15.7428,2369600
2005-05-04,15.7473,15.8357,15.5527,15.6942,1930600
2005-05-05,15.6633,15.7561,15.5483,15.7031,1142300
2005-05-06,15.7075,15.7923,15.6271,15.7254,1450600
2005-05-09,15.7209,15.7745,15.4173,15.6986,2194100
