date,open,high,low,close,volume
2005-01-03,8.828,8.8732,8.6665,8.7505,2011200
2005-01-04,8.744,8.7957,8.4211,8.4276,2242500
2005-01-05,8.4922,8.5309,8.3953,8.4082,2073800
2005-01-06,8.4082,8.4599,8.0918,8.4147,1909200
2005-01-07,8.3824,8.5244,8.2855,8.292,900600
2005-01-10,8.3565,8.5309,8.2338,8.4728,2095700
2005-01-11,8.4017,8.4405,8.279,8.3824,1410300
2005-01-12,8.3759,8.6213,8.2661,8.5955,2140300
2005-01-13,8.5955,8.7505,8.5503,8.5955,2715600
2005-01-14,8.6859,8.7182,8.6019,8.6859,1461100
2005-01-18,8.7182,9.0152,8.7182,8.9248,3143500
2005-01-19,8.9377,9.0282,8.815,8.8409,1706700
2005-01-20,8.8409,8.9571,8.8409,8.9184,2056600
2005-01-21,8.9119,8.9959,8.8732,8.9184,1567600
2005-01-24,8.9507,9.0217,8.9055,8.97,1631300
2005-01-25,8.97,9.0346,8.815,8.815,1806100
2005-01-26,8.8796,8.9055,8.8215,8.8796,1371600
2005-01-27,8.8344,8.899,8.828,8.8603,1485300
2005-01-28,8.8603,8.9184,8.7698,8.9055,1769800
2005-01-31,9.0346,9.1057,9.0088,9.0734,1845500
2005-02-01,9.0734,9.28,9.0669,9.2284,3103100
2005-02-02,9.2413,9.3704,9.2219,9.3511,3052600
2005-02-03,9.3704,9.674,9.364,9.6481,3384400
2005-02-04,9.674,9.9387,9.6546,9.8096,4440600
2005-02-07,9.8419,9.8612,9.7062,9.7256,2183400
2005-02-08,9.7514,9.8806,9.7256,9.8354,1762600
2005-02-09,9.816,9.8612,9.6804,9.7579,2061500
2005-02-10,9.7579,9.9452,9.7579,9.9194,2857500
2005-02-11,9.9452,10.0873,9.9,10.0291,3757700
2005-02-14,10.0098,10.0743,9.9323,10.055,3797300
2005-02-15,10.0162,10.1841,9.9839,10.1454,3559100
2005-02-16,10.1389,10.4037,10.1066,10.365,3374800
2005-02-17,10.4618,10.7137,10.4295,10.6426,6192300
2005-02-18,10.6556,10.7783,10.5974,10.7137,3467900
2005-02-22,10.6556,10.6556,10.2681,10.3714,3448900
2005-02-23,10.3585,10.4812,10.1906,10.4747,2939500
2005-02-24,10.5135,10.6556,10.3843,10.6426,2323000
2005-02-25,10.6556,11.0043,10.6491,10.8557,3654900
2005-02-28,10.8428,10.8945,10.7201,10.8105,2733600
2005-03-01,10.8235,10.9139,10.7137,10.901,2380500
2005-03-02,10.817,11.0624,10.7137,10.972,3300100
2005-03-03,11.0366,11.0689,10.9332,11.0172,2554400
2005-03-04,11.1722,11.3659,11.127,11.3143,4918000
2005-03-07,11.4628,11.7082,11.3982,11.3982,2901500
2005-03-08,11.3013,11.3918,11.1399,11.1722,2895800
2005-03-09,11.0882,11.2497,10.6943,10.8235,4277900
2005-03-10,10.8235,10.8945,10.1712,10.662,6329900
2005-03-11,10.4618,10.8622,10.0485,10.7589,1949600
2005-03-14,10.9139,11.1722,10.817,11.1722,2809300
2005-03-15,11.1722,11.4628,11.1722,11.3918,4769700
2005-03-16,11.3982,11.508,11.2045,11.2949,3071400
2005-03-17,11.2949,11.4176,11.2045,11.3013,2079000
2005-03-18,11.3078,11.3078,10.972,11.2303,4726700
2005-03-21,11.2303,11.2949,11.043,11.1205,2131700
2005-03-22,11.1399,11.2691,10.8687,10.9462,2369700
2005-03-23,10.1712,10.5264,10.0485,10.3585,7363100
2005-03-24,10.2035,10.6749,10.0227,10.5199,2406400
2005-03-28,10.591,10.7395,10.5587,10.6943,2736400
2005-03-29,10.7137,10.8493,10.5393,10.5587,4022600
2005-03-30,10.5587,10.6491,10.3714,10.5651,3048700
2005-03-31,10.4424,10.6555,10.4166,10.5781,2654600
2005-04-01,10.6556,10.8493,10.6039,10.6749,2408800
2005-04-04,10.7137,10.7589,10.4747,10.6878,1959400
2005-04-05,10.7847,11.1593,10.7718,11.0689,2858500
2005-04-06,11.0559,11.127,10.9462,10.9849,1525000
2005-04-07,10.9785,11.0753,10.9074,11.0624,2054600
2005-04-08,11.043,11.0947,10.9332,10.9591,1432400
2005-04-11,11.0107,11.0366,10.9268,10.9526,1726300
2005-04-12,10.9462,11.282,10.8428,11.2109,1832100
2005-04-13,11.2303,11.3401,11.0495,11.2109,3158500
2005-04-14,11.2303,11.2626,10.9397,10.9784,2281100
2005-04-15,10.817,10.9397,10.5845,10.662,3419300
2005-04-18,10.591,10.7072,10.3908,10.6749,2129200
2005-04-19,10.7008,11.0689,10.6878,10.9526,1853000
2005-04-20,10.9074,10.9914,10.7201,10.7718,2154600
2005-04-21,10.888,10.9203,10.7137,10.7847,2889300
2005-04-22,10.733,10.888,10.7072,10.7137,2374400
2005-04-25,10.7201,10.8299,10.5199,10.7912,2608700
2005-04-26,10.6878,10.9591,10.6878,10.7395,1589600
2005-04-27,10.591,10.7653,10.4876,10.6749,2035600
2005-04-28,10.6878,10.7847,10.3004,10.352,3310700
2005-04-29,10.3714,10.4812,10.2875,10.3843,3095000
2005-05-02,10.4489,10.6039,10.3327,10.3908,3538000
2005-05-03,10.4941,10.5393,10.3197,10.3972,2294000
2005-05-04,10.3908,10.507,10.2035,10.3843,3040000
2005-05-05,10.4295,10.4554,9.7062,10.1906,7906800
2005-05-06,10.2745,10.4295,10.2293,10.2875,2663000
2005-05-09,10.2875,10.4747,10.2293,10.4618,3021500
2005-05-10,10.3585,10.4489,10.2229,10.2681,2127400
2005-05-11,10.281,10.281,9.7644,9.8806,6637100
2005-05-12,9.9,9.9775,9.1638,9.2929,8472100
2005-05-13,9.364,9.364,8.7376,9.1444,5970600
2005-05-16,9.1896,9.2606,8.9377,9.0669,3734800
2005-05-17,9.0411,9.1315,8.983,9.0992,3080400
2005-05-18,9.1896,9.1961,9.0152,9.0734,3129100
2005-05-19,9.0798,9.1379,9.0088,9.0734,1855100
