date,open,high,low,close,volume
2005-01-03,790.4327,799.5209,788.8782,789.5956,379590
2005-01-04,793.4224,799.9994,790.5524,792.2266,379110
2005-01-05,797.6073,812.6746,796.6507,805.3801,558800
2005-01-06,801.195,812.4356,799.9992,806.6957,408765
2005-01-07,807.7723,811.7185,804.3044,808.131,311070
2005-01-10,807.4133,811.8379,804.7825,809.5658,253345
2005-01-11,807.7718,810.0439,799.162,802.9886,326070
2005-01-12,801.1951,804.0651,790.4328,798.5643,308465
2005-01-13,797.0097,799.4014,787.0845,789.2369,291650
2005-01-14,791.6284,796.4117,789.2368,790.9109,235175
2005-01-18,790.9111,809.5658,785.6495,809.5658,303705
2005-01-19,809.5659,809.5659,800.3581,801.3148,235685
2005-01-20,801.3146,803.7062,787.4431,795.8138,328665
2005-01-21,795.3357,800.1189,789.7154,790.6721,299175
2005-01-24,791.6287,800.2386,790.1937,793.7811,237115
2005-01-25,795.8139,803.7062,793.9006,801.1951,272145
2005-01-26,804.7825,807.772,800.8363,801.793,216890
2005-01-27,798.8035,801.7931,790.1936,794.0203,233975
2005-01-28,791.0305,791.8676,783.7361,787.5626,241175
2005-01-31,793.4222,800.2384,789.7152,792.7048,253450
2005-02-01,792.2264,801.0754,789.5956,798.0859,257565
2005-02-02,800.5972,803.3475,794.8573,799.4014,239625
2005-02-03,795.814,796.4119,787.5628,792.5853,240895
2005-02-04,792.5853,808.9679,792.107,807.4134,308855
2005-02-07,805.9784,811.0008,804.1846,809.5658,201280
2005-02-08,807.7719,813.2726,807.2936,809.9244,268215
2005-02-09,819.1322,829.8946,818.4148,828.8183,494025
2005-02-10,831.6884,872.2265,829.7752,868.0412,849275
2005-02-11,865.7689,878.4444,863.3772,874.3787,484570
2005-02-14,860.9858,866.9648,841.1353,854.8871,720760
2005-02-15,849.0275,861.5836,844.3638,859.192,391875
2005-02-16,850.8217,853.8112,835.874,844.2447,358535
2005-02-17,841.853,844.0054,832.1669,833.2431,347980
2005-02-18,831.0908,832.5257,819.1326,824.2746,394585
2005-02-22,813.1532,820.3281,811.2399,811.9574,386040
2005-02-23,815.9035,825.47,815.9035,820.926,262125
2005-02-24,819.7301,822.2412,813.1531,815.4252,311145
2005-02-25,819.1323,819.1323,810.7616,817.3386,365590
2005-02-28,814.9471,814.9471,792.8246,798.8036,619230
2005-03-01,799.4013,807.2936,795.8138,795.8138,412775
2005-03-02,794.9155,794.9155,777.5436,779.4604,726195
2005-03-03,787.7271,787.7271,773.9493,778.2623,559690
2005-03-04,778.2624,782.5755,770.9543,779.9398,532405
2005-03-07,785.3307,804.4997,782.3355,788.5655,378925
2005-03-08,787.7268,805.2185,787.2476,799.5877,458005
2005-03-09,799.588,805.5783,782.9349,785.9301,376060
