date,open,high,low,close,volume
2005-09-15,25.454,25.5076,24.7711,24.7778,1529800
2005-09-16,24.7712,24.7712,24.5034,24.5034,62400
2005-09-19,24.5034,24.5703,24.4029,24.5703,1162300
2005-09-20,24.5034,24.7712,24.5034,24.5703,654900
2005-09-21,24.5034,24.5034,24.1017,24.3695,424300
2005-09-22,24.3695,24.9051,24.3695,24.9051,864800
2005-09-23,24.9051,25.5076,24.9051,25.2264,1249900
2005-09-26,25.2733,25.5411,25.2733,25.2733,821400
2005-09-27,25.2733,25.3737,24.8649,24.9385,1514000
2005-09-28,24.9318,25.0389,24.6372,24.7711,875700
2005-09-29,24.7109,24.7109,24.269,24.5034,2659200
2005-09-30,24.5034,24.5034,23.8339,23.9678,4014800
2005-10-03,23.633,24.0347,22.8765,23.2313,10007600
2005-10-04,22.7627,22.9635,22.2606,22.6957,8040300
2005-10-05,22.7627,22.8296,22.3074,22.5284,6304400
2005-10-06,22.361,22.5283,22.2338,22.3409,7552200
2005-10-07,22.2807,22.4949,22.1802,22.4949,7055200
2005-10-10,22.4949,22.4949,22.0932,22.1133,3400800
2005-10-11,22.12,22.3543,22.0798,22.0932,3675400
2005-10-12,22.0262,22.294,21.9057,21.9392,4134500
2005-10-13,21.7785,21.8923,21.7451,21.7919,3184100
2005-10-14,21.7718,21.9258,21.6781,21.6848,2487500
2005-10-17,21.6513,21.9392,21.4237,21.7451,1910400
2005-10-18,21.6246,21.7919,21.5241,21.7116,1737900
2005-10-19,21.6112,22.2003,21.5643,22.2003,1784400
2005-10-20,22.2003,22.8029,22.1601,22.4815,2789600
2005-10-21,22.6154,23.0974,22.515,22.7627,2881800
2005-10-24,23.5995,24.423,23.3853,24.2958,4013400
2005-10-25,23.6598,25.0858,23.6196,24.8917,2900400
2005-10-26,24.6707,25.2532,24.5703,24.7711,2208000
2005-10-27,24.7377,24.7712,23.9678,24.2891,2033000
2005-10-28,24.4364,24.905,24.2422,24.8381,1430200
2005-10-31,24.9118,25.1729,24.7444,24.9184,1211600
2005-11-01,24.7042,24.7444,24.4096,24.4766,1574900
2005-11-02,24.3221,24.7788,24.2953,24.7116,1201600
2005-11-03,24.6579,25.2622,24.6579,25.1279,1887900
2005-11-04,25.0675,25.1279,24.8593,24.9601,1731900
2005-11-07,24.9131,24.9601,24.725,24.8593,1658700
2005-11-08,24.6109,24.9802,24.6109,24.819,2119200
2005-11-09,24.819,25.6383,24.7788,25.4368,2152200
2005-11-10,25.3495,26.3904,25.3495,26.1352,2513200
2005-11-11,25.8532,26.1621,25.833,26.1285,1229800
2005-11-14,26.0546,26.4575,25.8599,26.4173,1160000
2005-11-15,26.1889,26.4575,25.833,26.3299,1793000
2005-11-16,26.424,26.8604,26.2494,26.7463,2568800
2005-11-17,26.9276,27.6528,26.7127,26.8604,2628100
2005-11-18,27.1626,27.4447,26.6187,26.8067,1556000
2005-11-21,26.9746,28.2035,26.9746,27.9214,2906900
2005-11-22,27.8006,28.4654,27.7267,28.3042,2368700
2005-11-23,28.3378,29.3853,28.3378,29.1906,2149100
2005-11-25,29.6136,29.7144,28.8414,29.1771,468300
2005-11-28,29.1436,29.6808,28.9421,29.4793,2377400
2005-11-29,29.3786,29.5398,28.0222,28.5728,2962200
2005-11-30,28.8078,29.0428,27.7334,28.237,2761100
2005-12-01,28.1699,29.4659,28.1296,29.0832,1833000
2005-12-02,29.0428,29.3719,28.6064,29.0294,1057900
2005-12-05,29.0227,29.345,28.8145,29.2242,1042900
2005-12-06,29.345,29.4391,29.1973,29.2846,1154900
2005-12-07,29.2712,30.0703,29.0227,29.1168,2063900
2005-12-08,29.3115,29.5801,29.0831,29.3115,1227800
2005-12-09,29.3047,29.5599,29.1167,29.3853,515400
2005-12-12,29.3786,29.3853,28.7944,28.9623,1504900
2005-12-13,28.8078,29.1234,28.5459,28.7608,1321300
2005-12-14,28.7608,28.8951,27.8811,27.8878,1701600
2005-12-15,27.8207,28.1363,27.5924,27.6595,1220600
2005-12-16,27.8274,28.4788,27.8073,28.3781,1305600
2005-12-19,28.4116,28.6265,27.6125,27.7401,676200
2005-12-20,27.6998,28.4721,27.532,27.9147,1121000
2005-12-21,27.9147,28.6064,27.5118,27.9013,1313300
2005-12-22,27.9147,28.4654,27.6663,28.1565,808300
2005-12-23,26.471,28.5795,26.471,28.1565,576000
2005-12-27,28.1363,28.2572,27.3977,27.4648,941900
2005-12-28,27.4648,27.7535,27.3976,27.5655,562800
2005-12-29,27.6327,27.6461,27.2499,27.4245,718300
2005-12-30,27.2029,27.5857,27.1693,27.5319,511700
2006-01-03,27.7334,28.3378,27.4648,28.2706,1351600
2006-01-04,28.875,29.8084,28.7944,29.157,3492100
2006-01-05,29.2376,29.8822,28.9891,29.4995,1777200
2006-01-06,29.5062,29.6808,29.1302,29.2779,2265200
2006-01-09,29.2779,30.2851,29.2779,30.2784,1310800
2006-01-10,30.0837,30.1307,29.8554,29.9897,1254200
2006-01-11,30.0367,30.0703,29.5196,29.6808,915500
2006-01-12,29.6875,29.936,29.5129,29.6539,1161500
2006-01-13,29.6136,29.7144,29.3517,29.4659,907200
2006-01-17,29.3115,29.4793,28.8548,29.2309,684400
2006-01-18,29.0764,29.4793,28.3848,28.4184,976600
2006-01-19,28.5057,28.8146,28.2236,28.6064,947100
2006-01-20,28.5392,28.5728,28.1229,28.3378,1223300
2006-01-23,28.4989,29.4793,28.4855,29.2107,1574200
2006-01-24,28.2706,29.345,27.9953,29.1973,2090500
2006-01-25,29.204,29.204,28.8347,29.016,1058600
2006-01-26,29.5129,29.7479,28.8817,29.0764,1300600
2006-01-27,28.7944,29.3383,28.0423,28.4721,2305000
2006-01-30,28.4721,28.5056,27.8677,27.9013,1937300
2006-01-31,27.8744,27.908,27.2751,27.3963,2449400
2006-02-01,27.43,29.0324,27.1337,27.7734,1414900
2006-02-02,27.807,28.7429,27.807,28.6217,1530900
2006-02-03,28.3793,28.9853,27.9888,28.6823,2156700
2006-02-06,28.6823,29.2546,28.5409,29.1738,1148500
2006-02-07,29.0728,29.4902,28.9987,29.3219,773400
2006-02-08,29.2209,29.5913,29.2209,29.497,923500
2006-02-09,29.5913,29.7865,29.4431,29.5711,514700
2006-02-10,29.4229,29.5845,29.1401,29.3354,659700
2006-02-13,29.3421,29.3489,28.8574,28.8708,712100
2006-02-14,28.8304,29.699,28.6352,29.5845,1260200
2006-02-15,29.3556,29.3623,28.79,29.1334,1072400
2006-02-16,29.1469,29.2748,28.7968,29.2411,720500
2006-02-17,29.2277,29.8,29.2277,29.6384,758500
2006-02-21,29.0459,29.8606,29.0459,29.5711,436000
2006-02-22,29.6788,30.7358,29.6788,30.6079,1485900
2006-02-23,30.0154,31.8131,30.0154,31.2543,1164800
2006-02-24,30.6685,31.2947,30.6685,31.1466,869000
2006-02-27,31.1062,31.6179,30.884,31.5101,938400
2006-02-28,30.9176,31.7525,30.5406,30.6214,1065900
2006-03-01,30.6955,31.0994,30.6551,30.8974,525800
2006-03-02,30.8167,30.8368,29.9616,30.0087,1151800
2006-03-03,29.8404,30.1568,29.4027,29.6249,1331500
2006-03-06,29.5576,29.5845,28.716,28.7968,916100
2006-03-07,28.7698,29.4701,28.7362,29.3893,1619600
2006-03-08,29.3892,29.5912,29.0795,29.1805,1085300
2006-03-09,29.2479,29.5307,28.9853,29.1738,867200
2006-03-10,29.1199,29.2007,28.8574,29.1536,911500
2006-03-13,29.1873,29.5508,29.1738,29.4903,754600
2006-03-14,29.4566,30.3857,29.4566,30.3184,1289200
2006-03-15,30.1905,30.6685,30.1366,30.5608,671400
2006-03-16,30.7022,31.059,30.6753,31.0052,844200
2006-03-17,31.1802,31.3688,30.8234,30.9042,1275700
2006-03-20,31.0119,31.0725,30.4463,30.5339,981900
2006-03-21,30.5002,30.6483,29.5441,29.5711,1028500
2006-03-22,29.5374,29.8538,29.5374,29.7932,1277300
2006-03-23,29.7932,29.9818,29.4835,29.6586,721300
2006-03-24,29.7932,29.9144,29.5441,29.7932,953200
2006-03-27,29.9077,30.0424,29.7596,29.9346,837100
2006-03-28,29.9414,29.9414,29.019,29.0392,4579900
2006-03-29,29.0863,29.2075,28.817,28.891,1331900
2006-03-30,28.891,30.2847,28.891,30.1636,2895500
2006-03-31,30.2982,30.6752,30.1299,30.3386,1603400
2006-04-03,30.6349,30.7695,30.0356,30.0693,1010700
2006-04-04,30.0289,30.3251,29.9616,30.2982,686400
2006-04-05,30.3655,30.6483,30.2309,30.3655,715700
2006-04-06,30.3655,30.3992,29.9683,30.2511,1162400
2006-04-07,30.278,30.5271,29.699,29.7596,949900
2006-04-10,29.7932,30.7089,29.7596,30.5541,1271800
2006-04-11,30.6147,30.7965,30.4329,30.5002,1102900
2006-04-12,30.5473,30.9042,30.4531,30.6685,944500
2006-04-13,30.6753,30.9042,30.5675,30.6214,559100
2006-04-17,30.7022,30.9648,30.3857,30.5204,520900
2006-04-18,30.5406,31.5707,30.4396,31.5101,985100
2006-04-19,31.6313,32.6076,31.5909,32.0824,1413300
2006-04-20,32.0286,32.1363,31.766,31.8131,1062400
2006-04-21,31.8603,32.0151,31.5573,31.7256,712600
2006-04-24,31.5438,31.9478,31.5303,31.5842,757600
2006-04-25,31.6044,32.1498,31.4765,31.7929,724700
2006-04-26,32.1498,33.126,31.8737,32.8231,1263600
2006-04-27,32.7625,33.7186,32.3114,33.6647,862100
2006-04-28,33.631,33.631,32.9914,33.0183,1001500
2006-05-01,33.025,33.3684,32.7288,32.8163,1145500
2006-05-02,32.648,32.7625,32.1565,32.3854,770700
2006-05-03,32.3652,32.6547,32.3181,32.4056,530400
2006-05-04,32.5538,32.8702,32.3854,32.5201,602200
2006-05-05,32.5133,32.8432,32.3921,32.6884,1004800
2006-05-08,32.7626,33.181,32.7626,33.154,647000
2006-05-09,33.0191,33.6534,32.5737,33.4577,756100
2006-05-10,33.397,33.5792,32.9786,33.1945,577800
2006-05-11,33.0798,33.1945,32.5062,32.6277,690800
2006-05-12,32.5939,32.6817,32.0001,32.0541,992900
2006-05-15,31.8516,32.324,31.6154,32.324,747900
2006-05-16,32.3172,32.3172,31.4467,31.9528,1075600
2006-05-17,31.6154,31.6424,30.6032,30.6572,1038900
2006-05-18,30.8394,31.0216,30.2995,30.3333,1286000
2006-05-19,30.367,30.6504,29.8811,30.2658,2382100
2006-05-22,30.2725,30.502,29.5707,29.6652,1544800
2006-05-23,29.6584,30.2185,29.591,29.8137,1134700
2006-05-24,29.7934,30.1578,29.321,29.6719,1317300
2006-05-25,29.8272,30.1916,29.4358,29.9756,1071200
2006-05-26,29.9756,30.3535,29.8271,30.0161,735000
2006-05-30,29.6922,30.3535,29.5437,30.0498,784100
2006-05-31,30.2186,30.8866,30.0971,30.8866,1360900
