date,open,high,low,close,volume
2005-01-03,13.2893,13.6953,13.2893,13.4074,2153000
2005-01-04,13.4,13.4295,13.2228,13.2302,1999800
2005-01-05,13.2376,13.2745,13.0456,13.1121,1671700
2005-01-06,13.1047,13.2819,13.1047,13.2302,1035100
2005-01-07,13.2524,13.5034,13.2524,13.4665,1088500
2005-01-10,13.496,13.8873,13.4738,13.8651,2513700
2005-01-11,13.9463,14.0128,13.6953,13.8135,1480400
2005-01-12,13.8135,13.8135,13.6215,13.6879,2257100
2005-01-13,13.6879,13.7101,13.5624,13.5846,1735400
2005-01-14,13.6215,13.7913,13.5772,13.7765,2111900
2005-01-18,13.7322,14.0497,13.7175,14.0276,2114000
2005-01-19,13.9906,14.0202,13.8356,13.9316,849800
2005-01-20,13.9168,13.9537,13.7396,13.7839,1492200
2005-01-21,13.7839,13.7839,13.6215,13.6584,802200
2005-01-24,13.6215,13.6732,13.3852,13.5034,1215200
2005-01-25,13.5403,13.6584,13.3114,13.3557,2757700
2005-01-26,13.3262,13.4738,13.2967,13.3631,1777900
2005-01-27,13.3779,13.6067,13.3705,13.4517,686100
2005-01-28,13.4296,13.5403,13.2893,13.4591,1103700
2005-01-31,13.4738,13.5403,13.2524,13.3779,1547300
2005-02-01,13.496,13.5551,13.4591,13.4665,1332000
2005-02-02,13.496,13.5108,13.2081,13.2745,1699300
2005-02-03,13.2893,13.3409,13.0973,13.1638,1013600
2005-02-04,13.1638,13.3483,13.1195,13.3114,1484500
2005-02-07,13.3409,13.4738,13.0899,13.1416,1213600
2005-02-08,13.1416,13.4148,13.1342,13.4074,2007700
2005-02-09,13.3705,13.3926,13.0087,13.053,1799300
2005-02-10,13.1047,13.1195,12.8241,12.9644,1364500
2005-02-11,12.994,13.1638,12.9718,13.053,2987300
2005-02-14,13.0825,13.2007,13.0456,13.1195,1228800
2005-02-15,13.149,13.2081,12.8758,13.0604,2317900
2005-02-16,13.0899,13.6732,13.0825,13.6067,5795400
2005-02-17,13.6584,13.7987,13.496,13.5108,2642600
2005-02-18,13.5698,13.7765,13.5698,13.7396,3539900
2005-02-22,13.6953,13.8356,13.5551,13.592,1281200
2005-02-23,13.6215,13.7101,13.4886,13.5181,905100
2005-02-24,13.4222,13.5698,13.3409,13.5477,948800
2005-02-25,13.6732,13.8208,13.5477,13.7322,1231600
2005-02-28,13.7396,13.7692,13.4591,13.5329,1246100
2005-03-01,13.6363,13.8135,13.5846,13.7839,1883900
2005-03-02,13.7544,13.7913,13.6732,13.7322,1645500
2005-03-03,13.8799,13.9094,13.7987,13.8504,1810600
2005-03-04,13.8873,13.9021,13.7765,13.8651,1446300
2005-03-07,13.8208,14.0202,13.7987,14.0054,877200
2005-03-08,14.0128,14.2343,13.9094,14.0128,3570900
2005-03-09,13.9537,13.9537,13.6363,13.6953,1873400
2005-03-10,13.6806,13.7987,13.6363,13.7692,840300
2005-03-11,13.7322,14.0571,13.651,14.0276,1345500
2005-03-14,14.0276,14.0276,13.9168,13.9537,830200
2005-03-15,13.9537,13.9537,13.6363,13.7839,2016100
2005-03-16,13.6584,13.8578,13.592,13.8208,1560500
2005-03-17,13.8282,13.8651,13.7175,13.7396,1099500
2005-03-18,13.7692,13.9094,13.7027,13.8725,826100
2005-03-21,13.9168,13.9759,13.6879,13.7175,2273400
2005-03-22,13.7322,13.7839,13.5698,13.5772,2916400
2005-03-23,13.5108,13.5181,13.2081,13.3557,2289800
2005-03-24,13.4074,13.5108,13.3779,13.3853,1315200
2005-03-28,13.4074,13.4591,13.2893,13.3188,815000
2005-03-29,13.2893,13.2967,12.7725,13.0235,2392900
2005-03-30,13.0235,13.4295,12.898,13.1564,1933800
2005-03-31,13.1638,13.6289,13.0456,13.4591,1906200
2005-04-01,13.6289,13.6732,13.341,13.4,1403300
2005-04-04,13.3631,13.4,13.0309,13.2302,1923300
2005-04-05,13.2302,13.4074,13.2302,13.2893,1025500
2005-04-06,13.4,13.4443,13.2819,13.2967,1853100
2005-04-07,13.2819,13.3779,13.2671,13.2893,1489900
2005-04-08,13.2376,13.2967,13.1711,13.2302,1346000
2005-04-11,13.2376,13.2524,13.0973,13.1268,607400
2005-04-12,13.0309,13.1711,12.8611,13.1268,1534400
2005-04-13,13.1268,13.2302,13.0456,13.1121,695300
2005-04-14,13.0752,13.1711,12.6691,12.8168,2782800
2005-04-15,12.8168,12.8168,12.4033,12.6617,2276500
2005-04-18,12.6248,12.7946,12.551,12.7355,1989700
2005-04-19,12.7429,12.8611,12.6765,12.8463,1278800
2005-04-20,12.8315,12.9201,12.4845,12.5141,3082000
2005-04-21,12.551,12.647,12.4993,12.5584,2100600
2005-04-22,12.5657,12.6396,12.5436,12.6174,2262500
2005-04-25,12.6174,12.7355,12.5362,12.6174,4306800
2005-04-26,12.6839,12.9349,12.6543,12.7355,2644100
2005-04-27,12.6986,12.9349,12.6248,12.8758,1098000
2005-04-28,12.8094,12.8611,12.5731,12.6027,710000
2005-04-29,12.6248,12.7872,12.551,12.7208,1871100
2005-05-02,12.7651,12.8906,12.4476,12.551,2168600
2005-05-03,12.551,12.7651,12.5141,12.706,1642500
2005-05-04,12.0342,12.9201,12.0342,12.6986,22487900
2005-05-05,12.7946,13.0678,12.6986,12.8611,8403700
2005-05-06,12.957,12.957,12.551,12.6839,4228400
2005-05-09,12.6396,12.6986,12.5584,12.6986,2393800
2005-05-10,12.6543,12.8832,12.5584,12.5657,4798900
2005-05-11,12.5805,12.647,12.5067,12.6027,2291700
2005-05-12,12.7725,12.7872,12.4402,12.4919,3317500
2005-05-13,12.4771,12.5805,12.1671,12.3,2966300
2005-05-16,12.3295,12.3443,12.0194,12.1523,6117000
2005-05-17,12.1523,12.3369,12.1449,12.3295,4836500
2005-05-18,12.3664,12.6543,12.359,12.6027,5411600
2005-05-19,12.6617,12.7282,12.5805,12.706,2869300
2005-05-20,12.7134,12.7872,12.647,12.6986,5417500
2005-05-23,12.7356,13.0678,12.6691,12.8758,4456100
2005-05-24,12.8758,12.9497,12.6839,12.8241,1242400
2005-05-25,12.8537,12.8537,12.7208,12.7651,1551900
2005-05-26,12.7651,12.9792,12.7577,12.957,3084900
2005-05-27,13.053,13.1785,12.957,13.1342,2327700
2005-05-31,13.1859,13.3262,13.0899,13.3188,5530300
2005-06-01,13.3262,13.3557,13.1638,13.2893,2692800
2005-06-02,13.3409,13.6584,13.2819,13.5108,4026100
2005-06-03,13.5108,13.9168,13.5108,13.7913,5897700
2005-06-06,13.7913,13.7987,13.6215,13.6879,1910300
2005-06-07,13.7175,14.0128,13.6658,13.9168,4858000
2005-06-08,13.9168,14.0349,13.5846,13.592,3373000
2005-06-09,13.592,13.6584,13.5034,13.6141,1479400
2005-06-10,13.6584,13.7692,13.5329,13.5624,1403100
2005-06-13,13.5108,13.6141,13.4738,13.5551,2856200
2005-06-14,13.6215,13.939,13.5624,13.8504,2062100
2005-06-15,13.8208,13.9021,13.651,13.8947,1830100
2005-06-16,13.8504,14.2638,13.843,14.1826,3056300
2005-06-17,14.1826,14.2121,14.0276,14.0349,1738800
2005-06-20,13.9759,14.2638,13.9759,14.1383,2985500
2005-06-21,14.1383,14.2638,14.0792,14.2269,1786000
2005-06-22,14.249,14.884,14.2417,14.7437,8866600
2005-06-23,14.8028,15.0095,14.7068,14.8766,3783000
2005-06-24,14.8028,15.0686,14.7585,15.0316,10365700
2005-06-27,15.0316,15.2088,14.8766,15.1129,4609500
2005-06-28,15.2827,15.3713,15.0833,15.3196,5355800
2005-06-29,15.3196,15.3934,15.2974,15.3565,2610500
2005-06-30,15.3565,15.6223,15.3048,15.5189,4126300
2005-07-01,15.6149,15.6149,15.2827,15.4525,3385800
2005-07-05,15.4599,15.637,15.327,15.5484,5544400
2005-07-06,15.637,15.8364,15.6001,15.7995,3949700
2005-07-07,15.7995,15.9619,15.6518,15.9324,3375700
2005-07-08,16.021,16.021,15.8585,15.9767,4723400
2005-07-11,16.1612,16.1612,15.7183,15.9102,7565900
2005-07-12,15.984,16.1243,15.9176,15.9988,3434600
2005-07-13,16.0431,16.0431,15.7256,15.7921,2664200
2005-07-14,15.8733,15.9545,15.7699,15.8142,3544600
2005-07-15,15.8364,15.8659,15.6813,15.829,1216500
2005-07-18,15.829,15.8438,15.6297,15.6813,1531700
2005-07-19,15.733,15.7625,15.6518,15.6887,1201300
2005-07-20,15.7035,16.0136,15.637,15.925,2601500
2005-07-21,15.9397,15.9397,15.674,15.6961,1582000
2005-07-22,15.674,15.8216,15.674,15.8216,1479700
