date,open,high,low,close,volume
2005-01-03,1.9961,2.0233,1.9711,1.9771,6256000
2005-01-04,1.9874,2.0026,1.9152,1.9152,7089600
2005-01-05,1.9119,1.9548,1.8652,1.8707,8131200
2005-01-06,1.8794,1.8902,1.805,1.8435,11867200
2005-01-07,1.8544,1.8652,1.8365,1.8462,5724800
2005-01-10,1.8734,1.9005,1.8517,1.8826,7092800
2005-01-11,1.8772,1.8859,1.8533,1.8582,7824000
2005-01-12,1.8652,1.8897,1.8522,1.881,5537600
2005-01-13,1.8821,1.8837,1.8527,1.8549,4811200
2005-01-14,1.8685,1.8864,1.8517,1.8815,6468800
2005-01-18,1.887,1.9168,1.8815,1.9065,5849600
2005-01-19,1.9684,2.0471,1.9521,2.007,27136000
2005-01-20,2.007,2.0363,2.0032,2.0151,13604800
2005-01-21,2.0211,2.071,2.0146,2.0417,17932800
2005-01-24,2.0227,2.0357,1.9999,1.9999,22380800
2005-01-25,2.0118,2.0482,2.0086,2.0471,18668800
2005-01-26,2.0471,2.0607,2.0314,2.0515,13550400
2005-01-27,2.0651,2.0944,2.0287,2.089,11524800
2005-01-28,2.0971,2.1036,2.0651,2.0976,6564800
2005-01-31,2.1069,2.1449,2.1052,2.1357,7256000
2005-02-01,2.1639,2.172,2.1514,2.1666,8448000
2005-02-02,2.1693,2.1834,2.1536,2.1666,11363200
2005-02-03,2.1666,2.1709,2.1525,2.1585,5654400
2005-02-04,2.1579,2.2041,2.1525,2.1948,8100800
2005-02-07,2.1916,2.2236,2.1802,2.1959,6652800
2005-02-08,2.2046,2.2513,2.2046,2.2481,14768000
2005-02-09,2.2535,2.2774,2.2204,2.2307,12270400
2005-02-10,2.2312,2.2432,2.1726,2.1992,7961600
2005-02-11,2.2014,2.2589,2.1851,2.2486,5324800
2005-02-14,2.2486,2.2524,2.2079,2.2258,9963200
2005-02-15,2.2258,2.2263,2.1829,2.2187,9321600
2005-02-16,2.1992,2.2225,2.1992,2.216,6059200
2005-02-17,2.1992,2.2155,2.1601,2.2014,11390400
2005-02-18,2.2014,2.2171,2.1791,2.2133,5316800
2005-02-22,2.2014,2.2117,2.1633,2.1639,6094400
2005-02-23,2.1666,2.172,2.1291,2.1525,5872000
2005-02-24,2.1536,2.1889,2.1389,2.1834,7344000
2005-02-25,2.1737,2.1981,2.172,2.1954,3924800
2005-02-28,2.1938,2.2073,2.1547,2.1666,5113600
2005-03-01,2.1867,2.2291,2.1867,2.2291,4830400
2005-03-02,2.1992,2.2236,2.1617,2.2084,9953600
2005-03-03,2.222,2.2263,2.1633,2.1883,5529600
2005-03-04,2.1992,2.2041,2.1313,2.1671,10272000
2005-03-07,2.1791,2.222,2.1612,2.2046,6105600
2005-03-08,2.1965,2.2198,2.1905,2.2111,4342400
2005-03-09,2.2003,2.2155,2.1845,2.1867,4060800
2005-03-10,2.1883,2.19,2.1476,2.1862,5113600
2005-03-11,2.1862,2.2057,2.1671,2.1796,5435200
2005-03-14,2.2041,2.247,2.1878,2.2318,8459200
2005-03-15,2.2323,2.2611,2.228,2.2503,7683200
2005-03-16,2.2503,2.2682,2.2084,2.2166,4860800
2005-03-17,2.2139,2.2166,2.1872,2.1981,6684800
2005-03-18,2.1954,2.1954,2.1394,2.1601,9044800
2005-03-21,2.1981,2.2144,2.1563,2.1954,9928000
2005-03-22,2.1862,2.1905,2.059,2.0818,27168000
2005-03-23,2.1193,2.1193,2.0758,2.0949,11416000
2005-03-24,2.0949,2.1106,2.0731,2.0758,6696000
2005-03-28,2.084,2.0932,2.0536,2.0661,6340800
2005-03-29,2.0704,2.0731,1.9905,1.9932,8971200
2005-03-30,2.0019,2.0204,1.9829,2.009,9673600
2005-03-31,2.0074,2.0335,1.9932,2.0128,6425600
2005-04-01,2.0182,2.0552,2.0068,2.021,6060800
2005-04-04,2.021,2.021,1.9449,1.9759,9684800
2005-04-05,2.003,2.0177,1.9873,1.9943,5364800
2005-04-06,1.9976,2.0345,1.9949,2.0248,7444800
2005-04-07,2.0296,2.059,2.0296,2.0541,7513600
2005-04-08,2.0601,2.0682,2.0253,2.0275,4644800
