date,open,high,low,close,volume
2011-11-17,16.2777,16.7909,16.2777,16.339,20946098
2011-11-18,16.3543,16.4922,15.8947,16.0862,3243171
2011-11-21,16.0862,16.2624,15.3355,15.55,2823115
2011-11-22,15.55,15.8641,15.0521,15.2436,3565519
2011-11-23,15.0904,15.1287,14.7227,15.0368,1266250
2011-11-25,14.9755,15.1823,14.9372,15.0521,333563
2011-11-28,15.213,15.5653,15.0674,15.3508,835458
2011-11-29,15.3202,15.3202,15.0904,15.3125,637062
2011-11-30,15.4351,16.4386,15.4121,15.9636,679652
2011-12-01,16.0479,16.1245,15.5883,15.9407,572521
2011-12-02,16.0479,16.4309,16.0096,16.3696,697309
2011-12-05,16.4309,16.7833,16.3926,16.676,2466885
2011-12-06,16.5764,17.0437,16.5535,16.9518,625251
2011-12-07,16.7986,16.9288,16.7143,16.8522,188017
2011-12-08,16.6377,16.8063,16.5611,16.6148,450835
2011-12-09,16.5611,16.8369,16.2777,16.6607,587791
2011-12-12,16.3926,16.5382,16.2777,16.4769,514780
2011-12-13,16.5841,16.7143,16.2471,16.3237,666529
2011-12-14,16.1475,16.2317,15.7415,15.8104,1255752
2011-12-15,16.0709,16.7603,15.9253,16.0556,850490
2011-12-16,16.0556,16.4692,15.887,16.0632,250888
2011-12-19,16.1398,16.2164,15.9024,16.0785,177757
2011-12-20,16.4156,16.6147,16.2164,16.4692,381999
2011-12-21,16.3696,16.6071,16.3083,16.3926,320440
2011-12-22,16.4156,16.7373,16.4156,16.6913,446779
2011-12-23,16.7143,17.1969,16.5688,16.8062,647203
2011-12-27,17.534,17.534,16.3773,16.5841,528618
2011-12-28,16.676,16.7143,16.1551,16.2318,172746
2011-12-29,16.2547,16.4156,16.1015,16.4079,344896
2011-12-30,16.4386,16.5765,16.1551,16.4999,152704
2012-01-03,16.9365,17.5646,16.6684,17.0361,1169498
2012-01-04,17.7944,17.7944,16.7373,17.2659,469684
2012-01-05,17.1893,17.1893,16.6684,16.9595,802293
2012-01-06,16.9595,17.488,16.8522,17.2735,690628
2012-01-09,17.3195,17.3961,17.2199,17.3961,499628
2012-01-10,17.5569,18.3842,17.5569,18.254,1131918
2012-01-11,18.231,18.3996,18.0702,18.3459,271288
2012-01-12,18.4608,19.1502,18.2693,18.9128,1208986
2012-01-13,18.7902,19.3954,18.5987,18.997,645294
2012-01-17,19.1119,19.2498,18.5911,18.66,1059145
2012-01-18,18.5451,19.1502,18.5451,18.7672,679652
2012-01-19,18.9051,19.2805,18.8362,19.2039,1141105
2012-01-20,19.1656,19.3034,19.1043,19.2268,634676
2012-01-23,19.2881,19.786,19.2115,19.5179,584093
2012-01-24,19.38,19.8167,19.2881,19.7707,486863
2012-01-25,19.7707,19.832,19.5103,19.7324,720214
2012-01-26,19.8013,20.4065,19.2805,19.878,956309
2012-01-27,20.6516,20.9887,20.0465,20.8048,3047876
2012-01-30,20.7972,21.1036,20.3529,20.7435,805514
2012-01-31,20.8891,21.0576,20.3529,20.552,660445
2012-02-01,20.7818,21.9768,20.6746,21.9002,850609
2012-02-02,21.5479,22.2449,21.3487,22.1913,682038
2012-02-03,22.3981,23.7693,22.3828,23.5548,3254862
