date,open,high,low,close,volume
2005-01-03,36.8104,36.8499,35.9843,36.0981,150900
2005-01-04,36.1574,36.3157,35.4946,35.5194,133600
2005-01-05,35.465,35.465,33.714,33.8327,429000
2005-01-06,33.8376,34.2135,33.4864,33.6348,331700
2005-01-07,33.9811,34.1443,33.6645,33.9959,248100
2005-01-10,33.7585,33.8821,33.6348,33.7733,250700
2005-01-11,33.7338,33.803,33.1897,33.1897,124200
2005-01-12,33.1402,33.2985,32.3983,32.7643,212000
2005-01-13,32.8187,33.5507,32.8187,33.0907,303900
2005-01-14,33.2886,33.4815,33.0808,33.2688,86300
2005-01-18,33.0413,33.9069,32.9572,33.9069,91600
2005-01-19,33.9563,34.2432,33.5854,33.7585,274100
2005-01-20,33.5656,33.9662,33.2886,33.6447,147400
2005-01-21,33.6942,34.1295,33.5112,33.8129,107200
2005-01-24,33.8822,34.0553,33.3826,33.4271,165700
2005-01-25,33.437,33.6249,32.8385,32.8385,204100
2005-01-26,32.8929,33.1649,32.7495,33.16,183900
2005-01-27,33.1105,33.2391,32.8731,32.8731,245300
2005-01-28,33.1402,33.2886,32.9918,33.1353,116200
2005-01-31,33.2391,33.4617,32.7544,32.9226,166200
2005-02-01,32.9918,33.249,32.9621,33.0166,187200
2005-02-02,32.9671,33.3034,32.9671,33.2886,129000
2005-02-03,33.3776,33.6151,33.254,33.3282,126100
2005-02-04,33.5359,33.8673,33.5359,33.8673,128100
2005-02-07,33.8673,34.0652,33.7783,33.8871,113100
2005-02-08,33.8871,34.1641,33.7931,34.1591,87000
2005-02-09,34.1591,34.2531,33.9811,34.0751,85100
2005-02-10,34.0751,34.268,33.9069,34.1987,109400
2005-02-11,34.1542,34.8071,33.7981,34.7972,105600
2005-02-14,34.8219,34.8615,34.4213,34.6686,173000
2005-02-15,34.6983,35.1484,34.6439,34.7923,100700
2005-02-16,34.7626,35.366,34.6241,35.0297,101000
2005-02-17,35.005,35.0099,34.4757,34.5301,79200
2005-02-18,34.5301,34.5301,34.1295,34.1542,83100
2005-02-22,34.1295,34.1295,33.0611,33.0611,104500
2005-02-23,33.2639,33.437,32.9424,32.9424,99000
2005-02-24,32.9424,33.0907,32.7297,32.9522,108900
2005-02-25,32.9522,33.6645,32.9522,33.6645,56400
2005-02-28,33.6695,33.6695,32.9819,33.1303,224400
2005-03-01,33.1798,33.8722,33.1501,33.8525,75600
2005-03-02,33.8525,33.8525,33.5211,33.6447,91000
2005-03-03,33.709,33.7684,33.437,33.6546,51300
2005-03-04,33.7783,34.4708,33.6991,34.3521,66800
2005-03-07,34.3026,34.5994,34.0701,34.1295,115200
2005-03-08,34.08,34.0899,33.8376,33.9168,76900
2005-03-09,33.8772,33.8821,33.2193,33.3133,147400
2005-03-10,33.3232,33.5607,33.0957,33.348,138900
2005-03-11,33.2639,33.3875,33.0314,33.0512,81000
2005-03-14,33.0512,33.3628,32.9869,33.3628,58400
2005-03-15,33.5607,33.902,32.9325,33.1402,75400
2005-03-16,33.0908,33.3381,32.9671,33.0413,69800
2005-03-17,33.1649,33.2045,32.9028,33.1303,57900
2005-03-18,33.2144,33.2144,32.8731,32.9424,166500
2005-03-21,33.0165,33.0264,32.5961,32.7198,38100
2005-03-22,32.794,33.0413,32.2054,32.2054,83000
2005-03-23,32.151,32.5467,31.5821,32.151,115100
2005-03-24,32.1955,32.4428,32.1064,32.2746,86900
2005-03-28,32.2004,32.4527,32.0817,32.2103,64900
2005-03-29,32.2103,32.4428,32.0669,32.1262,104200
2005-03-30,31.6565,32.3061,31.5566,32.1562,482300
2005-03-31,32.2162,32.3011,31.9363,32.1712,153000
2005-04-01,32.481,32.5859,31.5366,31.7364,219800
2005-04-04,31.6565,31.6565,31.0269,31.4166,265000
2005-04-05,31.5066,31.7065,31.3716,31.4216,148100
2005-04-06,31.5316,31.9763,31.5316,31.9763,84000
2005-04-07,31.9763,32.3911,31.8963,32.1812,106700
2005-04-08,32.2811,32.2811,32.0063,32.0513,128000
2005-04-11,32.7808,32.7808,32.2361,32.411,248000
2005-04-12,32.411,32.9058,32.1812,32.8058,145000
2005-04-13,32.7309,33.0307,32.481,32.6009,194300
2005-04-14,32.531,32.8008,32.4061,32.536,283800
2005-04-15,32.561,32.7259,32.436,32.5909,308800
2005-04-18,32.7159,32.9258,32.531,32.8458,199800
2005-04-19,32.8808,33.1506,32.8258,33.1506,67000
2005-04-20,33.0257,33.3705,32.9807,33.2705,136600
2005-04-21,33.3705,33.4554,32.9457,33.3555,84900
2005-04-22,33.3555,33.4954,33.0107,33.3555,96100
2005-04-25,33.3555,34.0051,33.3055,34.0051,123700
2005-04-26,33.9801,34.0751,33.8302,33.9801,129700
2005-04-27,33.9052,34.3399,33.6453,34.3399,121900
2005-04-28,34.28,34.3099,33.9801,34.0801,72200
2005-04-29,33.9801,34.4099,33.8052,34.3899,130200
2005-05-02,34.4149,34.5148,33.7952,34.17,89700
2005-05-03,34.23,34.4299,34.0551,34.3549,107400
2005-05-04,34.23,34.9046,34.13,34.7797,93500
2005-05-05,34.7797,35.2994,34.6647,35.2294,168000
2005-05-06,35.0045,35.3144,34.7297,34.7947,94600
2005-05-09,35.3293,36.5037,35.0295,36.0539,334200
2005-05-10,35.929,36.0439,35.6292,35.884,119800
2005-05-11,35.834,36.1039,35.7041,35.929,111100
2005-05-12,35.954,35.979,35.1544,35.2044,139500
2005-05-13,35.2544,35.3493,34.6248,34.7147,189200
2005-05-16,34.6048,35.0795,34.6048,34.9246,113500
2005-05-17,34.7997,35.2194,34.7297,35.1445,108400
2005-05-18,35.2694,35.869,35.2694,35.8241,180700
2005-05-19,35.904,36.2938,35.884,36.2538,128400
2005-05-20,36.1289,36.1838,35.879,36.1039,100500
2005-05-23,36.0989,36.0989,35.6292,35.7791,192000
2005-05-24,35.6542,35.929,35.4843,35.829,194800
2005-05-25,35.7791,35.7991,35.1794,35.2544,120700
2005-05-26,35.3044,35.5592,34.3299,34.4848,202500
2005-05-27,34.6048,34.8846,34.5798,34.6797,119000
2005-05-31,34.7297,34.9546,34.6297,34.6297,150900
2005-06-01,34.6447,35.2194,34.6447,35.1145,98600
2005-06-02,35.0545,35.5642,35.0245,35.3943,105800
2005-06-03,35.3543,35.7591,35.3193,35.4693,78200
2005-06-06,35.4693,35.879,35.4643,35.5442,152000
2005-06-07,35.7291,35.979,35.5492,35.5692,102000
2005-06-08,35.6591,36.0289,35.6591,35.964,120600
2005-06-09,35.904,36.1289,35.6691,36.1289,162400
2005-06-10,36.0789,36.2288,35.994,36.1739,88100
2005-06-13,36.1089,36.3088,35.994,36.3038,132500
2005-06-14,36.2288,36.4937,36.1738,36.4787,96700
2005-06-15,36.5586,37.0134,36.3587,36.9134,164800
2005-06-16,36.9084,37.1882,36.6336,36.8784,134800
2005-06-17,37.0283,37.623,37.0283,37.618,160000
2005-06-20,37.5281,37.688,37.2282,37.3782,106200
2005-06-21,37.4781,37.4981,37.1033,37.1683,56000
2005-06-22,37.2932,37.4281,36.7935,36.9084,48200
2005-06-23,36.9084,37.1783,36.6885,36.6985,82300
2005-06-24,36.6286,36.9284,36.5186,36.9284,134000
2005-06-27,36.8784,37.0384,36.6786,37.0034,71400
2005-06-28,37.0283,37.0983,36.7885,37.0633,110800
2005-06-29,37.1188,37.1793,36.8364,36.9927,91600
2005-06-30,37.0684,37.139,36.68,37.0432,83000
2005-07-01,37.0684,37.1188,36.8263,37.0179,79600
2005-07-05,36.9171,37.8551,36.8969,37.6484,105400
2005-07-06,37.6231,37.7139,37.3659,37.371,60200
2005-07-07,37.1692,37.8047,37.0482,37.7997,69200
2005-07-08,37.7593,38.5309,37.6988,38.3292,126800
2005-07-11,38.3796,39.5093,38.3796,39.4135,77000
2005-07-12,39.3782,39.6808,39.0958,39.4387,61200
2005-07-13,39.4438,39.4438,39.121,39.2269,227400
2005-07-14,39.3379,39.3379,38.7175,38.7579,192100
2005-07-15,38.5814,39.126,38.536,39.0857,82800
2005-07-18,39.0201,39.2874,38.7024,39.1967,123600
2005-07-19,39.2622,39.8422,39.2622,39.8422,94600
2005-07-20,39.7917,40.4726,39.6404,40.4575,322500
2005-07-21,40.3919,40.4726,39.5648,39.6152,85800
2005-07-22,39.5648,40.3516,39.5648,40.3465,83300
2005-07-25,40.3465,40.5987,39.8472,40.0338,218900
2005-07-26,39.9935,40.5987,39.9784,40.523,68800
2005-07-27,40.5735,40.639,40.3213,40.523,144500
2005-07-28,40.5735,41.098,40.4978,40.75,74100
2005-07-29,40.7601,40.9517,40.4928,40.5735,83200
2005-08-01,40.5735,40.7248,40.3465,40.523,122100
2005-08-02,40.4726,40.8357,40.291,40.8307,131100
2005-08-03,40.8004,40.8004,40.3011,40.6592,160400
2005-08-04,40.5331,40.7449,39.9683,40.0439,232400
2005-08-05,39.8321,39.8321,38.5309,38.8335,214800
2005-08-08,38.3292,38.4553,37.5929,37.7997,343100
2005-08-09,37.9257,38.1376,37.3205,37.6484,314600
2005-08-10,37.9257,38.9344,37.835,38.4099,348200
2005-08-11,38.9344,40.4423,38.9243,40.3969,311800
2005-08-12,40.1952,40.3516,39.817,40.0439,118500
2005-08-15,39.9935,40.7298,39.7968,40.2457,82000
2005-08-16,40.1448,40.5936,40.1448,40.2961,72800
2005-08-17,40.2456,40.2709,39.8624,40.0439,75600
2005-08-18,40.0338,40.0338,39.5345,39.7212,122800
2005-08-19,39.6405,39.7716,39.5648,39.7262,67400
2005-08-22,39.7665,39.9178,39.5547,39.8422,100700
2005-08-23,39.8422,40.1801,39.7716,40.0944,69100
2005-08-24,39.9935,40.9416,39.9683,40.17,74600
2005-08-25,40.1952,40.513,40.0691,40.2961,49900
2005-08-26,40.3062,40.397,40.049,40.2457,97600
2005-08-29,40.1196,40.3768,39.9885,40.2457,72700
2005-08-30,40.1952,40.5735,40.1448,40.5483,81800
2005-08-31,40.5987,41.335,40.4726,41.33,89200
2005-09-01,41.33,42.4647,41.2594,42.0108,129800
2005-09-02,41.9604,42.4092,41.8595,42.0915,149600
2005-09-06,42.2125,43.2363,42.1621,43.2212,146000
2005-09-07,43.1203,43.2767,42.843,42.9943,131700
2005-09-08,42.8682,43.0699,42.5152,42.7169,85200
2005-09-09,42.7219,42.8682,42.5253,42.8632,36500
2005-09-12,42.7421,43.2969,42.7068,43.0598,47700
2005-09-13,42.9691,43.1506,42.8934,42.9489,81800
2005-09-14,42.9489,43.0144,42.6866,42.7673,66300
2005-09-15,42.7623,43.0649,42.495,42.616,122700
2005-09-16,42.7673,42.959,42.4899,42.8178,162400
2005-09-19,42.6917,42.8682,42.5152,42.5252,67100
2005-09-20,41.8595,42.0865,41.8545,41.9352,280400
2005-09-21,42.036,42.036,41.2039,41.6376,238300
2005-09-22,41.5569,41.7133,40.8105,41.683,196500
2005-09-23,41.6074,41.6074,41.1333,41.3502,154300
2005-09-26,41.456,41.7587,41.3501,41.4056,102900
2005-09-27,41.3401,41.451,40.9618,41.3552,221700
2005-09-28,41.4309,41.4561,41.0072,41.1787,126100
2005-09-29,41.1939,42.0382,40.8634,42.0331,110900
2005-09-30,42.0585,42.2212,41.8907,42.0534,183000
2005-10-03,41.9822,42.4908,41.9364,42.4653,131900
2005-10-04,42.5671,42.5671,41.5397,41.6262,101400
2005-10-05,41.4991,41.5449,40.8532,41.0159,137900
2005-10-06,40.9651,41.0414,40.4057,40.8379,126900
2005-10-07,40.7871,40.9651,40.1412,40.5379,129900
2005-10-10,40.4819,40.5175,40.0242,40.1717,155900
2005-10-11,40.2785,40.4769,39.9225,40.0344,95000
2005-10-12,39.9073,39.9988,39.058,39.3885,172500
2005-10-13,39.2868,39.3122,38.6613,39.2563,157400
2005-10-14,39.5919,40.2836,39.3783,40.2785,104100
2005-10-17,40.2785,40.665,39.8717,40.5582,114300
2005-10-18,40.4311,40.5633,40.0293,40.0344,105900
2005-10-19,39.9073,41.0363,39.6733,40.9905,94400
2005-10-20,40.8888,41.1939,40.2887,40.5582,156000
2005-10-21,40.6345,41.2346,40.5837,40.9295,138100
2005-10-24,41.0566,41.5398,41.0566,41.4482,120800
2005-10-25,41.3211,41.3465,40.6599,41.0922,105500
2005-10-26,40.6854,40.9956,40.2531,40.4616,92600
2005-10-27,40.3345,40.4769,40.0293,40.0344,96800
2005-10-28,40.1615,41.2499,40.1615,41.0922,119000
2005-10-31,41.1685,41.9313,41.0871,41.1176,140700
2005-11-01,40.6599,40.9346,39.9225,40.6345,189600
2005-11-02,40.5684,40.9142,40.309,40.904,152900
2005-11-03,41.0312,41.6364,40.8888,40.9905,115400
2005-11-04,40.9549,41.0617,40.487,40.8837,62400
2005-11-07,41.0109,41.194,40.7362,41.0872,94000
2005-11-08,40.8888,40.9651,40.5582,40.6803,145500
2005-11-09,40.6091,41.5042,40.6091,41.0872,157900
2005-11-10,41.1126,41.8805,41.0464,41.794,227000
2005-11-11,41.7432,42.1704,41.611,42.0585,51000
2005-11-14,42.1144,42.1856,41.4991,41.7177,56500
2005-11-15,41.7025,42.328,41.5245,42.1856,172000
2005-11-16,42.2365,42.2467,41.5652,41.9059,77600
2005-11-17,41.9822,42.7858,41.7534,42.6179,67000
2005-11-18,42.8214,42.8214,42.3484,42.6383,66000
2005-11-21,42.5417,42.8061,41.9161,42.6993,84700
2005-11-22,42.5925,42.8926,42.2619,42.7807,140300
2005-11-23,42.6535,43.1773,42.4959,43.1214,111000
2005-11-25,43.1519,43.2282,42.8366,43.1774,29500
2005-11-28,43.2028,43.2028,42.5925,42.6128,78000
2005-11-29,42.6942,42.9739,42.6586,42.8722,58100
2005-11-30,42.9078,42.9993,42.5721,42.7196,210000
2005-12-01,42.9739,43.1214,42.7756,43.101,132500
2005-12-02,43.1265,43.1265,42.4908,42.8112,140500
2005-12-05,42.7552,42.7603,42.0127,42.2212,90800
