date,open,high,low,close,volume
2014-05-02,11.0719,11.4379,10.9804,11.3464,7698200
2014-05-05,11.2488,11.6514,11.1634,11.3464,611400
2014-05-06,11.2854,11.3769,11.2244,11.2732,398400
2014-05-07,11.2671,11.3061,10.59,10.8157,748800
2014-05-08,10.7364,11.2549,10.7364,10.8279,244300
2014-05-09,10.834,10.9011,10.6144,10.7303,446000
2014-05-12,10.773,10.8706,10.2545,10.4985,899700
2014-05-13,10.4985,10.5778,10.1752,10.4924,452800
2014-05-14,10.4009,10.6022,10.3094,10.4619,448900
2014-05-15,10.4009,10.9438,10.3704,10.6998,267800
2014-05-16,10.6754,10.9011,10.6754,10.7486,100000
2014-05-19,10.8218,11.1024,10.7364,10.8828,333800
2014-05-20,10.8645,10.9804,10.6144,10.9438,119000
2014-05-21,10.9194,11.0536,10.7913,10.9194,663000
2014-05-22,10.9926,11.0536,10.8681,10.9804,162800
2014-05-23,11.0414,11.0841,10.834,11.0841,73600
2014-05-27,11.1573,11.2549,10.956,11.1634,284400
2014-05-28,11.2549,11.4379,11.1719,11.4013,145200
2014-05-29,11.3769,11.505,11.1878,11.4684,300000
2014-05-30,11.4989,11.6514,11.3464,11.5904,417900
2014-06-02,11.6514,11.6514,11.3403,11.4928,60500
2014-06-03,11.4745,11.5843,11.4044,11.4135,93900
2014-06-04,11.4989,11.5843,11.2915,11.4684,337100
2014-06-05,11.5172,11.5782,11.0231,11.2366,173900
2014-06-06,11.1695,11.2427,11.0414,11.2244,63900
2014-06-09,11.2244,11.4074,11.1268,11.4074,52800
2014-06-10,11.3769,11.5398,11.2732,11.3281,160000
2014-06-11,11.566,11.566,11.2793,11.444,173800
2014-06-12,11.3647,11.4623,11.2366,11.3647,58400
2014-06-13,11.3403,11.5294,11.1939,11.2,52200
2014-06-16,11.2488,11.4684,11.1939,11.3464,114200
2014-06-17,11.3464,11.4471,11.1024,11.2549,263500
2014-06-18,11.3403,11.4623,11.2549,11.3464,273100
2014-06-19,11.2,11.4501,11.2,11.3738,241500
2014-06-20,11.3769,11.4379,11.2671,11.3769,227700
2014-06-23,11.3769,11.4989,11.2915,11.4623,85200
2014-06-24,11.3952,11.505,11.3769,11.4147,64900
2014-06-25,11.3647,11.4379,11.2866,11.3891,51700
2014-06-26,11.3708,11.4074,11.3098,11.3586,31100
2014-06-27,11.4074,11.505,11.261,11.505,29800
2014-06-30,11.505,11.7063,11.2976,11.7002,81200
2014-07-01,11.505,11.6453,11.4379,11.4989,59100
2014-07-02,11.4074,11.5825,11.3769,11.4623,26000
2014-07-03,11.5233,11.5904,11.3769,11.5599,18500
2014-07-07,11.5904,11.6087,11.4379,11.5721,47200
2014-07-08,11.505,11.7429,11.3281,11.7429,95500
2014-07-09,11.7185,11.8954,11.4379,11.7124,109600
2014-07-10,11.5965,11.7063,11.4135,11.7063,33100
2014-07-11,11.4989,11.7124,11.4989,11.5965,51000
2014-07-14,11.5416,11.6819,11.5355,11.6819,19600
2014-07-15,11.7002,11.7307,11.5434,11.6819,97300
2014-07-16,11.7124,11.7734,11.5355,11.6392,34100
2014-07-17,11.7551,11.7734,11.6026,11.6026,31700
2014-07-18,11.5904,11.8161,11.5904,11.7063,53300
2014-07-21,11.7338,11.8954,11.6514,11.8954,27700
2014-07-22,11.7185,12.0052,11.7185,11.9686,82000
2014-07-23,11.9686,12.0479,11.7917,12.0052,34800
2014-07-24,12.0052,12.4932,11.9137,12.1089,415000
2014-07-25,12.0479,12.1394,11.7124,12.1089,54900
2014-07-28,12.0296,12.2309,11.8527,11.8527,82200
2014-07-29,11.8344,12.1089,11.8344,12.1089,49100
2014-07-30,12.0967,12.1089,11.8954,11.932,419100
2014-07-31,11.8832,11.8832,11.7612,11.8527,60100
2014-08-01,11.8344,11.9625,11.7124,11.7124,96100
2014-08-04,11.6514,11.7246,11.2,11.4135,69700
2014-08-05,11.4379,11.5904,11.3952,11.4013,54200
2014-08-06,11.3464,11.3879,10.7608,10.8706,80900
2014-08-07,10.9316,11.1512,10.8523,10.8523,75300
2014-08-08,10.9621,11.0658,10.5534,10.7242,58000
2014-08-11,10.7913,11.0414,10.7303,10.9499,84300
2014-08-12,10.8889,11.1817,10.8401,10.9743,72700
2014-08-13,10.9743,11.1634,10.9743,11.0963,80100
2014-08-14,10.9804,11.078,10.9438,10.9499,51800
2014-08-15,11.2122,11.2549,10.9804,11.017,169600
2014-08-18,11.0475,11.1512,10.7181,10.8523,49800
2014-08-19,10.8279,10.9316,10.7303,10.8584,34000
2014-08-20,10.8096,10.9804,10.7669,10.9438,132800
2014-08-21,10.9068,10.9715,10.7897,10.9438,27900
2014-08-22,10.9006,10.9684,10.8452,10.9499,16700
2014-08-25,11.1533,11.369,10.9376,11.1225,85300
2014-08-26,11.1595,11.2642,10.913,11.0855,40700
2014-08-27,11.1163,11.1163,10.8021,11.0732,24500
2014-08-28,11.0177,11.0609,10.6418,10.9992,216000
2014-08-29,10.9561,11.0547,10.7836,11.0177,34700
2014-09-02,11.1964,11.295,11.0424,11.1595,75800
2014-09-03,11.2149,11.2149,10.9499,11.1397,34700
2014-09-04,11.1656,11.1656,10.7959,10.8452,36800
2014-09-05,10.8637,11.2088,10.8637,11.1471,38400
2014-09-08,11.1903,11.3012,11.104,11.104,58700
2014-09-09,11.0855,11.1779,10.876,10.9376,34000
2014-09-10,10.9808,11.2519,10.9684,11.0547,28600
2014-09-11,11.0054,11.141,10.8698,11.0301,25200
2014-09-12,11.0116,11.0917,10.8452,10.9438,53500
2014-09-15,10.9795,11.0301,10.8637,10.9561,39000
2014-09-16,10.8267,10.9808,10.7836,10.8729,41400
2014-09-17,10.8452,10.9438,10.6665,10.9068,82700
2014-09-18,10.9068,10.9191,10.6357,10.9068,44000
2014-09-19,10.9068,11.0609,10.9068,11.0547,25100
2014-09-22,11.0917,11.1779,10.8575,10.9068,39800
2014-09-23,10.8021,11.0239,10.7096,10.8822,36800
2014-09-24,10.8871,11.0177,10.6788,10.9684,59800
2014-09-25,10.9623,11.0239,10.7897,10.9438,37200
2014-09-26,10.9808,10.9808,10.7897,10.8945,20300
2014-09-29,10.8933,11.0917,10.8933,10.913,35200
2014-09-30,10.9191,10.9191,10.7836,10.7836,22100
2014-10-01,10.7343,10.7343,10.5186,10.6727,45600
2014-10-02,10.7712,10.8144,10.5371,10.6172,38300
2014-10-03,10.6911,10.9684,10.6911,10.8267,28300
2014-10-06,11.0917,11.0917,10.8205,10.8822,25000
