date,open,high,low,close,volume
2009-08-06,1.1623,1.1912,1.0961,1.1398,241978000
2009-08-07,1.1377,1.1806,1.1292,1.1574,24543000
2009-08-10,1.1715,1.1715,1.0996,1.125,24210000
2009-08-11,1.1257,1.1271,1.0919,1.1038,23054000
2009-08-12,1.1377,1.1412,1.1031,1.1271,14513000
2009-08-13,1.1271,1.1778,1.1271,1.1658,11506000
2009-08-14,1.1623,1.1975,1.1447,1.1694,6378000
2009-08-17,1.1461,1.1532,1.1412,1.1426,2544000
2009-08-18,1.1609,1.2116,1.1518,1.2025,14467000
2009-08-19,1.1863,1.2638,1.1834,1.2602,20708000
2009-08-20,1.2645,1.2645,1.218,1.2511,18821000
2009-08-21,1.2532,1.2659,1.2384,1.2553,8636000
2009-08-24,1.2342,1.2574,1.2187,1.2328,10216000
2009-08-25,1.2433,1.2609,1.2363,1.2574,5308000
2009-08-26,1.2461,1.2574,1.2081,1.2574,7086000
2009-08-27,1.2574,1.2828,1.2363,1.2793,11611000
2009-08-28,1.275,1.3384,1.268,1.3011,12950000
2009-08-31,1.2926,1.2962,1.2546,1.2821,10048000
2009-09-01,1.2856,1.299,1.1933,1.2574,13835000
2009-09-02,1.2511,1.2856,1.2314,1.2454,12934000
2009-09-03,1.2659,1.2659,1.1975,1.2292,36577000
2009-09-04,1.2504,1.268,1.2321,1.2511,11586000
2009-09-08,1.2511,1.2631,1.2292,1.2468,5749000
2009-09-09,1.2574,1.2574,1.213,1.2159,5512000
2009-09-10,1.1982,1.2299,1.194,1.2011,4152000
2009-09-11,1.1975,1.2208,1.1651,1.1891,6203000
2009-09-14,1.1722,1.1905,1.1489,1.1729,16145000
2009-09-15,1.2151,1.2222,1.1715,1.2102,19869000
2009-09-16,1.2257,1.2504,1.2053,1.2384,20211000
2009-09-17,1.244,1.2609,1.1644,1.1722,14464000
2009-09-18,1.1672,1.1989,1.1398,1.1412,8999000
2009-09-21,1.1468,1.1715,1.1179,1.1701,5530000
2009-09-22,1.1947,1.2236,1.1849,1.2151,11141000
2009-09-23,1.2412,1.2532,1.2187,1.2257,5303000
2009-09-24,1.2208,1.2574,1.1799,1.2321,7788000
2009-09-25,1.2314,1.2314,1.2046,1.2067,4685000
2009-09-28,1.2201,1.2574,1.1997,1.2433,2336000
2009-09-29,1.2363,1.2567,1.194,1.1997,3567000
2009-09-30,1.1975,1.2208,1.1947,1.2025,5126000
2009-10-01,1.1975,1.2039,1.1419,1.1489,6605000
2009-10-02,1.1412,1.1525,1.1201,1.1334,6296000
2009-10-05,1.1341,1.1644,1.1271,1.1616,1889000
2009-10-06,1.1792,1.2116,1.1581,1.1602,4694000
2009-10-07,1.1672,1.1701,1.1215,1.1363,2917000
2009-10-08,1.1348,1.1398,1.1229,1.1278,5573000
2009-10-09,1.1257,1.1588,1.1229,1.1447,8705000
2009-10-12,1.1426,1.1588,1.1299,1.151,12888000
2009-10-13,1.1405,1.1743,1.1377,1.1644,5573000
2009-10-14,1.1863,1.1975,1.1651,1.1877,6955000
2009-10-15,1.2257,1.2645,1.2046,1.2088,20920000
2009-10-16,1.2137,1.2137,1.1419,1.1574,12638000
2009-10-19,1.1595,1.1722,1.1313,1.144,21429000
2009-10-20,1.151,1.1785,1.1461,1.1644,4890000
2009-10-21,1.1532,1.1912,1.1348,1.1616,2338000
2009-10-22,1.1503,1.1503,1.0996,1.1468,9834000
2009-10-23,1.1363,1.156,1.1215,1.1306,11341000
2009-10-26,1.1208,1.1355,1.1137,1.1158,1624000
2009-10-27,1.1236,1.1264,1.075,1.0884,3288000
2009-10-28,1.0919,1.0919,1.0489,1.0517,6220000
2009-10-29,1.0531,1.0707,1.0369,1.0595,11833000
2009-10-30,1.0637,1.07,1.0475,1.0567,2781000
2009-11-02,1.0637,1.0637,1.0369,1.0475,2766000
2009-11-03,1.0341,1.044,1.0172,1.0207,3637000
2009-11-04,1.0285,1.0743,1.0095,1.0412,8053000
2009-11-05,1.0581,1.1088,1.0461,1.0792,2741000
2009-11-06,1.0792,1.1053,1.0475,1.0771,2575000
2009-11-09,1.075,1.1088,1.063,1.1031,2529000
2009-11-10,1.1053,1.1053,1.0693,1.0884,1468000
2009-11-11,1.094,1.094,1.0651,1.082,1535000
2009-11-12,1.0848,1.1236,1.0848,1.0989,1300000
2009-11-13,1.0996,1.1095,1.0855,1.0975,621000
2009-11-16,1.101,1.1419,1.094,1.1278,1556000
2009-11-17,1.1151,1.1405,1.0975,1.132,985000
2009-11-18,1.1377,1.1377,1.1137,1.1292,1155000
2009-11-19,1.1158,1.1193,1.0743,1.0968,1166000
