date,open,high,low,close,volume
2005-01-03,36.3569,36.5689,35.843,35.9137,5251571
2005-01-04,35.9137,35.9651,35.2392,35.3741,4642294
2005-01-05,35.4385,35.4514,34.9943,35.0458,4681481
2005-01-06,34.9814,35.0973,34.6338,34.8656,4947675
2005-01-07,34.9428,34.9814,34.4664,34.6081,4426254
2005-01-10,34.5437,34.8656,34.518,34.6789,4945619
2005-01-11,34.5501,34.5694,34.2862,34.357,5982406
2005-01-12,34.3827,34.4471,34.0222,34.2797,7552839
2005-01-13,34.2797,34.6789,34.0222,34.0416,5291443
2005-01-14,34.1188,34.209,33.9193,33.9386,4286645
2005-01-18,33.8291,34.2476,33.8162,34.2154,6187821
2005-01-19,34.1188,34.4214,34.0931,34.1574,4532960
2005-01-20,33.8613,34.0544,33.6746,33.7326,5629498
2005-01-21,33.7133,33.8613,33.3528,33.43,5148749
2005-01-24,33.5072,34.1059,33.2111,33.8613,8676797
2005-01-25,33.8678,34.5823,33.8678,34.4021,7493431
2005-01-26,33.8742,34.4664,33.8742,34.1832,3670970
2005-01-27,33.9707,34.2733,33.8356,33.9772,4248029
2005-01-28,34.0544,34.0866,33.6489,33.9901,4988118
2005-01-31,34.2991,34.5115,34.2283,34.3441,4856392
2005-02-01,35.8441,37.3569,35.5672,36.5329,31280133
2005-02-02,36.1144,36.3076,35.7539,35.902,10666629
2005-02-03,35.7282,35.8569,35.5286,35.6702,8638638
2005-02-04,35.6316,36.0501,35.6252,35.9342,4301725
2005-02-07,35.7604,35.8827,35.6123,35.7668,3870102
2005-02-08,35.5995,35.6445,35.4192,35.4514,4640009
2005-02-09,35.4514,35.7346,35.181,35.2582,5436193
2005-02-10,35.4385,35.6316,35.0072,35.4771,4662630
2005-02-11,35.4771,35.7475,35.3226,35.5286,5492174
2005-02-14,35.4771,35.5093,35.0201,35.1488,4615903
2005-02-15,35.181,35.2711,35.0265,35.0844,5150006
2005-02-16,35.0201,35.284,34.872,35.1617,5774706
2005-02-17,35.181,35.3612,35.0844,35.0844,4939564
2005-02-18,35.0201,35.0265,34.8012,34.8462,5961956
2005-02-22,34.7819,34.9943,34.5566,34.6209,5808637
2005-02-23,34.6209,34.8527,34.5759,34.7561,4664001
2005-02-24,34.7111,35.1038,34.666,34.9879,5037359
2005-02-25,34.9235,35.2454,34.9042,35.1359,3289386
2005-02-28,35.0201,35.2261,34.7304,34.8591,4793671
2005-03-01,34.7304,35.284,34.711,35.181,5004913
2005-03-02,34.9235,35.5415,34.8591,35.2132,5390038
2005-03-03,35.2969,35.4964,35.1488,35.2196,4055981
2005-03-04,35.4707,35.6896,35.3548,35.3741,4523592
