date,open,high,low,close,volume
2005-01-03,91.31,92.82,90.62,90.75,1005700
2005-01-04,91.0,91.5,89.7,89.7,656100
2005-01-05,89.5,90.77,88.85,90.29,819700
2005-01-06,90.2,90.55,89.5,89.55,482700
2005-01-07,89.73,90.5,89.55,89.73,429100
2005-01-10,89.78,91.13,89.73,90.74,793300
2005-01-11,90.74,90.8,89.63,90.41,448000
2005-01-12,90.31,90.7,90.08,90.41,644300
2005-01-13,90.52,91.03,90.17,90.41,900100
2005-01-14,90.42,90.74,90.23,90.69,538900
2005-01-18,90.69,91.38,90.15,91.25,663500
2005-01-19,91.3,91.44,90.99,91.17,540000
2005-01-20,89.6,90.71,89.4,90.27,1175600
2005-01-21,90.27,91.18,89.91,90.03,631800
2005-01-24,89.98,90.2,88.9,89.05,731100
2005-01-25,89.22,89.97,89.01,89.62,408100
2005-01-26,89.65,90.0,89.12,89.93,625800
2005-01-27,89.94,90.27,89.24,89.7,383600
2005-01-28,89.82,89.91,88.01,88.55,613300
2005-01-31,88.75,89.43,88.52,89.25,694400
2005-02-01,89.35,90.13,88.96,89.75,1022100
2005-02-02,89.51,91.79,89.51,91.6,1071600
2005-02-03,91.49,93.71,91.49,93.35,1068800
2005-02-04,93.45,96.06,93.15,95.95,1098000
2005-02-07,95.96,96.25,95.18,95.28,294700
2005-02-08,94.95,95.41,94.49,95.02,409800
2005-02-09,95.02,95.25,93.84,93.88,276400
2005-02-10,94.0,94.56,93.65,94.5,251500
2005-02-11,94.5,95.32,94.03,94.93,336600
2005-02-14,94.7,95.21,94.18,95.0,251800
2005-02-15,95.01,95.9,94.77,95.14,355200
2005-02-16,95.22,95.67,94.54,95.08,387500
2005-02-17,96.4,97.97,95.88,95.94,1003200
2005-02-18,96.15,96.15,94.85,94.99,610400
2005-02-22,94.99,94.99,92.9,93.06,544700
2005-02-23,93.3,94.58,93.1,94.46,483300
2005-02-24,94.45,95.76,93.01,95.76,693300
2005-02-25,95.76,97.09,95.76,96.89,583400
2005-02-28,96.85,97.0,95.72,96.9,677700
2005-03-01,96.94,97.5,96.9,97.33,769800
2005-03-02,95.8,99.9,95.72,98.33,1999900
2005-03-03,98.33,98.85,98.05,98.37,735000
2005-03-04,99.1,99.21,97.14,98.4,1269800
