date,open,high,low,close,volume
2005-01-03,36.2948,36.5748,35.6438,35.6788,3749900
2005-01-04,35.8048,35.8048,34.9158,34.9858,4657900
2005-01-05,34.9998,35.7908,34.6848,35.5668,5336700
2005-01-06,35.4758,35.7838,35.2378,35.3358,3076700
2005-01-07,35.3498,35.5948,35.0698,35.2168,1957100
2005-01-10,35.0908,35.9308,35.0698,35.6858,2877800
2005-01-11,35.7209,35.7699,35.4339,35.5739,2044100
2005-01-12,35.6998,36.3718,35.6648,36.3578,4126100
2005-01-13,36.3298,36.5048,35.4128,35.4408,4252500
2005-01-14,35.4198,35.6928,35.0698,35.6368,3084500
2005-01-18,35.3498,36.3788,35.3148,36.3158,3537400
2005-01-19,36.1198,36.3018,35.9168,35.9868,2723200
2005-01-20,35.7698,36.0568,35.6158,35.6298,2457500
2005-01-21,35.4549,35.6858,35.0069,35.0489,2593000
2005-01-24,35.2309,35.4199,34.6639,34.7479,3019300
2005-01-25,35.1048,35.1468,34.6638,34.8878,2954600
2005-01-26,34.6918,35.2378,34.6638,34.9018,3530800
2005-01-27,34.6778,35.6998,34.6778,35.6788,4708800
2005-01-28,35.6789,35.6858,34.6779,34.9439,3717100
2005-01-31,35.1749,35.4409,35.0489,35.4199,3894400
2005-02-01,35.4198,35.8258,35.1539,35.7278,2684700
2005-02-02,36.5398,37.0228,35.9938,36.5608,6095300
2005-02-03,37.0648,37.0648,36.3578,36.3998,4199200
2005-02-04,36.3648,37.0298,36.3298,36.8058,3324900
2005-02-07,36.6938,36.8828,36.6098,36.7498,3731200
2005-02-08,36.8548,37.5338,36.6728,37.4498,6070700
2005-02-09,37.6257,38.0898,37.5272,38.0617,4835300
2005-02-10,38.0617,38.2797,37.7171,37.8788,3634700
2005-02-11,37.8015,38.1883,37.5202,38.0758,2204300
2005-02-14,37.9843,38.2094,37.7804,38.0054,2882800
2005-02-15,38.1531,38.554,37.9843,38.2797,3302200
2005-02-16,38.0828,38.1812,37.8366,37.921,2767500
2005-02-17,38.118,38.2938,37.6819,37.7382,4133800
2005-02-18,37.7452,37.7452,36.9575,37.1193,4805100
2005-02-22,36.8169,36.9575,36.62,36.6762,3327100
2005-02-23,37.1334,37.3514,36.9646,37.0771,4072900
2005-02-24,37.4147,37.9351,37.2459,37.9351,3890600
2005-02-25,37.696,38.7017,37.5061,38.6735,4502800
2005-02-28,38.6103,38.7157,38.4766,38.6595,4608600
2005-03-01,38.6665,38.8423,38.1602,38.3219,4279200
2005-03-02,38.2938,38.976,38.2375,38.8916,4414100
2005-03-03,38.9971,40.8397,38.9056,40.3825,8889100
2005-03-04,40.5302,41.3109,40.0801,41.0577,6625600
2005-03-07,40.4529,41.0858,40.263,41.0014,6256100
2005-03-08,41.0085,41.2687,40.6568,40.8959,4604500
