date,open,high,low,close,volume
2005-01-03,29.1433,29.3245,28.8435,29.0184,10238100
2005-01-04,28.9872,29.1871,28.5687,28.6187,10264100
2005-01-05,28.5062,28.6936,28.2627,28.2876,14796100
2005-01-06,28.3688,28.5,28.1003,28.2439,14602200
2005-01-07,28.2939,28.3314,27.9316,27.9379,10547200
2005-01-10,27.9691,28.3189,27.9629,28.2876,11488600
2005-01-11,28.2002,28.3751,28.0815,28.2189,8900700
2005-01-12,28.2189,28.3189,27.9441,28.144,9709300
2005-01-13,28.169,28.2002,27.7318,27.7942,12200500
2005-01-14,28.0128,28.1128,27.8567,28.0378,11224200
2005-01-18,28.1315,28.7186,27.9254,28.5625,15553300
2005-01-19,28.2626,28.3438,28.0565,28.0878,10838600
2005-01-20,28.0628,28.4625,28.0503,28.3001,11086700
2005-01-21,28.2689,28.4188,28.119,28.1627,8258900
2005-01-24,28.2002,28.5062,28.194,28.2439,7088400
2005-01-25,28.2502,28.6686,28.2502,28.475,7370000
2005-01-26,28.5625,28.6811,28.4375,28.5874,7771400
2005-01-27,28.4563,28.5937,28.3251,28.4375,5700200
2005-01-28,28.3751,28.5812,28.3626,28.5437,6836900
2005-01-31,28.6999,28.9997,28.6686,28.9622,10799200
2005-02-01,28.9559,29.2308,28.9372,29.1558,8110400
2005-02-02,29.0122,29.1995,28.9809,29.187,7091700
2005-02-03,29.0122,29.1059,28.881,28.9809,7452400
2005-02-04,28.9185,29.2932,28.9185,29.287,7539900
2005-02-07,29.1558,29.262,29.0496,29.1308,7041700
2005-02-08,29.0746,29.312,29.0746,29.287,4591400
2005-02-09,29.2682,29.3432,28.9997,29.0059,5396800
2005-02-10,29.1371,29.3557,29.1058,29.312,6027900
2005-02-11,29.312,29.3994,29.1246,29.2432,7038700
2005-02-14,29.287,29.4119,29.2308,29.312,5887300
2005-02-15,29.2308,29.3994,29.2058,29.3932,5792600
2005-02-16,29.212,29.2932,29.0434,29.212,6073000
2005-02-17,29.1996,29.3557,28.9435,28.956,9197800
2005-02-18,28.9497,28.956,28.5125,28.5687,11250300
2005-02-22,28.45,28.5624,28.2064,28.2314,12081600
2005-02-23,28.45,28.7186,28.3439,28.5625,7740000
2005-02-24,28.5125,28.9809,28.4938,28.856,9387700
2005-02-25,28.7936,29.3494,28.6686,29.2245,8157100
2005-02-28,29.0746,29.2932,28.9372,29.1371,10043400
2005-03-01,29.1371,29.4806,29.1308,29.4057,10527200
2005-03-02,29.2606,29.5255,29.2417,29.3678,9691700
2005-03-03,29.3426,29.475,28.9201,29.2165,9103300
2005-03-04,29.3867,29.5759,29.3237,29.5002,8889400
2005-03-07,29.4498,29.5696,29.2921,29.3048,7653200
2005-03-08,29.166,29.2984,28.9768,29.1723,7804800
2005-03-09,29.103,29.1345,28.712,28.8192,10203500
2005-03-10,28.8822,29.1471,28.7309,28.9201,8026800
2005-03-11,28.939,29.0714,28.7246,28.8633,7595000
2005-03-14,28.8381,28.9138,28.548,28.8822,9219900
2005-03-15,28.8192,29.1345,28.7057,28.7183,7143800
2005-03-16,28.5039,28.5417,28.157,28.2516,12799200
2005-03-17,28.3147,28.4786,28.1886,28.239,7583800
2005-03-18,28.3021,28.466,28.0309,28.3399,19222100
2005-03-21,28.1507,28.2075,27.703,27.9363,10031000
2005-03-22,28.012,28.0814,27.3688,27.5327,12770500
2005-03-23,27.4381,27.8859,27.3814,27.7345,16983100
2005-03-24,27.9048,28.0814,27.5895,27.5895,10748400
2005-03-28,27.7661,28.2138,27.7282,27.93,12028800
2005-03-29,27.9363,28.0498,27.621,27.6778,11567100
2005-03-30,27.621,27.8733,27.5138,27.7597,12252600
2005-03-31,27.8102,28.0624,27.6589,27.8102,12242400
2005-04-01,28.012,28.1759,27.5706,27.7534,11748100
2005-04-04,27.6841,27.8922,27.4381,27.848,12265300
2005-04-05,27.9678,28.1318,27.8417,27.9426,8477100
2005-04-06,28.1003,28.321,27.9994,28.1255,8186000
2005-04-07,28.2832,28.4597,28.2201,28.2706,8529100
2005-04-08,28.4408,28.4913,28.1444,28.176,6728400
2005-04-11,28.3462,28.485,28.2579,28.3651,6809600
2005-04-12,28.3147,28.8822,28.157,28.7057,10269300
2005-04-13,28.6237,28.8318,28.2895,28.4471,8569000
2005-04-14,28.3904,28.4408,28.157,28.176,9956000
2005-04-15,28.0435,28.3651,27.7534,27.9237,13423000
2005-04-18,28.1507,28.3462,27.9931,28.2075,16980700
2005-04-19,28.2516,28.4408,28.2138,28.3336,9657400
2005-04-20,28.3336,28.3399,27.8102,27.8922,11100500
2005-04-21,27.9994,28.1255,27.4129,27.9931,12941300
2005-04-22,27.9174,28.1886,27.6526,27.9805,8948300
2005-04-25,28.2012,28.321,27.9048,28.2706,8189300
2005-04-26,28.157,28.3841,28.094,28.1318,7244800
2005-04-27,27.93,28.3714,27.8733,28.2958,9465300
2005-04-28,28.1633,28.3904,28.0814,28.1822,7992700
2005-04-29,28.2895,28.4156,27.9742,28.403,10723600
2005-05-02,28.2706,28.6237,28.2579,28.5922,7910400
2005-05-03,28.5669,28.8381,28.4471,28.6048,9886800
2005-05-04,28.7561,28.9957,28.4976,28.9894,9779100
2005-05-05,28.8948,29.1029,28.6237,28.9138,8165200
2005-05-06,28.9705,28.9768,28.6048,28.6868,7758100
2005-05-09,28.6363,28.8444,28.5984,28.8381,5546400
2005-05-10,28.5858,28.8255,28.4913,28.6174,7526600
2005-05-11,28.6237,28.8444,28.466,28.794,7620400
2005-05-12,28.6931,28.9327,28.548,28.5922,9033300
2005-05-13,28.6931,28.7183,28.2075,28.4597,9838500
2005-05-16,28.4597,28.9516,28.4597,28.9138,7024300
2005-05-17,28.7309,29.1345,28.6552,29.0966,6908200
2005-05-18,29.1534,29.4813,29.1345,29.4183,8961400
2005-05-19,29.2291,29.475,29.1156,29.2921,6709900
2005-05-20,29.3237,29.412,29.166,29.3678,7617800
2005-05-23,29.3237,29.4813,29.3047,29.3552,5728600
2005-05-24,29.3237,29.475,29.1976,29.393,6375100
2005-05-25,29.2354,29.3867,29.1975,29.3489,6931900
2005-05-26,29.4687,29.5129,29.3237,29.4561,6935700
2005-05-27,29.3552,29.4498,29.248,29.4183,5211400
2005-05-31,29.3615,29.4183,29.2102,29.2102,9095400
2005-06-01,29.2738,29.7387,29.2293,29.4776,9146100
2005-06-02,29.4394,29.4394,29.2802,29.4076,6693200
2005-06-03,29.1783,29.2993,29.1083,29.1529,6426700
2005-06-06,29.1274,29.2611,29.0128,29.2293,4520100
2005-06-07,29.2738,29.4585,29.1783,29.2038,6265100
2005-06-08,29.293,29.4203,29.1783,29.2356,5255900
2005-06-09,29.1847,29.4267,29.0892,29.3503,6333700
2005-06-10,29.3503,29.4012,29.1401,29.2929,5106400
2005-06-13,29.1592,29.4139,29.0573,29.242,5765400
2005-06-14,29.1911,29.3312,29.1465,29.2738,5093400
2005-06-15,29.3885,29.6941,29.2484,29.675,10128700
2005-06-16,29.6623,29.7387,29.5222,29.5668,6729200
2005-06-17,29.8533,29.8533,29.5413,29.7005,13876500
2005-06-20,29.5604,29.8533,29.484,29.7451,8135700
2005-06-21,29.7451,30.0953,29.7451,29.9807,12812100
2005-06-22,29.968,30.2099,29.9552,29.9743,10628100
2005-06-23,29.9298,30.0444,29.5986,29.675,10607300
2005-06-24,29.6432,29.9934,29.5286,29.7706,12332000
2005-06-27,29.7706,29.8661,29.5158,29.5477,9136800
2005-06-28,29.7069,29.8661,29.5859,29.7196,8160400
2005-06-29,29.7706,29.9807,29.7578,29.8724,9222600
2005-06-30,29.6114,29.6114,29.0255,29.0446,42051300
2005-07-01,29.0446,29.2229,28.376,28.6434,34938900
2005-07-05,28.7198,28.7708,28.4078,28.7262,25842200
2005-07-06,28.7517,28.7835,28.4651,28.4651,22795900
2005-07-07,28.4333,28.5288,28.2104,28.4524,17265100
2005-07-08,28.4969,28.7962,28.3823,28.7517,15123800
2005-07-11,28.8345,28.9618,28.6561,28.7644,15516700
2005-07-12,28.7644,29.0191,28.7007,28.8535,14704800
2005-07-13,29.1274,29.1656,28.9172,29.1337,14116900
2005-07-14,29.1656,29.2611,29.1083,29.172,13844700
2005-07-15,29.1783,29.3248,29.1529,29.2802,13909400
2005-07-18,28.8408,29.0318,28.7071,28.7071,19272500
2005-07-19,28.8345,28.8918,28.3951,28.5415,18397300
2005-07-20,28.5479,28.6434,28.3887,28.567,13133300
2005-07-21,28.5925,28.6307,28.4014,28.4014,11957200
2005-07-22,28.4842,28.5606,28.3441,28.5606,8088100
2005-07-25,28.6052,28.7007,28.4396,28.4396,10232800
2005-07-26,28.3823,28.4906,28.2868,28.3568,15081700
2005-07-27,28.255,28.3314,27.9875,28.1149,23059100
2005-07-28,28.0958,28.1913,27.9811,28.0257,12103900
2005-07-29,28.0193,28.1467,27.7646,27.7646,13126200
2005-08-01,27.8729,27.9238,27.7519,27.8028,12298400
2005-08-02,27.8983,28.0512,27.8347,27.9811,10597200
2005-08-03,27.9557,28.0321,27.7965,27.8792,12631900
2005-08-04,27.8793,27.892,27.7073,27.8347,11410100
2005-08-05,27.7774,27.8156,27.4717,27.5417,12698500
2005-08-08,27.5991,27.6691,27.3316,27.3443,9544000
2005-08-09,27.3443,27.4908,27.217,27.3189,11487100
2005-08-10,27.4781,27.6309,27.0578,27.2233,16749400
2005-08-11,27.287,27.2997,27.0323,27.2488,11957500
2005-08-12,27.3188,27.3507,27.1214,27.1851,8386000
2005-08-15,27.2679,27.6373,27.1851,27.4972,12521500
2005-08-16,27.6054,28.1149,27.6054,27.841,19137500
2005-08-17,27.8856,28.0321,27.7646,27.8474,13637600
2005-08-18,27.8474,28.013,27.72,27.892,11846600
2005-08-19,28.0066,28.0066,27.771,27.7774,7767700
2005-08-22,27.8856,27.9939,27.7009,27.8538,8004700
2005-08-23,27.8601,27.9238,27.459,27.5991,9228600
2005-08-24,27.6373,27.7137,27.3189,27.3252,10045500
2005-08-25,27.4653,27.5163,27.3316,27.4271,6963100
