date,open,high,low,close,volume
2005-01-03,22.3781,22.6845,22.0867,22.1465,5332350
2005-01-04,22.1465,22.1577,21.5188,21.5562,4727700
2005-01-05,21.5189,21.8102,21.4255,21.687,3872250
2005-01-06,21.4329,21.4329,20.5587,20.7343,14716200
2005-01-07,20.809,20.9174,20.6036,20.6073,5944950
2005-01-10,20.6895,21.1527,20.6745,20.9024,5709300
2005-01-11,20.6969,21.0967,20.6969,20.9921,4315200
2005-01-12,20.9585,21.2573,20.824,21.1864,4363500
2005-01-13,21.1901,21.2573,21.0332,21.1602,2960550
2005-01-14,21.5002,21.6496,21.2573,21.4516,4071600
2005-01-18,21.4068,21.5824,21.3096,21.5674,2378400
2005-01-19,21.5674,21.6048,21.347,21.4254,3068850
2005-01-20,21.332,21.3358,20.8277,20.9024,4304700
2005-01-21,21.0108,21.0145,20.7567,20.8464,3409050
2005-01-24,20.7567,20.7605,20.3757,20.6073,6248400
2005-01-25,20.6035,20.7194,20.0768,20.1851,8263800
2005-01-26,20.2636,20.8613,20.2113,20.7941,5875650
2005-01-27,20.7978,20.8837,20.4765,20.4877,5097450
2005-01-28,20.4541,20.4877,20.017,20.1366,6055200
2005-01-31,20.3532,20.357,19.9983,20.0955,6256500
2005-02-01,20.1739,20.7007,20.0618,20.6708,5048550
2005-02-02,20.6596,20.7268,20.4466,20.5101,3090300
2005-02-03,20.4877,20.738,20.286,20.6633,3654900
2005-02-04,20.7343,20.9921,20.6297,20.8837,3857400
2005-02-07,20.7492,20.9211,20.6484,20.753,2345250
2005-02-08,20.753,20.8389,20.6446,20.7044,2520300
2005-02-09,20.7306,20.9099,20.2187,20.2823,5251800
2005-02-10,20.357,20.4541,20.0805,20.3122,3138300
2005-02-11,20.3121,20.4877,19.7742,20.3047,5918700
2005-02-14,20.3458,20.5326,20.2038,20.428,2222400
2005-02-15,20.6409,20.8837,20.4989,20.7343,4330200
2005-02-16,20.6409,20.7156,20.5101,20.5811,2376300
2005-02-17,20.4989,20.6372,20.4167,20.5214,3100800
2005-02-18,20.1739,20.2075,19.8452,20.1141,10233150
2005-02-22,19.8564,20.0245,19.3371,19.3445,7617150
2005-02-23,19.5388,19.6808,19.3296,19.3557,6899250
2005-02-24,19.3333,19.352,19.0046,19.2026,4243500
2005-02-25,19.2698,19.4641,19.1167,19.3109,4302750
2005-02-28,19.9311,20.4205,19.8713,20.1814,8816850
