date,open,high,low,close,volume
2005-01-03,23.3381,24.0662,22.9151,23.348,1110000
2005-01-04,24.0072,25.3945,23.348,23.4955,2960700
2005-01-05,23.3184,23.5939,22.7281,23.2102,883300
2005-01-06,23.2693,24.1941,22.2952,23.7907,2634900
2005-01-07,23.9875,24.9911,23.9186,24.6074,2247200
2005-01-10,24.6959,25.0895,24.3024,24.627,942100
2005-01-11,24.5975,24.6172,23.8202,23.958,995500
2005-01-12,23.9973,24.0957,23.3381,23.8399,760700
2005-01-13,23.7514,24.0564,23.6038,23.6727,517600
2005-01-14,23.6136,24.0072,23.2693,23.5054,781300
2005-01-18,23.6235,24.5877,22.7773,24.0761,1057700
2005-01-19,24.1548,24.204,23.6333,23.7317,453000
2005-01-20,23.6235,23.6923,22.9642,23.1905,1009800
2005-01-21,23.0036,23.1118,22.4034,22.6199,1182100
2005-01-24,22.5215,22.8462,22.0787,22.1771,930000
2005-01-25,22.0394,22.61,21.6753,21.882,574500
2005-01-26,21.9213,22.3444,21.7442,22.1574,430200
2005-01-27,22.187,22.3641,21.8426,22.0,395100
2005-01-28,21.9902,22.5313,21.5966,21.754,815500
2005-01-31,21.7639,22.61,21.7442,22.2263,659400
2005-02-01,22.2755,22.5018,22.0197,22.0394,393900
2005-02-02,22.0099,22.9249,21.7737,21.9115,530000
2005-02-03,21.941,22.1082,21.5179,21.8426,408800
2005-02-04,21.9016,21.9311,21.4195,21.4687,483000
2005-02-07,21.4687,21.6655,21.4097,21.4687,431200
2005-02-08,21.4097,21.5277,20.7701,20.8587,789300
2005-02-09,20.7997,21.3605,20.6816,20.6914,628600
2005-02-10,20.8981,20.8981,20.229,20.6029,758000
2005-02-11,20.5045,21.1342,20.1798,21.0555,477700
2005-02-14,21.0752,21.3211,20.7013,21.0456,463100
2005-02-15,21.4687,22.0591,21.4195,21.8918,981500
2005-02-16,21.941,22.0886,21.1735,21.4294,677000
2005-02-17,21.4097,21.6753,20.3667,20.7997,1223800
2005-02-18,22.2362,23.1118,21.3605,22.5117,3186800
2005-02-22,22.4231,23.161,21.9016,22.0787,1214100
2005-02-23,22.0197,22.4329,21.2818,21.695,619700
2005-02-24,21.5474,22.2362,21.3998,22.1574,583800
2005-02-25,22.2362,22.3346,21.8524,21.8918,313800
2005-02-28,21.8032,22.305,21.8032,22.1082,413500
2005-03-01,22.2066,22.5116,22.0492,22.3837,366000
2005-03-02,22.2952,22.9741,22.2657,22.4329,436600
2005-03-03,22.3837,22.9249,22.1476,22.5018,294300
2005-03-04,22.6396,22.9151,22.5215,22.6986,306200
2005-03-07,22.8068,23.3381,22.6494,22.856,584200
2005-03-08,23.0331,23.0331,22.6002,22.7379,492200
2005-03-09,22.61,22.7379,21.7049,21.8131,412700
2005-03-10,21.6557,21.9803,21.5179,21.9115,535200
2005-03-11,21.8918,22.5313,21.754,21.941,493600
2005-03-14,22.1181,22.1181,21.5474,21.7049,278900
2005-03-15,21.6065,22.0886,21.2719,21.4786,374100
2005-03-16,21.2523,22.1181,21.2523,21.754,717700
2005-03-17,21.7442,22.5608,21.7442,22.4231,488100
2005-03-18,22.4821,23.0725,22.3837,22.8068,840700
2005-03-21,22.8855,23.6136,22.6494,23.5349,934700
2005-03-22,23.4759,23.5546,22.8363,23.2496,496800
2005-03-23,23.102,23.7514,23.102,23.3283,653900
2005-03-24,24.0072,24.3319,23.7514,23.9875,795300
2005-03-28,24.0859,26.644,23.9875,25.788,2316700
2005-03-29,25.5027,25.975,24.9419,25.4634,1220800
2005-03-30,25.3846,25.9455,25.0993,25.6306,468300
2005-03-31,25.0403,25.1879,24.1056,24.7943,866300
2005-04-01,24.8632,25.1879,24.6664,24.6664,331200
2005-04-04,24.6172,25.0403,24.4106,24.8337,362300
2005-04-05,24.7549,25.0698,24.5778,24.6762,252800
2005-04-06,24.5877,24.7254,24.3122,24.5385,214000
2005-04-07,24.4499,24.9616,24.3122,24.8829,322200
2005-04-08,24.9419,26.5358,24.6467,26.1029,906800
2005-04-11,26.0734,26.3193,25.2567,25.9848,593600
2005-04-12,25.7782,25.9061,24.7648,24.8829,755000
2005-04-13,24.7943,24.9911,23.5251,23.7415,796300
2005-04-14,23.5349,24.7648,23.5349,24.6467,779900
2005-04-15,24.4499,24.7156,24.2236,24.3122,778800
2005-04-18,24.4598,24.7943,24.017,24.4007,657000
2005-04-19,24.6762,25.3846,24.322,25.0796,605300
2005-04-20,25.0895,25.483,24.4007,24.568,573300
2005-04-21,24.6074,24.8435,23.9088,24.0957,1261100
2005-04-22,24.0072,24.6566,23.6136,24.1252,1249800
2005-04-25,24.2236,25.1485,24.0564,24.6959,502200
2005-04-26,24.6172,24.627,24.1056,24.263,295600
2005-04-27,24.1744,25.4338,23.6628,25.119,581100
2005-04-28,24.9517,25.3551,24.627,24.8632,379900
2005-04-29,24.9911,25.1485,24.1941,24.9517,292000
2005-05-02,24.8927,25.0796,24.1351,24.6369,265800
2005-05-03,24.322,24.8435,24.204,24.6369,196100
2005-05-04,24.9419,26.1816,24.8632,26.0635,727800
2005-05-05,25.7585,26.0734,25.3551,26.0734,338500
2005-05-06,26.0143,26.5653,25.2567,25.3846,657300
2005-05-09,25.2075,26.2898,25.0796,26.2111,983500
2005-05-10,23.6333,24.1056,22.6297,23.5546,3671000
2005-05-11,23.466,23.7612,23.2201,23.3775,629400
2005-05-12,23.3578,23.8104,23.0823,23.1512,609800
2005-05-13,23.0725,23.3972,22.492,23.1118,416200
2005-05-16,23.0233,23.5447,22.9052,23.5349,524400
2005-05-17,23.3184,23.5644,22.7281,23.2988,641900
2005-05-18,23.1315,24.0859,23.1315,23.8301,396900
2005-05-19,23.7907,24.0465,23.7907,23.9481,195400
2005-05-20,23.9973,24.2728,23.8596,24.0957,286500
2005-05-23,23.7415,24.8435,23.6235,24.6959,992900
2005-05-24,24.8829,24.9616,24.568,24.6172,323400
2005-05-25,24.4401,24.6074,24.1154,24.2335,660400
2005-05-26,24.2433,24.4893,23.9285,24.0072,186900
2005-05-27,23.958,24.0269,23.5644,23.8006,363700
2005-05-31,23.6628,23.9088,23.4759,23.5644,322400
2005-06-01,23.466,24.0957,23.3578,23.8006,345400
2005-06-02,23.6727,23.8498,23.6136,23.6923,173500
2005-06-03,23.5939,24.0859,23.3578,23.4955,199100
2005-06-06,23.4168,23.7022,23.3578,23.5644,195500
2005-06-07,23.466,23.6628,23.1709,23.466,642300
2005-06-08,23.466,24.0859,23.4562,23.5644,773000
2005-06-09,23.712,24.0465,23.6136,23.8891,919900
2005-06-10,23.8006,23.8793,23.5054,23.7022,382800
2005-06-13,23.5447,23.712,23.161,23.4759,270800
2005-06-14,23.5152,23.5152,22.9839,23.1315,422200
