date,open,high,low,close,volume
2007-03-22,12.3918,13.9408,12.3918,13.8376,2908400
2007-03-23,13.8376,15.7652,13.8031,13.9959,3550900
2007-03-26,13.9959,14.285,13.872,14.23,859900
2007-03-27,14.285,14.3401,13.9752,14.0097,470400
2007-03-28,13.9752,13.9752,13.5622,13.6999,324100
2007-03-29,13.6999,13.8582,13.4245,13.5622,1799300
2007-03-30,13.631,13.7343,13.5209,13.5622,12230800
2007-04-02,13.5622,13.5622,12.9564,13.4314,9470300
2007-04-03,13.4107,13.4245,12.7292,13.1285,7892900
2007-04-04,13.094,13.1904,12.9426,13.0183,4738000
2007-04-05,12.9082,13.6379,12.8737,13.3419,4602900
2007-04-09,13.4727,13.4727,13.0114,13.1216,3600900
2007-04-10,12.86,13.3832,12.8049,13.2317,3130800
2007-04-11,13.2524,13.81,13.0459,13.156,3356100
2007-04-12,13.1216,13.2662,13.0045,13.218,2666300
2007-04-13,13.8031,13.8031,13.1491,13.4796,2980900
2007-04-16,13.5071,13.6999,13.5071,13.6723,1455800
2007-04-17,13.3901,14.168,13.2868,14.0579,1567200
2007-04-18,13.9271,14.2644,13.7412,14.2369,1958200
2007-04-19,13.9064,14.7738,13.8926,14.5535,1890100
2007-04-20,14.7119,14.9872,14.4572,14.5122,2671300
2007-04-23,14.3745,14.526,14.1336,14.2506,1531800
2007-04-24,14.2506,14.2506,14.1129,14.1887,1752700
2007-04-25,14.1887,14.23,13.9202,13.9477,1029600
2007-04-26,13.6173,13.8651,13.5622,13.81,1193200
2007-04-27,13.7687,13.9546,13.6379,13.9202,734500
2007-04-30,13.9064,13.9064,13.7412,13.7963,1581800
2007-05-01,13.7412,13.8444,13.6723,13.7963,1468800
2007-05-02,13.7481,13.8444,13.6655,13.7825,1460100
2007-05-03,13.8031,14.0716,13.7756,13.9752,1243100
2007-05-04,13.9064,14.4571,13.8582,14.3057,1242300
2007-05-07,14.2919,14.4847,14.1267,14.464,1482300
2007-05-08,14.1818,14.6775,14.1405,14.643,1294300
2007-05-09,14.5398,15.0423,14.5122,14.7325,2454100
2007-05-10,14.5948,14.8358,14.4159,14.5398,1278800
2007-05-11,14.5467,14.767,14.526,14.7532,468300
2007-05-14,14.6843,14.705,14.5398,14.6706,661100
2007-05-15,14.6706,14.7394,14.347,14.347,1811800
2007-05-16,14.2506,14.2506,14.0579,14.1129,1595900
2007-05-17,13.8513,14.2713,13.8376,14.2162,893700
2007-05-18,14.1818,14.285,13.9752,14.0854,1201800
2007-05-21,14.0716,14.1405,14.0303,14.1129,3019200
2007-05-22,14.1955,14.1955,14.0097,14.0372,1490500
2007-05-23,14.0303,14.1129,13.7963,14.0097,1014700
2007-05-24,13.7756,13.9959,13.7687,13.7825,1404600
2007-05-25,13.7825,13.872,13.7343,13.7687,624200
2007-05-29,13.4589,13.8031,13.4589,13.7687,639000
2007-05-30,13.6448,13.7963,13.5966,13.7481,1165000
2007-05-31,13.7618,13.9408,13.6999,13.9339,953500
2007-06-01,13.9821,14.0579,13.5966,13.7205,886100
