date,open,high,low,close,volume
2005-01-03,10.9282,11.0552,10.8945,10.9207,2254276
2005-01-04,10.9767,11.0253,10.8534,10.8833,2586577
2005-01-05,10.8871,10.9244,10.7675,10.775,2891379
2005-01-06,10.7824,10.8796,10.7488,10.8572,1632721
2005-01-07,10.8347,10.8721,10.7526,10.8049,1421082
2005-01-10,10.8161,10.902,10.7824,10.8422,1256602
2005-01-11,10.8347,10.8684,10.689,10.7974,1562817
2005-01-12,10.7974,10.8235,10.7002,10.8235,1541486
2005-01-13,10.7974,10.9281,10.775,10.8945,3192711
2005-01-14,10.8983,10.973,10.8796,10.9095,2481464
2005-01-18,10.9468,11.171,10.9356,11.1374,3668547
2005-01-19,11.1336,11.227,11.1187,11.1859,2773930
2005-01-20,11.2084,11.2345,11.1448,11.1747,2274322
2005-01-21,11.1374,11.298,11.1336,11.2084,2805926
2005-01-24,11.2084,11.2084,11.0552,11.0776,2436232
2005-01-25,11.1224,11.1224,10.958,10.9917,2005371
2005-01-26,11.0029,11.1448,10.9057,11.0328,2607651
2005-01-27,11.0589,11.0739,10.9767,11.0328,2002030
2005-01-28,11.0301,11.0565,10.9396,11.0301,1847573
2005-01-31,11.0641,11.1244,11.0226,11.1244,1425579
2005-02-01,11.0678,11.0678,10.917,10.9321,2249007
2005-02-02,10.9358,10.9547,10.8416,10.9509,2498169
2005-02-03,10.8981,10.9245,10.7775,10.7888,2377893
2005-02-04,10.7624,10.8642,10.7096,10.8378,2080029
2005-02-07,10.8378,10.8416,10.7322,10.7812,1555878
2005-02-08,10.785,10.8491,10.7247,10.7284,1711235
2005-02-09,10.7548,10.7699,10.6229,10.6794,1555621
2005-02-10,10.6757,10.7473,10.6266,10.6304,1875971
2005-02-11,10.653,10.8039,10.6153,10.736,2499839
2005-02-14,10.7473,10.785,10.6907,10.7548,1428406
2005-02-15,10.7737,11.0037,10.7171,10.9811,2423125
2005-02-16,10.9811,11.0301,10.8604,10.8831,1237327
2005-02-17,10.8831,10.9095,10.7209,10.7209,1428792
2005-02-18,10.7247,10.7888,10.687,10.7586,1435988
2005-02-22,10.7586,10.7926,10.3325,10.3702,4314131
2005-02-23,10.3853,10.3853,9.9064,10.0384,7126996
2005-02-24,10.1062,10.2986,10.0082,10.2986,3873632
2005-02-25,10.3136,10.3815,10.2043,10.3438,2294368
2005-02-28,10.3513,10.4041,10.2043,10.3023,2270981
2005-03-01,10.3627,10.5814,10.3438,10.5776,2864522
2005-03-02,10.5776,10.5776,10.4645,10.5587,2356819
2005-03-03,10.5587,10.5851,10.4343,10.4833,2432505
2005-03-04,10.5776,10.7058,10.5399,10.6455,1588260
2005-03-07,10.6719,10.6719,10.5701,10.6266,1176161
2005-03-08,10.5814,10.6153,10.4796,10.5625,1241953
2005-03-09,10.5512,10.5851,10.4381,10.5097,1915935
2005-03-10,10.4833,10.6719,10.4833,10.653,1703139
2005-03-11,10.6266,10.653,10.4381,10.4682,1756081
2005-03-14,10.472,10.5701,10.4418,10.5587,1495740
2005-03-15,10.5588,10.5965,10.423,10.4607,1395896
2005-03-16,10.4079,10.4833,10.374,10.4192,1555493
2005-03-17,10.4569,10.5022,10.3815,10.4268,1130800
2005-03-18,10.3966,10.4192,10.1854,10.2194,3880571
2005-03-21,10.2684,10.2722,10.1439,10.1439,2395754
2005-03-22,10.0987,10.1364,9.9856,9.9856,2763264
2005-03-23,10.0308,10.2722,10.0308,10.1628,3133601
2005-03-24,10.012,10.0157,9.7291,9.8988,5124966
2005-03-28,9.6914,10.0384,9.6914,9.9479,2571671
2005-03-29,9.8724,10.0685,9.7857,9.9742,3254648
2005-03-30,10.0157,10.1553,9.9215,10.012,3343313
2005-03-31,10.0459,10.2118,9.9667,10.1892,2952031
2005-04-01,10.2043,10.2684,10.0421,10.0572,3654412
2005-04-04,10.0836,10.0874,9.8988,10.0421,2830855
2005-04-05,10.0421,10.1175,10.0308,10.0723,1959625
2005-04-06,10.1439,10.193,10.0648,10.1703,2114596
2005-04-07,10.1817,10.2156,10.1439,10.193,1428535
2005-04-08,10.2043,10.2344,10.1138,10.1251,1137868
2005-04-11,10.1364,10.2307,10.1364,10.1628,905026
2005-04-12,10.1213,10.2948,10.1062,10.2721,1510903
2005-04-13,10.208,10.2759,10.1251,10.159,1133499
2005-04-14,10.1439,10.1816,10.0572,10.0647,1635677
2005-04-15,10.0421,10.1251,9.9252,9.9479,1767004
2005-04-18,9.8988,10.0308,9.8988,9.9101,1736164
2005-04-19,9.9101,9.9101,9.8083,9.8687,1713034
2005-04-20,9.8498,9.9101,9.7291,9.7668,1427121
2005-04-21,9.797,9.9818,9.7857,9.9592,1236427
2005-04-22,9.9101,10.0572,9.8837,9.9516,1886637
2005-04-25,9.9592,10.1439,9.9403,10.11,1522982
2005-04-26,10.1138,10.1402,9.9177,9.9177,1705452
2005-04-27,9.9365,10.1892,9.88,10.1628,2677683
2005-04-28,10.1144,10.2249,10.0687,10.1449,2126547
2005-04-29,10.1639,10.2363,10.1335,10.1906,3310160
2005-05-02,10.2401,10.3049,10.1449,10.2554,1433418
2005-05-03,10.2058,10.3278,10.2058,10.3201,1529407
2005-05-04,10.3163,10.4001,10.2706,10.3811,1402321
2005-05-05,10.362,10.4001,10.1944,10.2935,1015278
2005-05-06,10.2897,10.3925,10.2782,10.3011,995618
2005-05-09,10.2744,10.4116,10.2516,10.3849,1177960
2005-05-10,10.3049,10.3582,10.2477,10.3125,1567186
2005-05-11,10.2858,10.3735,10.2173,10.3582,1175647
2005-05-12,10.343,10.3811,10.1944,10.2287,1198006
2005-05-13,10.1982,10.202,9.9925,10.0573,1951144
2005-05-16,10.0573,10.2097,10.0573,10.2097,1329975
2005-05-17,10.1677,10.2858,10.1182,10.2858,1919661
2005-05-18,10.3049,10.4192,10.2744,10.4078,1713548
2005-05-19,10.2858,10.3392,10.2096,10.2935,1658164
2005-05-20,10.2935,10.4154,10.2325,10.4154,1931355
2005-05-23,10.4154,10.4154,10.2897,10.3239,1702240
2005-05-24,10.2744,10.2973,10.1258,10.2744,2245152
2005-05-25,10.2668,10.282,10.122,10.1944,1585433
2005-05-26,10.2135,10.2516,10.1373,10.202,1165110
2005-05-27,10.1716,10.1716,10.0611,10.1297,1419283
2005-05-31,10.1297,10.1297,9.9277,9.962,2802585
2005-06-01,9.943,10.0268,9.8744,9.9163,3303478
2005-06-02,9.9468,9.9582,9.8439,9.8782,2603796
2005-06-03,9.8782,9.9049,9.8363,9.8363,2950232
2005-06-06,9.882,9.9049,9.8477,9.863,1656494
2005-06-07,9.143,9.6573,9.1392,9.3258,9706376
2005-06-08,9.2687,9.2954,9.1163,9.2268,7215918
2005-06-09,9.1544,9.2192,9.1239,9.1468,3130517
2005-06-10,9.1277,9.143,8.922,9.0325,3518844
2005-06-13,9.0896,9.3754,9.0782,9.1696,4266714
2005-06-14,9.2077,9.2801,9.1696,9.2801,2865550
2005-06-15,9.3258,9.3258,9.1658,9.1696,2011410
2005-06-16,9.143,9.1811,9.1049,9.1315,2232431
2005-06-17,9.1963,9.223,9.0896,9.2001,2665861
2005-06-20,9.1849,9.2763,9.143,9.143,1836651
2005-06-21,9.1163,9.1468,8.9944,9.0249,3434163
2005-06-22,9.0439,9.162,9.0439,9.1087,2370568
2005-06-23,9.0668,9.0706,8.8611,8.8915,3267241
2005-06-24,8.9106,8.9487,8.8573,8.8687,2578353
2005-06-27,8.8801,8.903,8.7658,8.8382,1938551
2005-06-28,8.8801,8.9677,8.8534,8.9296,1931869
2005-06-29,8.9296,8.9296,8.7239,8.8001,2915665
2005-06-30,8.6668,8.9144,8.6477,8.823,3794733
2005-07-01,8.8839,8.9525,8.7811,8.8268,2261215
2005-07-05,8.8001,8.8801,8.7658,8.8077,1568214
2005-07-06,8.8306,8.8534,8.6515,8.6515,2440087
2005-07-07,8.6134,8.6706,8.5715,8.6401,2517444
2005-07-08,8.6249,8.7963,8.5944,8.7582,2125133
2005-07-11,8.7925,8.7963,8.6668,8.7734,2585035
2005-07-12,8.7811,8.8306,8.7277,8.7849,1696200
2005-07-13,8.8001,8.8534,8.7925,8.8344,1276648
2005-07-14,8.8725,8.922,8.8382,8.8877,1873273
2005-07-15,8.8915,8.9449,8.8382,8.8763,2155588
2005-07-18,8.8611,8.9335,8.8573,8.8877,1956669
2005-07-19,8.8877,8.9677,8.8801,8.9487,2209301
2005-07-20,8.903,8.9487,8.8382,8.8496,2079772
2005-07-21,8.8382,8.8877,8.7163,8.7353,1809794
2005-07-22,8.7506,8.7773,8.6706,8.7353,2320710
2005-07-25,8.7277,8.8839,8.7163,8.8154,2379435
2005-07-26,8.823,8.8344,8.743,8.7811,1682965
2005-07-27,8.762,8.8953,8.7353,8.8534,1913879
2005-07-28,8.8777,8.951,8.7891,8.8161,2329320
2005-07-29,8.8315,8.8585,8.739,8.7544,2416957
2005-08-01,8.7428,8.897,8.7312,8.7659,2363372
2005-08-02,8.7698,8.7698,8.6811,8.7158,2107786
2005-08-03,8.6734,8.712,8.5539,8.6696,2724072
2005-08-04,8.6734,8.6811,8.5655,8.6426,2001130
2005-08-05,8.658,8.6927,8.5,8.5693,1815191
2005-08-08,8.5655,8.6349,8.5154,8.5385,1735393
2005-08-09,8.5732,8.6811,8.5385,8.6696,2566017
2005-08-10,8.7158,8.8238,8.6773,8.712,2699143
2005-08-11,8.7312,8.8122,8.6773,8.7814,2461546
2005-08-12,8.7505,8.7891,8.7004,8.7428,1446653
2005-08-15,8.712,8.8199,8.6927,8.8083,1363771
2005-08-16,8.8083,8.8469,8.712,8.7621,1902828
2005-08-17,8.7467,8.8315,8.7467,8.7775,1556649
2005-08-18,8.7467,8.8045,8.7312,8.7351,1067835
2005-08-19,8.7891,8.8199,8.7197,8.7351,2389586
2005-08-22,8.7505,8.8392,8.6966,8.739,1403606
2005-08-23,8.7505,8.7737,8.6503,8.7043,1698513
2005-08-24,8.6811,8.7544,8.6233,8.6888,1477750
2005-08-25,8.6696,8.712,8.5732,8.6156,1348608
2005-08-26,8.5886,8.6773,8.5693,8.6349,1322265
2005-08-29,8.6387,8.8353,8.6002,8.7929,1785122
2005-08-30,8.7428,8.7621,8.5886,8.6927,2248750
2005-08-31,8.6734,8.8083,8.6233,8.8006,2070006
2005-09-01,8.8353,8.9433,8.8045,8.8854,3726757
2005-09-02,8.8932,9.0358,8.8585,9.0165,2681538
2005-09-06,9.0165,9.109,8.9163,8.9433,3528482
2005-09-07,8.9047,8.924,8.8315,8.8931,1965022
2005-09-08,8.8623,8.9009,8.8161,8.8507,1772529
2005-09-09,8.8315,8.9047,8.8161,8.8777,1548554
2005-09-12,8.8353,8.8854,8.7698,8.8276,2446769
2005-09-13,8.7891,8.8045,8.6966,8.7197,3245268
2005-09-14,8.7235,8.7467,8.6696,8.7043,2269696
2005-09-15,8.6966,8.7775,8.6696,8.6927,2169466
2005-09-16,8.7621,8.7775,8.6503,8.7505,3464103
2005-09-19,8.6966,8.7467,8.6156,8.6734,2111127
2005-09-20,8.6503,8.6734,8.5038,8.5038,2374809
2005-09-21,8.9163,9.0666,8.8353,8.8777,7974324
2005-09-22,8.8739,8.8777,8.712,8.7929,3220082
2005-09-23,8.843,8.9818,8.8392,8.9356,3717762
2005-09-26,8.978,9.0165,8.8931,8.924,2252862
2005-09-27,8.9625,9.0358,8.9124,8.9934,2346410
2005-09-28,9.0473,9.2671,9.0358,9.2594,4023720
2005-09-29,9.217,9.4058,9.1399,9.3827,3393814
2005-09-30,9.3827,9.5446,9.3789,9.5408,4082702
2005-10-03,9.5408,9.6024,9.3866,9.5369,3746289
2005-10-04,9.587,9.6217,9.5292,9.5408,2862338
2005-10-05,9.5022,9.5446,9.3673,9.3943,2299636
2005-10-06,9.3866,9.4251,9.19,9.2555,3292941
2005-10-07,9.3018,9.375,9.2401,9.3442,2610092
