date,open,high,low,close,volume
2005-01-03,28.5483,28.8602,28.0849,28.2423,6294000
2005-01-04,28.5334,28.6077,27.7254,27.9304,7579400
2005-01-05,27.9987,28.0581,27.3957,27.3957,5932800
2005-01-06,27.4491,28.0908,27.3957,27.7997,6300400
2005-01-07,27.8264,28.0136,27.6719,27.7403,5815400
2005-01-10,27.7759,27.8353,27.4462,27.4848,4818800
2005-01-11,27.4848,27.4848,27.0659,27.1045,5896000
2005-01-12,27.3303,27.4788,26.956,27.4402,8387600
2005-01-13,27.3897,27.666,27.3779,27.5858,6702200
2005-01-14,27.7729,27.9334,27.6244,27.8324,3825000
2005-01-18,27.8413,27.898,27.4206,27.6086,4624600
2005-01-19,27.54,27.6533,27.3013,27.3042,5838600
2005-01-20,27.3042,27.3192,26.8298,26.8776,5108200
2005-01-21,26.8328,27.1401,26.4837,26.6239,6873600
2005-01-24,26.7194,26.7731,26.2927,26.2927,5634200
2005-01-25,26.4777,27.0029,26.2957,27.0029,5999600
2005-01-26,27.0029,27.343,26.8239,27.1879,6698000
2005-01-27,26.0779,26.3285,25.7795,25.8153,21820200
2005-01-28,25.9586,26.2927,25.9138,26.0958,8176600
2005-01-31,26.2569,26.7493,26.1555,26.5852,6675200
2005-02-01,26.7343,27.0148,26.6001,26.8895,4790000
2005-02-02,26.8805,27.2863,26.7254,27.155,6762200
2005-02-03,27.0089,27.4594,26.9343,27.3908,5226800
2005-02-04,27.3908,27.5071,27.1491,27.4206,6606200
2005-02-07,27.4206,27.5071,27.2237,27.2595,3716400
2005-02-08,27.2714,27.3967,27.0417,27.2953,3357200
2005-02-09,27.2953,27.4475,27.0029,27.0447,3792200
2005-02-10,27.1521,27.5728,27.1252,27.4683,3192400
2005-02-11,27.54,27.7966,27.2416,27.6832,4649800
2005-02-14,27.7906,27.8055,27.4116,27.5161,2402400
2005-02-15,27.4534,27.6235,27.1461,27.3013,6315800
2005-02-16,27.2267,27.6951,27.1849,27.6116,4533600
2005-02-17,27.6116,27.7607,27.3609,27.3967,3419400
2005-02-18,27.3967,27.4057,27.0685,27.1043,4278400
2005-02-22,27.0357,27.2744,26.6806,26.6926,5091200
2005-02-23,26.8268,27.0834,26.7493,26.9909,3099800
2005-02-24,27.0775,27.8622,27.0655,27.7966,4545600
2005-02-25,27.7727,28.4321,27.6742,28.2918,6084200
2005-02-28,28.2262,28.7185,28.0054,28.3605,6591800
2005-03-01,28.3366,29.1213,28.1785,29.0527,9691800
2005-03-02,28.8319,29.181,28.8289,28.993,6762000
2005-03-03,28.993,29.1959,28.6947,29.1631,5446400
2005-03-04,29.1959,29.8255,29.0169,29.8255,8095800
2005-03-07,29.8076,29.8076,29.4048,29.5092,4769600
2005-03-08,29.5689,29.7688,29.36,29.5391,4963000
2005-03-09,29.3899,29.4227,28.8677,28.8856,5742000
2005-03-10,28.9393,29.5271,28.8737,29.3183,7006800
2005-03-11,29.3183,29.7121,29.1929,29.5391,5681600
2005-03-14,29.2108,29.3153,28.6976,28.8021,8236400
2005-03-15,28.8707,29.0467,28.7334,28.8677,5436600
2005-03-16,28.8677,29.0199,28.4977,28.7245,4451800
2005-03-17,28.7633,29.0169,28.7514,28.8886,3418000
2005-03-18,29.0915,29.2019,28.5037,28.7633,8858000
2005-03-21,28.7633,28.9572,28.5843,28.6976,3360200
2005-03-22,28.808,28.9065,28.2143,28.259,4645200
