date,open,high,low,close,volume
2005-01-03,28.0869,28.0869,27.6096,27.6815,892900
2005-01-04,27.688,27.8777,27.6095,27.6095,902800
2005-01-05,27.6161,27.8842,27.4984,27.5899,1672900
2005-01-06,27.5834,28.1916,27.0602,27.8973,2674000
2005-01-07,27.9561,28.0084,27.6488,27.7926,1405700
2005-01-10,27.5965,27.8319,27.5507,27.5834,978400
2005-01-11,27.4657,28.0542,27.4199,27.8188,1280000
2005-01-12,27.8188,27.9627,27.4461,27.9627,1531900
2005-01-13,27.9496,28.0477,27.6488,27.7207,1354500
2005-01-14,27.7272,28.1196,27.6684,27.7926,1199600
2005-01-18,27.7926,28.5512,27.6095,28.4597,2344800
2005-01-19,28.5708,28.9109,28.3223,28.6755,2893700
2005-01-20,28.5316,28.7147,28.1393,28.5643,2150700
2005-01-21,28.4858,28.4924,27.9496,28.0085,1449100
2005-01-24,27.7272,28.015,27.3022,27.6161,1182500
2005-01-25,27.6357,27.9561,27.6357,27.858,1162900
2005-01-26,27.8646,28.257,27.8188,28.2308,1217400
2005-01-27,28.1,28.2766,27.8908,27.9561,610900
2005-01-28,27.9627,28.0215,27.4199,27.5507,1035200
2005-01-31,27.7926,28.4074,27.7338,28.3812,1529400
2005-02-01,28.5447,28.8193,28.2504,28.6886,1007100
2005-02-02,28.6886,28.8455,28.4858,28.7736,1494300
2005-02-03,29.2706,29.4079,29.0352,29.1136,1781000
2005-02-04,28.9044,30.1207,28.9044,30.0684,1653700
2005-02-07,29.8853,30.173,29.8722,30.0749,1466400
2005-02-08,29.8853,30.0161,29.7872,29.8526,1384100
2005-02-09,29.9311,30.1469,29.7545,29.9441,1289900
2005-02-10,30.0815,30.2253,29.7545,30.1207,1118900
2005-02-11,30.1207,31.1932,30.0946,30.8989,2201600
2005-02-14,30.7616,30.827,30.3496,30.6112,934000
2005-02-15,30.4411,30.67,30.343,30.6308,1186500
2005-02-16,30.3953,30.5654,29.8526,30.0226,1618700
2005-02-17,30.0292,30.0292,29.5975,29.5975,1382600
2005-02-18,29.4798,29.5779,29.264,29.3687,1283300
2005-02-22,29.1005,29.3556,28.8063,28.8063,1350900
2005-02-23,28.9698,29.349,28.8063,29.0875,524600
2005-02-24,29.0875,29.3752,28.9697,29.2117,695600
2005-02-25,29.1136,29.4994,29.0286,29.4144,858700
2005-02-28,29.1986,29.3229,28.9305,29.0744,1000300
2005-03-01,28.9698,29.5714,28.9044,29.3229,817800
2005-03-02,29.0679,29.5322,29.0417,29.4602,730800
2005-03-03,29.7414,29.8395,29.4733,29.5714,797400
2005-03-04,29.6564,29.9703,29.6237,29.833,838600
2005-03-07,29.7872,30.2711,29.7872,29.9768,534200
2005-03-08,29.8133,29.9834,29.4471,29.9114,1261200
2005-03-09,29.9114,30.0488,29.5845,29.7022,867500
2005-03-10,29.6041,29.7479,29.4013,29.7349,932000
2005-03-11,29.5583,29.9572,29.2706,29.8395,892200
2005-03-14,29.7872,29.8853,29.3948,29.7087,1456700
2005-03-15,29.6237,29.6303,28.9109,28.9894,1923700
2005-03-16,28.9959,29.2836,28.839,29.179,1685400
2005-03-17,29.179,29.179,28.4139,28.7016,2012000
2005-03-18,28.6166,28.7736,27.8188,28.1523,1776000
2005-03-21,28.1458,28.1458,27.76,28.0085,1134600
2005-03-22,28.0085,28.0804,27.3741,27.3741,1288400
2005-03-23,27.4003,27.7338,27.3676,27.3676,1646200
2005-03-24,27.4526,27.6684,27.2695,27.2695,729200
2005-03-28,27.276,27.7665,27.1387,27.6292,1241500
2005-03-29,27.662,27.9183,27.6292,27.708,1452600
2005-03-30,27.7672,27.7869,27.3071,27.6029,1462400
2005-03-31,27.5437,27.5437,26.9194,27.1231,1710700
2005-04-01,27.1231,27.2874,25.2106,26.2425,4738300
2005-04-04,26.3279,27.4189,26.1373,27.11,3750900
2005-04-05,27.2743,27.3071,26.926,27.0443,1565800
2005-04-06,27.2414,27.34,27.064,27.1494,909300
2005-04-07,27.1494,27.2808,27.0574,27.1362,1237700
2005-04-08,27.1428,27.2085,26.2885,26.4199,1913100
2005-04-11,26.5513,26.5513,26.2885,26.4528,1221900
2005-04-12,26.4528,26.8997,26.4528,26.8405,2062700
2005-04-13,26.6828,26.8208,26.2819,26.3279,1108800
2005-04-14,26.3279,26.3739,25.7758,25.8613,2160100
2005-04-15,25.7298,26.2622,25.6904,25.8218,1784100
2005-04-18,25.9927,26.0913,25.605,25.8218,1054500
2005-04-19,25.8153,26.0781,25.6838,25.973,869700
2005-04-20,25.8941,25.9599,25.3618,25.4341,1056400
2005-04-21,25.5326,26.2884,25.4735,26.1964,1654300
2005-04-22,26.2227,26.4265,26.0781,26.3016,1645800
2005-04-25,26.2885,26.5316,26.0256,26.1504,1391800
2005-04-26,26.157,26.5316,26.0387,26.0387,1142200
2005-04-27,26.4528,27.6423,26.2293,27.2677,2595200
2005-04-28,27.3729,27.8,27.2086,27.3794,1576500
2005-04-29,27.6358,28.2864,27.5043,28.2338,1861400
2005-05-02,28.3915,28.7202,27.9118,28.2272,1697300
2005-05-03,28.2601,28.5558,28.1747,28.2535,948900
2005-05-04,28.4572,29.0882,28.3587,29.0159,1184100
2005-05-05,28.8844,28.9764,28.2469,28.5821,1224500
2005-05-06,28.5953,28.7924,28.4704,28.5098,621000
2005-05-09,28.5164,28.7727,28.4638,28.7399,657000
2005-05-10,28.477,28.5296,27.9972,28.0301,976800
2005-05-11,27.9972,28.1221,27.5306,28.0104,1707100
