date,open,high,low,close,volume
2005-01-03,10.2874,10.374,10.1266,10.1513,1639900
2005-01-04,10.0956,10.1018,9.8606,9.9905,1712600
2005-01-05,10.1761,10.2998,10.0647,10.2379,1855300
2005-01-06,10.2379,10.3616,10.2317,10.2998,1136300
2005-01-07,10.3369,10.5658,10.3369,10.5472,1051300
2005-01-10,10.6091,10.8008,10.6091,10.7019,1198200
2005-01-11,10.7019,10.838,10.6647,10.6771,1488900
2005-01-12,10.6771,10.6771,10.5534,10.6029,1082100
2005-01-13,10.6214,10.6648,10.2936,10.374,1634500
2005-01-14,10.4235,10.5658,10.4235,10.5596,2420400
2005-01-18,10.5596,10.6338,10.4544,10.6029,736400
2005-01-19,10.6276,10.838,10.5163,10.807,1399600
2005-01-20,10.5781,10.7266,10.5472,10.6462,1129500
2005-01-21,10.6709,10.7019,10.3864,10.4235,1016700
2005-01-24,10.4544,10.4977,10.1451,10.2194,756700
2005-01-25,10.2627,10.4235,10.2194,10.3121,445300
2005-01-26,10.3121,10.3431,10.108,10.1637,1123800
2005-01-27,10.1575,10.2565,10.0833,10.1142,478000
2005-01-28,10.1699,10.2132,10.0956,10.1328,450600
2005-01-31,10.1946,10.2688,10.0709,10.1451,916500
2005-02-01,10.1451,10.207,10.1204,10.1451,873700
2005-02-02,10.1451,10.1451,9.8977,10.0214,971200
2005-02-03,9.9905,10.108,9.9781,10.009,500900
2005-02-04,9.9905,10.1142,9.9719,10.0214,590100
2005-02-07,10.0461,10.108,9.9657,9.9967,550600
2005-02-08,9.9967,10.1513,9.8977,10.1451,543200
2005-02-09,10.1142,10.1451,9.9595,10.009,811400
2005-02-10,10.0461,10.1451,9.7801,10.0956,594500
2005-02-11,10.0523,10.1266,9.9905,10.0523,1824300
2005-02-14,10.0214,10.1451,9.9534,10.0152,2904200
2005-02-15,10.04,10.0833,9.5884,9.9967,2840500
2005-02-16,10.0585,10.3183,10.009,10.2627,2897100
2005-02-17,10.3183,10.4297,10.2008,10.2936,2074500
2005-02-18,10.3245,10.3987,10.2379,10.3616,1197000
2005-02-22,10.3678,10.4421,10.2688,10.3554,829200
2005-02-23,10.306,10.374,10.0523,10.0523,1142000
2005-02-24,10.0214,10.0709,9.9534,10.0214,1064900
2005-02-25,10.0833,10.1946,10.0523,10.1266,822200
2005-02-28,10.0833,10.1637,10.0214,10.108,940000
2005-03-01,10.108,10.207,10.0214,10.207,992200
2005-03-02,10.0523,10.1451,10.0028,10.0523,870500
2005-03-03,10.1451,10.2194,10.0771,10.1266,1530900
2005-03-04,10.176,10.2008,9.8853,9.9595,1759100
2005-03-07,9.9905,10.0338,9.8977,10.009,552400
2005-03-08,10.0028,10.2688,10.0028,10.1328,749500
2005-03-09,10.1204,10.1389,9.8606,9.9224,960200
2005-03-10,9.9843,10.0214,9.8544,10.0214,757100
2005-03-11,10.0214,10.2255,9.9657,10.207,767200
2005-03-14,10.1761,10.2998,10.1699,10.2874,844800
2005-03-15,10.2874,10.2874,10.1637,10.2627,671700
2005-03-16,10.2008,10.207,10.1018,10.1822,1192700
2005-03-17,10.0276,10.275,9.9595,10.1575,1500800
2005-03-18,10.1699,10.207,9.9905,10.0523,1039500
2005-03-21,10.0771,10.1266,10.0214,10.0523,1282400
2005-03-22,10.0771,10.0956,9.9472,9.9534,696200
2005-03-23,9.9595,9.9595,9.576,9.6069,1997000
2005-03-24,9.6688,9.9286,9.6502,9.743,1071100
2005-03-28,9.8049,9.9224,9.7863,9.8296,1157800
2005-03-29,9.8049,9.8977,9.6255,9.7121,1465000
2005-03-30,9.8049,9.8606,9.5265,9.6935,1705300
2005-03-31,9.7183,9.9595,9.675,9.9348,2280500
2005-04-01,9.9348,10.1451,9.9348,10.0771,1664800
2005-04-04,10.0338,10.1266,9.8482,10.0894,1628200
2005-04-05,10.1142,10.4544,10.1142,10.2998,2236200
2005-04-06,10.2998,10.3802,10.2379,10.3121,1339600
2005-04-07,10.2874,10.4359,10.2688,10.4049,796400
2005-04-08,10.4049,10.4359,10.3678,10.4173,1007100
2005-04-11,10.4049,10.4421,10.3183,10.3493,784800
2005-04-12,10.3493,10.3926,10.1946,10.3431,847100
2005-04-13,10.3183,10.4544,10.2812,10.3493,614200
2005-04-14,10.3802,10.3802,10.2379,10.2503,838400
2005-04-15,10.2194,10.2503,9.8729,9.9905,1196700
2005-04-18,9.9595,10.0771,9.9162,9.9719,930000
2005-04-19,10.009,10.1142,9.7987,9.8667,1193200
2005-04-20,9.8544,9.8853,9.7554,9.7616,890800
2005-04-21,9.7987,9.9286,9.7183,9.7987,1089200
2005-04-22,9.8111,10.1761,9.8111,10.0771,1074600
2005-04-25,10.0894,10.207,10.0585,10.1575,656000
2005-04-26,10.1699,10.2379,10.1142,10.1328,649400
2005-04-27,10.04,10.3121,10.04,10.3121,825200
2005-04-28,10.207,10.2874,9.9905,10.0152,593400
2005-04-29,10.0338,10.1451,9.7863,9.9781,1200200
2005-05-02,9.9781,10.1266,9.8977,9.9224,1480200
2005-05-03,9.9905,10.2255,9.9286,10.1204,1152600
2005-05-04,10.1513,10.2379,10.0028,10.1822,2358800
2005-05-05,10.1884,10.6338,10.1761,10.5348,1347800
2005-05-06,10.5472,10.6091,10.207,10.2627,905600
2005-05-09,10.2317,10.5039,10.1761,10.4297,633400
2005-05-10,10.3926,10.3926,10.2503,10.3121,926400
2005-05-11,10.3245,10.4235,10.2441,10.3864,457800
2005-05-12,10.3493,10.4854,10.3431,10.3493,421000
2005-05-13,10.3493,10.4235,10.2874,10.2874,476700
2005-05-16,10.275,10.275,10.1761,10.1946,415700
2005-05-17,10.1699,10.3431,10.1451,10.275,428100
2005-05-18,10.3307,10.6091,10.3307,10.5163,1044200
2005-05-19,10.5287,10.6648,10.4915,10.64,810900
2005-05-20,10.6029,10.6276,10.4421,10.4854,725400
2005-05-23,10.5163,10.5163,10.3802,10.4421,681100
2005-05-24,10.473,10.4977,10.2688,10.3431,677500
2005-05-25,10.4235,10.4235,10.2688,10.2998,409500
2005-05-26,10.3616,10.4235,10.2565,10.3926,894600
2005-05-27,10.4544,10.9679,10.4421,10.9679,2300000
2005-05-31,10.9988,11.1163,10.8565,10.9988,3498900
2005-06-01,10.9926,11.1658,10.9741,11.0916,1154100
2005-06-02,11.2277,11.3514,11.1349,11.2091,1527000
2005-06-03,11.271,11.4071,11.2524,11.2895,852600
2005-06-06,11.1967,11.2586,10.9988,11.0112,999300
2005-06-07,11.0792,11.2586,11.073,11.2277,1205400
2005-06-08,11.2277,11.2586,11.0483,11.104,798100
2005-06-09,11.1658,11.1658,10.9493,11.0174,999200
2005-06-10,11.0174,11.2401,10.9864,11.1844,1244200
2005-06-13,11.1349,11.537,11.1287,11.4689,1667900
2005-06-14,11.4751,11.7102,11.3947,11.4009,1659100
2005-06-15,11.4194,11.5679,11.4009,11.4256,1485600
2005-06-16,11.4504,11.5432,11.3761,11.4009,1610000
2005-06-17,11.4256,11.4751,11.3328,11.3328,1628600
2005-06-20,11.3452,11.5432,11.3452,11.4442,1476600
2005-06-21,11.4442,11.7411,11.4256,11.7349,1825800
2005-06-22,11.7535,12.4401,11.7473,12.3721,4497200
2005-06-23,12.3721,12.4463,12.3041,12.3597,1810500
2005-06-24,12.3721,12.5577,12.3412,12.5453,1993800
2005-06-27,12.5515,12.5886,12.434,12.5206,1105500
2005-06-28,12.5329,12.8361,12.5206,12.6195,2261500
2005-06-29,12.6567,12.7371,12.4525,12.5329,2340100
2005-06-30,12.6072,12.7061,12.4958,12.5701,1633200
2005-07-01,12.5701,12.5824,12.4401,12.4958,1458400
2005-07-05,12.434,12.6505,12.3041,12.5762,922700
2005-07-06,12.8051,13.034,12.7123,12.8361,2102600
2005-07-07,12.8361,12.9536,12.7309,12.8855,1006500
2005-07-08,12.9288,13.1392,12.9165,13.0773,1224900
2005-07-11,13.1639,13.2381,12.9783,13.0897,1105500
2005-07-12,13.0835,13.1763,13.0464,13.0773,1040300
2005-07-13,13.0031,13.0031,12.7556,12.7928,1454800
2005-07-14,12.6381,12.8051,12.4154,12.6195,2123600
2005-07-15,12.5577,12.7309,12.4401,12.5267,748600
2005-07-18,12.4896,12.5206,12.2546,12.403,1690200
2005-07-19,12.4216,12.5948,12.3845,12.5453,1152900
2005-07-20,12.5391,12.5577,12.3659,12.4958,1781900
2005-07-21,12.5639,12.669,12.4711,12.6567,938900
2005-07-22,12.7123,12.8237,12.6567,12.7928,1001000
2005-07-25,12.7247,12.7927,12.6257,12.6814,969400
2005-07-26,12.5948,12.9041,12.5886,12.7618,849200
2005-07-27,12.7742,12.8794,12.6195,12.8794,847300
2005-07-28,12.9907,13.9186,12.9783,13.7083,2018200
2005-07-29,13.7145,13.7145,13.3742,13.4608,855500
2005-08-01,13.4608,13.5846,13.3928,13.4361,844500
2005-08-02,13.4361,13.5041,13.1825,13.2381,1231500
2005-08-03,13.3928,13.8691,13.3062,13.7949,1611200
2005-08-04,13.5475,13.6959,13.3,13.4237,1198900
2005-08-05,13.3928,13.5784,13.2196,13.5289,1004400
2005-08-08,13.5227,13.6093,13.3,13.3433,997900
2005-08-09,13.6093,13.7021,13.4114,13.6897,1151500
2005-08-10,13.7207,13.8011,13.5969,13.665,707800
2005-08-11,13.6526,14.0114,13.6155,13.931,895600
2005-08-12,13.931,13.931,13.6031,13.6341,649600
2005-08-15,13.6464,13.9186,13.6402,13.8877,653100
2005-08-16,13.8877,13.9495,13.764,13.7825,613500
2005-08-17,13.7763,13.9743,13.733,13.9434,959800
2005-08-18,13.9434,14.2774,13.7887,14.2341,1214100
2005-08-19,14.2341,14.4073,14.2279,14.3826,1047900
2005-08-22,14.3826,14.8218,14.3826,14.7599,1606100
2005-08-23,14.6857,14.7414,14.4754,14.4877,976500
2005-08-24,14.5805,15.1063,14.5743,14.9146,2046500
2005-08-25,14.9641,15.0197,14.5372,14.5991,1368400
2005-08-26,14.6795,15.0507,14.6548,14.9455,1025000
2005-08-29,14.9084,15.0878,14.7537,15.0197,1429400
2005-08-30,15.0197,15.2053,15.0012,15.1434,910800
2005-08-31,15.1311,15.3909,15.0321,15.3167,1158400
2005-09-01,15.3476,15.7311,15.3476,15.626,1420400
2005-09-02,15.626,15.7249,15.4651,15.4713,828500
2005-09-06,15.3105,15.4651,15.2919,15.3538,1710100
2005-09-07,15.2795,15.3538,15.2177,15.3414,1155300
2005-09-08,15.3538,15.5765,15.3538,15.4961,1032400
2005-09-09,15.527,15.6136,15.3723,15.4033,825800
2005-09-12,15.4156,15.4342,15.0692,15.2301,881700
2005-09-13,15.2734,15.3228,15.162,15.2177,1091400
2005-09-14,15.2115,15.329,15.1249,15.2177,2094400
2005-09-15,15.2795,15.4218,15.2795,15.3723,956600
