date,open,high,low,close,volume
2005-01-03,38.4719,38.4719,37.7321,37.8576,1970700
2005-01-04,37.9633,38.2143,37.6726,37.6858,3762600
2005-01-05,37.5537,37.8312,37.3952,37.6198,2902500
2005-01-06,37.6198,37.9699,37.4744,37.8906,4984900
2005-01-07,38.0491,38.2341,37.5207,37.9831,2670900
2005-01-10,37.8444,37.9038,37.4877,37.5141,2669400
2005-01-11,37.5141,37.5141,36.9262,37.0517,3142600
2005-01-12,37.0517,37.1441,36.7016,37.0781,2798000
2005-01-13,37.012,37.3225,36.8997,37.2036,2704900
2005-01-14,37.4546,37.8245,37.3754,37.8113,4327500
2005-01-18,37.5207,38.2803,37.4216,38.2605,2918700
2005-01-19,38.5776,38.9607,38.3134,38.6106,4495800
2005-01-20,38.0491,38.4455,37.9831,38.1945,3889000
2005-01-21,38.1482,38.3398,37.4546,37.5273,3642100
2005-01-24,37.5339,37.5537,36.1863,36.5034,6896900
2005-01-25,36.6289,36.8271,36.325,36.4175,3820500
2005-01-26,36.695,37.3159,36.6619,37.2102,4486500
2005-01-27,37.1045,37.7255,36.8799,37.6198,3221800
2005-01-28,37.6198,37.6198,37.0318,37.4678,2790900
2005-01-31,37.633,38.1152,37.633,38.0491,3672100
2005-02-01,37.5207,37.6462,36.9195,37.4744,4487600
2005-02-02,37.6528,37.6726,37.164,37.3489,1870700
2005-02-03,37.3291,37.415,36.7412,37.012,2228500
2005-02-04,36.9328,37.3291,36.9328,37.3291,1890700
2005-02-07,37.2564,37.7453,37.0583,37.5537,1880400
2005-02-08,37.4216,37.4546,36.6752,36.9262,2237800
2005-02-09,36.9922,37.1309,36.6157,36.6619,3030000
2005-02-10,36.8073,36.9394,35.9947,36.1467,6392800
2005-02-11,35.9419,36.8337,35.9419,36.695,4679100
2005-02-14,36.7874,37.2763,36.6553,36.8073,1980800
2005-02-15,37.0054,37.3886,36.8469,37.3489,3590300
2005-02-16,37.2496,37.4152,37.031,37.3224,1852200
2005-02-17,37.3224,37.4152,37.1039,37.1304,2371000
2005-02-18,36.9979,37.1105,36.8522,36.8522,1319400
2005-02-22,36.5608,36.5608,35.7063,35.7593,2702100
2005-02-23,35.8984,35.9978,32.3881,35.5938,2667200
2005-02-24,35.5938,35.8123,35.3354,35.7262,2920000
2005-02-25,35.8123,36.4018,35.7726,36.2627,2746400
2005-02-28,36.1965,36.1965,35.4944,36.0176,2418200
