date,open,high,low,close,volume
2005-08-11,2.237,2.2783,2.2026,2.2302,76671500
2005-08-12,2.237,2.4779,2.237,2.4683,29113500
2005-08-15,2.4435,2.4573,2.3761,2.3816,10596500
2005-08-16,2.3265,2.3816,2.3265,2.3609,5141000
2005-08-17,2.3609,2.3678,2.3128,2.3196,6423500
2005-08-18,2.3334,2.3375,2.237,2.2508,12727000
2005-08-19,2.2701,2.2976,2.237,2.2852,3029500
2005-08-22,2.2921,2.343,2.2591,2.3403,2909500
2005-08-23,2.4091,2.4697,2.3816,2.4174,13466000
2005-08-24,2.4091,2.4435,2.3857,2.4091,3083000
2005-08-25,2.4366,2.4422,2.3953,2.4036,4667000
2005-08-26,2.416,2.4243,2.3953,2.405,2704000
2005-08-29,2.3265,2.3651,2.3183,2.3403,5458000
2005-08-30,2.3554,2.394,2.3334,2.3444,2581000
2005-08-31,2.3485,2.3485,2.2866,2.3114,3004500
2005-09-01,2.3196,2.3196,2.1379,2.237,12468500
2005-09-02,2.2591,2.2825,2.204,2.2123,5748500
2005-09-06,2.2302,2.2646,2.226,2.2577,2726500
2005-09-07,2.2591,2.2618,2.2054,2.2288,3643500
2005-09-08,2.237,2.2742,2.237,2.2467,2558500
2005-09-09,2.2783,2.2852,2.2604,2.2811,2468500
2005-09-12,2.2646,2.2742,2.204,2.215,3300500
2005-09-13,2.2191,2.2191,2.1613,2.1861,3798500
2005-09-14,2.1682,2.1847,2.1544,2.1641,2055500
2005-09-15,2.1682,2.1765,2.0691,2.0787,6004000
2005-09-16,2.0732,2.1118,2.003,2.109,9555000
2005-09-19,2.0994,2.1957,2.0911,2.1338,5559000
2005-09-20,2.1338,2.2067,2.1269,2.1751,4178000
2005-09-21,2.1613,2.1613,2.0237,2.065,8313500
2005-09-22,2.065,2.0746,1.9961,1.9975,7184000
2005-09-23,1.9961,2.1613,1.9934,2.1462,4830500
2005-09-26,2.1476,2.1751,2.0994,2.1338,7826500
2005-09-27,2.1269,2.142,2.1118,2.1283,4505000
2005-09-28,2.1173,2.1173,2.0622,2.0856,3055000
2005-09-29,2.0911,2.1338,2.0402,2.065,6141000
2005-09-30,2.0718,2.0787,2.0182,2.0388,12109000
2005-10-03,2.0443,2.0443,1.9755,1.9961,4279000
2005-10-04,1.9892,1.9961,1.9314,1.9369,2002000
2005-10-05,1.9273,1.9273,1.7662,1.8103,10826000
2005-10-06,1.8172,1.8571,1.8034,1.8461,4121000
2005-10-07,1.8998,1.8998,1.853,1.8585,2174500
2005-10-10,1.8681,1.8777,1.7125,1.7277,2443000
2005-10-11,1.7414,1.7414,1.6533,1.6726,3256500
2005-10-12,1.6685,1.6767,1.6244,1.6437,2545500
2005-10-13,1.6423,1.6423,1.5405,1.5556,3555000
2005-10-14,1.5611,1.7208,1.5584,1.7015,7229500
2005-10-17,1.7015,1.7057,1.6657,1.6795,3007000
2005-10-18,1.6795,1.6795,1.6437,1.652,2575000
2005-10-19,1.6657,1.6878,1.6437,1.674,5052000
2005-10-20,1.6795,1.802,1.6781,1.7648,7568500
2005-10-21,1.7662,1.7993,1.758,1.7841,4029500
2005-10-24,1.7841,1.8172,1.7841,1.8075,2160000
2005-10-25,1.8213,1.8461,1.8006,1.8172,2629500
2005-10-26,1.8103,1.8378,1.7827,1.802,2839500
2005-10-27,1.7965,1.8144,1.7827,1.7896,810000
2005-10-28,1.8172,1.853,1.8172,1.8378,1664500
2005-10-31,1.8585,1.9259,1.8585,1.9025,3915000
2005-11-01,1.9479,1.9617,1.8653,1.8722,2830000
2005-11-02,1.875,1.8929,1.824,1.864,3455000
2005-11-03,1.8447,1.8585,1.8185,1.8309,1815000
2005-11-04,1.8309,1.897,1.8199,1.8447,2600500
2005-11-07,1.8447,1.9011,1.8392,1.8626,1783500
2005-11-08,1.8488,1.8653,1.8337,1.8612,1599500
2005-11-09,1.8653,1.8998,1.8557,1.8653,2294000
2005-11-10,1.875,1.9839,1.835,1.8957,4019000
2005-11-11,1.9012,1.9508,1.9012,1.9357,1347500
2005-11-14,1.9274,1.9577,1.9191,1.9398,1282500
2005-11-15,1.9508,2.0749,1.9384,2.0349,7032000
2005-11-16,2.0818,2.1369,2.068,2.0915,4794000
2005-11-17,2.1025,2.1893,2.0846,2.1783,8077500
2005-11-18,2.1783,2.1783,2.0887,2.1521,3764000
2005-11-21,2.1921,2.199,2.159,2.1811,4266000
2005-11-22,2.1811,2.1921,2.1383,2.1687,1920000
2005-11-23,2.1714,2.1714,2.1328,2.1369,1068000
2005-11-25,2.1438,2.1604,2.1438,2.1535,154000
2005-11-28,2.159,2.1631,2.1163,2.1356,1477000
2005-11-29,2.148,2.148,2.1301,2.1369,792000
2005-11-30,2.1342,2.148,2.1218,2.1301,1513500
2005-12-01,2.1259,2.1369,2.0804,2.1052,3586000
2005-12-02,2.1039,2.1438,2.0887,2.1411,3127500
2005-12-05,2.1301,2.1783,2.1094,2.1562,3232000
2005-12-06,2.1687,2.1852,2.1604,2.1811,1503000
2005-12-07,2.1852,2.2045,2.1535,2.1535,1762000
2005-12-08,2.1535,2.1535,2.079,2.0846,5745000
2005-12-09,2.0942,2.1094,2.057,2.0915,5531500
2005-12-12,2.0983,2.119,2.0749,2.0832,2333500
2005-12-13,2.0832,2.1025,2.0308,2.0528,3260500
2005-12-14,2.0473,2.0611,2.0253,2.0404,1973500
2005-12-15,2.0335,2.0653,2.0142,2.0639,1495500
2005-12-16,2.079,2.0956,2.0708,2.0818,3498000
2005-12-19,2.0818,2.1094,2.0404,2.1025,2893500
2005-12-20,2.0404,2.0749,2.017,2.0639,3497000
2005-12-21,2.0653,2.068,2.0156,2.0349,1900500
2005-12-22,2.0349,2.119,2.0349,2.1149,2252000
2005-12-23,2.0887,2.1232,2.0887,2.0997,1622000
2005-12-27,2.1066,2.1356,2.1025,2.1094,2007500
2005-12-28,2.1066,2.108,2.0584,2.1025,4846500
2005-12-29,2.1094,2.1287,2.1025,2.1135,1294000
2005-12-30,2.1135,2.1273,2.0942,2.1025,741000
2006-01-03,2.1025,2.1232,2.0818,2.1094,2272500
2006-01-04,2.1094,2.1645,2.1094,2.1452,2567500
2006-01-05,2.1507,2.239,2.1466,2.2266,5217500
2006-01-06,2.2197,2.2197,2.1783,2.2086,5087000
2006-01-09,2.2086,2.2886,2.2086,2.261,3454500
2006-01-10,2.2376,2.2721,2.2224,2.2679,2359500
2006-01-11,2.2679,2.2679,2.2335,2.2459,2560500
2006-01-12,2.2403,2.2858,2.2266,2.2472,2819000
2006-01-13,2.2486,2.2638,2.2431,2.2569,1849000
2006-01-17,2.2362,2.2528,2.1866,2.2445,2442500
2006-01-18,2.2335,2.2872,2.2128,2.2858,1538500
2006-01-19,2.2886,2.29,2.2528,2.279,1172500
2006-01-20,2.2831,2.2872,2.1907,2.199,1943500
2006-01-23,2.2017,2.2583,2.2004,2.2376,1171000
2006-01-24,2.2403,2.2914,2.2335,2.2734,3657000
2006-01-25,2.2748,2.2803,2.2197,2.2472,11327500
2006-01-26,2.2514,2.3203,2.2514,2.3107,2149500
2006-01-27,2.3093,2.3575,2.3038,2.3465,1289500
2006-01-30,2.3437,2.3782,2.312,2.33,1613500
2006-01-31,2.33,2.3603,2.3231,2.3451,2094500
2006-02-01,2.3327,2.3327,2.3093,2.3134,2454500
2006-02-02,2.3051,2.3134,2.2514,2.2748,7376500
2006-02-03,2.2721,2.33,2.2583,2.3272,2558000
2006-02-06,2.3272,2.3562,2.3231,2.3548,2713000
2006-02-07,2.3562,2.3562,2.3272,2.3355,2793000
2006-02-08,2.3341,2.3865,2.3231,2.3768,2350000
2006-02-09,2.3755,2.4527,2.3713,2.4127,1597500
2006-02-10,2.4127,2.4237,2.392,2.392,2953000
2006-02-13,2.3906,2.3906,2.3493,2.3493,1087500
2006-02-14,2.3438,2.4017,2.3189,2.3961,1291000
2006-02-15,2.3948,2.4265,2.3575,2.4099,955000
2006-02-16,2.4085,2.4265,2.3755,2.392,1903500
2006-02-17,2.4085,2.4196,2.3727,2.3879,1560000
2006-02-21,2.3824,2.3824,2.3217,2.352,2890000
2006-02-22,2.3562,2.4458,2.3479,2.4416,2073500
2006-02-23,2.4334,2.4678,2.4113,2.4582,904500
2006-02-24,2.33,2.6457,2.3272,2.5437,4643000
2006-02-27,2.5354,2.5354,2.4044,2.4775,3970000
2006-02-28,2.4678,2.4747,2.4127,2.4292,1863500
2006-03-01,2.4334,2.4761,2.4044,2.4485,2538500
2006-03-02,2.4568,2.4817,2.3975,2.4016,4221000
2006-03-03,2.3947,2.4016,2.3726,2.3878,5297000
2006-03-06,2.374,2.3809,2.3119,2.345,2579500
2006-03-07,2.3326,2.3492,2.3271,2.3409,1487000
2006-03-08,2.334,2.3409,2.3091,2.3298,1638000
2006-03-09,2.3298,2.3395,2.3022,2.3036,563500
2006-03-10,2.3077,2.3381,2.2981,2.3271,2066000
2006-03-13,2.3326,2.3326,2.3064,2.3188,1571000
2006-03-14,2.3119,2.3298,2.305,2.3257,1968000
2006-03-15,2.3257,2.3492,2.2967,2.3036,2505000
2006-03-16,2.3105,2.3174,2.2801,2.2912,1293000
2006-03-17,2.2981,2.3326,2.2967,2.3257,3242500
2006-03-20,2.3257,2.3284,2.2939,2.305,1892500
2006-03-21,2.3036,2.3036,2.2291,2.247,1888000
2006-03-22,2.2415,2.3229,2.2332,2.3215,1547000
2006-03-23,2.3202,2.3547,2.3036,2.3284,806000
2006-03-24,2.334,2.3533,2.3091,2.3464,977500
2006-03-27,2.345,2.3533,2.3257,2.3271,414500
2006-03-28,2.3188,2.3202,2.2774,2.2857,2245000
2006-03-29,2.2912,2.3312,2.2843,2.305,960000
2006-03-30,2.2981,2.3561,2.2981,2.3409,958000
2006-03-31,2.3326,2.3478,2.2884,2.345,1156500
2006-04-03,2.3478,2.3768,2.3464,2.3561,1725000
2006-04-04,2.3561,2.3657,2.3174,2.3202,1048500
2006-04-05,2.3257,2.3561,2.2512,2.3312,1519000
2006-04-06,2.3271,2.3505,2.2898,2.345,1093500
2006-04-07,2.3464,2.3464,2.2636,2.3229,765000
2006-04-10,2.3243,2.3464,2.2788,2.2788,661000
2006-04-11,2.2857,2.2967,2.2263,2.2277,940000
2006-04-12,2.2222,2.3105,2.2222,2.2843,1701000
2006-04-13,2.2719,2.3105,2.2636,2.2898,892500
2006-04-17,2.2912,2.3271,2.265,2.2663,1075500
2006-04-18,2.2622,2.3464,2.2567,2.345,2204000
2006-04-19,2.3464,2.4195,2.3243,2.3961,1862000
2006-04-20,2.4044,2.4844,2.3988,2.4706,1691000
2006-04-21,2.4941,2.5079,2.3781,2.4513,7823500
2006-04-24,2.4499,2.4554,2.3906,2.403,1505000
2006-04-25,2.4016,2.4568,2.3809,2.4568,1388500
2006-04-26,2.4679,2.5313,2.432,2.443,1692500
2006-04-27,2.4292,2.4775,2.4113,2.4402,1275500
2006-04-28,2.4154,2.4154,2.2926,2.3878,3939500
2006-05-01,2.3464,2.4623,2.3257,2.443,2382500
2006-05-02,2.4775,2.5879,2.4706,2.5879,4408000
2006-05-03,2.581,2.581,2.5134,2.53,3149000
2006-05-04,2.53,2.53,2.4665,2.4706,2255500
2006-05-05,2.4706,2.4913,2.4389,2.4775,1963000
2006-05-08,2.4789,2.4789,2.4057,2.432,1486000
2006-05-09,2.432,2.4416,2.4154,2.4182,1416500
2006-05-10,2.4126,2.4844,2.3878,2.4168,2660000
2006-05-11,2.414,2.4624,2.3546,2.356,1813000
2006-05-12,2.356,2.367,2.3159,2.327,1243000
