date,open,high,low,close,volume
2005-01-03,18.007,18.0263,17.5443,17.6439,1941200
2005-01-04,17.7981,17.9106,17.4993,17.5668,1675600
2005-01-05,17.509,17.946,17.509,17.7242,1448600
2005-01-06,17.7242,18.0199,17.7082,17.721,1552400
2005-01-07,17.8014,17.9235,17.4832,17.4832,1181400
2005-01-10,17.4415,17.8978,17.4318,17.7724,1423200
2005-01-11,17.6825,17.8142,17.676,17.7403,1032800
2005-01-12,17.705,17.7178,17.0495,17.1651,1999800
2005-01-13,17.0977,17.1266,16.7153,16.7281,1927400
2005-01-14,16.7185,16.8213,16.5514,16.7121,1734000
2005-01-18,16.6832,16.8535,16.5707,16.7988,1067600
2005-01-19,16.8374,16.9563,16.5868,16.6735,992000
2005-01-20,16.6478,16.9145,16.5418,16.5803,873200
2005-01-21,16.5867,16.8052,16.4743,16.5193,1019800
2005-01-24,16.545,16.7249,16.3907,16.4004,692000
2005-01-25,16.4486,16.8406,16.4036,16.5546,829600
2005-01-26,16.6928,16.7249,16.4775,16.6414,858000
2005-01-27,16.5803,16.7249,16.3682,16.5,975000
2005-01-28,16.5643,16.5643,16.2012,16.3104,1747000
2005-01-31,16.4582,16.59,16.3265,16.5482,1360800
2005-02-01,16.5739,16.6864,16.4775,16.6125,1201200
2005-02-02,16.5964,16.6992,16.5161,16.6028,1127200
2005-02-03,16.6382,16.6896,16.3972,16.4871,981600
2005-02-04,16.4679,16.5867,16.3875,16.5096,810200
2005-02-07,16.5482,16.8149,16.4968,16.8149,1746400
2005-02-08,16.8085,17.1973,16.7988,17.1491,2723400
2005-02-09,17.1908,17.2904,16.4357,16.7056,2265400
2005-02-10,16.7185,16.8502,16.365,16.455,1920000
2005-02-11,16.4422,16.9306,16.3972,16.8213,1070400
2005-02-14,16.8052,16.8792,16.6092,16.7313,681400
2005-02-15,16.8277,17.2905,16.7731,17.178,1194200
2005-02-16,17.1523,17.464,17.0623,17.3644,1308600
2005-02-17,17.3804,17.4704,17.0944,17.2133,823600
2005-02-18,17.2583,17.4254,16.9788,17.0205,1007000
2005-02-22,16.937,17.0045,16.6446,16.696,1345000
2005-02-23,16.8342,17.133,16.7731,17.0334,993600
2005-02-24,16.937,17.4254,16.8727,17.4254,952400
2005-02-25,17.435,17.6407,17.3258,17.615,773000
2005-02-28,17.6503,17.8078,17.48,17.5764,1084400
2005-03-01,17.6568,17.7821,17.57,17.6825,911200
2005-03-02,17.6568,17.8303,17.4543,17.5732,1042200
2005-03-03,17.6632,17.6728,17.2326,17.3322,951200
2005-03-04,17.4768,17.5796,17.3258,17.435,840600
2005-03-07,17.5057,17.8014,17.3579,17.8014,843200
2005-03-08,17.8303,17.962,17.676,17.7017,1093600
2005-03-09,17.7984,17.8661,17.4794,17.6728,868000
2005-03-10,17.7855,17.7855,17.2539,17.4311,706800
2005-03-11,17.4891,17.6889,17.2893,17.4085,780400
2005-03-14,17.4923,17.6083,17.3667,17.473,983400
2005-03-15,17.5116,17.589,17.2507,17.3151,629600
2005-03-16,17.2539,17.4118,16.9285,17.0283,724400
2005-03-17,17.0122,17.3119,16.951,17.1508,708200
2005-03-18,17.1572,17.2829,16.9156,16.9897,1052800
2005-03-21,16.9639,17.0509,16.748,16.8898,1036400
2005-03-22,16.9381,17.0026,16.6739,16.7351,954800
2005-03-23,16.7513,16.7674,16.4033,16.5418,954600
2005-03-24,16.5289,16.9156,16.4484,16.7545,1011800
2005-03-28,16.7609,16.9317,16.6643,16.6643,757200
2005-03-29,16.69,16.7674,16.3259,16.4645,999400
2005-03-30,16.4806,16.7802,16.4516,16.7802,887200
2005-03-31,16.8382,16.8415,16.5515,16.603,613000
2005-04-01,16.7351,16.9156,16.3453,16.5032,1176000
2005-04-04,16.4613,16.5901,16.1874,16.4258,1094800
2005-04-05,16.4323,16.5805,16.4226,16.4999,1194400
2005-04-06,16.5773,16.6353,16.3807,16.3807,759200
2005-04-07,16.4323,16.4548,16.2325,16.3743,855600
2005-04-08,16.2744,16.4097,15.9393,15.9876,1722600
2005-04-11,16.036,16.1616,15.7234,15.8555,1768800
2005-04-12,15.8136,16.1423,15.7943,16.0746,1785600
2005-04-13,16.0102,16.0263,15.5398,15.6654,1596600
2005-04-14,15.7138,15.7138,15.3046,15.4818,1910000
2005-04-15,15.5172,15.7395,15.34,15.4141,1379200
