date,open,high,low,close,volume
2005-01-03,15.6215,15.6951,15.3331,15.3484,5383200
2005-01-04,15.3791,15.4896,15.241,15.241,3895800
2005-01-05,15.0508,15.1827,14.8789,14.8974,8916000
2005-01-06,15.1889,15.4988,15.1121,15.2594,5987200
2005-01-07,15.2594,15.4497,15.1428,15.3668,3691600
2005-01-10,15.3668,15.6,15.3576,15.508,4684000
2005-01-11,15.4527,15.5356,15.3423,15.4804,4142200
2005-01-12,15.376,15.4343,15.3085,15.4067,4678400
2005-01-13,15.4957,15.6092,15.2533,15.3116,4201400
2005-01-14,15.3116,15.373,15.195,15.3668,3377800
2005-01-18,15.2656,15.4343,15.1981,15.3852,3426000
2005-01-19,15.3852,15.4896,15.3116,15.3638,2423600
2005-01-20,15.3791,15.4834,15.3055,15.3791,3227800
2005-01-21,15.3791,15.4251,15.1704,15.2809,3754400
2005-01-24,15.3549,15.3857,15.1452,15.1884,3898600
2005-01-25,15.2655,15.4289,15.1761,15.3549,5636000
2005-01-26,15.4166,15.5368,15.3703,15.3796,4044200
2005-01-27,16.0178,16.3169,15.7157,16.246,14601800
2005-01-28,16.1288,16.2121,15.5276,15.9284,14362000
2005-01-31,16.0332,16.2028,15.9592,16.1997,7571800
2005-02-01,16.1997,16.4187,16.0949,16.4063,5782000
2005-02-02,16.4186,16.7701,16.4186,16.7393,7078800
2005-02-03,16.8041,17.0908,16.7455,16.8904,11066600
2005-02-04,16.7578,16.9397,16.7239,16.9058,7439000
2005-02-07,16.9058,17.0723,16.7917,17.0199,6113400
2005-02-08,17.0137,17.0507,16.8565,16.9274,5810800
2005-02-09,16.9305,16.9582,16.7856,16.8072,3523600
2005-02-10,16.8102,16.8287,16.5605,16.6499,5097800
2005-02-11,16.6807,16.8996,16.6807,16.8503,4423800
2005-02-14,16.8534,16.8935,16.7516,16.801,2855800
2005-02-15,16.8041,16.8041,16.5358,16.6252,6124400
2005-02-16,16.6252,16.69,16.5204,16.6437,4582200
2005-02-17,16.6499,16.7239,16.5235,16.6252,4638000
2005-02-18,16.6653,16.6777,16.4032,16.4032,3953600
2005-02-22,16.4032,16.4279,16.1566,16.1566,3937000
2005-02-23,16.1874,16.2676,16.1227,16.2182,3773600
2005-02-24,16.1874,16.3015,16.0579,16.2922,3542200
2005-02-25,16.1874,16.3138,16.1381,16.2182,3566200
2005-02-28,16.1627,16.3354,16.0949,16.3169,4051600
2005-03-01,16.3169,16.5142,16.2737,16.3015,4736800
2005-03-02,16.3015,16.4341,16.1072,16.2522,4765000
2005-03-03,16.3107,16.3847,16.1288,16.2429,2756000
2005-03-04,16.2676,16.3292,16.1473,16.2922,3368000
2005-03-07,16.3385,16.3878,16.2707,16.32,2718400
2005-03-08,16.3046,16.3416,16.2336,16.2861,2662800
2005-03-09,16.2059,16.2583,15.9407,15.9592,3889600
2005-03-10,15.9346,16.3138,15.9284,16.2491,3909600
2005-03-11,16.2028,16.4186,16.1103,16.1381,3240400
2005-03-14,16.1381,16.2121,16.0672,16.2121,2828200
2005-03-15,16.2892,16.3847,16.2028,16.2182,3012000
2005-03-16,16.2213,16.2429,16.0332,16.098,2418200
2005-03-17,16.1257,16.1288,15.9222,16.0209,2429600
2005-03-18,15.9685,16.1134,15.8544,16.0764,4777000
2005-03-21,16.0764,16.0949,15.8729,15.9284,2926400
2005-03-22,15.8575,15.9284,15.5862,15.5985,4660200
2005-03-23,15.6016,16.1597,15.6016,16.0733,5533600
2005-03-24,16.0332,16.098,15.95,15.9623,2897000
2005-03-28,15.9623,16.0425,15.9007,15.9161,2215400
2005-03-29,15.8791,16.0271,15.8236,15.8575,3059400
2005-03-30,15.8328,16.1751,15.8297,16.1196,3002400
2005-03-31,16.172,16.1874,16.0394,16.0857,2223600
2005-04-01,16.1257,16.1782,15.802,15.8852,3690800
2005-04-04,15.8945,15.987,15.8174,15.9654,2768800
2005-04-05,16.0394,16.1843,16.0394,16.1165,2807000
2005-04-06,16.1843,16.3015,16.1134,16.2861,2531000
2005-04-07,16.3138,16.5081,16.2275,16.5081,3203400
2005-04-08,16.5081,16.6036,16.394,16.5081,2967200
2005-04-11,16.5605,16.6715,16.4772,16.5605,2711800
2005-04-12,16.5697,16.6931,16.3539,16.6345,3655400
2005-04-13,16.6715,16.7578,16.505,16.6283,3672800
2005-04-14,16.6283,16.6746,16.4217,16.4341,4442000
2005-04-15,16.4371,16.6746,16.2737,16.2861,5432400
2005-04-18,16.2552,16.3107,16.0332,16.1442,3755600
2005-04-19,16.135,16.1781,15.9962,16.0702,3824200
2005-04-20,16.024,16.0271,15.7249,15.7527,4875800
2005-04-21,15.9099,16.1103,15.8575,16.0332,3920600
2005-04-22,16.0053,16.0084,15.7635,15.9309,3136200
2005-04-25,15.9588,16.0704,15.8193,16.0146,3125000
2005-04-26,16.0301,16.0425,15.7201,15.7201,4756400
2005-04-27,15.7046,15.7759,15.0379,15.7294,7670000
2005-04-28,15.6984,15.8379,15.6054,15.6333,4446000
2005-04-29,15.6798,15.7232,15.3573,15.4379,5624800
2005-05-02,15.4813,15.5402,15.4255,15.5371,5363800
2005-05-03,15.5092,15.5309,15.3821,15.4565,4871200
2005-05-04,15.4999,15.534,15.3976,15.5154,4175000
2005-05-05,15.5247,15.5247,15.2984,15.3728,4954800
2005-05-06,15.4317,15.4379,15.1713,15.2457,4227800
2005-05-09,15.2705,15.2798,15.1682,15.1899,5998200
2005-05-10,15.1899,15.2085,14.9759,15.0689,4373400
2005-05-11,15.1062,15.2922,15.0689,15.2829,4499800
2005-05-12,15.2829,15.379,15.2271,15.2705,4034800
2005-05-13,15.3015,15.3015,14.9604,15.0689,4894600
2005-05-16,15.1155,15.2767,15.1,15.2488,4026200
2005-05-17,15.1713,15.3759,15.1713,15.3759,5239600
2005-05-18,15.3976,15.6891,15.3883,15.6271,5376000
2005-05-19,15.624,15.7356,15.624,15.717,2693800
2005-05-20,15.8069,15.8627,15.6829,15.8503,3552600
2005-05-23,15.8503,15.8596,15.6767,15.7263,4506400
2005-05-24,15.7821,15.7976,15.6271,15.7542,2933200
2005-05-25,15.7418,15.7759,15.5836,15.6457,2853200
2005-05-26,15.6891,15.7046,15.5805,15.593,2415800
2005-05-27,15.5712,15.6488,15.5092,15.5216,2411400
2005-05-31,15.5526,15.5837,15.4658,15.4937,2566400
2005-06-01,15.4999,15.7201,15.4596,15.5805,2949000
2005-06-02,15.503,15.5464,15.3542,15.3821,3157600
2005-06-03,15.3046,15.3728,15.193,15.2209,3876400
2005-06-06,15.1682,15.2116,15.0534,15.1806,3844000
2005-06-07,15.162,15.4658,15.162,15.4007,4558600
2005-06-08,15.3945,15.4999,15.3387,15.441,3708200
