date,open,high,low,close,volume
2005-01-03,22.8728,22.9977,21.7492,21.7652,5145000
2005-01-04,21.7741,22.0928,20.9751,21.4246,6800000
2005-01-05,21.4246,21.894,21.3347,21.7242,4679000
2005-01-06,21.7252,22.2236,21.5824,22.1237,2912500
2005-01-07,22.1247,22.2835,21.6842,21.7342,2811500
2005-01-10,21.5614,21.8291,21.3496,21.5194,4100500
2005-01-11,21.4545,21.4855,21.1798,21.2188,2906500
2005-01-12,21.2188,21.3736,19.9753,20.6854,9486000
2005-01-13,20.6864,21.0081,20.2909,20.7214,4040500
2005-01-14,20.6854,20.8742,20.5056,20.7484,1492500
2005-01-18,20.7234,20.7254,20.4757,20.6115,2616000
2005-01-19,20.8253,20.8852,20.3508,20.4008,2523500
2005-01-20,20.3059,20.3069,19.3171,19.6816,8732000
2005-01-21,19.387,19.5718,19.0783,19.2002,5683500
2005-01-24,18.9275,19.0274,18.3902,18.4821,8131000
2005-01-25,18.478,19.0174,18.3282,18.553,5810500
2005-01-26,18.7378,19.7266,18.513,19.6866,6446000
2005-01-27,20.2749,20.9791,20.0112,20.9651,8001000
2005-01-28,21.2747,21.2747,20.3958,20.9241,6937500
2005-01-31,21.3237,21.5524,21.1099,21.4246,5300000
2005-02-01,19.4769,19.5767,18.5879,19.1273,17287000
2005-02-02,19.2022,19.7116,19.2022,19.4139,7355500
2005-02-03,19.377,19.7565,19.0274,19.4979,4354000
2005-02-04,19.4769,20.4757,19.378,20.4707,6129000
2005-02-07,20.7254,20.9471,20.4707,20.8412,5247000
2005-02-08,20.8952,21.1129,20.7504,21.015,4669000
2005-02-09,21.015,21.019,20.176,20.2769,4828000
2005-02-10,20.4008,20.7004,20.1411,20.5975,4724000
2005-02-11,20.5985,21.035,20.3758,20.9251,3388000
2005-02-14,21.045,21.1818,20.8043,21.0999,2831000
2005-02-15,21.1329,21.2717,20.9002,21.1848,3169500
2005-02-16,21.1848,21.6573,20.7554,21.5854,5916500
2005-02-17,21.5244,21.7442,21.1928,21.2787,3297000
2005-02-18,21.1888,21.5154,21.1249,21.4266,2788500
2005-02-22,21.1749,21.6393,20.8253,20.9661,3481500
2005-02-23,20.9861,21.2248,20.6255,20.7593,3453500
2005-02-24,20.7653,21.1289,20.5506,20.9761,2858000
2005-02-25,20.7154,21.1898,20.7154,21.09,2312500
2005-02-28,21.055,21.1049,20.6005,20.6375,3248000
2005-03-01,20.6754,22.0228,20.6754,21.9739,6415000
2005-03-02,21.1998,21.2508,19.4869,19.8764,19515500
2005-03-03,20.0262,20.0462,19.0494,19.343,9950000
2005-03-04,19.357,20.176,19.357,19.6786,6134500
2005-03-07,19.6766,19.9363,19.2372,19.4499,4573500
2005-03-08,19.6031,19.7483,19.2427,19.4759,2979000
2005-03-09,19.3758,19.4219,18.9023,19.2026,4390000
