date,open,high,low,close,volume
2005-01-03,5.6926,5.7254,5.6326,5.6708,1875200
2005-01-04,5.6708,5.7035,5.5944,5.5944,2842800
2005-01-05,5.5944,5.5944,5.5125,5.518,1663500
2005-01-06,5.5125,5.5453,5.4907,5.5125,1736700
2005-01-07,5.5125,5.5835,5.4634,5.4689,1663200
2005-01-10,5.4689,5.5453,5.4252,5.5234,1047200
2005-01-11,5.5071,5.5071,5.4143,5.4579,2084900
2005-01-12,5.447,5.4579,5.2942,5.4197,3553400
2005-01-13,5.4197,5.4798,5.3215,5.3542,2445000
2005-01-14,5.3761,5.4252,5.3488,5.3815,1734900
2005-01-18,5.3761,5.4252,5.3652,5.4034,1477100
2005-01-19,5.4034,5.4034,5.3488,5.3761,2192400
2005-01-20,5.3488,5.4798,5.3324,5.4361,2191500
2005-01-21,5.4361,5.4743,5.4197,5.4416,2671300
2005-01-24,5.4361,5.4579,5.3761,5.3761,1948200
2005-01-25,5.4307,5.4525,5.3815,5.4197,2262000
2005-01-26,5.4743,5.6326,5.447,5.6162,3546500
2005-01-27,5.6108,5.709,5.578,5.6872,2680400
2005-01-28,5.6872,5.6926,5.6326,5.649,1393800
2005-01-31,5.6763,5.769,5.6599,5.7472,1747900
2005-02-01,5.7854,5.9492,5.78,5.9437,3082300
2005-02-02,5.9764,6.1238,5.9437,6.0911,2675600
2005-02-03,6.0911,6.1184,6.031,6.0801,2146300
2005-02-04,6.0256,6.2002,6.0147,6.2002,1384600
2005-02-07,6.162,6.2166,6.0474,6.0747,1001000
2005-02-08,6.0583,6.1129,6.031,6.0583,1507800
2005-02-09,6.0801,6.2002,6.0092,6.1402,2757300
2005-02-10,6.1402,6.2766,6.1402,6.1675,1707900
2005-02-11,6.1675,6.484,6.1402,6.4458,3290600
2005-02-14,6.5495,6.8061,6.5332,6.7133,5254700
2005-02-15,6.7296,7.0407,6.7133,6.9425,6275400
2005-02-16,6.948,6.9807,6.7679,6.9753,3923000
2005-02-17,6.9752,6.9752,6.8224,6.8552,2904600
2005-02-18,6.8661,6.9043,6.6532,6.7133,3332000
2005-02-22,6.6369,6.6696,6.4731,6.4731,2613700
2005-02-23,6.5113,6.6969,6.5004,6.5495,2303900
2005-02-24,6.5495,6.6478,6.5386,6.6369,1657300
2005-02-25,6.6041,6.7679,6.5495,6.7569,1360800
2005-02-28,6.7406,6.7406,6.5714,6.6259,1773900
2005-03-01,6.6369,6.7078,6.6314,6.6423,1072400
2005-03-02,6.6478,6.7788,6.5877,6.6805,1408200
2005-03-03,6.9589,6.9916,6.8606,6.9316,3546600
2005-03-04,7.0735,7.1717,7.0025,7.1226,2789700
2005-03-07,7.1226,7.2973,7.0517,7.1008,2474700
2005-03-08,7.2045,7.2481,6.9043,7.008,4320900
2005-03-09,7.0135,7.2045,6.9316,7.0899,3864300
2005-03-10,7.0517,7.2154,6.9916,7.1554,2128300
2005-03-11,7.1772,7.2591,7.0407,7.1062,1411500
2005-03-14,7.1554,7.2536,7.1117,7.2318,1425000
2005-03-15,7.2591,7.3955,7.2263,7.2754,2365100
2005-03-16,7.2809,7.33,7.1554,7.1663,2026800
2005-03-17,7.1772,7.33,7.1717,7.3027,1747400
2005-03-18,7.3682,7.3737,7.1663,7.2045,1894200
2005-03-21,7.2864,7.3082,7.0899,7.199,1398800
2005-03-22,7.2099,7.2864,7.0462,7.0462,2520100
2005-03-23,7.0735,7.1281,6.877,7.068,2177200
2005-03-24,7.068,7.1608,7.0407,7.0953,1035000
2005-03-28,7.0953,7.1281,6.9043,6.9261,2354700
2005-03-29,6.7951,7.0626,6.7351,6.8443,3690900
2005-03-30,6.8552,6.9589,6.8006,6.8224,4710800
2005-03-31,6.8934,7.1554,6.8224,7.1172,11338600
2005-04-01,7.139,7.2481,7.0244,7.0899,3493100
2005-04-04,7.1444,7.2209,7.068,7.199,1974700
2005-04-05,7.2099,7.2591,7.1936,7.2591,1873400
2005-04-06,7.2427,7.2645,7.0899,7.1663,2538600
2005-04-07,7.1499,7.2754,7.1172,7.2427,1681200
2005-04-08,7.2045,7.2918,7.1444,7.1663,1344300
2005-04-11,7.2209,7.2209,7.139,7.1772,1122300
2005-04-12,7.1062,7.2536,7.0735,7.2481,1069000
2005-04-13,7.2318,7.2318,7.0735,7.0953,3224600
2005-04-14,7.1499,7.1608,7.0244,7.0407,1698800
2005-04-15,7.0244,7.1062,6.8224,6.8825,2889300
