date,open,high,low,close,volume
2005-01-03,17.4984,17.5206,17.2863,17.3825,1618400
2005-01-04,17.4244,17.602,17.4145,17.5255,2942800
2005-01-05,17.5255,18.0632,17.195,17.8831,4929200
2005-01-06,18.1396,18.2703,17.708,17.8437,8868800
2005-01-07,17.597,17.7573,17.4367,17.5822,3950400
2005-01-10,17.602,17.7549,17.5625,17.634,3862800
2005-01-11,17.7327,17.745,17.6784,17.7351,3203200
2005-01-12,17.7351,17.7573,17.6784,17.7105,2654000
2005-01-13,17.7277,17.7327,17.523,17.5526,1348800
2005-01-14,17.5526,17.6242,17.3183,17.5896,1981600
2005-01-18,17.5107,17.8708,17.4984,17.8708,2444400
2005-01-19,17.8807,18.3419,17.8486,18.1618,3512800
2005-01-20,18.2235,18.6205,18.1692,18.554,3953600
2005-01-21,18.554,18.8252,18.4306,18.5441,3491600
2005-01-24,18.5441,18.6797,18.2013,18.2087,2856400
2005-01-25,18.2062,18.2506,17.486,18.1026,5938000
2005-01-26,18.1026,18.4282,17.819,18.3813,3554800
2005-01-27,18.3739,19.0571,18.3739,18.7439,3459600
2005-01-28,18.7439,18.8647,18.4405,18.5244,1123600
2005-01-31,18.5268,19.1138,18.5268,18.9165,2091200
2005-02-01,18.919,19.0891,18.8992,18.9782,1606800
2005-02-02,19.0028,19.2371,18.9905,19.2371,1029600
2005-02-03,19.9153,20.0633,19.6194,20.0633,4574800
2005-02-04,20.0633,20.1817,19.829,20.0806,1821600
2005-02-07,19.977,19.977,19.6811,19.8858,2420800
2005-02-08,19.9474,20.1694,19.9449,20.0905,1728800
2005-02-09,20.0905,20.125,19.8414,19.8414,1460000
2005-02-10,19.8438,20.0313,19.8438,20.0066,790400
2005-02-11,20.0633,20.2113,19.9597,20.2113,1164000
2005-02-14,20.2853,20.4333,20.2286,20.3223,1589600
2005-02-15,20.3469,20.6824,20.3469,20.6429,2067600
2005-02-16,20.6059,20.7662,20.4678,20.564,3120800
2005-02-17,20.564,20.6182,20.4777,20.5023,1524000
2005-02-18,20.4382,20.4382,19.9918,20.125,1996800
2005-02-22,19.7057,19.9671,19.5454,19.8562,2068800
2005-02-23,19.8537,20.2434,19.8537,20.1398,1573600
2005-02-24,20.0781,20.347,19.9967,20.347,1011200
2005-02-25,20.3469,20.6256,20.1866,20.5812,1222800
2005-02-28,20.5812,20.6306,20.1422,20.31,1155200
2005-03-01,20.3716,20.6898,20.3716,20.5566,2060000
2005-03-02,20.5073,20.6552,20.4185,20.4752,1184000
2005-03-03,20.4826,20.6404,20.3913,20.4308,1314000
2005-03-04,20.4283,20.6676,20.4209,20.4579,1851200
2005-03-07,20.4579,20.7638,20.4579,20.6922,1590400
2005-03-08,20.6922,20.8895,20.4752,20.4949,932400
2005-03-09,20.5023,20.6084,20.2952,20.3149,1050400
2005-03-10,19.977,20.7169,19.9745,20.3346,2568400
2005-03-11,20.3321,20.7169,20.2828,20.4703,1416000
2005-03-14,20.4703,20.6972,20.0411,20.1398,2416000
2005-03-15,20.1003,20.3445,19.903,19.903,1213600
2005-03-16,19.9523,19.9622,19.76,19.8044,1554800
2005-03-17,19.829,19.8783,19.3728,19.7032,1498000
2005-03-18,19.6441,19.8364,19.4615,19.5331,1483200
2005-03-21,19.4837,19.4837,19.0497,19.4221,1836800
2005-03-22,19.2864,19.358,18.8696,18.9979,2643200
2005-03-23,19.0275,19.0472,18.8302,18.8844,972000
2005-03-24,18.9338,18.9954,18.6378,18.6822,1956400
2005-03-28,18.7069,18.8178,18.549,18.6181,1282000
2005-03-29,18.5638,18.5835,17.6266,17.7006,5528800
2005-03-30,17.639,18.0508,17.3948,17.9423,2349200
2005-03-31,17.7573,18.073,17.708,17.9793,1800400
2005-04-01,18.1963,18.2827,17.7549,17.925,1884400
2005-04-04,17.925,18.1791,17.7277,17.8338,1428800
2005-04-05,17.8264,18.0854,17.7795,17.967,1331600
2005-04-06,17.967,18.5096,17.962,18.3739,2669600
2005-04-07,18.3986,18.7093,18.3986,18.4948,1924000
2005-04-08,18.5835,18.6033,18.3862,18.4553,743600
2005-04-11,18.4602,18.5811,18.3418,18.3418,1190000
2005-04-12,18.2481,18.2555,17.9571,18.1248,1456800
2005-04-13,18.1248,18.1248,17.9694,17.9793,1141200
2005-04-14,17.999,18.004,17.4121,17.4293,1718000
2005-04-15,17.4318,17.5847,17.047,17.3183,2078000
2005-04-18,17.3504,17.6439,17.3504,17.6266,1146400
2005-04-19,17.6883,17.9053,17.5798,17.6192,1152000
2005-04-20,17.634,17.6809,17.269,17.306,853600
2005-04-21,17.4047,17.5724,17.1852,17.4786,1160400
2005-04-22,17.4811,17.7006,17.417,17.597,772800
2005-04-25,17.5847,17.597,16.8695,17.0396,2219200
2005-04-26,16.941,16.941,15.9298,16.3343,6633600
2005-04-27,16.2776,16.7264,16.0802,16.6968,2347600
2005-04-28,16.6845,16.6944,16.1296,16.1789,2078000
2005-04-29,16.2159,16.6845,16.2159,16.6598,1876400
2005-05-02,16.7116,16.7264,15.291,15.439,5450400
2005-05-03,15.291,15.291,14.3341,14.852,13467600
2005-05-04,14.8224,14.8249,14.3908,14.4895,6097600
2005-05-05,15.0444,15.6117,14.9211,15.4637,11725200
2005-05-06,15.3404,15.5377,15.1061,15.3798,5036800
2005-05-09,15.1801,15.2565,15.0493,15.0789,2622800
2005-05-10,15.0789,15.1801,14.9606,15.074,2154400
2005-05-11,15.0148,15.1455,14.9137,15.1431,1230800
2005-05-12,15.1431,15.476,14.8915,15.0296,3012800
2005-05-13,15.0296,15.0641,14.7337,14.8372,2952400
2005-05-16,14.8718,15.1258,14.8224,15.1159,1470000
2005-05-17,14.9951,15.1924,14.9482,15.1554,1777200
2005-05-18,15.1184,15.4439,15.1184,15.3996,1684400
2005-05-19,15.4514,15.8509,15.4514,15.7818,2950400
2005-05-20,15.7374,15.772,15.661,15.7547,976000
2005-05-23,15.8188,16.2554,15.7991,16.1666,4454000
2005-05-24,16.1789,16.2776,16.0063,16.1,1414000
2005-05-25,16.1296,16.1468,15.6906,15.7818,3070800
2005-05-26,15.7818,15.9816,15.7818,15.9446,2874400
2005-05-27,15.9693,16.1271,15.9693,16.0926,1209600
2005-05-31,16.1912,16.3491,16.1123,16.2899,4623200
2005-06-01,16.2899,16.391,15.9791,16.0753,2854400
2005-06-02,16.0803,16.1666,15.8238,15.9495,2150400
2005-06-03,15.9989,15.9989,15.7399,15.7843,1754800
2005-06-06,15.7818,15.8583,15.6141,15.7991,1784000
2005-06-07,16.0309,16.0309,15.8287,15.8928,2179200
2005-06-08,14.8594,15.4785,14.7978,15.0814,12701200
2005-06-09,15.0765,15.2762,15.0641,15.1825,3162400
2005-06-10,15.2072,15.3207,15.0517,15.2738,3191200
