date,open,high,low,close,volume
2005-01-03,9.473,9.4891,9.3648,9.3874,6862000
2005-01-04,9.4117,9.4375,9.2212,9.3132,7440800
2005-01-05,9.3293,9.3406,9.2583,9.2954,5112000
2005-01-06,9.3632,9.4197,9.3116,9.3745,4183200
2005-01-07,9.3745,9.3923,9.2551,9.3471,3062400
2005-01-10,9.3471,9.4762,9.2873,9.3471,4755200
2005-01-11,9.4359,9.5166,9.3358,9.3697,5911600
2005-01-12,9.41,9.4536,9.3406,9.3729,6936800
2005-01-13,9.4117,9.4262,9.2066,9.2179,4628400
2005-01-14,9.2583,9.2841,9.1937,9.2454,3761600
2005-01-18,9.247,9.3697,9.2163,9.3552,6355200
2005-01-19,9.3778,9.4294,9.2712,9.2825,5594400
2005-01-20,9.2825,9.3987,9.2793,9.3648,3383200
2005-01-21,9.3519,9.402,9.1743,9.2034,4725600
2005-01-24,9.205,9.3874,9.1437,9.2938,7258800
2005-01-25,9.2664,9.3277,9.0242,9.1243,11516000
2005-01-26,9.1856,9.3471,9.1695,9.3439,5239200
2005-01-27,9.3761,9.4117,9.2421,9.2761,4312000
2005-01-28,9.3874,9.4908,9.3697,9.423,6068800
2005-01-31,9.4439,9.452,9.3632,9.4084,3356000
2005-02-01,9.3923,9.5473,9.3713,9.5182,5202400
2005-02-02,9.5489,9.5521,9.452,9.4988,5651600
2005-02-03,9.5295,9.6829,9.5263,9.6829,5326000
2005-02-04,9.4843,9.8152,9.4472,9.6215,8458800
2005-02-07,9.6215,9.6796,9.5908,9.5973,2012400
2005-02-08,9.6102,9.7458,9.5424,9.7071,4733200
2005-02-09,9.67,9.7442,9.5247,9.544,5508000
2005-02-10,9.5844,9.6118,9.5553,9.6054,3642800
2005-02-11,9.6054,9.7684,9.5941,9.741,2564800
2005-02-14,9.7345,9.7733,9.6958,9.72,3722800
2005-02-15,9.7458,9.9831,9.7022,9.9621,4725600
2005-02-16,9.9646,9.9969,9.8515,9.8887,7073200
2005-02-17,9.8612,9.9016,9.64,9.64,9570400
2005-02-18,9.6577,9.6997,9.6077,9.69,8076800
2005-02-22,9.6173,9.6868,9.4607,9.4978,6760800
2005-02-23,9.6335,9.6577,9.5043,9.5592,5610800
2005-02-24,9.535,9.7223,9.5011,9.69,4231600
2005-02-25,9.7062,9.7595,9.6626,9.69,5476800
2005-02-28,9.69,9.6981,9.648,9.6739,3664000
2005-03-01,9.6949,10.055,9.69,9.9339,7124400
2005-03-02,9.908,9.9856,9.8402,9.971,3193200
2005-03-03,10.0114,10.0922,9.9694,10.034,4160000
2005-03-04,10.0744,10.1551,10.0453,10.118,2541200
2005-03-07,10.0938,10.2052,10.0922,10.1148,3074800
2005-03-08,10.1406,10.2391,10.1309,10.139,4090800
2005-03-09,10.139,10.1503,9.7385,9.7724,6554400
2005-03-10,9.795,9.8838,9.7401,9.7562,4048000
2005-03-11,9.7869,9.8289,9.7062,9.7401,2978800
2005-03-14,9.7708,9.9323,9.7546,9.8612,4450000
2005-03-15,9.8612,9.9113,9.711,9.711,2777600
2005-03-16,9.711,9.7304,9.5592,9.6287,4349200
2005-03-17,9.69,9.8451,9.6884,9.8176,3290800
2005-03-18,9.8192,9.9339,9.7449,9.8289,3631600
2005-03-21,9.8031,9.8628,9.7805,9.8208,1752800
2005-03-22,9.8192,9.8677,9.7562,9.7562,1657200
2005-03-23,9.7918,9.9775,9.7385,9.9339,2808800
2005-03-24,9.95,9.9823,9.7821,9.8693,2298000
2005-03-28,8.9148,8.9503,8.6096,8.7259,25339200
2005-03-29,8.7033,8.8389,8.5514,8.7388,10419200
2005-03-30,8.7808,9.0279,8.7549,9.0117,7404400
2005-03-31,9.149,9.367,9.1005,9.2524,9666400
2005-04-01,9.2297,9.3105,9.0505,9.1022,6354800
2005-04-04,9.1571,9.3589,9.1571,9.3202,4583200
2005-04-05,9.3105,9.5237,9.2895,9.5188,5631200
2005-04-06,9.5366,9.6044,9.4268,9.4623,5699200
2005-04-07,9.5059,9.5931,9.5011,9.5608,6661200
2005-04-08,9.4332,9.6093,9.3153,9.3396,8300800
2005-04-11,9.3396,9.4801,9.3396,9.4445,4550800
2005-04-12,9.4445,9.5705,9.3476,9.5301,5136800
2005-04-13,9.472,9.556,9.451,9.4962,7301200
2005-04-14,9.5204,9.6965,9.4962,9.6254,6582800
