date,open,high,low,close,volume
2005-01-03,21.1249,21.1664,20.8803,21.0213,462100
2005-01-04,21.0006,21.0835,20.5321,20.5818,356900
2005-01-05,20.5445,20.5652,19.8686,19.8811,626500
2005-01-06,19.9226,20.0677,19.7774,19.9143,295500
2005-01-07,20.0055,20.0718,19.6821,19.9018,242500
2005-01-10,19.9143,20.0677,19.8438,19.906,250300
2005-01-11,19.8604,19.9433,19.7526,19.7567,479300
2005-01-12,19.7982,19.8189,19.5494,19.7028,353000
2005-01-13,19.6323,20.0179,19.6323,19.8521,292700
2005-01-14,19.8811,20.0013,19.7857,19.8396,245000
2005-01-18,19.7899,19.9764,19.7028,19.9764,227300
2005-01-19,20.0469,20.3082,19.8189,19.9847,161000
2005-01-20,19.9018,19.9433,19.5701,19.8147,235000
2005-01-21,19.7774,20.0469,19.6945,19.8604,175900
2005-01-24,19.9018,20.0055,19.6489,19.6945,219200
2005-01-25,19.653,19.7816,19.2426,19.2426,280800
2005-01-26,19.2011,19.3213,19.0726,19.1431,264900
2005-01-27,19.1762,19.1762,18.7284,18.8031,348100
2005-01-28,18.886,18.9648,18.6828,18.8487,453400
2005-01-31,18.9109,19.0311,18.7036,18.7865,342000
2005-02-01,18.9275,19.0394,18.8653,18.9648,298500
2005-02-02,19.0519,19.114,18.828,18.8777,276400
2005-02-03,18.857,19.114,18.8321,19.114,332600
2005-02-04,19.1762,19.2426,19.0643,19.1555,250600
2005-02-07,19.0726,19.1721,18.9482,19.0145,193400
2005-02-08,18.9897,19.0062,18.7741,18.8404,301800
2005-02-09,19.1555,19.2384,18.9689,19.0062,395500
2005-02-10,19.0021,19.1431,18.9689,19.114,267300
2005-02-11,19.1348,19.3628,19.0726,19.3504,420700
2005-02-14,19.3628,19.3835,19.2218,19.2882,155700
2005-02-15,19.2384,19.4913,19.1762,19.4623,300600
2005-02-16,19.4457,19.5494,19.3587,19.5328,280200
2005-02-17,19.5328,19.5991,19.4582,19.5494,258800
2005-02-18,19.4872,19.4913,19.3587,19.4333,315600
2005-02-22,19.3297,19.3753,19.2218,19.2218,450400
2005-02-23,19.3214,19.4457,19.2799,19.4126,482200
2005-02-24,19.4167,19.4623,19.1099,19.1306,699600
2005-02-25,19.1306,19.5452,19.1306,19.5452,207700
2005-02-28,19.5909,19.624,19.2384,19.2384,408300
2005-03-01,19.2451,19.4334,19.0527,19.3162,571700
2005-03-02,19.6635,19.6886,19.2953,19.6217,497900
2005-03-03,19.7053,19.9647,19.6844,19.9145,524000
2005-03-04,19.9898,20.5128,19.9898,20.4333,522500
2005-03-07,20.5212,20.8266,20.3329,20.6508,437400
2005-03-08,20.6258,20.6258,20.4584,20.5421,179600
2005-03-09,20.5421,20.5421,19.8727,19.902,358900
2005-03-10,20.0693,20.2952,19.9773,20.1697,437800
2005-03-11,20.1614,20.1614,19.9229,19.9438,233600
2005-03-14,20.0819,20.1153,19.8852,20.0442,237000
2005-03-15,20.061,20.2367,19.9815,20.1112,460700
2005-03-16,20.0819,20.1028,19.6677,19.7472,347900
2005-03-17,19.8099,19.994,19.7639,19.8978,156500
2005-03-18,19.9145,19.9522,19.5924,19.6217,296300
2005-03-21,19.6635,19.6886,19.4125,19.5045,217000
2005-03-22,19.4752,19.6635,19.3706,19.4125,548400
2005-03-23,19.3288,19.6426,19.0987,19.4836,415600
2005-03-24,19.5254,19.9103,19.5254,19.7388,322600
2005-03-28,19.7262,19.8727,19.697,19.7848,352100
2005-03-29,19.6217,19.8099,19.3706,19.4669,772500
2005-03-30,19.4334,19.835,19.3999,19.6886,294800
2005-03-31,19.7053,19.8894,19.5547,19.676,386900
2005-04-01,19.8476,19.8476,19.4585,19.5714,361300
2005-04-04,19.5589,19.5798,19.3288,19.5631,227400
2005-04-05,19.5631,19.7263,19.5464,19.5756,185000
2005-04-06,19.5798,19.789,19.5589,19.7848,118900
2005-04-07,19.7848,20.0819,19.7137,20.0233,180500
2005-04-08,20.1237,20.1614,20.0191,20.0651,132900
2005-04-11,20.0651,20.1028,19.9354,20.0149,287700
2005-04-12,19.9982,20.1153,19.8978,20.1028,614700
2005-04-13,20.1865,20.2283,20.0693,20.1153,143700
2005-04-14,20.0819,20.1446,20.0066,20.0819,351600
2005-04-15,20.1446,20.2701,20.04,20.153,837700
2005-04-18,20.153,20.3705,20.0609,20.1906,162400
2005-04-19,20.2074,20.3078,20.1488,20.3078,161600
2005-04-20,20.291,20.312,20.1655,20.199,153500
2005-04-21,20.1865,20.3329,20.1739,20.312,204900
2005-04-22,20.2492,20.5839,20.2283,20.5546,234200
2005-04-25,20.5002,21.0441,20.4458,21.0232,359900
2005-04-26,21.0023,21.0441,20.8391,21.0107,211000
2005-04-27,20.9814,21.224,20.9019,21.1194,120800
2005-04-28,21.1194,21.1194,20.8726,20.9312,176200
2005-04-29,20.8768,21.337,20.8559,21.337,166800
2005-05-02,21.2951,21.3161,20.6174,21.0525,256300
2005-05-03,20.9814,21.086,20.8726,20.9604,275000
2005-05-04,20.8768,21.0734,20.8768,21.0441,265700
2005-05-05,21.0023,21.0441,20.9563,21.0023,356300
2005-05-06,21.0023,21.0232,20.7931,20.9186,243200
2005-05-09,20.8349,21.1822,20.8349,21.1822,431400
2005-05-10,21.086,21.5085,20.9772,21.4918,282100
2005-05-11,21.4625,21.4918,21.2157,21.429,290300
2005-05-12,21.337,21.3495,21.1153,21.1613,241900
2005-05-13,21.086,21.1989,20.9186,21.0776,132500
2005-05-16,21.2156,21.337,21.2073,21.3119,352400
2005-05-17,21.2533,21.3872,21.2115,21.2952,282300
2005-05-18,21.3788,21.5462,21.1738,21.4709,255600
2005-05-19,21.5043,21.8599,21.5043,21.7846,245600
2005-05-20,21.7344,21.7763,21.6508,21.747,250200
2005-05-23,21.7344,21.839,21.7135,21.747,225600
2005-05-24,21.6926,21.6926,21.2659,21.4416,261600
2005-05-25,21.4876,21.4876,21.086,21.1487,141800
2005-05-26,21.2115,21.4416,21.2115,21.3161,329600
2005-05-27,21.3788,21.4207,21.2659,21.4207,115600
2005-05-31,21.4834,21.7177,21.4834,21.5922,608200
2005-06-01,21.6508,21.8223,21.6298,21.8223,420200
2005-06-02,21.8223,21.885,21.7302,21.7554,112500
2005-06-03,21.7554,22.0189,21.7135,21.7554,289900
2005-06-06,21.7888,21.9018,21.7302,21.8809,219900
2005-06-07,21.8809,22.5042,21.8223,22.3327,564300
2005-06-08,22.3829,22.613,22.3829,22.5252,228500
2005-06-09,22.5252,22.5879,22.3662,22.5335,180000
2005-06-10,22.521,22.8222,22.521,22.7804,463900
2005-06-13,22.6967,23.0147,22.613,23.0105,209700
2005-06-14,22.9268,23.2448,22.9268,23.1569,368100
2005-06-15,23.2197,23.2406,23.0314,23.2406,140700
2005-06-16,23.2322,23.2406,22.977,23.2322,117300
2005-06-17,23.638,23.6631,23.2113,23.2615,478100
2005-06-20,23.1695,23.3326,23.1193,23.2615,128900
2005-06-21,23.2364,23.2406,22.9603,23.0105,256100
2005-06-22,23.0523,23.0941,22.8975,23.0021,224400
2005-06-23,22.9603,23.1151,22.9184,23.0063,168700
2005-06-24,22.9686,23.0188,22.613,22.8431,229800
2005-06-27,22.8348,22.8599,22.7176,22.7469,234100
2005-06-28,22.8591,22.9183,22.6686,22.7532,505500
2005-06-29,22.6897,22.9268,22.6728,22.7405,183000
2005-06-30,22.7321,22.8083,22.5712,22.7532,460800
2005-07-01,22.7109,22.7913,22.6474,22.7024,165400
2005-07-05,22.6474,22.9099,22.6474,22.8591,375000
2005-07-06,22.8422,22.8591,22.7363,22.7744,180100
2005-07-07,22.7109,22.931,22.6474,22.9268,193500
2005-07-08,22.9649,23.4348,22.8887,23.2824,300700
2005-07-11,23.2824,23.6338,23.2401,23.5957,194600
2005-07-12,23.5956,23.6803,23.4602,23.6464,240100
2005-07-13,23.6464,23.6464,23.4475,23.4517,269500
2005-07-14,23.4517,23.4517,22.694,22.9818,399100
2005-07-15,22.9861,23.0242,22.8167,22.8548,467900
2005-07-18,22.8506,22.8591,22.5247,22.7152,477600
2005-07-19,22.6686,22.8167,22.6686,22.7532,244600
2005-07-20,22.7532,22.7744,22.5458,22.7532,212000
2005-07-21,22.7448,22.7575,22.4908,22.6093,246000
2005-07-22,22.5627,22.7617,22.5627,22.6897,123500
2005-07-25,22.7321,22.9226,22.7236,22.7956,351400
2005-07-26,22.804,22.8802,22.7786,22.8591,437100
2005-07-27,22.8802,22.9268,22.7659,22.8591,447900
2005-07-28,22.7744,23.2528,22.7744,23.1766,684400
2005-07-29,23.185,23.4009,23.1131,23.4009,515400
2005-08-01,23.3882,23.494,23.3205,23.4094,254600
2005-08-02,23.4729,23.7861,23.4687,23.7523,408600
2005-08-03,23.7523,23.7523,23.3036,23.5067,785500
2005-08-04,23.5068,23.5068,23.003,23.0072,148100
2005-08-05,22.9649,22.9691,21.7585,22.004,362100
2005-08-08,21.9489,21.9489,20.9796,21.1277,266200
2005-08-09,21.1531,21.6315,21.1531,21.2886,285700
2005-08-10,21.3605,21.8982,21.2886,21.6696,356900
