date,open,high,low,close,volume
2005-01-03,4.0533,4.194,4.0533,4.1002,3704000
2005-01-04,4.0878,4.1249,3.9841,4.0409,2843200
2005-01-05,4.1446,4.441,4.1274,4.4336,12164400
2005-01-06,4.4336,4.4954,4.3225,4.3768,6628400
2005-01-07,4.4287,4.4435,4.2953,4.3348,4608000
2005-01-10,4.199,4.3422,4.1866,4.194,3788400
2005-01-11,4.194,4.199,4.0434,4.0557,2862000
2005-01-12,3.705,3.8161,3.6334,3.7297,18628000
2005-01-13,3.7667,3.8729,3.7173,3.7667,4376800
2005-01-14,3.7667,3.7791,3.6334,3.705,3806000
2005-01-18,3.6803,3.742,3.6185,3.7173,2507200
2005-01-19,3.7173,3.7519,3.6704,3.7025,1841600
2005-01-20,3.7025,3.7025,3.6062,3.6087,4050000
2005-01-21,3.6161,3.6383,3.4802,3.5691,7144400
2005-01-24,3.5691,3.5988,3.4086,3.4333,4587600
2005-01-25,3.4086,3.4703,3.3839,3.3913,3506000
2005-01-26,3.3938,3.4308,3.3542,3.4086,2882400
2005-01-27,3.4111,3.4555,3.2974,3.3641,2001600
2005-01-28,3.3715,3.4086,3.3024,3.3246,1974800
2005-01-31,3.3246,3.3888,3.3024,3.3839,1607200
2005-02-01,3.337,3.4432,3.2974,3.3839,1214800
2005-02-02,3.3839,3.3962,3.2777,3.2851,3596000
2005-02-03,3.2851,3.3098,3.2752,3.3024,3137200
2005-02-04,3.3024,3.4777,3.2851,3.4728,3363600
2005-02-07,3.4728,3.4926,3.3518,3.3641,912400
2005-02-08,3.4036,3.4901,3.3987,3.4555,1408000
2005-02-09,3.4605,3.4703,3.2382,3.2752,1237600
2005-02-10,3.3098,3.3098,3.2011,3.2283,1188800
2005-02-11,3.2233,3.3493,3.2209,3.3221,1364400
2005-02-14,3.3345,3.3962,3.3221,3.3715,1183600
2005-02-15,3.4086,3.5988,3.4061,3.5222,3428000
2005-02-16,3.5222,3.5296,3.3394,3.458,1552000
2005-02-17,3.458,3.5568,3.4135,3.4827,4304800
2005-02-18,3.705,4.1323,3.705,3.9396,19785600
2005-02-22,3.9149,3.9717,3.784,3.9273,7933200
2005-02-23,3.8285,3.9273,3.8285,3.8705,4740800
2005-02-24,3.8705,4.0582,3.8038,4.0014,6050800
2005-02-25,4.0014,4.1669,4.0014,4.0681,5158800
2005-02-28,4.0384,4.0755,3.9174,3.9668,3198400
2005-03-01,4.0014,4.0977,3.9421,4.0804,2118800
2005-03-02,4.1422,4.1965,4.1051,4.1768,3010800
2005-03-03,4.1866,4.1891,4.0928,4.1545,1974800
2005-03-04,4.1545,4.1545,4.0137,4.1002,1892000
2005-03-07,4.0508,4.1076,4.0335,4.0705,1562000
2005-03-08,4.0755,4.1545,4.031,4.1446,1672400
2005-03-09,4.1446,4.157,3.9915,4.0211,1698400
2005-03-10,3.9767,3.9767,3.5815,3.826,3472000
2005-03-11,3.8458,3.8507,3.7766,3.8285,1118400
