date,open,high,low,close,volume
2005-01-03,12.633,12.7566,12.5354,12.5679,56725600
2005-01-04,12.607,12.6135,12.0605,12.0735,106241900
2005-01-05,12.015,12.2817,12.002,12.08,66100500
2005-01-06,12.1451,12.2687,12.0735,12.2622,63790900
2005-01-07,12.3077,12.3467,12.1126,12.1776,54415000
2005-01-10,12.1386,12.2557,12.0996,12.1776,47183300
2005-01-11,12.0735,12.1776,12.0085,12.1256,53236100
2005-01-12,12.2036,12.3403,12.1711,12.3142,65081900
2005-01-13,12.3077,12.3533,12.1191,12.2166,56893000
2005-01-14,12.2752,12.3402,12.2166,12.2817,51197100
2005-01-18,12.1971,12.2297,12.1191,12.1906,51416900
2005-01-19,12.1386,12.1516,11.7808,11.8068,72873000
2005-01-20,11.7613,11.989,11.6507,11.9174,83539400
2005-01-21,11.9109,12.028,11.7092,11.7158,56209900
2005-01-24,11.8068,11.8394,11.5141,11.5466,80477000
2005-01-25,11.6442,11.6962,11.3254,11.3905,76495900
2005-01-26,11.5791,11.6182,11.4165,11.5076,73530300
2005-01-27,11.5596,11.8524,11.5336,11.8263,76947600
2005-01-28,11.8849,11.9629,11.6117,11.6442,77990000
2005-01-31,11.8068,11.9044,11.6962,11.7353,51573700
2005-02-01,11.7678,11.8719,11.7093,11.7938,55135300
2005-02-02,11.8524,11.9044,11.7418,11.8068,57884400
2005-02-03,11.7353,11.7678,11.384,11.397,86470500
2005-02-04,11.436,11.6572,11.436,11.6442,75320600
2005-02-07,11.7092,11.8393,11.6442,11.8133,62682700
2005-02-08,11.8589,11.989,11.8133,11.8654,112368000
2005-02-09,11.9109,11.9174,11.384,11.4686,116920500
2005-02-10,11.5336,11.5531,11.3905,11.436,81179800
2005-02-11,11.4295,11.6247,11.2994,11.5141,99165600
2005-02-14,11.5206,11.7418,11.4751,11.6897,59189600
2005-02-15,11.7483,11.8263,11.5856,11.6572,65160200
2005-02-16,11.6182,11.6767,11.5011,11.5206,56805900
2005-02-17,11.5336,11.5401,11.3124,11.3515,46135700
2005-02-18,11.41,11.436,11.2409,11.2539,60417100
2005-02-22,11.1628,11.4165,11.1563,11.2604,65804900
2005-02-23,11.3059,11.3254,11.1433,11.2409,58968400
2005-02-24,11.2019,11.2474,11.1433,11.1758,53681900
2005-02-25,11.1888,11.2734,11.1498,11.1888,38126100
2005-02-28,11.1888,11.423,11.1693,11.3319,62138100
2005-03-01,11.345,11.5011,11.3254,11.384,50503000
2005-03-02,11.3775,11.6052,11.358,11.5401,57781500
2005-03-03,11.5271,11.6442,11.5206,11.5791,48778400
2005-03-04,11.6442,11.7613,11.5531,11.7353,55641700
2005-03-07,11.8914,12.0475,11.8068,11.8654,97495200
2005-03-08,11.8654,12.028,11.7808,11.7873,54072000
2005-03-09,11.8849,12.1906,11.8784,12.054,80748600
2005-03-10,12.1256,12.2232,12.0085,12.1711,81350200
2005-03-11,12.1451,12.2297,11.8459,12.002,55821100
2005-03-14,12.0215,12.1191,12.002,12.0605,41102900
2005-03-15,12.0865,12.1321,11.8393,11.8719,43168700
2005-03-16,11.8068,11.8784,11.7092,11.7548,47912700
2005-03-17,11.7223,11.9044,11.7158,11.7288,48988500
2005-03-18,11.7548,11.8068,11.5791,11.5791,52249300
2005-03-21,11.5596,11.7288,11.5466,11.6702,38427200
2005-03-22,11.6832,11.8133,11.5922,11.6572,55769100
2005-03-23,11.5791,11.7223,11.5336,11.5466,42848200
2005-03-24,11.5857,11.8068,11.5141,11.6312,51460900
2005-03-28,11.7223,11.8003,11.6377,11.6377,40633700
2005-03-29,11.6117,11.6962,11.4881,11.5466,49790300
2005-03-30,11.5856,11.7743,11.5791,11.7288,53086500
2005-03-31,11.7223,11.8003,11.6182,11.6377,46338200
2005-04-01,11.7158,11.7548,11.5076,11.5141,56370800
2005-04-04,11.4881,11.5466,11.384,11.4946,51926100
2005-04-05,11.5401,11.6507,11.397,11.5922,50130200
2005-04-06,11.5922,11.7092,11.5401,11.5596,40116400
2005-04-07,11.5791,11.8198,11.5661,11.8068,50647300
2005-04-08,11.7613,11.8068,11.6442,11.6442,45389700
2005-04-11,11.7092,11.7743,11.6637,11.7027,42853400
2005-04-12,11.6572,11.9044,11.6117,11.8654,86773400
2005-04-13,11.8459,11.8979,11.6897,11.7092,44917500
2005-04-14,11.7092,11.7158,11.5466,11.5857,52373700
2005-04-15,11.3775,11.462,11.1758,11.1888,86961300
2005-04-18,11.1693,11.3124,11.0652,11.0717,63901600
2005-04-19,11.1888,11.2604,11.1563,11.1758,44281100
2005-04-20,11.3385,11.41,11.1563,11.1823,58411500
2005-04-21,11.3124,11.5206,11.2864,11.5011,52371700
2005-04-22,11.384,11.4556,11.2019,11.3385,41057800
2005-04-25,11.358,11.449,11.3124,11.371,39358000
2005-04-26,11.2864,11.4751,11.2214,11.2409,56444600
2005-04-27,11.1823,11.358,11.1108,11.2214,62447400
2005-04-28,11.1498,11.2734,11.1238,11.1498,48957400
2005-04-29,11.1823,11.2539,11.0848,11.2344,49386700
2005-05-02,11.2149,11.2669,11.1628,11.2279,43564300
2005-05-03,11.1758,11.3124,11.1758,11.2604,43707300
2005-05-04,11.2734,11.5206,11.2604,11.4816,75896500
2005-05-05,11.4555,11.7483,11.4555,11.7092,80440000
2005-05-06,11.7743,11.8133,11.6572,11.7223,49220600
2005-05-09,11.7092,11.8654,11.6962,11.8459,54768400
2005-05-10,11.7808,11.9044,11.7158,11.8459,73244700
2005-05-11,12.015,12.0996,11.8524,12.067,123160600
2005-05-12,12.067,12.2492,12.0345,12.1646,67556400
2005-05-13,12.1841,12.3728,12.1256,12.2882,65474500
2005-05-16,12.2687,12.4704,12.1971,12.4183,62180900
2005-05-17,12.3337,12.4313,12.2427,12.3988,52988100
2005-05-18,12.3988,12.5809,12.3923,12.5159,59996500
2005-05-19,12.5094,12.6395,12.4769,12.607,46846000
2005-05-20,12.6135,12.6915,12.5419,12.6655,34181700
2005-05-23,12.5874,12.7436,12.5744,12.7175,49768500
2005-05-24,12.672,13.0168,12.62,13.0103,86130000
2005-05-25,12.9062,12.9387,12.6915,12.7631,66102100
2005-05-26,12.8281,12.9843,12.8086,12.9452,54106800
2005-05-27,12.8476,12.8997,12.7956,12.8737,26984700
2005-05-31,12.7566,12.7696,12.5809,12.62,61667800
2005-06-01,12.62,12.8802,12.5874,12.7761,48990300
2005-06-02,12.7306,12.9322,12.7175,12.9322,36729800
2005-06-03,12.8281,12.8997,12.5484,12.62,58749200
2005-06-06,12.6005,12.6395,12.4378,12.607,41321900
2005-06-07,12.6135,12.8867,12.6005,12.6265,61546800
2005-06-08,12.698,12.8411,12.5614,12.6265,48675100
2005-06-09,12.5159,12.7566,12.5029,12.6655,51722500
2005-06-10,12.659,12.672,12.4248,12.5159,34056400
2005-06-13,12.4834,12.607,12.4573,12.5549,38163300
2005-06-14,12.5614,12.646,12.4443,12.4769,32261600
2005-06-15,12.5874,12.6004,12.3467,12.5679,37016500
2005-06-16,12.5679,12.724,12.5159,12.7045,40746400
2005-06-17,12.8542,12.9908,12.6915,12.7045,63688900
2005-06-20,12.6395,12.8281,12.5939,12.7501,33230900
2005-06-21,12.7696,12.9387,12.659,12.8607,48643300
2005-06-22,12.8867,12.9452,12.8216,12.8802,38822500
2005-06-23,12.9712,13.1729,12.8672,12.8672,94433400
2005-06-24,12.7891,12.8607,12.5484,12.5549,71213900
2005-06-27,12.5549,12.5614,12.3663,12.3793,48612100
2005-06-28,12.4638,12.5809,12.4573,12.4638,40675100
2005-06-29,12.5484,12.7371,12.5289,12.5939,50326900
2005-06-30,12.646,12.6785,12.3988,12.4118,44756000
2005-07-01,12.4443,12.4899,12.2882,12.3533,35006000
2005-07-05,12.2101,12.4769,12.1776,12.2427,48386700
2005-07-06,12.2557,12.4183,12.2427,12.2427,42270300
2005-07-07,12.0865,12.3272,12.041,12.2557,46687500
2005-07-08,12.2947,12.5744,12.2492,12.5614,41786000
2005-07-11,12.5484,12.724,12.5029,12.711,46542900
2005-07-12,12.6655,12.9257,12.659,12.8672,46431100
2005-07-13,12.8346,13.0038,12.8151,12.9908,37307200
2005-07-14,12.9973,13.0493,12.8346,12.9712,61565500
2005-07-15,12.9647,13.0233,12.8672,12.9387,37649800
2005-07-18,12.8932,12.9127,12.7761,12.7826,28303900
2005-07-19,12.8737,13.1404,12.8151,13.1209,57088900
2005-07-20,13.0038,13.1599,12.8346,13.0883,53833300
2005-07-21,13.0623,13.0753,12.6915,12.7241,58550600
2005-07-22,12.7175,12.7371,12.5224,12.5679,44899500
2005-07-25,12.6135,12.6265,12.2427,12.2622,58224700
2005-07-26,12.3598,12.4443,12.3012,12.3988,51468000
2005-07-27,12.4053,12.5224,12.2882,12.4769,33351600
2005-07-28,12.5289,12.5614,12.3988,12.5549,39176100
2005-07-29,12.5679,12.62,12.4313,12.4573,38389000
2005-08-01,12.5289,12.6525,12.4638,12.5289,32113700
2005-08-02,12.5679,12.7891,12.5289,12.6785,41131800
2005-08-03,12.607,12.7501,12.5744,12.711,33585500
2005-08-04,12.646,12.8346,12.607,12.6395,36055700
2005-08-05,12.6395,12.6785,12.5549,12.5549,32085300
2005-08-08,12.6135,12.6785,12.5094,12.5224,30455000
2005-08-09,12.633,12.8411,12.62,12.7566,57249300
2005-08-10,12.2492,12.2947,11.8459,11.8719,202313300
2005-08-11,11.9044,11.9239,11.5596,11.7483,146112700
2005-08-12,11.7158,11.7418,11.5466,11.5791,78558700
2005-08-15,11.5857,11.6182,11.4621,11.5206,63939500
2005-08-16,11.5206,11.6117,11.4556,11.4686,61166300
2005-08-17,11.5336,11.6962,11.5206,11.6052,53838000
2005-08-18,11.6117,11.6377,11.4881,11.4881,40870100
2005-08-19,11.5466,11.6312,11.4946,11.5922,39708600
2005-08-22,11.6312,11.6572,11.449,11.5076,41834500
2005-08-23,11.5271,11.6182,11.5141,11.5531,45893500
2005-08-24,11.5271,11.5922,11.397,11.397,58383200
2005-08-25,11.423,11.4751,11.371,11.371,41768300
2005-08-26,11.397,11.41,11.2929,11.3189,43243600
2005-08-29,11.2539,11.5596,11.2539,11.4751,40543200
2005-08-30,11.436,11.4621,11.3124,11.3905,41220500
2005-08-31,11.4165,11.4946,11.345,11.4621,41540900
2005-09-01,11.397,11.5791,11.358,11.4816,41311000
2005-09-02,11.5011,11.7548,11.4751,11.5271,32300100
2005-09-06,11.6962,11.8719,11.6767,11.8394,60848200
2005-09-07,11.8198,12.002,11.7743,11.9695,59072400
2005-09-08,11.8914,12.0605,11.8654,11.9499,54401500
2005-09-09,11.9694,12.1386,11.9499,12.0865,46036800
2005-09-12,11.9695,12.08,11.9369,12.0215,48677700
2005-09-13,11.8719,11.9629,11.8654,11.8719,52444400
2005-09-14,11.8719,11.9369,11.5987,11.6052,57254600
2005-09-15,11.6572,11.7678,11.6442,11.7288,55912900
2005-09-16,11.6897,12.002,11.6767,11.9825,75139500
2005-09-19,11.9044,11.9239,11.7158,11.8198,45725200
2005-09-20,11.7548,11.9629,11.6117,11.6897,57286600
2005-09-21,11.6377,11.7027,11.5271,11.6117,53269700
2005-09-22,11.5401,11.8003,11.5011,11.7808,48006300
2005-09-23,11.6962,11.8198,11.6767,11.7418,38083100
2005-09-26,11.8133,11.8263,11.6247,11.6572,56453300
2005-09-27,11.6247,11.6637,11.5076,11.5271,50452100
2005-09-28,11.5531,11.7418,11.5401,11.6572,54427100
2005-09-29,11.6507,11.6702,11.5466,11.6182,56199200
2005-09-30,11.5726,11.6702,11.4816,11.6572,56270900
2005-10-03,11.6637,11.7873,11.5336,11.5401,47714900
2005-10-04,11.5531,11.6442,11.4816,11.4946,54171400
2005-10-05,11.5011,11.5661,11.384,11.384,47135300
2005-10-06,11.4035,11.5531,11.3905,11.5336,60516800
2005-10-07,11.5401,11.5791,11.449,11.4686,35569800
2005-10-10,11.384,11.449,11.2214,11.3775,57891200
2005-10-11,11.3385,11.41,11.1498,11.1823,55344100
2005-10-12,11.1563,11.3775,11.0392,11.3385,85491800
2005-10-13,11.2669,11.3645,11.1888,11.2539,45537800
2005-10-14,11.2864,11.2994,11.1693,11.2344,35672800
2005-10-17,11.2084,11.2994,11.1498,11.1693,34345300
2005-10-18,11.1303,11.1888,11.0392,11.0457,40865700
2005-10-19,11.0002,11.1953,10.9481,11.1888,54073600
2005-10-20,11.1888,11.2799,10.9937,11.0132,51650900
2005-10-21,11.1368,11.1758,11.0197,11.0782,58366000
2005-10-24,11.1108,11.1758,11.0067,11.1628,44339100
2005-10-25,11.0717,11.1823,11.0457,11.1368,47079800
2005-10-26,11.1108,11.1953,11.0848,11.1238,36709500
2005-10-27,11.0717,11.2149,11.0522,11.0913,39260800
2005-10-28,11.1498,11.2084,11.0978,11.1498,42458300
2005-10-31,11.1628,11.41,11.1563,11.3515,79135500
2005-11-01,11.2734,11.3905,11.2214,11.371,44269500
2005-11-02,11.3059,11.5336,11.2604,11.4686,60933700
2005-11-03,11.5271,11.5401,11.371,11.3905,48334600
2005-11-04,11.41,11.6312,11.4035,11.6247,42839300
2005-11-07,11.6312,11.6962,11.5466,11.6117,42952500
2005-11-08,11.5661,11.6832,11.5271,11.6182,38219200
2005-11-09,11.5661,11.6117,11.5141,11.5466,70124300
2005-11-10,11.2279,11.2864,11.0717,11.1563,143451000
2005-11-11,11.1563,11.384,11.1173,11.3645,82869100
2005-11-14,11.3319,11.358,11.2279,11.2864,35685900
2005-11-15,11.2604,11.3385,11.1953,11.2344,44044300
2005-11-16,11.1953,11.2864,11.1238,11.2018,44170800
2005-11-17,11.2279,11.3124,11.2018,11.2994,47690900
2005-11-18,11.2279,11.3189,10.9742,11.0717,137429400
2005-11-21,11.0913,11.1043,11.0587,11.0978,52952100
2005-11-22,11.0587,11.3645,11.0392,11.2409,71005800
2005-11-23,11.2214,11.4295,11.2214,11.345,56890600
2005-11-25,11.4295,11.4686,11.371,11.4165,17830100
2005-11-28,11.4165,11.4751,11.3645,11.371,37443800
2005-11-29,11.384,11.6052,11.371,11.3905,62938300
2005-11-30,11.397,11.5466,11.384,11.41,47405500
2005-12-01,11.5206,11.5466,11.4686,11.5076,39729500
2005-12-02,11.4816,11.5336,11.384,11.4751,42998300
2005-12-05,11.4295,11.5922,11.3385,11.384,57253100
2005-12-06,11.41,11.4751,11.3124,11.423,55187700
2005-12-07,11.6182,11.7092,11.5336,11.5661,97856800
2005-12-08,11.5857,11.5922,11.436,11.4751,66400200
2005-12-09,11.4621,11.5271,11.358,11.4165,62666400
2005-12-12,11.4295,11.5401,11.3515,11.397,39552100
2005-12-13,11.371,11.436,11.3515,11.384,49275100
2005-12-14,11.3645,11.5401,11.358,11.5076,58556500
2005-12-15,11.4816,11.6052,11.449,11.5531,62294800
2005-12-16,11.5336,11.5596,11.3905,11.397,94010200
2005-12-19,11.397,11.4881,11.358,11.3645,46770600
2005-12-20,11.3645,11.423,11.2344,11.2604,49564300
2005-12-21,11.2604,11.3059,11.1693,11.1953,77024500
2005-12-22,11.1823,11.2994,11.1693,11.2474,36231800
2005-12-23,11.2474,11.3124,11.2214,11.2864,22792700
2005-12-27,11.3059,11.371,11.2083,11.2214,29883100
2005-12-28,11.2018,11.3254,11.1563,11.2474,38695500
2005-12-29,11.2539,11.3124,11.1498,11.2149,36009500
2005-12-30,11.1368,11.1823,11.1043,11.1368,39290000
2006-01-03,11.1953,11.3775,11.1758,11.3515,55426000
2006-01-04,11.371,11.6637,11.358,11.6117,80408900
2006-01-05,11.6702,12.0215,11.6637,11.9369,118575500
2006-01-06,12.041,12.2817,12.015,12.2101,122446000
2006-01-09,12.3402,12.4313,12.3077,12.3988,78592600
2006-01-10,12.2752,12.4573,12.2166,12.3402,73828200
2006-01-11,12.3468,12.6395,12.3207,12.62,73933100
2006-01-12,12.5354,12.5874,12.4118,12.4899,59581300
2006-01-13,12.4443,12.5744,12.2882,12.3077,52349600
2006-01-17,12.1646,12.2166,12.015,12.1516,53125200
2006-01-18,11.9695,12.2622,11.9499,12.1841,69475200
2006-01-19,12.2622,12.4378,12.2427,12.3728,54516900
2006-01-20,12.3012,12.3142,11.8654,12.041,77815100
2006-01-23,12.0605,12.0735,11.7938,11.8133,54554200
2006-01-24,11.8198,12.015,11.8068,11.9239,50574700
2006-01-25,11.9369,12.1061,11.8784,12.08,51610600
2006-01-26,12.08,12.1581,11.8719,12.0865,64896300
2006-01-27,12.0865,12.3272,12.0735,12.2166,48720700
