date,open,high,low,close,volume
2005-01-03,1.5616,1.5729,1.5503,1.553,14707800
2005-01-04,1.5542,1.5566,1.514,1.5195,20997000
2005-01-05,1.5172,1.5371,1.5133,1.5137,23614200
2005-01-06,1.5133,1.5367,1.5133,1.532,20869200
2005-01-07,1.532,1.532,1.514,1.5152,12513600
2005-01-10,1.5094,1.5374,1.4977,1.5308,15804000
2005-01-11,1.523,1.5308,1.5078,1.5133,14769000
2005-01-12,1.5078,1.5113,1.4789,1.5105,22057200
2005-01-13,1.5082,1.5109,1.4774,1.4817,23383800
2005-01-14,1.4852,1.5031,1.4852,1.4992,11604600
2005-01-18,1.4988,1.5113,1.4899,1.5113,11685600
2005-01-19,1.509,1.5101,1.4918,1.4938,11806200
2005-01-20,1.4942,1.4942,1.4614,1.4641,23047200
2005-01-21,1.4735,1.486,1.4528,1.4555,18500400
2005-01-24,1.4587,1.4641,1.4392,1.4427,22096800
2005-01-25,1.4622,1.5464,1.4427,1.5195,49075200
2005-01-26,1.5195,1.5203,1.475,1.4949,28418400
2005-01-27,1.4969,1.5238,1.4879,1.5164,22437000
2005-01-28,1.5179,1.5246,1.5008,1.5234,24742800
2005-01-31,1.5386,1.5624,1.5289,1.5589,32920200
2005-02-01,1.5796,1.5831,1.5601,1.5601,18918000
2005-02-02,1.5601,1.5702,1.5359,1.5417,27009000
2005-02-03,1.546,1.5519,1.5289,1.5343,18124200
2005-02-04,1.5464,1.5476,1.5308,1.5386,21261600
2005-02-07,1.5386,1.5507,1.5335,1.5347,13741200
2005-02-08,1.5351,1.5378,1.5144,1.5195,19589400
2005-02-09,1.5183,1.5343,1.514,1.5195,19866600
2005-02-10,1.5234,1.5328,1.5156,1.5269,8460000
2005-02-11,1.5289,1.5569,1.525,1.5542,17546400
2005-02-14,1.5562,1.5593,1.5398,1.5398,17555400
2005-02-15,1.5491,1.5601,1.5402,1.5573,17877600
2005-02-16,1.5558,1.5558,1.5308,1.5413,9525600
2005-02-17,1.5417,1.5698,1.5347,1.5429,20030400
2005-02-18,1.5484,1.5733,1.5449,1.571,29851200
2005-02-22,1.571,1.571,1.5261,1.5328,20476800
2005-02-23,1.5484,1.5942,1.5484,1.5906,35670600
2005-02-24,1.5895,1.6286,1.5801,1.627,35879400
2005-02-25,1.6207,1.6423,1.62,1.6387,32983200
2005-02-28,1.6293,1.6403,1.6118,1.6153,23351400
2005-03-01,1.6149,1.6438,1.6141,1.6325,25120800
2005-03-02,1.6188,1.6419,1.6168,1.638,18262800
2005-03-03,1.6395,1.6587,1.6395,1.6559,27559800
2005-03-04,1.6657,1.6943,1.6657,1.6821,35535600
2005-03-07,1.6814,1.7005,1.6739,1.6927,24589800
2005-03-08,1.6853,1.6993,1.679,1.6939,23076000
2005-03-09,1.6872,1.688,1.6626,1.6641,21088800
2005-03-10,1.6681,1.6708,1.6536,1.663,18541800
2005-03-11,1.6591,1.6821,1.6587,1.6618,9810000
2005-03-14,1.6677,1.6825,1.6536,1.6747,20745000
2005-03-15,1.6814,1.6935,1.6681,1.6716,10560600
2005-03-16,1.6598,1.6598,1.6395,1.6419,23423400
2005-03-17,1.6419,1.6692,1.6258,1.6634,44470800
2005-03-18,1.6618,1.6755,1.6595,1.6681,31464000
2005-03-21,1.6712,1.6782,1.6532,1.6559,21294000
2005-03-22,1.6806,1.7025,1.6743,1.6794,46180800
2005-03-23,1.6833,1.6853,1.6583,1.6634,23986800
2005-03-24,1.6716,1.6868,1.6618,1.6708,21342600
2005-03-28,1.6774,1.6782,1.6466,1.6536,25268400
2005-03-29,1.654,1.6579,1.6047,1.6086,48121200
2005-03-30,1.6039,1.6305,1.6039,1.6274,31492800
2005-03-31,1.6274,1.6372,1.6094,1.6286,20440800
2005-04-01,1.6383,1.6598,1.6243,1.6348,26568000
2005-04-04,1.6348,1.6657,1.6348,1.661,25455600
2005-04-05,1.6602,1.6696,1.6446,1.6567,17712000
2005-04-06,1.6548,1.6696,1.6458,1.6571,12974400
2005-04-07,1.6555,1.6728,1.6512,1.67,11635200
2005-04-08,1.6673,1.67,1.6168,1.6243,40802400
2005-04-11,1.6329,1.6559,1.62,1.6512,17130600
2005-04-12,1.6446,1.6509,1.6012,1.6442,31431600
2005-04-13,1.6446,1.6446,1.5867,1.5895,35096400
2005-04-14,1.5895,1.5895,1.5066,1.5308,69019200
2005-04-15,1.5175,1.5504,1.4901,1.4944,33359400
2005-04-18,1.5015,1.5238,1.4862,1.516,21286800
2005-04-19,1.523,1.5535,1.521,1.5468,22334400
2005-04-20,1.5429,1.55,1.521,1.5249,15850800
2005-04-21,1.5523,1.5758,1.5445,1.5699,21830400
2005-04-22,1.573,1.5754,1.5347,1.548,17222400
2005-04-25,1.5562,1.5766,1.5468,1.5742,13557600
2005-04-26,1.5746,1.5746,1.5367,1.5375,19116000
2005-04-27,1.5336,1.5425,1.5011,1.5386,24631200
2005-04-28,1.5386,1.5797,1.5386,1.5574,47721600
2005-04-29,1.5613,1.5777,1.5347,1.5691,28216800
2005-05-02,1.5734,1.611,1.5691,1.6106,43110000
2005-05-03,1.6106,1.6153,1.5844,1.5942,28404000
2005-05-04,1.609,1.6231,1.5945,1.6211,30434400
2005-05-05,1.6258,1.6344,1.6039,1.6172,16502400
2005-05-06,1.627,1.627,1.6047,1.6168,13957200
2005-05-09,1.6235,1.634,1.6102,1.6313,16473600
2005-05-10,1.629,1.629,1.5906,1.5996,21758400
2005-05-11,1.6082,1.6309,1.5973,1.6282,30855600
2005-05-12,1.6274,1.6321,1.564,1.5773,27734400
2005-05-13,1.584,1.6008,1.5425,1.5597,31096800
2005-05-16,1.5644,1.5953,1.5644,1.5902,28584000
2005-05-17,1.5895,1.6223,1.5773,1.618,22478400
2005-05-18,1.6403,1.654,1.6372,1.6442,27270000
2005-05-19,1.652,1.652,1.6262,1.6438,17375400
2005-05-20,1.6485,1.6638,1.6419,1.6454,24685200
2005-05-23,1.6517,1.6575,1.6391,1.6473,24474600
2005-05-24,1.6481,1.6517,1.6219,1.6285,21468600
2005-05-25,1.6266,1.6313,1.6117,1.6211,34342200
2005-05-26,1.6274,1.6387,1.6254,1.6352,26841600
2005-05-27,1.6364,1.6364,1.6207,1.6289,12247200
2005-05-31,1.6289,1.6462,1.6152,1.6297,34432200
2005-06-01,1.6348,1.6669,1.6317,1.6469,30821400
2005-06-02,1.645,1.6497,1.6387,1.6454,20431800
2005-06-03,1.6446,1.6513,1.6289,1.6489,20674800
2005-06-06,1.654,1.6607,1.6415,1.6536,18664200
2005-06-07,1.652,1.6838,1.6501,1.6654,23034600
2005-06-08,1.6697,1.6712,1.6089,1.6117,28629000
2005-06-09,1.614,1.6321,1.6078,1.627,23673600
2005-06-10,1.6317,1.6422,1.616,1.6258,18030600
2005-06-13,1.625,1.6603,1.6215,1.6493,17595000
2005-06-14,1.6473,1.665,1.6469,1.6618,23421600
2005-06-15,1.6599,1.6818,1.6579,1.6795,25957800
2005-06-16,1.6854,1.7069,1.6846,1.7069,23832000
2005-06-17,1.7246,1.7285,1.7144,1.7285,31932000
2005-06-20,1.7167,1.7171,1.705,1.7112,26215200
2005-06-21,1.7112,1.723,1.6959,1.6959,19666800
2005-06-22,1.705,1.7124,1.6775,1.6967,24597000
2005-06-23,1.6834,1.685,1.6642,1.6732,28461600
2005-06-24,1.6697,1.6697,1.643,1.6477,21092400
2005-06-27,1.6415,1.6446,1.6246,1.634,19614600
2005-06-28,1.6383,1.6916,1.6383,1.6916,23175000
2005-06-29,1.6912,1.701,1.6763,1.6893,24274800
2005-06-30,1.6991,1.6995,1.6701,1.672,22179600
2005-07-01,1.6818,1.6963,1.6799,1.6822,18601200
2005-07-05,1.6783,1.6999,1.665,1.6983,22192200
2005-07-06,1.692,1.7155,1.6912,1.6983,17173800
2005-07-07,1.6716,1.6807,1.6665,1.6771,23914800
2005-07-08,1.6767,1.7246,1.6767,1.7242,24948000
2005-07-11,1.7246,1.7347,1.7151,1.7218,18295200
2005-07-12,1.7206,1.7261,1.6971,1.7195,26051400
2005-07-13,1.7187,1.7304,1.7171,1.7206,23448600
2005-07-14,1.7226,1.7347,1.7198,1.7257,25000200
2005-07-15,1.7449,1.7618,1.7406,1.7579,43304400
2005-07-18,1.7583,1.7634,1.752,1.7528,16239600
2005-07-19,1.7618,1.7634,1.752,1.759,20179800
2005-07-20,1.752,1.799,1.7504,1.7967,38863800
2005-07-21,1.7951,1.799,1.7724,1.7877,33787800
2005-07-22,1.7873,1.799,1.7822,1.7853,15717600
2005-07-25,1.7892,1.7982,1.7763,1.7833,25716600
2005-07-26,1.7853,1.79,1.7641,1.7814,26488800
2005-07-27,1.8029,1.8135,1.7708,1.7873,67534200
2005-07-28,1.7833,1.7861,1.752,1.7735,51285600
2005-07-29,1.7735,1.7982,1.7681,1.7849,45586800
2005-08-01,1.8221,1.8221,1.7869,1.7892,35553600
2005-08-02,1.7853,1.8018,1.7841,1.7971,41304600
2005-08-03,1.7873,1.7959,1.7861,1.79,19926000
2005-08-04,1.7802,1.7802,1.7626,1.7732,24526800
2005-08-05,1.7637,1.7747,1.7516,1.7559,24480000
2005-08-08,1.7618,1.7841,1.7618,1.7641,25612200
2005-08-09,1.7637,1.7865,1.7598,1.7818,33379200
2005-08-10,1.7931,1.8022,1.7779,1.7826,18007200
2005-08-11,1.7794,1.7794,1.7461,1.7587,27030600
2005-08-12,1.7649,1.7833,1.7261,1.7516,35609400
2005-08-15,1.75,1.7728,1.7438,1.772,18567000
2005-08-16,1.7696,1.7716,1.7445,1.7496,20086200
2005-08-17,1.7422,1.7547,1.7273,1.7422,18550800
2005-08-18,1.7422,1.7465,1.7277,1.7414,17749800
2005-08-19,1.7547,1.7614,1.7363,1.7598,20392200
2005-08-22,1.7637,1.7735,1.7559,1.7688,18430200
2005-08-23,1.7743,1.7747,1.7468,1.7492,21166200
2005-08-24,1.75,1.7822,1.7445,1.7692,33433200
2005-08-25,1.7755,1.8026,1.763,1.8003,46447200
2005-08-26,1.8042,1.8152,1.7971,1.8058,39369600
2005-08-29,1.7901,1.8003,1.7806,1.792,16462800
2005-08-30,1.7857,1.7857,1.7484,1.7618,20937600
2005-08-31,1.7618,1.7657,1.7217,1.7256,52968600
2005-09-01,1.7307,1.7331,1.7036,1.7135,29487600
2005-09-02,1.7205,1.741,1.7205,1.7292,14749200
2005-09-06,1.7402,1.7728,1.7382,1.7516,19461600
2005-09-07,1.7516,1.7602,1.7398,1.759,18520200
2005-09-08,1.7559,1.7622,1.7492,1.7535,12088800
