date,open,high,low,close,volume
2005-01-03,8.233,8.2764,8.05,8.1425,5503200
2005-01-04,8.2142,8.2595,7.9746,8.0274,4183200
2005-01-05,7.9765,8.1331,7.8803,8.0067,4124000
2005-01-06,7.9878,8.1614,7.9614,8.084,6383200
2005-01-07,8.0934,8.3066,8.0557,8.2576,6924400
2005-01-10,8.201,8.35,8.1934,8.301,4325200
2005-01-11,8.2331,8.3387,8.2066,8.301,5075600
2005-01-12,8.301,8.3576,8.2236,8.333,3181200
2005-01-13,8.2632,8.2783,7.952,8.0293,6854800
2005-01-14,8.0161,8.2519,7.9802,8.1746,4783200
2005-01-18,8.1236,8.2878,8.1067,8.2481,3842000
2005-01-19,8.2802,8.2802,8.1293,8.1368,3527200
2005-01-20,8.1859,8.2312,8.0878,8.1066,3398800
2005-01-21,8.1406,8.1783,8.018,8.0802,4336000
2005-01-24,8.0538,8.2048,7.9614,8.1029,4270400
2005-01-25,8.1255,8.2368,8.1199,8.1708,5316800
2005-01-26,8.1387,8.2123,8.0897,8.1123,3934400
2005-01-27,8.0859,8.2727,8.0651,8.2349,5038400
2005-01-28,8.2576,8.2576,8.0727,8.1783,4832800
2005-01-31,8.2576,8.2991,8.167,8.2066,4150800
2005-02-01,8.1632,8.3047,8.1614,8.2821,9341200
2005-02-02,8.2915,8.4934,8.2293,8.4802,10062800
2005-02-03,8.5236,8.5424,8.4028,8.4576,5634800
2005-02-04,8.4899,8.5469,8.4234,8.5146,5760800
2005-02-07,8.5089,8.5735,8.4348,8.5165,3116000
2005-02-08,8.507,8.5602,8.4291,8.4652,2525200
2005-02-09,8.4728,8.5051,8.3074,8.3454,3708400
2005-02-10,8.3796,8.4557,8.3264,8.3948,2985200
2005-02-11,8.3929,8.5716,8.3777,8.5374,3224800
2005-02-14,8.5678,8.5678,8.4785,8.5222,2688800
2005-02-15,8.4937,8.6457,8.4329,8.5127,4316800
2005-02-16,8.4899,8.5507,8.41,8.4918,2903200
2005-02-17,8.4975,8.4975,8.2751,8.2979,4508800
2005-02-18,8.3017,8.4253,8.2713,8.3587,3559200
2005-02-22,8.3169,8.3188,8.1687,8.1725,4396800
2005-02-23,8.22,8.2428,8.0908,8.2181,4016000
2005-02-24,8.1592,8.3948,8.1592,8.3492,3253200
2005-02-25,8.3492,8.3872,8.2922,8.3283,4843600
2005-02-28,8.3302,8.3891,8.2523,8.3188,5230000
2005-03-01,8.3188,8.3682,8.2694,8.3416,3898000
2005-03-02,8.2979,8.4005,8.1877,8.315,5025200
2005-03-03,8.315,8.3378,8.2124,8.2865,4750800
2005-03-04,8.3663,8.4386,8.3454,8.3454,3036800
