date,open,high,low,close,volume
2019-05-24,27.3587,29.4278,26.2091,26.669,44000
2019-05-28,26.8989,28.0484,26.2183,26.4528,61500
2019-05-29,27.4966,27.4966,25.4367,26.2091,207800
2019-05-30,26.6598,26.8161,25.9517,26.485,666000
2019-05-31,26.2091,26.2919,24.8021,24.8021,853800
2019-06-03,24.4067,24.8297,22.4111,22.8158,19259600
2019-06-04,22.3927,25.6942,22.3927,25.5194,20135100
2019-06-05,25.3263,25.9517,24.3331,25.7585,10740200
2019-06-06,25.4643,25.4643,24.1216,24.7378,13986100
2019-06-07,24.0664,24.7653,23.648,24.1952,10049100
2019-06-10,23.9745,24.5906,23.1008,23.2756,10247200
2019-06-11,22.9997,23.3215,22.5583,22.9445,11641200
2019-06-12,23.0916,23.4043,22.5123,23.0549,13392000
2019-06-13,23.0457,23.1652,22.7146,22.9629,9710800
2019-06-14,22.7698,23.2112,22.5766,23.1652,7036800
2019-06-17,23.4779,24.7378,23.4043,23.8641,13710100
2019-06-18,23.9377,25.3539,23.6802,25.1056,14485400
2019-06-19,25.2711,25.2711,24.7102,24.9677,10228800
2019-06-20,25.17,25.3815,24.2963,24.9769,7728000
2019-06-21,24.7102,25.4827,24.7102,25.0228,12548900
2019-06-24,24.9585,26.1632,24.8785,25.7585,6494900
2019-06-25,25.7677,25.8321,25.2711,25.4459,6698600
2019-06-26,25.685,27.0138,25.6114,26.9081,6735100
2019-06-27,27.0184,27.892,26.9081,27.1931,5879600
2019-06-28,27.2207,27.3587,26.9081,27.1931,15517800
2019-07-01,27.2023,28.2783,26.623,27.2943,5272900
2019-07-02,27.1288,27.2207,25.8781,26.6598,5438300
2019-07-03,26.4666,26.577,25.9333,26.485,2234900
2019-07-05,26.1632,26.9632,25.9884,26.3379,2888200
2019-07-08,26.108,26.108,25.4183,25.5378,3478600
2019-07-09,25.2619,25.5378,24.6734,24.8205,5285700
2019-07-10,24.655,24.8297,24.3147,24.3699,5133700
2019-07-11,24.4159,24.6458,23.8733,24.3055,6066200
2019-07-12,24.2963,25.501,24.1492,25.3815,5154500
2019-07-15,25.2068,25.9976,25.1976,25.8229,3443100
2019-07-16,25.685,26.2091,25.4872,25.6206,3735900
2019-07-17,25.3815,25.4826,24.6918,24.7194,3999300
2019-07-18,24.4435,24.8113,24.2899,24.5078,3009800
2019-07-19,24.6366,25.2711,24.4987,25.1884,4694800
2019-07-22,25.1424,25.6114,25.0228,25.5286,2546100
2019-07-23,25.4275,26.1908,25.2435,25.8597,2921400
2019-07-24,25.5378,26.2275,25.4091,26.0436,2311800
2019-07-25,25.8413,26.1172,25.5194,25.7677,3532200
2019-07-26,25.4918,26.2321,25.4275,26.1908,3052700
2019-07-29,26.0804,26.623,26.0436,26.4666,6245200
2019-07-30,25.8662,27.0579,25.6814,26.9101,7142300
2019-07-31,26.8823,27.8523,26.5221,27.2519,7662000
2019-08-01,27.2519,30.2819,27.0763,28.8685,11564200
2019-08-02,28.5821,29.1364,28.499,29.0625,7305800
2019-08-05,28.2957,28.6098,27.3812,27.6214,5552500
2019-08-06,27.7692,27.917,27.2241,27.7599,5355900
2019-08-07,27.3258,28.4805,27.1872,28.305,4925200
2019-08-08,28.3696,29.3673,28.3327,29.2011,3962600
2019-08-09,29.5059,29.5613,28.8408,29.2195,4753200
2019-08-12,29.0902,29.4043,27.2611,27.372,7112500
2019-08-13,27.0948,27.8523,26.9655,27.3442,6855400
2019-08-14,26.9008,27.1225,26.1248,26.1803,4580100
2019-08-15,26.7253,27.0024,25.8015,26.2542,3561600
2019-08-16,26.5036,28.0001,26.3835,27.9355,4285100
2019-08-19,28.4066,28.4897,27.9447,28.2403,4207300
2019-08-20,28.2865,28.3419,27.7969,27.9539,3073700
2019-08-21,27.9909,28.6191,27.9724,28.2496,2815400
2019-08-22,28.4343,28.5914,27.9077,27.9817,3351400
2019-08-23,27.529,27.8616,26.6144,26.8362,3911600
2019-08-26,27.1133,27.2288,26.4851,26.8084,3479800
2019-08-27,26.9285,27.1872,26.3604,26.5405,3528400
2019-08-28,26.3096,27.2796,26.1526,26.947,5091800
2019-08-29,27.298,27.9244,27.2703,27.4459,3135600
2019-08-30,27.7138,27.7415,27.0302,27.0856,5220200
2019-09-03,26.7807,26.8823,25.8662,26.0786,3279100
2019-09-04,26.4389,26.6422,26.0232,26.2634,2962100
2019-09-05,26.5498,26.7807,25.82,26.2911,4972700
2019-09-06,26.2819,26.6144,25.7646,26.2264,5140000
2019-09-09,26.1895,26.6237,25.8847,26.559,4661000
2019-09-10,26.5128,26.9101,25.9955,26.3835,3682900
2019-09-11,26.3281,27.0671,25.9678,27.0394,3033600
2019-09-12,27.2519,27.7969,26.6976,27.6214,7967600
2019-09-13,27.7507,28.0371,27.6214,27.8246,4919600
2019-09-16,27.7599,27.7692,26.6422,27.1595,3300700
2019-09-17,27.0856,27.2241,26.753,26.7715,4118200
2019-09-18,26.559,27.2149,26.559,26.9285,3606000
2019-09-19,27.0302,27.4459,26.8454,26.9193,3222400
2019-09-20,27.1133,27.3165,26.6514,26.7161,6865000
2019-09-23,26.4574,26.79,26.2773,26.6791,3314300
2019-09-24,26.5221,26.7807,25.8301,26.0879,2840500
2019-09-25,26.0694,26.3281,25.6537,26.0509,3154200
2019-09-26,25.9678,26.0509,25.395,25.5336,3532100
2019-09-27,25.4505,26.0786,25.2288,25.6814,4534900
2019-09-30,25.7738,26.1895,25.6445,25.8662,6245000
2019-10-01,25.8939,26.2172,25.1549,25.4505,5843200
2019-10-02,25.081,25.5613,24.5913,24.887,5181600
2019-10-03,24.8592,25.0902,24.4897,24.8315,3622400
2019-10-04,24.9424,24.9775,23.8348,23.917,4851400
2019-10-07,24.0186,24.4528,23.7692,24.0186,5474100
2019-10-08,23.686,24.4158,23.6398,24.2218,6214200
2019-10-09,24.7484,24.7853,23.7784,24.1756,3916700
2019-10-10,24.1756,24.6837,23.7507,23.7692,3003300
2019-10-11,24.111,25.0532,24.0094,24.6283,4555600
2019-10-14,24.3881,24.7299,24.2034,24.3234,3064900
2019-10-15,24.2218,25.0255,24.0786,24.6652,3826500
2019-10-16,24.3419,25.1549,24.2865,24.8223,3023500
2019-10-17,24.9886,25.1364,24.6283,24.7299,2196500
2019-10-18,24.5729,24.6098,23.686,24.0555,4332300
2019-10-21,24.2865,24.5544,23.492,23.5567,3318300
2019-10-22,23.5659,24.0648,23.3073,24.0001,4166600
