date,open,high,low,close,volume
2007-05-03,18.7946,18.9675,17.7577,17.9046,8052800
2007-05-04,18.3626,18.449,17.8873,18.1293,5437300
2007-05-07,18.3194,18.3971,17.4553,17.5935,2646300
2007-05-08,17.2824,17.2824,16.6775,16.9627,4166100
2007-05-09,17.0664,17.4553,16.9627,17.101,7541100
2007-05-10,17.101,17.2738,16.8936,17.0232,3170600
2007-05-11,17.0318,17.1096,16.5134,16.6775,3539400
2007-05-14,16.5479,16.7553,16.2023,16.3233,1924800
2007-05-15,16.1159,16.2887,15.6838,15.727,3438700
2007-05-16,15.606,15.969,15.5715,15.848,2607600
2007-05-17,16.2455,17.0664,16.1331,16.4356,8979000
2007-05-18,16.8244,16.8417,16.0208,16.6862,6562200
2007-05-21,16.5911,16.7121,16.4183,16.4183,2077700
2007-05-22,16.5047,16.8763,16.4183,16.8331,4014700
2007-05-23,16.8504,17.0232,16.5047,16.5998,2387100
2007-05-24,16.5998,16.7035,16.2887,16.4356,2362000
2007-05-25,16.4356,16.4615,16.1504,16.2109,895000
2007-05-29,16.3405,16.5911,16.2887,16.4961,2918800
2007-05-30,16.4615,16.5479,16.2541,16.401,2829300
2007-05-31,16.5479,16.6603,16.4442,16.4615,3435200
2007-06-01,16.5047,17.1096,16.4615,16.8936,2299400
2007-06-04,16.1591,16.4615,16.1504,16.2801,5692700
2007-06-05,16.2887,16.4529,16.185,16.3751,4510000
2007-06-06,16.1591,16.3578,16.1159,16.3578,2595300
2007-06-07,16.2196,16.2887,15.6838,15.969,3062100
2007-06-08,15.727,16.2714,15.727,16.2714,2124100
2007-06-11,16.0295,16.2628,15.7443,15.8826,1870000
2007-06-12,15.6838,16.1677,15.5715,15.8998,8636200
2007-06-13,15.969,16.1591,15.8653,16.1072,3110200
2007-06-14,15.9862,16.4269,15.9258,16.3319,8069700
2007-06-15,16.3233,16.5393,15.943,16.3146,3418900
2007-06-18,16.1159,16.3319,15.9862,16.0208,1339900
2007-06-19,16.064,16.4874,16.0294,16.306,3113000
2007-06-20,16.4183,16.8417,16.2628,16.7294,4031500
2007-06-21,16.5911,16.9368,16.4356,16.859,3985700
2007-06-22,16.8504,17.1528,16.738,17.0664,11822000
2007-06-25,17.0146,17.0578,16.5134,16.7899,1974400
2007-06-26,16.8504,16.9886,16.6516,16.8417,2237000
2007-06-27,16.764,16.9281,16.5306,16.7812,2216000
2007-06-28,17.0664,17.1874,16.9541,16.9973,2547200
2007-06-29,16.8936,17.1355,16.859,17.0232,2022200
2007-07-02,16.9109,17.075,16.8763,16.9195,1831600
2007-07-03,17.0318,17.5071,17.0318,17.4985,2960900
2007-07-05,17.2911,17.9132,17.2133,17.7318,2640100
2007-07-06,17.7577,18.0601,17.6108,17.9997,1966900
2007-07-09,18.0947,18.4836,18.0256,18.4317,2872800
2007-07-10,18.3021,18.3626,17.7404,17.8441,2367100
2007-07-11,17.438,17.7923,17.2824,17.3861,2387700
2007-07-12,17.654,17.8268,17.3775,17.654,3455400
2007-07-13,17.5849,17.7491,17.3516,17.7145,1751700
2007-07-16,17.6713,18.1465,17.5503,18.0947,2891700
2007-07-17,18.1466,18.3626,17.9564,18.3107,4383100
2007-07-18,18.8292,18.8379,18.2762,18.4663,9011300
2007-07-19,18.5613,18.8378,18.4922,18.5873,8636500
2007-07-20,18.5008,18.6477,18.1466,18.4922,4248400
2007-07-23,18.4922,18.5786,18.1552,18.2416,4399000
2007-07-24,18.2762,18.665,17.9132,18.4317,6101200
2007-07-25,18.4058,18.4144,17.6713,17.9564,2779100
2007-07-26,17.7663,17.7663,16.306,16.7294,9754300
2007-07-27,17.0318,17.0405,15.8739,16.064,4562800
2007-07-30,15.9862,16.064,14.9666,15.5974,8926900
2007-07-31,15.7961,16.0208,15.3122,15.3986,3582900
2007-08-01,15.5542,16.1159,14.8456,15.8566,7082200
2007-08-02,16.1332,16.8504,15.7789,16.3146,7427800
2007-08-03,16.3146,16.5652,15.7184,16.1591,3412800
2007-08-06,16.3665,16.4183,15.3036,15.5715,5659800
2007-08-07,15.4246,16.2196,15.4246,15.943,2725000
2007-08-08,15.8826,16.2887,15.5974,15.9776,2724100
2007-08-09,15.5888,15.6665,15.2517,15.4419,3314300
2007-08-10,15.1221,15.2172,14.6469,15.174,3903000
2007-08-13,15.2517,15.5974,14.8456,14.9407,2050800
2007-08-14,14.9407,15.1913,13.7914,14.6641,5720100
2007-08-15,14.5604,14.6469,12.9791,13.6099,3556000
2007-08-16,13.1779,13.9988,12.91,13.7568,6312100
2007-08-17,14.3012,14.3444,12.9791,13.8259,4152000
2007-08-20,13.9124,14.3876,13.705,13.8951,1933600
2007-08-21,13.8346,15.4073,13.7827,15.3036,5527200
2007-08-22,15.6838,16.1159,15.2431,15.6406,4715900
2007-08-23,15.5542,15.6838,15.1653,15.5542,2271300
2007-08-24,15.3727,15.7961,15.2258,15.7616,983600
2007-08-27,15.2172,15.7529,15.1221,15.2949,1321100
2007-08-28,15.1653,15.2777,14.8888,14.9925,1240500
2007-08-29,15.0876,15.2431,14.9579,15.0011,1092700
2007-08-30,14.7333,14.9493,14.5345,14.6728,1210500
2007-08-31,14.7333,14.9234,14.5345,14.5864,1239900
2007-09-04,14.7246,15.2777,14.6641,15.1481,1992800
2007-09-05,15.1221,15.5369,15.1221,15.2258,1847900
2007-09-06,15.3382,15.8134,14.9147,15.6147,2205500
2007-09-07,15.1913,15.3295,15.0271,15.2258,1533800
2007-09-10,15.3209,15.5455,14.9147,15.0703,2483400
2007-09-11,15.0357,15.4678,14.9579,15.2863,2066700
2007-09-12,15.2517,15.2517,14.7419,14.8197,2217800
2007-09-13,14.9579,15.2258,14.8283,15.1999,1365600
2007-09-14,14.9839,15.2949,14.9234,15.2517,873900
2007-09-17,15.1826,15.269,14.7851,14.8197,939100
2007-09-18,14.9925,15.174,14.5777,15.0789,1800800
2007-09-19,15.1221,15.848,15.1221,15.8048,3484000
2007-09-20,15.7011,15.7097,15.2431,15.3122,1631700
2007-09-21,15.7184,15.7184,15.0876,15.174,1767300
2007-09-24,15.1394,15.1826,13.8346,13.8519,5237600
2007-09-25,13.8259,14.7592,13.7395,14.7592,3470300
2007-09-26,14.8197,15.511,14.6469,15.4419,4915600
2007-09-27,15.4937,15.5888,15.1826,15.3986,1443000
2007-09-28,15.2085,15.5196,14.9234,15.511,1505000
2007-10-01,15.5542,15.8393,15.39,15.7443,2277700
2007-10-02,15.8998,16.4183,15.8739,16.401,2982300
2007-10-03,16.4442,16.6689,15.9949,16.6603,3078200
2007-10-04,16.522,16.8936,15.8998,16.0813,4998500
2007-10-05,16.0986,17.0232,16.0986,16.5825,3334700
2007-10-08,16.522,16.9886,16.5134,16.8331,1546800
2007-10-09,16.7812,17.0923,16.5998,16.9281,1839200
2007-10-10,16.6343,17.0146,16.6084,16.9627,2415800
2007-10-11,16.9713,17.0059,16.6257,16.7553,2948600
2007-10-12,16.6343,17.2651,16.4874,17.2479,2331600
2007-10-15,17.0923,17.2824,16.5652,17.2824,3955300
2007-10-16,17.4985,17.7145,16.6775,17.3516,7945800
2007-10-17,17.5935,17.7663,17.3084,17.6281,5631600
2007-10-18,17.5849,17.6281,17.101,17.2479,2480600
2007-10-19,17.317,17.317,16.8417,16.8504,2029600
2007-10-22,16.5998,17.4985,16.5911,17.2824,3344200
2007-10-23,17.438,18.1466,17.3688,17.991,5704400
2007-10-24,17.9132,18.1898,17.6886,17.7836,3971300
2007-10-25,17.6281,17.9305,17.1528,17.3343,2479300
2007-10-26,17.4985,17.533,16.7726,17.0578,2171200
2007-10-29,16.9281,17.5935,16.8504,17.1528,1893500
2007-10-30,17.2047,18.0947,17.196,17.87,3845600
2007-10-31,17.2997,18.0169,17.2306,17.9737,4577700
2007-11-01,17.6713,18.0256,17.4121,17.4553,2519000
2007-11-02,17.4725,17.533,17.0059,17.2219,1623200
2007-11-05,17.1096,17.3602,16.6516,16.859,1633800
2007-11-06,16.8504,17.1528,15.6579,15.9949,3132100
2007-11-07,15.9603,15.9776,14.6555,15.0789,6915500
2007-11-08,15.0789,15.1481,13.9988,14.6901,7390600
2007-11-09,14.258,14.811,14.1716,14.258,3750000
2007-11-12,14.5864,15.5196,14.4913,15.4505,4727700
2007-11-13,15.8394,16.522,15.6233,16.2023,3435700
2007-11-14,16.1591,18.233,15.4418,16.8676,17352700
2007-11-15,16.8676,17.6799,16.5566,17.1442,8292100
2007-11-16,17.2047,17.7058,16.643,17.2565,6111800
2007-11-19,16.8504,17.0664,16.3233,16.427,3604800
2007-11-20,16.185,16.2887,14.716,15.0789,5969900
2007-11-21,14.7765,15.6406,14.0593,15.4764,4742900
2007-11-23,15.7702,16.0381,15.5888,15.6838,1118600
2007-11-26,15.8566,15.969,14.9234,15.1048,2520600
2007-11-27,15.727,15.8912,14.9061,15.174,2609200
2007-11-28,15.269,16.4356,15.0789,16.2196,5421900
2007-11-29,16.1504,16.5652,15.6579,16.0986,3546800
2007-11-30,16.5739,17.1701,16.4874,17.075,6946400
2007-12-03,17.0664,17.2824,16.3665,16.9195,2688900
2007-12-04,16.1159,16.401,15.4332,16.0813,6339900
2007-12-05,16.1159,16.2196,15.7443,15.8134,2176400
2007-12-06,15.8307,16.2282,15.727,15.8826,2877000
2007-12-07,15.9862,16.8072,15.9862,16.1591,4594500
2007-12-10,16.2973,16.2973,15.6406,15.7616,2739700
2007-12-11,15.848,15.848,14.6555,14.716,3213700
2007-12-12,14.8629,14.8715,12.8149,13.6013,7499400
2007-12-13,13.4371,14.2148,12.91,13.2643,6570400
2007-12-14,13.4457,13.679,12.4866,13.4803,4805000
2007-12-17,13.4889,13.5062,12.5298,12.5557,4956000
2007-12-18,12.7026,12.7285,12.1928,12.2446,5104100
2007-12-19,12.3397,12.8581,12.1323,12.7372,2949400
2007-12-20,12.7458,12.8927,12.1582,12.4261,3701100
2007-12-21,12.4174,13.1174,12.2014,13.031,3425500
2007-12-24,13.0482,13.3507,12.6939,13.0569,1342700
2007-12-26,12.9705,12.9705,12.5038,12.7717,1801100
2007-12-27,12.7285,12.7285,12.2705,12.4606,3084600
2007-12-28,12.4952,12.8322,12.3397,12.6162,2671400
2007-12-31,12.6507,13.1779,12.5298,12.8668,2783600
2008-01-02,12.7285,12.7804,11.7348,11.9162,6351800
2008-01-03,11.8298,12.0718,11.6656,11.7953,7725900
