date,open,high,low,close,volume
2005-01-03,24.9193,24.9193,24.34,24.427,3536400
2005-01-04,24.5978,24.6012,23.5764,23.8443,3272600
2005-01-05,23.6467,23.9716,23.6099,23.6132,2466600
2005-01-06,23.8108,24.1926,23.8041,23.9414,3605200
2005-01-07,23.861,23.861,23.4659,23.6099,5093800
2005-01-10,23.5764,23.6869,23.2147,23.5027,3919800
2005-01-11,23.4759,23.4927,23.1176,23.1913,2862000
2005-01-12,23.3587,23.4592,22.9736,23.4424,3152200
2005-01-13,23.4424,23.9314,23.4424,23.6266,2956400
2005-01-14,23.5596,23.9314,23.5496,23.7237,2435400
2005-01-18,23.7237,23.7438,23.4458,23.6601,3495600
2005-01-19,23.4759,23.6166,23.3252,23.4592,3156800
2005-01-20,23.3085,23.3955,23.1511,23.2013,2826000
2005-01-21,23.0238,23.1042,22.6454,22.7726,4664800
2005-01-24,22.7659,22.8731,22.5248,22.6588,2528000
2005-01-25,22.6889,23.1343,22.6521,22.8128,2733200
2005-01-26,22.9234,22.9501,22.5349,22.6722,4116600
2005-01-27,22.2703,22.5181,21.835,22.4612,7710000
2005-01-28,22.6052,22.843,22.498,22.7626,3580200
2005-01-31,22.8463,23.2951,22.8229,23.2515,2883000
2005-02-01,23.2817,23.6199,23.0205,23.5396,3520800
2005-02-02,23.496,23.5697,23.1913,23.4893,2203000
2005-02-03,23.4089,23.5898,23.3386,23.5429,1862800
2005-02-04,23.5931,23.7338,22.9669,23.2248,4437200
2005-02-07,23.1578,23.1578,22.7994,22.8564,3598800
2005-02-08,22.9133,23.0272,22.776,22.8731,2915000
2005-02-09,22.9401,23.1042,22.6052,22.6387,3259400
2005-02-10,22.7224,22.8865,22.7224,22.8061,2401600
2005-02-11,22.8731,23.4257,22.8597,23.2181,3399000
2005-02-14,23.275,23.3855,22.9736,23.2248,3447800
2005-02-15,22.6722,22.7726,21.9857,22.1364,15688200
2005-02-16,22.1364,22.4177,22.0359,22.3373,6056600
2005-02-17,22.4043,22.5516,22.0191,22.0526,4487400
2005-02-18,22.0493,22.3607,21.8986,22.2937,5503400
2005-02-22,22.2368,22.6688,22.0593,22.1832,4317000
2005-02-23,22.3875,22.4712,22.1531,22.3708,3152200
2005-02-24,22.4043,23.0941,22.4009,23.0305,5803200
2005-02-25,22.997,23.7907,22.8832,23.64,6330600
2005-02-28,23.5429,24.0051,23.5362,23.8142,6336400
2005-03-01,23.7706,23.8811,23.6199,23.7706,3990000
2005-03-02,23.5262,23.9548,23.4625,23.9314,4345800
2005-03-03,23.9314,23.9314,23.4793,23.6233,3401600
2005-03-04,23.9113,24.2763,23.7941,24.2294,4120200
2005-03-07,24.1122,24.1825,23.8175,23.9448,3285600
2005-03-08,23.9012,24.062,23.6869,23.8811,2743600
2005-03-09,23.8811,23.8811,23.2817,23.3621,4103800
2005-03-10,23.3956,23.4257,22.9267,23.1075,5393200
2005-03-11,23.1745,23.3922,23.0406,23.2381,3520000
2005-03-14,23.1779,23.2013,22.8731,22.9401,2659200
2005-03-15,22.9233,23.0673,22.7492,22.7492,4262200
2005-03-16,22.6722,22.7827,22.3909,22.5047,3828800
2005-03-17,22.5717,22.8932,22.4411,22.6889,3767800
2005-03-18,22.7727,22.9368,22.6119,22.8966,5080800
2005-03-21,22.9133,23.0975,22.8061,22.987,3181400
2005-03-22,22.987,23.1946,22.4947,22.5282,4067800
2005-03-23,22.5449,22.6755,22.2167,22.4612,4566600
2005-03-24,22.565,22.93,22.5349,22.8698,3926000
2005-03-28,22.8731,22.9167,22.7057,22.8028,3257600
2005-03-29,22.7187,22.7927,22.2174,22.2578,4214800
2005-03-30,22.3049,22.463,21.9382,22.3049,5349400
2005-03-31,22.4327,22.7187,22.4125,22.5841,3675400
2005-04-01,22.7456,22.7961,22.1602,22.2847,4595600
2005-04-04,22.2847,22.3553,22.1098,22.2309,3365600
2005-04-05,22.2847,22.3924,22.1737,22.3419,2606400
2005-04-06,22.3823,22.5976,22.3553,22.4563,2113800
2005-04-07,22.4563,22.6884,22.3722,22.6514,2037800
2005-04-08,22.6548,22.6918,22.5,22.5437,2050400
2005-04-11,22.5908,22.7052,22.2847,22.3419,3923000
2005-04-12,22.204,22.2813,21.373,22.2376,8478000
2005-04-13,22.204,22.2611,21.5883,21.7397,3904000
2005-04-14,21.7666,21.9786,21.2788,21.3663,5111200
2005-04-15,21.2115,21.6018,20.9255,21.0164,3545800
2005-04-18,20.9592,21.4302,20.9491,21.1644,3307000
2005-04-19,21.1442,21.5681,21.124,21.4571,4694200
2005-04-20,21.6993,22.1232,21.1947,21.2653,5336400
2005-04-21,21.5311,21.9079,21.2923,21.8675,3996600
2005-04-22,21.7666,21.9819,21.4537,21.7229,3529200
2005-04-25,21.7834,21.8877,21.5748,21.6657,2728800
2005-04-26,21.5816,21.6253,21.0567,21.2216,3864800
2005-04-27,21.0433,21.0467,20.6968,20.9054,5875000
2005-04-28,20.8246,20.9794,20.5252,20.6362,2439200
2005-04-29,20.791,21.087,20.616,21.0399,3099000
2005-05-02,21.0399,21.1577,20.7573,20.9121,2516800
2005-05-03,20.9155,21.0265,20.7405,20.8616,2472800
2005-05-04,20.8751,21.1678,20.8381,21.0568,3527600
2005-05-05,21.1106,21.2889,20.9962,21.1577,2452800
2005-05-06,21.2452,21.3865,21.05,21.0904,2125600
2005-05-09,21.0904,21.1106,20.8684,21.0433,2518200
2005-05-10,20.9087,20.9356,20.653,20.7035,3272000
2005-05-11,20.7102,21.0029,20.3974,20.9222,5630000
2005-05-12,20.9054,20.9054,20.1619,20.357,7294400
2005-05-13,20.3637,20.4209,19.7481,20.0811,5795400
2005-05-16,20.0811,20.2561,19.8995,20.1148,3966600
2005-05-17,20.6901,20.9928,20.542,20.9558,10108800
2005-05-18,21.1375,21.6926,21.1207,21.521,5526000
2005-05-19,21.696,21.918,21.5378,21.7296,4394600
2005-05-20,21.6455,21.7666,21.5076,21.6791,2894400
2005-05-23,21.7834,22.0189,21.6758,21.8843,4141800
2005-05-24,21.8844,21.9651,21.7195,21.8743,3449800
2005-05-25,21.8776,21.9516,21.4941,21.8675,4270800
2005-05-26,21.9516,22.2477,21.9348,22.2039,3242800
2005-05-27,22.3049,22.3823,22.2208,22.3116,3027000
2005-05-31,22.2645,22.4024,22.0357,22.2544,2950200
2005-06-01,22.103,22.3722,21.8877,22.0526,4568400
2005-06-02,22.0627,22.0761,21.8036,21.8642,3029000
2005-06-03,21.8642,21.9819,21.5917,21.7229,2418000
2005-06-06,21.7565,21.9954,21.7128,21.9584,2413200
2005-06-07,22.0694,22.2275,21.9214,21.9214,3583600
2005-06-08,22.1367,22.4058,21.9483,22.0929,2739200
2005-06-09,22.0862,22.4798,21.955,22.4125,4005800
2005-06-10,22.4933,22.6447,22.3251,22.4765,3953400
2005-06-13,22.4226,22.6985,22.3352,22.5505,2628600
2005-06-14,22.5505,22.6985,22.4765,22.5606,2537200
2005-06-15,22.4226,22.5908,22.0963,22.2511,3614400
2005-06-16,22.2174,22.6077,22.1703,22.5236,3614200
2005-06-17,22.6918,22.9441,22.6077,22.8533,3379400
2005-06-20,22.8566,23.045,22.6581,22.9172,2386600
2005-06-21,22.9172,23.3478,22.8869,22.9172,3996200
2005-06-22,22.9777,23.0181,22.4563,22.5404,3258000
2005-06-23,22.5572,22.7994,22.2544,22.315,2811400
2005-06-24,22.2813,22.3049,21.9853,22.1838,2783600
2005-06-27,22.0795,22.4025,21.8844,21.9887,2585800
2005-06-28,22.1408,22.4484,22.107,22.4112,2649200
2005-06-29,22.4653,22.7255,22.2861,22.4619,2093000
2005-06-30,22.4484,22.5903,22.1306,22.1374,2754600
2005-07-01,22.161,22.4146,22.107,22.3436,2950400
2005-07-05,22.6478,22.7492,22.4923,22.7323,4987800
2005-07-06,22.783,23.0433,22.7222,22.8506,4130000
2005-07-07,22.5295,22.8608,22.4044,22.8371,2709800
2005-07-08,22.7999,23.2901,22.7154,23.2427,2409400
2005-07-11,23.3272,23.4996,23.0264,23.4996,4841800
2005-07-12,23.4084,23.6044,23.165,23.5537,2703000
2005-07-13,23.4557,23.5706,23.2968,23.334,2637400
2005-07-14,23.3881,23.5774,23.3576,23.4624,4173800
2005-07-15,23.4658,23.5774,23.2055,23.5774,2438600
2005-07-18,23.5774,23.6619,23.5605,23.6348,2351000
2005-07-19,23.6619,24.1655,23.6619,24.1655,5432600
2005-07-20,24.0202,24.3785,23.8546,24.2162,4354200
2005-07-21,24.2737,24.294,23.9391,24.1013,3483200
2005-07-22,24.0675,24.321,23.9695,24.1182,3697800
2005-07-25,24.1351,24.2568,23.8951,23.9053,2442000
2005-07-26,23.8985,23.9762,23.6788,23.8343,2774400
2005-07-27,23.9391,24.7098,23.9391,24.5374,6031600
2005-07-28,24.6692,24.8348,24.49,24.8179,3416800
2005-07-29,24.8179,25.0072,24.676,24.8551,3352800
2005-08-01,24.8585,24.9633,24.7233,24.7436,1542200
2005-08-02,24.7368,24.8044,24.5915,24.6388,1933200
2005-08-03,24.6422,24.6996,24.3143,24.4867,3243400
2005-08-04,24.49,24.5475,24.0371,24.1419,4193600
2005-08-05,24.1351,24.2974,24.1047,24.1993,3617400
2005-08-08,24.3379,24.5036,24.1047,24.1419,2415200
2005-08-09,24.2703,24.4224,24.1182,24.2095,3908600
2005-08-10,24.2872,24.4833,24.1182,24.1351,3237200
2005-08-11,24.2196,24.6962,24.2196,24.6388,4512400
2005-08-12,24.6354,24.6523,24.3379,24.5408,2095000
2005-08-15,24.561,24.8044,24.3717,24.6117,2234800
2005-08-16,22.685,23.0501,21.7351,21.8467,30684600
2005-08-17,21.9041,21.9785,21.7689,21.8129,8503800
2005-08-18,21.8027,21.8703,21.6337,21.7115,5077600
2005-08-19,21.8163,22.0056,21.7182,21.9548,4482000
2005-08-22,21.992,22.1137,21.7182,21.867,5165400
2005-08-23,21.8872,21.9244,21.6439,21.6608,4560800
2005-08-24,21.6168,21.7351,21.3836,21.4072,5282000
2005-08-25,21.9379,21.9379,21.4681,21.5796,3271600
2005-08-26,21.6675,21.7216,21.4579,21.5763,3269000
