date,open,high,low,close,volume
2009-11-13,19.1336,20.0903,18.9162,19.7685,22079100
2009-11-16,19.9164,20.0903,19.2467,20.0903,2080000
2009-11-17,20.0294,20.1512,19.5685,20.0381,1328000
2009-11-18,20.0033,20.0207,19.5685,19.612,918300
2009-11-19,19.3685,20.1251,19.3685,19.8903,1031500
2009-11-20,19.5685,20.2903,19.5685,20.186,1080900
2009-11-23,20.6121,20.8557,20.1599,20.3512,741100
2009-11-24,20.5252,20.5687,20.2208,20.4382,633100
2009-11-25,20.0033,20.6991,19.9946,20.6469,362600
2009-11-27,19.7772,20.2643,19.7772,20.1338,141400
2009-11-30,20.1077,20.1077,19.6729,20.0033,853000
2009-12-01,20.386,20.4991,20.0033,20.2729,803500
2009-12-02,20.2556,20.6556,20.2208,20.5252,571300
2009-12-03,20.7165,20.7165,20.0033,20.2729,410000
2009-12-04,20.4121,20.8556,20.2642,20.7426,318100
2009-12-07,20.673,20.673,20.2469,20.5513,271500
2009-12-08,20.4382,20.6556,20.0033,20.5513,652900
2009-12-09,20.5513,20.9774,20.4382,20.873,609400
2009-12-10,21.5427,21.5427,20.3425,20.6121,848400
2009-12-11,20.5252,20.6469,20.099,20.299,600300
2009-12-14,20.2556,20.2903,19.7859,19.8294,489100
2009-12-15,19.8294,19.9077,19.5859,19.7337,700100
2009-12-16,19.8642,20.0468,19.612,19.7685,585400
2009-12-17,19.7859,19.7859,19.2032,19.5163,634000
2009-12-18,19.6642,19.6642,19.2293,19.6294,2105100
2009-12-21,19.5685,19.6641,19.2815,19.6555,536400
2009-12-22,19.6381,19.6642,19.3945,19.4815,766100
2009-12-23,20.1947,20.2208,19.4815,19.4902,1103000
2009-12-24,19.5337,19.6555,19.2206,19.2641,254300
2009-12-28,19.2641,19.725,19.2641,19.6729,804300
2009-12-29,19.7337,19.8294,19.5946,19.6642,123500
2009-12-30,19.5859,19.8294,19.5859,19.6642,173300
2009-12-31,19.8294,19.8642,19.4641,19.5076,156700
2010-01-04,19.612,20.3512,19.4815,20.0729,437200
2010-01-05,20.0033,20.2295,19.9685,20.2295,283600
2010-01-06,20.5252,20.7861,20.3599,20.5078,968100
2010-01-07,20.4817,20.6817,20.3512,20.6469,360700
2010-01-08,20.56,21.0035,20.2816,20.76,967300
2010-01-11,20.7426,20.9426,20.6643,20.873,253500
2010-01-12,20.7426,20.873,20.4904,20.8296,517700
2010-01-13,20.8296,21.2209,20.7078,21.134,596300
2010-01-14,21.0296,21.047,20.8122,21.047,201500
2010-01-15,21.2557,21.3079,20.96,21.1861,202100
2010-01-19,21.2209,21.6558,21.0731,21.3514,679300
2010-01-20,21.3166,21.5688,21.0905,21.3166,589800
2010-01-21,21.334,21.4992,20.7861,20.8557,203300
2010-01-22,20.8644,20.9078,19.8033,20.299,892700
2010-01-25,20.56,20.56,20.0555,20.3077,119500
2010-01-26,20.3512,20.5947,20.2816,20.4643,164800
2010-01-27,20.5252,20.5252,20.3251,20.4817,175300
2010-01-28,20.6904,20.9774,20.3425,20.7339,131400
2010-01-29,20.873,20.873,20.2034,20.4295,337800
2010-02-01,20.5947,20.5947,20.1164,20.3251,407500
2010-02-02,20.2903,20.6295,20.1686,20.5513,208300
2010-02-03,20.5252,20.7513,20.3599,20.7339,827700
2010-02-04,20.5599,20.6556,19.438,19.5424,714000
2010-02-05,19.4902,19.6294,18.5248,18.8814,1137100
2010-02-08,19.0293,19.6815,18.9249,19.4728,208100
