date,open,high,low,close,volume
2005-01-03,22.0601,22.417,22.0601,22.0918,5698936
2005-01-04,22.3853,22.3853,21.83,21.8538,5893969
2005-01-05,22.0125,22.0125,21.7269,21.7349,5454638
2005-01-06,21.7587,22.0998,21.7031,21.7666,5606893
2005-01-07,21.8142,21.8459,21.4572,21.5524,6624430
2005-01-10,21.5365,21.719,21.4969,21.6397,4510289
2005-01-11,21.5445,21.7666,21.5048,21.5841,7641967
2005-01-12,21.5921,22.1156,21.5445,21.9887,7918297
2005-01-13,22.1156,22.1156,21.9173,22.0125,6743436
2005-01-14,22.2743,22.6074,22.2505,22.4488,12502889
2005-01-18,22.4567,22.8851,22.4091,22.7978,9677344
2005-01-19,22.8216,22.9564,22.5757,22.6074,8632032
2005-01-20,22.5281,22.774,22.4091,22.6233,5963811
2005-01-21,22.6233,22.6788,22.3298,22.3298,6256868
2005-01-24,22.3298,22.425,22.1315,22.1711,6121439
2005-01-25,22.3536,22.8851,22.1711,22.8454,10043690
2005-01-26,22.9327,22.9327,22.4567,22.6709,7490623
2005-01-27,22.544,22.655,22.2584,22.4488,7241764
2005-01-28,22.3695,22.5122,22.1791,22.3932,7795540
2005-01-31,22.6867,22.8851,22.5678,22.7105,6912722
2005-02-01,22.8057,22.9802,22.5519,22.8454,10887582
2005-02-02,22.9168,22.9247,22.7502,22.8692,7762088
2005-02-03,22.893,22.893,22.6233,22.8454,5205981
2005-02-04,22.8216,23.2896,22.7423,23.2499,9378814
2005-02-07,23.3372,23.718,23.2103,23.7021,9398479
2005-02-08,23.7021,23.7894,23.4959,23.6704,6019159
2005-02-09,23.599,23.6624,23.2817,23.2817,6622504
2005-02-10,23.4245,23.4562,23.1786,23.2817,5475418
2005-02-11,23.1944,23.4324,22.9882,23.2737,6097516
2005-02-14,23.1944,23.3531,23.004,23.3134,5146680
2005-02-15,23.2499,23.4641,23.1944,23.4641,5094374
2005-02-16,23.4007,23.4007,23.2182,23.2658,4131069
2005-02-17,23.1944,23.3769,23.123,23.2817,4824531
2005-02-18,23.2896,23.2975,23.0516,23.0516,5194425
2005-02-22,22.8771,23.004,22.544,22.5519,7571110
2005-02-23,22.5519,22.8771,22.2901,22.7264,6045109
2005-02-24,22.6392,22.8216,22.2822,22.3298,8553776
2005-02-25,22.2901,22.6074,21.8221,22.1235,10205170
2005-02-28,22.0046,22.1632,21.8935,22.1632,6596148
2005-03-01,22.187,22.6154,22.1315,22.5916,7574962
2005-03-02,22.5281,22.8851,22.4488,22.7581,4694475
2005-03-03,22.7581,22.8216,22.536,22.6629,6930056
2005-03-04,22.8057,22.9802,22.6947,22.9089,6135732
2005-03-07,22.9009,23.004,22.8057,22.9723,4111911
2005-03-08,22.8057,22.8137,22.5519,22.6312,6433452
2005-03-09,22.5122,22.6233,21.9649,22.1949,9296300
2005-03-10,22.1156,22.3774,22.0601,22.2108,4978104
2005-03-11,22.306,22.3774,21.7904,21.8856,6969184
2005-03-14,22.2108,22.2901,21.9173,22.2267,7984795
2005-03-15,22.4488,22.9803,22.4488,22.6868,10863457
2005-03-16,22.5678,22.9406,22.5281,22.7264,9857881
2005-03-17,22.8851,22.9168,22.4646,22.5043,6478763
2005-03-18,22.5598,22.5598,22.068,22.2822,11746376
2005-03-21,22.3853,22.5202,22.1315,22.3536,4423213
2005-03-22,22.2743,22.536,22.0363,22.0363,5136746
2005-03-23,22.1394,22.2346,21.9966,22.0363,5259807
2005-03-24,22.0522,22.3298,22.0125,22.0125,4841358
2005-03-28,22.1553,22.544,22.1394,22.3457,5191181
2005-03-29,22.2901,22.4091,22.0522,22.1315,6244197
2005-03-30,22.2108,22.5678,22.187,22.4884,4923771
2005-03-31,22.5281,22.8851,22.4091,22.7899,6443588
2005-04-01,22.8375,22.9168,22.6154,22.6709,5260720
2005-04-04,22.7264,22.7423,22.4646,22.5519,4672985
2005-04-05,22.5043,22.7343,22.4567,22.6392,4473898
2005-04-06,22.7264,22.7423,22.4805,22.536,3758540
2005-04-07,22.536,22.774,22.4884,22.7661,4779726
2005-04-08,22.7185,23.004,22.4488,22.5281,4549417
2005-04-11,22.5202,22.5757,22.2505,22.3139,4415915
2005-04-12,22.2901,22.3774,21.9887,22.3219,6181652
2005-04-13,22.2346,22.4488,21.9728,21.9728,4380639
2005-04-14,21.9252,22.1156,21.83,21.9173,5631221
2005-04-15,21.8618,22.0125,21.6793,21.7111,7607197
2005-04-18,21.4176,21.6555,21.37,21.37,6055347
2005-04-19,21.2986,21.6476,21.2986,21.5365,6150938
2005-04-20,21.3779,21.6,21.1003,21.1161,5368474
2005-04-21,21.2668,22.0125,21.1875,21.949,7220578
2005-04-22,21.8935,21.9808,21.37,21.6555,4962696
2005-04-25,21.6873,21.7507,21.4572,21.5762,4361683
2005-04-26,21.5048,21.5127,21.2589,21.2589,5807603
2005-04-27,21.1796,21.3382,21.0289,21.2906,5511100
2005-04-28,21.1003,21.1717,20.4815,20.545,9948099
2005-04-29,20.664,20.9416,20.3943,20.9416,8371313
2005-05-02,21.0765,21.1954,20.7116,20.8861,6490218
2005-05-03,20.8861,20.9813,20.6402,20.8226,7073492
2005-05-04,20.8226,21.2748,20.7671,21.251,5219260
2005-05-05,21.1796,21.3858,21.1241,21.1875,4437608
2005-05-06,21.3779,21.5365,21.2668,21.3303,5810137
2005-05-09,21.3779,21.5603,21.3779,21.4651,5957932
2005-05-10,21.3382,21.4731,21.1637,21.3779,5368880
2005-05-11,21.4017,22.0363,20.8226,21.1558,10819260
2005-05-12,21.3779,21.4889,21.1161,21.2192,7838419
2005-05-13,21.3462,21.4969,21.2272,21.4176,7178104
2005-05-16,21.4572,21.5524,21.362,21.4731,6104815
2005-05-17,21.3779,21.7349,21.3462,21.6397,6307755
2005-05-18,21.7666,21.8935,21.5445,21.8142,7473999
2005-05-19,21.9649,22.2267,21.9332,22.1632,6661227
2005-05-20,22.2108,22.2108,22.0522,22.076,6157121
2005-05-23,22.0284,22.0759,21.838,21.8538,8412671
2005-05-24,21.7745,22.0046,21.7507,21.9411,6050380
2005-05-25,21.7428,22.0125,21.6555,21.9332,6817841
2005-05-26,22.0522,22.1553,22.0046,22.0522,5110289
2005-05-27,22.0204,22.2108,21.9966,22.1156,3821997
2005-05-31,21.957,21.9887,21.7507,21.7666,6227268
2005-06-01,21.8221,22.0601,21.7031,21.8776,5881804
2005-06-02,21.8776,21.8935,21.7269,21.7666,5425038
2005-06-03,21.6952,21.7666,21.6159,21.6714,5510593
2005-06-06,21.6317,21.7824,21.4652,21.481,6628180
2005-06-07,21.5365,21.8142,21.5365,21.6476,7212164
2005-06-08,21.7349,21.9094,21.7031,21.7428,5916168
2005-06-09,21.6952,21.9411,21.6793,21.8538,4983274
2005-06-10,21.8538,21.9808,21.1796,21.83,6142220
2005-06-13,21.7349,22.1156,21.6555,22.0204,5971211
2005-06-14,22.0918,22.2029,21.8935,21.9252,6907957
2005-06-15,22.0521,22.0521,21.4017,21.4493,10490522
2005-06-16,21.4731,21.5762,21.2351,21.243,6875013
2005-06-17,21.5603,21.5603,21.1003,21.1796,9602433
2005-06-20,21.0447,21.1796,20.9495,21.0923,5527319
2005-06-21,21.1637,21.3303,21.0765,21.2034,3888697
2005-06-22,21.3382,21.4176,21.1003,21.1717,4638824
2005-06-23,21.1558,21.2589,20.8226,20.8385,4407501
2005-06-24,20.6322,20.8544,20.3705,20.656,6235986
2005-06-27,20.656,20.7433,20.2039,20.3308,6917587
2005-06-28,20.4339,20.664,20.3863,20.5133,6326711
2005-06-29,20.4339,20.4974,20.1246,20.1722,8079473
2005-06-30,20.3705,20.426,19.9263,19.9739,7739584
2005-07-01,20.0056,20.2198,19.7993,19.9025,5244805
2005-07-05,19.8945,20.0294,19.728,19.8628,5697314
2005-07-06,19.7755,19.8787,19.6328,19.6645,7361987
2005-07-07,19.4107,19.5614,19.3155,19.3948,10409225
2005-07-08,19.3631,20.0373,19.3393,19.8311,10447238
2005-07-11,20.1087,20.2039,19.8549,19.9739,8896706
2005-07-12,20.0294,20.4022,19.8707,20.1563,10275824
2005-07-13,20.2991,20.5291,20.1484,20.3943,7599797
2005-07-14,20.5609,21.0209,20.5053,20.8861,12597770
2005-07-15,20.9416,20.9971,20.8226,20.9257,7714242
2005-07-18,20.8861,20.9813,20.6323,20.664,7284744
2005-07-19,20.6402,20.7274,20.315,20.4339,8686569
2005-07-20,20.4419,20.5212,20.2753,20.4895,6153573
2005-07-21,20.5053,20.5053,20.2277,20.2753,5524278
2005-07-22,20.2515,20.5133,20.2356,20.4895,4499341
