date,open,high,low,close,volume
2005-01-03,5.8976,5.9237,5.8322,5.9194,189100
2005-01-04,5.9281,5.9978,5.9019,5.9455,154400
2005-01-05,5.9237,5.9498,5.4446,5.7495,302600
2005-01-06,5.7059,5.9455,5.6624,5.8322,93300
2005-01-07,5.8453,5.8453,5.6972,5.7756,124300
2005-01-10,5.7495,5.9847,5.7059,5.793,79800
2005-01-11,5.793,5.8932,5.6842,5.7756,136400
2005-01-12,5.78,5.8366,5.7495,5.793,111600
2005-01-13,5.793,5.9237,5.7843,5.8235,77500
2005-01-14,5.8279,5.9978,5.8279,5.9194,28100
2005-01-18,5.8758,6.0108,5.7626,5.9673,185900
2005-01-19,5.9673,6.0413,5.8802,5.9455,233600
2005-01-20,5.9237,5.9455,5.8366,5.9063,42100
2005-01-21,5.9237,5.9411,5.8627,5.9237,51400
2005-01-24,5.9673,5.9891,5.8584,5.8889,48000
2005-01-25,5.8802,5.9498,5.8802,5.8802,61100
2005-01-26,5.9019,6.0283,5.9019,5.9716,105300
2005-01-27,5.9368,6.0108,5.9106,5.9673,106000
2005-01-28,5.9673,6.0239,5.9455,6.0108,48100
2005-01-31,6.0326,6.0979,6.0065,6.0108,64800
2005-02-01,5.9891,6.0239,5.9237,6.0108,102900
2005-02-02,6.0326,6.111,6.0283,6.0762,118100
2005-02-03,6.0849,6.1197,6.0326,6.0892,51200
2005-02-04,6.0892,6.1197,6.0674,6.0805,122900
2005-02-07,6.0544,6.1633,6.0544,6.1197,48300
2005-02-08,6.0762,6.1371,6.0675,6.0979,251800
2005-02-09,6.1067,6.1197,6.0282,6.0326,122000
2005-02-10,6.0544,6.1938,6.0544,6.1459,75400
2005-02-11,6.1197,6.3593,6.0979,6.3419,125800
2005-02-14,6.3593,6.3724,6.2722,6.3157,120600
2005-02-15,6.3201,6.3636,6.2286,6.3027,89700
2005-02-16,6.2722,6.3375,6.2722,6.3157,115600
2005-02-17,6.2939,6.2939,6.0805,6.0979,70000
2005-02-18,6.1197,6.1415,6.0631,6.0979,78800
2005-02-22,6.0762,6.0936,5.9673,6.0457,47100
2005-02-23,6.0457,6.0762,6.0108,6.0326,55400
2005-02-24,6.0544,6.0979,5.9803,6.0892,25100
2005-02-25,6.0979,6.1284,6.0979,6.1197,54000
2005-02-28,6.0979,6.2939,6.0979,6.2417,66600
2005-03-01,6.2504,6.2504,5.9847,6.2068,129900
2005-03-02,6.1851,6.3898,6.1851,6.3157,57100
2005-03-03,6.3375,6.4246,6.2286,6.2765,21300
2005-03-04,6.2939,6.3811,6.2722,6.3114,181100
2005-03-07,6.3157,6.4028,6.2939,6.3244,43300
2005-03-08,6.3375,6.3375,6.2025,6.2068,16200
2005-03-09,6.1633,6.2635,6.0979,6.2112,46300
2005-03-10,6.2068,6.2722,6.1851,6.233,61900
2005-03-11,6.2746,6.2968,6.1683,6.1949,204300
2005-03-14,6.217,6.4873,6.1949,6.4873,23900
2005-03-15,6.505,6.5627,6.1949,6.2791,111600
2005-03-16,6.3012,6.3012,6.186,6.2037,70400
2005-03-17,6.2259,6.2259,6.1816,6.1904,32200
2005-03-18,6.2259,6.248,6.1638,6.248,100100
2005-03-21,6.3145,6.3367,6.155,6.2658,112500
2005-03-22,6.248,6.2702,6.0929,6.1638,142000
2005-03-23,6.1638,6.3145,6.1062,6.3145,60700
2005-03-24,6.3322,6.5183,6.3322,6.4297,78200
2005-03-28,6.3854,6.4474,6.3455,6.4297,44300
2005-03-29,6.4341,6.4696,6.3943,6.4253,52200
2005-03-30,6.4696,6.505,6.2658,6.505,62100
2005-03-31,6.5006,6.5272,6.3101,6.3677,41100
2005-04-01,6.412,6.4297,6.2702,6.3411,88600
2005-04-04,6.3588,6.3721,6.1417,6.3455,68300
2005-04-05,6.3455,6.35,6.2303,6.2746,127700
2005-04-06,6.3145,6.4696,6.2923,6.4696,65100
2005-04-07,6.4297,6.4652,6.3234,6.3943,25200
2005-04-08,6.4386,6.4386,6.2126,6.2126,46700
2005-04-11,6.2347,6.2569,6.1594,6.1816,67100
2005-04-12,6.186,6.381,6.0575,6.381,49000
2005-04-13,6.3588,6.3588,6.1151,6.2702,39600
2005-04-14,6.2791,6.3411,6.1594,6.1594,39100
2005-04-15,6.1594,6.2037,6.124,6.1284,64900
2005-04-18,6.1505,6.2037,6.0974,6.1328,88300
2005-04-19,6.1594,6.2835,6.1594,6.2037,70600
2005-04-20,6.186,6.2037,6.1373,6.1949,98700
2005-04-21,6.2037,6.3145,6.1594,6.2347,106300
2005-04-22,6.248,6.248,6.1373,6.2037,77200
2005-04-25,6.2259,6.3056,6.1727,6.2569,212000
2005-04-26,6.2347,6.2702,6.1594,6.2126,39200
2005-04-27,6.2037,6.3056,6.1904,6.2746,73400
2005-04-28,6.2613,6.3588,6.2037,6.248,39900
2005-04-29,6.2923,6.3588,6.1993,6.3234,100200
2005-05-02,6.3455,6.4076,6.3455,6.3765,72300
2005-05-03,6.3455,6.4607,6.3455,6.4607,37200
2005-05-04,6.4607,6.6203,6.4253,6.5981,216800
2005-05-05,6.6247,6.7045,6.5715,6.6025,61600
2005-05-06,6.6247,6.6867,6.381,6.4962,39700
2005-05-09,6.4785,6.638,6.4652,6.638,14600
2005-05-10,6.6601,6.6601,6.3943,6.5937,69000
2005-05-11,6.5937,6.5937,6.4209,6.4696,31500
2005-05-12,6.4474,6.4696,6.3544,6.4253,74400
2005-05-13,6.4253,6.4253,6.2923,6.3455,80700
2005-05-16,6.3455,6.5139,6.1151,6.4519,83800
2005-05-17,6.5361,6.5361,6.3677,6.412,150000
2005-05-18,6.4341,6.5361,6.4253,6.4696,117300
2005-05-19,6.4918,6.5361,6.4918,6.5183,82100
2005-05-20,6.5361,6.6513,6.5139,6.6424,47100
