date,open,high,low,close,volume
2005-01-03,7.9634,8.0216,7.6855,7.8558,425100
2005-01-04,7.8424,7.9499,7.7079,7.8872,195700
2005-01-05,7.8827,7.9275,7.7348,7.8065,551200
2005-01-06,7.7931,7.7931,7.6407,7.7303,193900
2005-01-07,7.7393,7.7393,7.578,7.6542,466700
2005-01-10,7.6542,7.9499,7.6183,7.8424,260200
2005-01-11,7.8379,8.0664,7.811,7.9903,253300
2005-01-12,7.9903,7.9903,7.8379,7.8917,128800
2005-01-13,7.8648,7.9903,7.7528,7.8469,265000
2005-01-14,7.8424,7.9723,7.8065,7.941,165300
2005-01-18,7.6855,8.1964,7.6855,8.0485,320000
2005-01-19,8.0216,8.0216,7.82,7.8648,136300
2005-01-20,7.8693,7.8782,7.6855,7.6855,166500
2005-01-21,7.6945,7.8379,7.6228,7.699,481100
2005-01-24,7.6273,7.7079,7.569,7.6049,162700
2005-01-25,7.6004,7.6631,7.5287,7.5959,491700
2005-01-26,7.5825,7.7079,7.5735,7.6183,252100
2005-01-27,7.6407,7.6407,7.5018,7.5287,159600
2005-01-28,7.5735,7.5959,7.3539,7.4256,232200
2005-01-31,7.4794,7.6049,7.4166,7.4749,236800
2005-02-01,7.4435,7.5421,7.3942,7.3942,207900
2005-02-02,7.4301,7.5959,7.3942,7.4839,421500
2005-02-03,7.5152,7.5421,7.4167,7.4391,193700
2005-02-04,7.4659,7.681,7.4391,7.6228,286700
2005-02-07,7.6183,7.6855,7.5063,7.5466,185100
2005-02-08,7.5197,7.5466,7.448,7.4839,114400
2005-02-09,7.5332,7.5735,7.4391,7.4839,367900
2005-02-10,7.5287,7.7483,7.5063,7.6093,392900
2005-02-11,7.5735,7.6452,7.5063,7.578,161900
2005-02-14,7.6049,7.7976,7.5645,7.6497,260400
2005-02-15,7.6183,7.7169,7.5287,7.6273,217800
2005-02-16,7.6452,7.7527,7.5959,7.7303,359800
2005-02-17,7.7169,7.7303,7.6273,7.6766,268100
2005-02-18,7.69,7.7079,7.6362,7.6676,305800
2005-02-22,7.6497,8.0172,7.6318,7.9186,653900
2005-02-23,7.9186,7.9544,7.7124,7.7528,376300
2005-02-24,7.6855,7.7841,7.6676,7.7079,354500
2005-02-25,7.6855,7.7886,7.6049,7.7348,218000
2005-02-28,7.7438,7.7707,7.6049,7.6497,236500
2005-03-01,7.6273,7.7303,7.6273,7.7214,127800
2005-03-02,7.681,7.9096,7.6721,7.8737,409100
2005-03-03,7.8872,7.932,7.8245,7.8424,130900
2005-03-04,7.8424,7.9141,7.7931,7.8648,158600
2005-03-07,7.8424,7.9499,7.82,7.8737,131400
2005-03-08,7.8648,7.8827,7.7438,7.7976,89600
2005-03-09,7.7976,7.9499,7.7303,7.9051,134500
2005-03-10,7.8693,7.9544,7.7752,7.9275,145500
2005-03-11,7.9861,8.1033,7.9636,8.0808,158200
2005-03-14,8.1123,8.27,8.0808,8.2115,170000
2005-03-15,8.2024,8.2791,8.1123,8.1889,188500
2005-03-16,8.1484,8.2069,8.0943,8.1168,192900
2005-03-17,8.1168,8.1303,7.9996,8.1258,82000
2005-03-18,8.1709,8.1709,8.0988,8.1348,233500
2005-03-21,8.0898,8.1799,8.0222,8.1123,142700
2005-03-22,8.1258,8.2024,8.0177,8.0582,110400
2005-03-23,8.0627,8.0762,7.932,7.9726,151100
2005-03-24,8.0086,8.1123,7.9816,8.0717,175400
2005-03-28,8.1123,8.3196,8.0943,8.2475,246000
2005-03-29,8.225,8.3331,8.1484,8.2836,258700
2005-03-30,8.3331,8.4503,8.3151,8.4007,498600
2005-03-31,8.4098,8.4593,8.3737,8.4233,363100
2005-04-01,8.4503,8.4954,8.2791,8.4053,263000
2005-04-04,8.4413,8.4774,8.3872,8.4053,265600
2005-04-05,8.4098,8.5134,8.3647,8.4458,224900
2005-04-06,8.4503,8.5089,8.3872,8.4053,235200
2005-04-07,8.4278,8.6171,8.3647,8.5179,495800
2005-04-08,8.4864,8.6892,8.4548,8.5089,275300
2005-04-11,8.5044,8.5675,8.4098,8.5405,230300
2005-04-12,8.5179,8.554,8.3827,8.4999,312300
2005-04-13,8.5314,8.581,8.4954,8.5224,128700
2005-04-14,8.5405,8.5765,8.4909,8.5405,242600
2005-04-15,8.5405,8.5405,8.3692,8.4098,315100
2005-04-18,8.3692,8.4683,8.2475,8.3422,316300
2005-04-19,8.3737,8.4954,8.3376,8.4819,371800
2005-04-20,8.4999,8.5314,8.3647,8.3782,279900
2005-04-21,8.3962,8.6081,8.3962,8.5179,545700
2005-04-22,8.5224,8.5359,8.2791,8.4143,374800
2005-04-25,8.3917,8.4638,8.3737,8.4368,304100
2005-04-26,8.4413,8.4638,8.3827,8.4413,348600
2005-04-27,8.3962,8.4278,8.2475,8.3241,246900
2005-04-28,8.3151,8.3196,8.1258,8.2205,168200
2005-04-29,8.2385,8.2565,8.0087,8.1844,253600
2005-05-02,8.1484,8.2475,8.1123,8.243,183100
2005-05-03,8.2565,8.3376,8.1889,8.2475,358500
2005-05-04,8.243,8.4458,8.243,8.4143,415300
2005-05-05,8.3737,8.4278,8.27,8.3376,247800
2005-05-06,8.3512,8.3962,8.2024,8.2746,298400
2005-05-09,8.2565,8.3376,8.1348,8.252,260000
2005-05-10,8.6126,8.9145,8.563,8.6847,2048200
2005-05-11,8.6757,9.0723,8.6757,9.0542,1384800
2005-05-12,9.0362,9.2345,9.0137,9.1399,813000
2005-05-13,9.1624,9.4058,9.1263,9.3607,566700
2005-05-16,9.4058,9.5274,9.1489,9.4193,1216400
2005-05-17,9.239,9.5545,9.1939,9.4193,702300
2005-05-18,9.4148,9.7438,9.4148,9.6672,481700
2005-05-19,9.7257,9.915,9.6672,9.7663,717500
2005-05-20,9.7798,9.8655,9.7077,9.7934,220000
2005-05-23,9.7934,10.0052,9.7934,9.9015,596500
2005-05-24,9.8384,10.0232,9.8294,9.9646,514400
2005-05-25,9.9691,9.9962,9.7798,9.8339,495700
2005-05-26,9.861,9.9105,9.6491,9.6491,768300
2005-05-27,9.6942,9.9511,9.6672,9.9286,410100
2005-05-31,9.9556,10.3567,9.8745,10.3161,981500
2005-06-01,10.3161,10.3432,10.0953,10.1719,563800
2005-06-02,10.1764,10.2891,10.1314,10.1855,397700
2005-06-03,10.1719,10.4153,10.1719,10.3387,506300
2005-06-06,10.2485,10.2576,9.4779,9.55,1528200
2005-06-07,9.5455,9.6446,9.2841,9.4058,817500
2005-06-08,9.4508,9.6897,9.3607,9.6086,610300
2005-06-09,9.6446,9.8204,9.6086,9.6897,678500
2005-06-10,9.6852,9.9421,9.6446,9.8925,529300
2005-06-13,9.8925,10.1189,9.8744,10.0827,606100
2005-06-14,10.0962,10.2321,10.0646,10.2275,407000
2005-06-15,10.2275,10.3045,10.1642,10.3,435300
2005-06-16,10.2955,10.3,10.1777,10.1868,205300
2005-06-17,10.2094,10.2773,10.1415,10.223,434300
2005-06-20,10.1868,10.3634,10.146,10.3588,148300
2005-06-21,10.3588,10.3588,10.1642,10.2683,137500
2005-06-22,10.2773,10.3317,10.1913,10.2456,100900
2005-06-23,10.2411,10.2547,9.9604,10.0057,162700
2005-06-24,9.9559,10.0374,9.7703,9.7838,552100
2005-06-27,9.802,9.8336,9.6933,9.734,106200
2005-06-28,9.7431,10.1098,9.725,10.0962,132600
2005-06-29,10.0962,10.1596,10.0329,10.0736,89700
2005-06-30,10.0827,10.3181,10.06,10.0781,179400
2005-07-01,10.0962,10.1008,9.8925,9.974,139100
2005-07-05,9.9423,10.2321,9.8834,10.1596,168600
2005-07-06,10.1868,10.1868,9.9287,9.9604,368000
2005-07-07,9.9151,10.1415,9.8246,10.0872,267700
2005-07-08,10.0827,10.4177,10.0057,10.3317,280300
2005-07-11,10.3,10.4267,10.1279,10.2909,287100
2005-07-12,10.2683,10.4132,10.214,10.4041,274300
2005-07-13,10.4132,10.9338,10.1868,10.8206,1088500
2005-07-14,10.8025,11.047,10.6939,10.8116,428300
2005-07-15,10.8116,11.0153,10.6939,10.9791,210100
2005-07-18,10.9927,11.0923,10.9565,11.0063,211700
2005-07-19,11.0063,11.2417,10.9791,11.2236,634800
2005-07-20,11.2281,11.2734,11.1149,11.2281,274300
2005-07-21,11.2281,11.3187,11.1194,11.2145,432100
2005-07-22,11.2055,11.2915,11.1421,11.287,148000
2005-07-25,11.2372,11.3639,11.2236,11.2507,155100
2005-07-26,11.2507,11.4092,11.2507,11.3549,204400
2005-07-27,11.3503,11.4545,11.2734,11.4545,344900
2005-07-28,11.4545,11.5405,11.3639,11.45,387300
2005-07-29,11.4228,11.4726,11.3277,11.3277,290700
2005-08-01,11.3911,11.4545,11.3322,11.3639,559100
2005-08-02,11.4092,11.4635,11.296,11.4092,363900
2005-08-03,11.4364,11.7307,10.9791,11.124,938100
2005-08-04,11.124,11.2417,10.8704,11.0515,497300
2005-08-05,11.0878,11.6039,11.0606,11.4364,1179800
2005-08-08,11.4228,11.4273,11.2598,11.3051,472400
2005-08-09,11.3232,11.3775,11.296,11.3368,269100
2005-08-10,11.3503,11.4318,11.2191,11.3096,396600
2005-08-11,11.3096,11.3639,11.2598,11.2734,369300
2005-08-12,11.2734,11.296,11.0923,11.1104,220900
2005-08-15,11.0742,11.1828,10.9112,11.0878,315500
2005-08-16,11.0696,11.1285,10.9248,11.0832,353500
2005-08-17,10.8659,10.8704,10.6531,10.7029,904800
2005-08-18,10.6124,10.635,10.4584,10.472,507200
2005-08-19,10.4584,10.5264,10.3,10.4177,396300
2005-08-22,10.2547,10.5309,10.2275,10.4041,447300
2005-08-23,10.4086,10.5309,10.3136,10.4584,305500
2005-08-24,10.4132,10.4403,10.1868,10.2773,430000
2005-08-25,10.2909,10.4177,10.2592,10.3996,303500
2005-08-26,10.3996,10.3996,10.1415,10.2547,255200
2005-08-29,10.2592,10.3951,10.1279,10.3498,207500
2005-08-30,10.3679,10.5218,10.3136,10.3543,295700
2005-08-31,10.3453,10.4313,10.2411,10.4132,278200
2005-09-01,10.3679,10.3769,9.9468,10.0962,525100
2005-09-02,10.0827,10.1823,10.0827,10.1279,208400
2005-09-06,10.1053,10.6395,10.1053,10.5716,429500
2005-09-07,10.5716,10.8523,10.5716,10.8206,373800
2005-09-08,10.7754,10.9338,10.6395,10.6758,318200
2005-09-09,10.6486,10.8569,10.6033,10.712,271000
2005-09-12,10.6395,10.7437,10.635,10.7074,263100
2005-09-13,10.7074,10.7302,10.471,10.4801,406500
2005-09-14,10.471,10.5029,10.0482,10.1846,286000
2005-09-15,10.1528,10.1618,9.7754,9.9482,384600
2005-09-16,10.0254,10.2619,9.9209,10.23,323100
2005-09-19,10.2346,10.2755,9.8254,9.9527,161000
2005-09-20,10.0391,10.1846,9.7617,9.7845,205900
2005-09-21,9.7845,9.8527,9.6435,9.7572,473200
2005-09-22,9.8208,10.1573,9.7526,10.0482,286700
2005-09-23,10.0755,10.2346,10.0527,10.0936,203600
2005-09-26,10.1391,10.3028,10.0345,10.1209,116600
2005-09-27,10.1209,10.3664,10.0936,10.2755,163300
2005-09-28,10.2664,10.2846,9.9163,9.9436,205900
2005-09-29,10.0027,10.3483,9.9618,10.3119,367800
2005-09-30,10.2755,10.6483,10.2619,10.6029,321000
2005-10-03,10.6029,10.6574,10.3164,10.3164,305200
2005-10-04,10.3755,10.4165,10.2528,10.3164,180200
2005-10-05,10.321,10.4074,10.0936,10.0936,154500
2005-10-06,10.0982,10.2073,9.9254,10.0618,199200
2005-10-07,10.1073,10.1755,10.0209,10.0982,57300
2005-10-10,9.8936,10.1164,9.889,9.9345,190600
2005-10-11,9.93,9.93,9.7435,9.7617,187000
2005-10-12,9.739,9.7981,9.4253,9.5799,344500
2005-10-13,9.5799,9.8436,9.5208,9.8117,369400
2005-10-14,9.8572,9.9936,9.7299,9.9482,244800
2005-10-17,9.9345,9.9345,9.7936,9.8754,114800
2005-10-18,9.8436,9.8754,9.6026,9.6208,281200
2005-10-19,9.548,9.6799,9.348,9.6799,724600
2005-10-20,9.7072,9.8345,9.7072,9.7754,168100
2005-10-21,9.7754,9.8663,9.6844,9.689,210300
2005-10-24,9.639,10.0846,9.639,9.8208,304800
2005-10-25,10.1618,11.0257,10.1437,10.8666,883500
2005-10-26,10.812,11.2985,10.7575,11.0394,710800
2005-10-27,11.0257,11.244,10.9575,11.0212,781300
2005-10-28,11.0212,11.0757,10.7756,10.8666,527300
2005-10-31,10.9348,11.003,10.8211,10.8757,428300
2005-11-01,10.8438,11.0484,10.7802,10.9621,252100
2005-11-02,10.9621,11.1849,10.9439,11.0712,509700
2005-11-03,11.1394,11.2849,11.0985,11.2303,342900
2005-11-04,11.2712,11.3667,11.1894,11.2758,286400
2005-11-07,11.3213,11.3985,11.1849,11.3576,230400
2005-11-08,11.3212,11.5349,11.2712,11.5031,339900
2005-11-09,11.4577,11.5486,11.3622,11.4622,369500
2005-11-10,11.4622,11.7759,11.4304,11.6577,276300
2005-11-11,11.635,11.635,10.7711,10.8984,1438600
