date,open,high,low,close,volume
2005-01-03,27.4945,27.5573,27.1174,27.1802,648400
2005-01-04,27.1802,27.2195,26.5989,26.8346,883500
2005-01-05,26.866,27.1645,26.5675,26.5753,757500
2005-01-06,26.4811,26.9053,26.4811,26.6539,498500
2005-01-07,26.6382,26.7482,26.4104,26.4968,693800
2005-01-10,26.4732,26.9288,26.4732,26.7325,570200
2005-01-11,26.701,26.7325,26.3711,26.5125,606100
2005-01-12,26.4025,26.5675,26.2061,26.4418,828700
2005-01-13,26.4732,26.5675,26.0412,26.1119,797700
2005-01-14,26.2847,26.4968,26.2218,26.4418,753900
2005-01-18,26.2611,26.8896,26.2533,26.8739,885000
2005-01-19,26.7717,27.0467,26.7717,26.9131,561300
2005-01-20,26.8267,27.0153,26.7089,26.811,655900
2005-01-21,26.811,26.921,26.379,26.4732,1054600
2005-01-24,26.4732,26.5989,26.1904,26.2454,632600
2005-01-25,26.4339,26.4732,26.2218,26.3004,654700
2005-01-26,26.3475,26.4654,26.2061,26.4182,912800
2005-01-27,26.3947,26.4261,26.2376,26.3397,755400
2005-01-28,26.1983,26.4732,26.1983,26.3554,632000
2005-01-31,26.5361,26.6696,26.379,26.434,796400
2005-02-01,26.4339,26.701,26.324,26.646,859100
2005-02-02,26.5125,26.7089,26.3947,26.6382,566100
2005-02-03,26.4575,26.5282,25.9469,26.159,1962600
2005-02-04,26.1983,26.4261,26.159,26.3711,787600
2005-02-07,26.3711,26.3711,25.1378,25.8683,1644000
2005-02-08,25.9155,26.0019,25.6248,25.8762,1054900
2005-02-09,25.7741,25.7741,25.2635,25.3185,1182300
2005-02-10,25.3734,25.7819,25.2713,25.7191,1182500
2005-02-11,25.727,26.1512,25.4913,25.8841,1003600
2005-02-14,25.8605,25.8998,25.7584,25.7741,787400
2005-02-15,25.7112,25.7741,25.5148,25.5934,955500
2005-02-16,25.5934,25.5934,25.2085,25.2478,1225600
2005-02-17,25.2478,25.2713,24.8471,24.8471,1578500
2005-02-18,24.8864,25.0121,24.8157,24.9885,1336900
2005-02-22,24.9807,25.1928,24.6586,24.745,1414800
2005-02-23,24.7371,25.0671,24.7293,24.8707,1298300
2005-02-24,24.855,24.9807,24.6743,24.8,1075700
2005-02-25,24.6664,24.9728,24.6429,24.8707,1110400
2005-02-28,24.7686,25.0121,24.5093,24.91,1230700
2005-03-01,25.0671,25.2085,24.8393,25.0435,1278700
2005-03-02,25.0435,25.1613,24.7529,25.0435,971700
2005-03-03,25.2163,25.3342,25.0671,25.2399,1171300
2005-03-04,26.0805,26.1197,25.727,25.994,1408100
2005-03-07,25.9155,26.0412,25.8134,25.8369,840300
2005-03-08,25.8841,25.9705,25.5855,25.6484,672300
2005-03-09,25.6484,25.8212,25.5698,25.5855,692100
2005-03-10,25.5934,25.7505,25.4913,25.5698,883300
2005-03-11,25.6785,25.7967,25.521,25.5368,745800
2005-03-14,25.6155,25.97,25.521,25.8045,699700
2005-03-15,25.8046,25.8518,25.6391,25.6391,735400
2005-03-16,25.521,25.7494,25.395,25.458,983300
2005-03-17,25.584,25.8282,25.5052,25.7494,1057600
2005-03-18,25.647,25.6943,25.2689,25.5052,3356000
2005-03-21,25.4974,25.6391,25.3556,25.5446,733100
2005-03-22,25.5446,25.8361,25.4816,25.5131,859400
2005-03-23,25.4422,25.5919,25.3241,25.5604,906500
2005-03-24,25.5604,25.8518,25.5446,25.7967,877600
2005-03-28,25.8361,25.9306,25.647,25.647,689700
2005-03-29,25.5604,25.9385,25.4343,25.4895,802400
2005-03-30,25.521,25.8361,25.4659,25.7652,590400
2005-03-31,25.7888,26.1118,25.7415,26.033,749800
2005-04-01,26.1905,26.285,25.8518,25.9148,867000
2005-04-04,25.8203,25.9778,25.6785,25.8439,625900
2005-04-05,25.773,25.97,25.7258,25.9148,425500
2005-04-06,25.9621,26.1827,25.9385,26.0015,366000
2005-04-07,26.0645,26.159,25.8755,26.1118,499900
2005-04-08,25.9542,26.096,25.9306,25.9306,561600
2005-04-11,26.0015,26.4268,25.9148,26.3008,719500
2005-04-12,26.3638,26.734,25.9621,26.7025,984900
2005-04-13,26.7104,26.9625,26.5135,26.9388,2066800
2005-04-14,26.9388,26.9388,26.3402,26.4977,1166600
2005-04-15,26.4977,26.6631,25.9148,25.9306,1094300
2005-04-18,25.9385,26.1512,25.7573,26.1354,755100
2005-04-19,26.096,26.2378,25.8361,26.0645,698300
2005-04-20,25.9542,26.1669,25.6234,25.6864,754600
2005-04-21,25.9148,26.1196,25.5289,26.1039,734000
2005-04-22,25.9936,26.0566,25.0484,25.4028,849500
2005-04-25,25.2453,25.7415,25.2059,25.6785,1149200
2005-04-26,25.6628,25.9227,25.5761,25.5761,732800
2005-04-27,25.6155,25.7179,25.3713,25.5131,604800
2005-04-28,25.4186,25.5998,25.0563,25.1114,606800
2005-04-29,25.3083,25.7652,25.1035,25.7652,908600
2005-05-02,25.7652,25.8833,25.5919,25.7652,701200
2005-05-03,25.6785,25.9306,25.5446,25.647,773700
2005-05-04,25.7258,25.8518,25.5761,25.7809,807800
2005-05-05,25.7573,25.7573,25.3477,25.6313,581100
2005-05-06,25.6313,25.7967,25.5131,25.5919,485800
2005-05-09,25.5368,25.6943,25.3241,25.6707,441600
2005-05-10,25.4422,25.5525,25.2059,25.3004,503800
2005-05-11,25.2926,25.5525,25.1665,25.4974,531600
2005-05-12,25.4659,25.5761,24.8672,24.9539,618200
2005-05-13,24.9696,24.9775,24.1662,24.6388,1193000
2005-05-16,24.6388,25.2611,24.6309,25.2453,693200
2005-05-17,25.1272,25.3635,25.0011,25.3477,982100
2005-05-18,25.3477,26.0881,25.2138,25.9621,980200
2005-05-19,25.9621,25.9621,25.7179,25.8991,394100
2005-05-20,26.0172,26.0172,25.6628,25.8439,403100
2005-05-23,25.9148,26.1511,25.6707,26.033,672200
2005-05-24,25.8912,25.8912,25.5289,25.7888,587300
2005-05-25,25.6628,25.7337,25.2847,25.5761,446000
2005-05-26,25.647,25.7652,25.5998,25.6628,490200
2005-05-27,25.6943,25.7258,25.5289,25.6628,296500
2005-05-31,25.6234,25.6785,25.4028,25.4659,724100
2005-06-01,25.4659,25.9463,25.3871,25.7573,605000
2005-06-02,25.7494,25.9227,25.4737,25.907,578300
2005-06-03,25.8361,25.9857,25.647,25.8124,617800
2005-06-06,25.7731,25.9542,25.7022,25.8282,503700
2005-06-07,25.8046,26.033,25.6155,25.6234,578200
2005-06-08,25.7573,25.8124,25.4501,25.5919,302400
2005-06-09,25.458,25.521,25.2374,25.5131,407400
2005-06-10,25.5131,25.7652,25.2059,25.5368,389400
2005-06-13,25.458,25.6391,25.2532,25.4107,477500
2005-06-14,25.3871,25.5525,25.3635,25.5446,307400
2005-06-15,25.5998,25.6707,25.2847,25.5761,680300
2005-06-16,25.5604,25.8282,25.5604,25.7337,342900
2005-06-17,26.0559,26.0559,25.4004,25.9375,575100
2005-06-20,25.819,25.8427,25.4714,25.7242,380200
2005-06-21,25.7321,25.819,25.2582,25.4872,685600
2005-06-22,25.4872,25.7005,25.3056,25.4872,611300
2005-06-23,25.4951,25.5425,24.8159,25.0687,494700
2005-06-24,25.0687,25.2582,24.9818,25.0766,845400
2005-06-27,25.0765,25.116,24.9028,25.045,471000
2005-06-28,25.1081,25.3767,25.1081,25.3609,437500
2005-06-29,25.3609,25.5267,25.2582,25.4715,464400
2005-06-30,25.4004,25.5741,25.2977,25.5583,817000
2005-07-01,25.661,25.6689,25.2819,25.4636,607300
2005-07-05,25.3925,25.4004,24.9976,25.274,546200
2005-07-06,25.1476,25.2424,24.9028,24.966,466500
2005-07-07,24.6422,25.0687,24.2867,25.0292,575100
2005-07-08,25.0371,25.4793,24.9265,25.3451,392600
2005-07-11,25.4635,25.6926,25.4162,25.4556,610700
2005-07-12,25.3451,25.432,25.1002,25.3293,752900
2005-07-13,25.274,25.4241,25.0371,25.0844,650300
2005-07-14,25.3925,25.5109,25.2266,25.274,591200
2005-07-15,25.274,25.353,25.0765,25.2187,496300
2005-07-18,25.0924,25.2424,24.9581,25.0924,497800
2005-07-19,25.2345,25.274,24.9107,25.0371,548700
2005-07-20,25.045,25.503,24.966,25.353,388200
2005-07-21,25.274,25.3688,25.0923,25.1081,456500
2005-07-22,25.1081,25.274,24.966,25.195,612100
2005-07-25,25.353,26.8773,25.2345,26.514,2056900
2005-07-26,26.4508,26.6404,26.2692,26.4587,1044100
2005-07-27,26.5614,26.822,26.4587,26.5456,1031100
2005-07-28,26.6957,26.9642,26.6325,26.7194,837200
2005-07-29,26.7431,26.9642,26.514,26.5219,1211600
2005-08-01,26.5614,26.8536,26.4508,26.6088,724100
2005-08-02,26.6878,26.9168,26.5377,26.6878,665200
2005-08-03,26.6641,26.822,26.593,26.6325,513800
2005-08-04,26.6167,26.7115,26.2929,26.3008,793000
2005-08-05,26.2218,26.3403,25.9848,26.1823,835100
2005-08-08,26.3008,26.4666,26.1744,26.3166,580400
2005-08-09,26.3955,26.4034,26.048,26.1349,531400
2005-08-10,26.2613,26.6878,26.2455,26.3718,690100
2005-08-11,26.5377,26.6404,26.2455,26.5061,338200
2005-08-12,26.3402,26.3876,25.9216,26.0638,451400
2005-08-15,26.0243,26.0322,25.7163,25.9216,471000
2005-08-16,25.9216,26.0006,25.4793,25.4793,410600
2005-08-17,25.4715,25.6057,25.3767,25.5978,327800
2005-08-18,25.4557,25.5346,25.2345,25.2661,377800
2005-08-19,25.4557,25.5109,25.2345,25.3451,377900
2005-08-22,25.4557,25.7163,25.2977,25.3688,406300
2005-08-23,25.4083,25.4557,25.0844,25.0844,564600
2005-08-24,25.1318,25.5109,25.1239,25.2108,671800
2005-08-25,25.353,25.4794,25.2898,25.3925,550700
2005-08-26,25.3372,25.3767,25.0134,25.0766,478600
2005-08-29,24.9976,25.4004,24.9107,25.2661,370800
2005-08-30,25.116,25.3925,25.0687,25.353,738400
2005-08-31,25.432,26.0717,25.353,26.0638,1221900
2005-09-01,26.0401,26.3165,25.9611,26.0638,826600
2005-09-02,26.2376,26.2692,25.9769,26.1586,569700
2005-09-06,26.4982,26.6878,26.3402,26.6009,908200
2005-09-07,26.6246,26.7431,26.4508,26.5535,1209400
2005-09-08,26.4982,26.4982,26.0006,26.0717,838500
2005-09-09,26.0638,26.3245,25.969,26.3008,588600
2005-09-12,26.206,26.3086,26.0322,26.1586,582300
2005-09-13,26.1349,26.285,25.9374,26.0243,657600
2005-09-14,25.9453,26.0401,25.7242,25.7242,532700
2005-09-15,25.819,25.9059,25.7084,25.7558,514400
2005-09-16,25.9363,26.3244,25.7621,25.8176,3401200
2005-09-19,25.778,25.778,25.477,25.5245,811700
2005-09-20,25.6275,25.7304,25.2236,25.3424,809400
2005-09-21,25.1682,25.2157,24.6772,24.7484,725100
2005-09-22,24.7563,24.9068,24.4712,24.8672,737200
2005-09-23,24.7326,25.2236,24.6296,25.0177,486700
2005-09-26,25.2157,25.2869,24.9306,25.0494,493800
2005-09-27,25.1048,25.2157,24.9147,25.089,857100
2005-09-28,25.2711,25.3345,25.0652,25.2632,821500
2005-09-29,25.2632,25.5245,25.1761,25.3661,789400
2005-09-30,25.3503,25.5166,25.2474,25.287,504800
2005-10-03,25.7304,25.968,25.4691,25.6908,1299800
2005-10-04,25.6988,25.8888,25.2632,25.2711,872600
2005-10-05,25.2711,25.3265,24.7643,24.7722,589900
2005-10-06,24.7563,25.0414,24.495,24.598,885400
2005-10-07,24.6455,24.8831,24.6455,24.7405,655500
2005-10-10,25.4216,25.4612,25.0573,25.2157,852600
2005-10-11,25.2157,25.3661,24.9781,25.1127,579400
2005-10-12,25.1048,25.4057,25.0573,25.1048,738500
2005-10-13,24.9939,25.5008,24.9543,25.0573,707600
2005-10-14,25.2236,25.3028,24.9227,25.1761,455900
2005-10-17,25.1206,25.1998,24.9781,25.1365,597300
2005-10-18,25.7146,25.9047,25.3661,25.5958,1603200
2005-10-19,25.5404,25.8492,25.287,25.7938,1161900
2005-10-20,25.7938,25.7938,25.3028,25.4374,1061600
2005-10-21,25.58,25.8572,25.1365,25.8572,2456100
