date,open,high,low,close,volume
2005-01-03,22.9194,24.0143,22.7968,23.4178,1578300
2005-01-04,23.9652,24.0715,22.5517,22.6007,690400
2005-01-05,22.6824,23.0092,22.5598,22.7396,426600
2005-01-06,22.9194,22.9194,22.519,22.5517,345200
2005-01-07,22.5517,22.5598,22.3392,22.4536,480800
2005-01-10,22.4536,22.5925,22.2984,22.3637,505200
2005-01-11,22.282,22.3147,22.0532,22.3147,414800
2005-01-12,22.3801,22.4618,22.0369,22.3474,435100
2005-01-13,22.2739,22.3637,22.1349,22.2493,434100
2005-01-14,22.2902,22.5272,22.2902,22.4945,400300
2005-01-18,22.4945,23.0011,22.4291,22.9194,1075500
2005-01-19,22.8377,22.8785,22.6987,22.7396,426700
2005-01-20,22.7641,23.1645,22.568,22.9766,550100
2005-01-21,22.9275,23.0746,22.8213,22.8785,463000
2005-01-24,22.8948,23.3279,22.8785,23.189,658100
2005-01-25,23.189,23.6466,22.9194,22.9602,606700
2005-01-26,22.952,23.1155,22.6906,22.805,524300
2005-01-27,22.8867,22.9766,22.6579,22.7069,462100
2005-01-28,22.8377,22.8785,22.47,22.8213,426300
2005-01-31,22.8295,23.1236,22.8295,23.1236,443100
2005-02-01,23.0664,23.6466,23.0664,23.5403,656300
2005-02-02,23.4096,23.8427,23.4096,23.7773,808300
2005-02-03,23.6302,24.9703,23.3688,24.7578,1629800
2005-02-04,24.766,25.3543,24.5127,25.3379,1272500
2005-02-07,25.3379,25.5014,25.0928,25.1092,749400
2005-02-08,25.0683,25.2726,24.7333,24.8885,895500
2005-02-09,25.0928,25.3543,24.8967,25.199,919900
2005-02-10,25.2072,25.3216,25.0846,25.2481,321200
2005-02-11,25.1827,25.4932,25.1827,25.4523,421900
2005-02-14,25.3706,25.4442,25.2236,25.2889,377900
2005-02-15,25.3216,25.6975,25.2562,25.5912,405400
2005-02-16,25.534,25.5994,25.1582,25.3625,382400
2005-02-17,25.3052,25.5179,25.0844,25.1089,500500
2005-02-18,25.1335,25.3134,25.019,25.019,434500
2005-02-22,24.8472,25.0271,24.7082,24.7409,521900
2005-02-23,24.9044,24.929,24.5528,24.5528,309600
2005-02-24,24.5364,24.8554,24.471,24.7818,381000
2005-02-25,24.8308,24.9781,24.6182,24.8799,423900
2005-02-28,24.7818,25.0271,24.7818,24.8554,677200
2005-03-01,24.8472,25.1171,24.839,24.929,652000
2005-03-02,24.9862,25.3543,24.9862,25.2071,544300
2005-03-03,25.1907,25.4197,25.0353,25.0598,543600
2005-03-04,25.2643,25.5015,25.1498,25.2316,615800
2005-03-07,25.3379,25.8205,25.2643,25.5751,580900
2005-03-08,25.4933,25.526,25.068,25.1498,611200
2005-03-09,25.0271,25.1907,24.8227,24.9862,577500
2005-03-10,24.9862,25.1744,24.7899,25.0435,608400
2005-03-11,25.0271,25.1498,24.8963,24.9535,325600
2005-03-14,24.9453,25.4361,24.9044,25.3706,938900
2005-03-15,25.5424,25.6814,25.1662,25.2152,325200
2005-03-16,25.1498,25.2643,24.9208,25.0353,263200
2005-03-17,25.1662,25.4197,24.9862,25.1825,553500
2005-03-18,25.1416,25.297,24.9699,25.0353,456700
2005-03-21,25.0598,25.1907,24.9453,25.0844,192400
2005-03-22,25.1825,25.4197,24.9944,25.0026,367300
2005-03-23,25.0189,25.1498,24.7981,24.8554,596700
2005-03-24,24.9617,25.0435,24.8308,24.9617,438700
2005-03-28,25.0435,25.3543,25.0435,25.2152,384400
2005-03-29,25.297,25.3297,24.7981,24.9044,453400
2005-03-30,25.0026,25.297,24.9617,25.2725,424800
2005-03-31,25.1989,25.2561,24.978,25.1007,579100
2005-04-01,25.1825,25.3952,24.8717,24.9372,416300
2005-04-04,25.0517,25.1989,24.7409,25.0926,434200
2005-04-05,25.1743,25.3052,25.0926,25.248,289600
2005-04-06,25.248,25.3461,25.0271,25.0271,273600
2005-04-07,25.1089,25.2561,24.8063,25.248,414000
2005-04-08,25.3379,25.3461,25.1253,25.1907,324400
2005-04-11,25.2807,25.3461,25.068,25.1662,308700
2005-04-12,25.1907,25.6405,25.1089,25.5996,609900
2005-04-13,25.6651,26.0822,25.1498,25.248,866400
2005-04-14,25.2561,25.2561,24.8226,24.8881,484200
2005-04-15,24.7081,24.9617,24.2338,24.5364,686800
2005-04-18,24.5364,24.8308,24.3974,24.7409,740900
2005-04-19,24.6918,25.3952,24.5119,25.3134,821200
2005-04-20,25.2316,25.4933,25.0435,25.1253,744500
2005-04-21,25.477,26.9082,25.477,26.6547,1972100
2005-04-22,26.6547,27.6443,26.6547,26.8265,1727300
2005-04-25,26.9655,27.857,26.9655,27.7016,1079100
2005-04-26,27.399,27.6443,26.9409,26.9491,928000
2005-04-27,27.0227,27.8079,26.7201,27.4726,1140400
2005-04-28,27.2599,27.3826,26.9246,27.1454,592400
2005-04-29,27.1863,27.5707,27.0473,27.5217,717200
2005-05-02,27.5217,28.454,27.5217,28.2496,1770000
2005-05-03,28.2169,28.4213,27.8079,28.3314,896500
2005-05-04,28.3314,28.7076,28.2169,28.6585,916400
2005-05-05,28.3395,28.7076,28.2823,28.4295,688600
2005-05-06,28.4622,28.7158,28.3232,28.4622,500100
2005-05-09,28.3068,28.3641,28.0124,28.3068,813000
2005-05-10,28.1024,28.2414,27.9633,28.1514,527800
