date,open,high,low,close,volume
2005-01-03,15.5868,15.6742,15.3488,15.4265,1581400
2005-01-04,15.5431,15.7083,15.3391,15.3877,1117800
2005-01-05,15.4848,15.4848,15.0817,15.14,1833800
2005-01-06,15.0671,15.2031,15.0428,15.1448,1039500
2005-01-07,15.174,15.3245,15.0234,15.0331,653300
2005-01-10,15.0817,15.2905,15.0282,15.0622,1649700
2005-01-11,15.0914,15.1108,14.8825,14.9165,1285300
2005-01-12,14.9359,15.0282,14.7805,14.9554,1030400
2005-01-13,14.8339,15.2128,14.8339,15.0282,985000
2005-01-14,15.0817,15.1788,14.9748,15.1545,864500
2005-01-18,15.174,15.4168,15.1497,15.3051,1323200
2005-01-19,15.3051,15.5042,15.3051,15.3682,757000
2005-01-20,15.4217,15.4217,15.2177,15.3342,887400
2005-01-21,15.3002,15.4071,15.276,15.3488,1095400
2005-01-24,15.344,15.5965,15.3342,15.5188,1260900
2005-01-25,15.5188,15.6645,15.3925,15.4022,1035900
2005-01-26,15.5042,15.5334,15.3342,15.4897,1198300
2005-01-27,15.446,15.6354,15.3731,15.5771,883500
2005-01-28,15.5334,15.5868,15.344,15.5382,920300
2005-01-31,15.616,15.8102,15.5674,15.7714,1124500
2005-02-01,15.956,16.0191,15.65,15.65,1746600
2005-02-02,15.7762,15.8685,15.7082,15.7617,1084500
2005-02-03,15.7617,15.8054,15.6548,15.7714,713300
2005-02-04,15.6888,15.9802,15.6888,15.9802,977600
2005-02-07,15.9608,15.9608,15.7763,15.7957,897100
2005-02-08,15.9025,16.0288,15.8297,15.8637,1091700
2005-02-09,15.8783,15.9074,15.7568,15.7908,623100
2005-02-10,15.786,15.8394,15.7374,15.8151,1099900
2005-02-11,15.8248,15.9123,15.7471,15.8734,1310800
2005-02-14,15.9171,16.0774,15.9123,16.0288,1241200
2005-02-15,16.0774,16.1017,15.8102,15.8977,1246700
2005-02-16,15.8394,16.0288,15.7471,15.99,1060800
2005-02-17,16.024,16.0288,15.8637,15.9268,775100
2005-02-18,16.0288,16.0774,15.7325,15.786,1612500
2005-02-22,15.7908,15.7908,15.3002,15.3002,1825900
2005-02-23,15.4217,15.548,15.3974,15.5188,2045700
2005-02-24,15.5431,15.5965,15.4751,15.5528,1457600
2005-02-25,15.5674,15.9171,15.5674,15.8782,978700
2005-02-28,15.9074,15.9705,15.7568,15.7762,1780600
2005-03-01,15.7763,15.9268,15.7131,15.7957,1789700
2005-03-02,15.7374,15.9171,15.5917,15.7131,1205600
2005-03-03,15.7374,15.9074,15.616,15.6937,1352400
2005-03-04,15.786,16.1211,15.7568,16.024,2384800
2005-03-07,16.1114,16.4854,16.092,16.3688,3598900
2005-03-08,16.4028,16.4028,16.16,16.1988,1455200
2005-03-09,16.1454,16.3154,15.9948,16.1843,1750800
2005-03-10,16.2231,16.4805,16.0677,16.466,2160000
2005-03-11,16.5146,16.976,16.2766,16.3057,1974100
2005-03-14,16.3106,16.5826,16.2231,16.4417,2205600
