date,open,high,low,close,volume
2005-01-03,10.4557,10.465,10.345,10.3703,550800
2005-01-04,10.3703,10.3934,10.1095,10.1672,456800
2005-01-05,10.1672,10.1672,9.8418,9.9018,443200
2005-01-06,9.9133,9.9757,9.8672,9.9433,410400
2005-01-07,9.941,9.948,9.7218,9.7287,500000
2005-01-10,9.6941,9.8441,9.6802,9.8049,581600
2005-01-11,9.7864,9.7933,9.6479,9.7472,544000
2005-01-12,9.8556,9.8833,9.7633,9.8741,361600
2005-01-13,9.881,9.9549,9.7864,9.8672,387600
2005-01-14,9.8787,10.0749,9.8626,10.068,160400
2005-01-18,10.0634,10.1788,9.9941,10.1395,172400
2005-01-19,10.1165,10.2019,9.9826,10.0195,313200
2005-01-20,10.0034,10.0264,9.8995,9.941,359200
2005-01-21,9.9456,9.9456,9.7218,9.7818,237200
2005-01-24,9.791,9.8395,9.6802,9.7264,254400
2005-01-25,9.7495,9.8095,9.7448,9.7587,204400
2005-01-26,9.7679,9.9364,9.7679,9.9203,179600
2005-01-27,9.9249,9.9387,9.8025,9.821,153600
2005-01-28,9.8326,9.8741,9.7472,9.7956,239200
2005-01-31,9.8187,9.918,9.8187,9.9156,231200
2005-02-01,9.941,9.9664,9.8972,9.9087,367600
2005-02-02,9.8856,10.0749,9.8787,10.0657,414800
2005-02-03,10.0703,10.098,9.9895,10.0218,353600
2005-02-04,10.0126,10.4973,10.0126,10.4004,562800
2005-02-07,10.3934,10.4834,10.3057,10.3957,402400
2005-02-08,10.3957,10.5134,10.3957,10.4396,300400
2005-02-09,10.4627,10.4927,10.3265,10.3403,370000
2005-02-10,10.3496,10.3496,10.2942,10.2942,176400
2005-02-11,10.2249,10.5919,10.2088,10.5342,515600
2005-02-14,10.5019,10.5111,10.3934,10.4742,156000
2005-02-15,10.4511,10.525,10.398,10.4673,338400
2005-02-16,10.4327,10.4996,10.4096,10.465,222000
2005-02-17,10.4927,10.5134,10.4211,10.4234,244000
2005-02-18,10.4327,10.4673,10.3265,10.4327,265600
2005-02-22,10.4165,10.4442,10.3403,10.3888,329600
2005-02-23,10.4119,10.6427,10.3934,10.6404,387200
2005-02-24,10.6173,10.645,10.4811,10.6381,575200
2005-02-25,10.6519,10.705,10.5596,10.6842,428000
2005-02-28,10.7904,11.2359,10.6519,11.132,1012800
2005-03-01,11.1205,11.229,11.102,11.1343,827200
2005-03-02,11.0328,11.1943,11.0005,11.1782,805200
2005-03-03,11.1782,11.2405,10.9728,11.1251,394400
2005-03-04,11.1251,11.2867,11.1251,11.2497,580000
2005-03-07,11.252,11.259,11.1551,11.192,417600
2005-03-08,11.2059,11.2059,11.0282,11.0305,355200
2005-03-09,11.0258,11.0258,10.7904,10.9289,582000
2005-03-10,10.9312,10.9912,10.8827,10.8851,412400
