date,open,high,low,close,volume
2005-01-03,19.8358,19.8358,19.3724,19.412,2713000
2005-01-04,19.4543,19.4883,19.1718,19.1859,3658400
2005-01-05,19.1718,19.2763,19.0079,19.0136,3075400
2005-01-06,18.9881,19.3413,18.9599,19.1379,3446600
2005-01-07,19.1435,19.1916,18.8186,18.9683,2222200
2005-01-10,18.9599,19.1238,18.8468,19.0136,2412400
2005-01-11,19.2142,19.4035,19.1577,19.169,4854800
2005-01-12,19.1294,19.1548,18.7338,19.1011,3329000
2005-01-13,19.104,19.1068,18.7903,18.8723,1769800
2005-01-14,18.9316,19.2368,18.9231,19.1605,2141800
2005-01-18,19.0446,19.3272,18.9005,19.2509,2952800
2005-01-19,19.2792,19.2792,18.9994,19.0192,2347600
2005-01-20,18.9796,18.9881,18.6519,18.6575,2502800
2005-01-21,18.5869,18.7084,18.4202,18.4202,3491600
2005-01-24,18.4654,18.6038,18.3213,18.3919,2713200
2005-01-25,18.4569,18.7056,18.4004,18.6491,2308000
2005-01-26,18.6914,18.8129,18.6293,18.6858,2510200
2005-01-27,18.3891,18.666,18.3411,18.553,3365200
2005-01-28,18.6123,18.7366,18.4513,18.4795,3628400
2005-01-31,18.6773,19.0503,18.6349,18.9994,3158400
2005-02-01,18.9994,19.4459,18.8242,19.3244,4853200
2005-02-02,19.3328,19.3837,19.1322,19.2368,2726600
2005-02-03,19.2142,19.3724,19.1831,19.3526,2239800
2005-02-04,19.282,19.4967,19.2566,19.4204,2666200
2005-02-07,19.412,19.4826,19.2905,19.3046,2110400
2005-02-08,19.2566,19.5589,19.2368,19.412,2071400
2005-02-09,19.4674,19.4674,19.1348,19.2343,2410600
2005-02-10,19.294,19.3622,19.1973,19.2542,1979000
2005-02-11,19.2542,19.4816,19.203,19.3992,2757800
2005-02-14,19.402,19.4788,19.2201,19.2798,1906200
2005-02-15,19.2826,19.456,19.2229,19.3338,1863600
2005-02-16,19.3025,19.5243,19.1746,19.3821,2115800
2005-02-17,19.3309,19.3679,19.0211,19.0325,3084200
2005-02-18,19.0893,19.1462,18.9614,19.0211,2856800
2005-02-22,18.9045,19.1149,18.589,18.6288,2993800
2005-02-23,18.6714,18.8079,18.6231,18.6231,2362600
2005-02-24,18.6657,18.9187,18.5833,18.8875,2257600
2005-02-25,18.8306,19.041,18.7368,18.9671,2422400
2005-02-28,18.9784,19.149,18.7851,18.8534,2343400
2005-03-01,18.8903,19.0182,18.7539,18.788,3222400
2005-03-02,18.734,18.9159,18.5947,18.8278,2278400
2005-03-03,18.8335,18.933,18.751,18.7681,2749800
2005-03-04,18.933,19.0808,18.8335,19.0069,2853000
2005-03-07,19.0751,19.3651,19.0723,19.1718,2579800
2005-03-08,19.1746,19.2855,19.0978,19.2002,2354200
2005-03-09,19.2002,19.3253,19.0978,19.1092,2480000
2005-03-10,19.0268,19.3281,19.0097,19.1916,2000000
2005-03-11,19.1746,19.3082,19.0467,19.095,2253600
2005-03-14,19.1092,19.4162,19.1092,19.3253,2018000
2005-03-15,19.3224,19.4191,19.0182,19.0182,2117600
2005-03-16,18.9529,19.0126,18.7311,18.8022,2120000
2005-03-17,18.9045,18.9927,18.7396,18.8676,1980800
2005-03-18,18.8676,18.9074,18.6572,18.7681,3424400
2005-03-21,18.7681,19.0467,18.7539,18.9671,2477000
2005-03-22,18.9983,19.1888,18.8647,18.8761,2277800
2005-03-23,18.8619,18.9784,18.7084,18.7396,2657000
2005-03-24,18.7766,18.9699,18.7624,18.8164,2180000
2005-03-28,18.8249,18.9443,18.7595,18.7681,2012400
2005-03-29,18.7112,18.7283,18.1739,18.2564,4193400
2005-03-30,18.3274,18.5748,18.2109,18.4412,3731600
2005-03-31,18.5208,18.7027,18.3672,18.4582,2582600
2005-04-01,18.5065,18.6402,18.0602,18.1825,4043000
2005-04-04,18.2223,18.282,18.0289,18.1171,2759600
2005-04-05,18.2223,18.5776,18.2024,18.5321,4788600
2005-04-06,18.6032,18.6743,18.2905,18.3786,3284200
2005-04-07,18.444,18.9216,18.444,18.7993,3267400
2005-04-08,18.8704,18.8875,18.5321,18.5492,1838800
2005-04-11,18.5492,18.643,18.4468,18.5463,2315400
2005-04-12,18.4895,18.6714,18.2507,18.5719,2532600
2005-04-13,18.5748,18.6316,18.2933,18.3274,2407200
2005-04-14,18.3388,18.3644,18.0233,18.1029,3487000
2005-04-15,18.0801,18.1029,17.702,17.7617,4522200
2005-04-18,17.8271,17.9209,17.6622,17.8015,2832800
2005-04-19,17.8186,18.0261,17.7788,17.9579,2217600
2005-04-20,18.009,18.2024,17.8157,17.83,3096800
2005-04-21,18.0659,18.535,17.9266,18.3871,3537200
2005-04-22,18.3871,18.4753,18.0716,18.245,2930400
2005-04-25,18.407,18.6174,18.282,18.3615,2500600
2005-04-26,18.3644,18.3672,17.8499,17.9664,4659000
2005-04-27,17.8953,17.9664,17.702,17.8754,3499200
2005-04-28,17.7106,17.7816,17.2529,17.4405,5871600
2005-04-29,17.5542,17.938,17.4405,17.8157,5197000
2005-05-02,17.938,18.1938,17.9152,18.1938,3241000
2005-05-03,18.3132,18.7652,18.1995,18.734,6363200
2005-05-04,18.8192,19.0467,18.7766,19.0467,5020600
2005-05-05,19.0467,19.2428,18.8192,18.9386,3599600
2005-05-06,19.0097,19.1263,18.8818,19.0069,1997600
2005-05-09,18.933,19.1547,18.9187,19.1547,1778000
2005-05-10,19.0467,19.0666,18.8477,18.913,2073200
2005-05-11,18.9145,19.0804,18.8315,19.0461,2070800
2005-05-12,19.0232,19.1319,18.8115,18.8916,2912200
2005-05-13,18.8916,18.986,18.5941,18.7085,2115000
2005-05-16,18.823,19.0232,18.7858,18.9774,1914200
2005-05-17,18.8458,19.0833,18.7858,19.0661,2266400
2005-05-18,19.1662,19.4838,19.1062,19.4065,2596800
2005-05-19,19.5209,19.5238,19.2206,19.3951,2124000
2005-05-20,19.3951,19.4151,19.1834,19.2835,2517200
2005-05-23,19.3379,19.6268,19.2807,19.4523,1988200
2005-05-24,19.4323,19.5009,19.3407,19.3951,1859600
2005-05-25,19.2806,19.3951,18.9946,19.0432,3164200
2005-05-26,19.1004,19.2234,19.0518,19.1662,2393000
2005-05-27,19.1691,19.2435,19.1548,19.2034,1088200
2005-05-31,19.0804,19.1262,18.9717,19.0146,2795000
2005-06-01,18.986,19.2263,18.986,19.1777,2291400
2005-06-02,19.1719,19.2234,19.0661,19.1433,1845200
2005-06-03,19.0661,19.2149,18.9288,18.946,2902600
2005-06-06,18.8744,19.0833,18.863,19.0346,1866400
2005-06-07,19.1376,19.2549,18.7543,18.7657,4026400
2005-06-08,18.8086,18.9946,18.6856,18.7028,3007800
2005-06-09,18.6227,18.8229,18.5912,18.7257,2042200
2005-06-10,18.7228,18.8516,18.4596,18.5884,2081200
2005-06-13,18.6027,18.8201,18.5741,18.6055,1625800
2005-06-14,18.5598,18.7686,18.5483,18.6227,1824800
2005-06-15,18.6799,18.6971,18.494,18.6513,2066800
2005-06-16,18.6456,18.8802,18.6055,18.7285,1768200
2005-06-17,19.0089,19.0232,18.6227,18.8802,3624400
2005-06-20,18.7428,18.8144,18.5941,18.6084,2670400
2005-06-21,18.6084,18.6971,18.5626,18.6256,3166400
2005-06-22,18.6256,18.7343,18.5941,18.6713,2338200
2005-06-23,18.6656,18.7286,18.308,18.3395,2908000
2005-06-24,18.3395,18.3424,18.0935,18.1135,4353200
2005-06-27,18.1135,18.1736,17.9962,18.0735,2141800
2005-06-28,18.0849,18.4568,18.0363,18.3939,2179400
2005-06-29,18.4368,18.4596,18.1936,18.2165,2843200
2005-06-30,18.0935,18.1393,17.8847,17.9161,3951000
2005-07-01,17.9075,18.0649,17.8789,17.9447,2194200
2005-07-05,17.9562,18.2136,17.8904,18.1135,2637800
2005-07-06,18.1135,18.1164,17.8303,17.8303,1774200
2005-07-07,17.6501,17.9905,17.5843,17.959,2082000
2005-07-08,18.0792,18.2909,18.0248,18.2623,2209200
2005-07-11,18.2937,18.4196,18.2022,18.2909,1980200
2005-07-12,18.288,18.3366,18.022,18.1335,1785200
2005-07-13,18.165,18.2623,18.1507,18.2051,2314800
2005-07-14,18.3223,18.4511,18.2823,18.3366,1450000
2005-07-15,18.3395,18.4396,18.2165,18.3824,1720800
2005-07-18,18.3309,18.4911,18.3195,18.3309,2189200
2005-07-19,18.4024,18.6828,18.4024,18.554,2270800
2005-07-20,18.494,18.8372,18.3881,18.8029,2239200
2005-07-21,18.7657,18.9231,18.6942,18.7143,2252800
2005-07-22,18.7228,18.7972,18.6542,18.7686,1368200
2005-07-25,18.7657,18.8716,18.6342,18.6427,1289800
2005-07-26,18.6427,18.9374,18.6427,18.8372,2387600
2005-07-27,18.8401,19.0232,18.7715,19.0089,2469800
2005-07-28,19.0089,19.1662,18.9774,19.0947,2146800
2005-07-29,18.9088,19.0547,18.7915,18.823,2185600
2005-08-01,18.823,18.9517,18.7228,18.823,2702400
2005-08-02,19.4523,19.9357,19.2664,19.4523,6854000
2005-08-03,19.3522,19.6439,19.2806,19.5038,3339200
2005-08-04,19.3722,19.6611,19.3493,19.4666,3613800
2005-08-05,19.355,19.4437,19.2892,19.3636,1825000
2005-08-08,19.4523,19.5524,19.3808,19.4208,1832400
2005-08-09,19.5238,19.6811,19.5066,19.5867,2547600
2005-08-10,19.7868,19.8069,19.4644,19.5709,2839200
2005-08-11,19.64,19.8817,19.5738,19.8645,3098800
2005-08-12,19.8011,19.9019,19.7263,19.7292,2999600
2005-08-15,19.7292,19.758,19.6313,19.7119,1577800
2005-08-16,19.663,19.6745,19.3838,19.4097,1891400
2005-08-17,19.427,19.45,19.2255,19.2831,2823600
2005-08-18,19.286,19.3292,19.2227,19.2831,1810200
2005-08-19,19.4414,19.5364,19.3464,19.4155,1585000
2005-08-22,19.4846,19.7004,19.4155,19.5565,2190000
2005-08-23,19.5795,19.6572,19.3205,19.3838,1829800
2005-08-24,19.2831,19.3004,18.9953,19.0672,3916800
2005-08-25,19.168,19.3004,19.1392,19.2802,2887200
2005-08-26,19.2255,19.2802,19.119,19.1795,1538000
2005-08-29,19.0672,19.3234,19.0528,19.2716,1886600
2005-08-30,19.1824,19.1824,18.9003,19.0097,3823200
2005-08-31,19.0672,19.3666,18.8888,19.3637,3346200
2005-09-01,19.427,19.4702,19.2399,19.3752,2313000
2005-09-02,19.404,19.5249,19.2514,19.332,1435200
2005-09-06,19.5047,19.6947,19.5018,19.5968,2246800
2005-09-07,19.545,19.6285,19.4529,19.5997,2042600
2005-09-08,19.7983,19.8012,19.5277,19.545,2653400
2005-09-09,19.5565,19.7091,19.5364,19.6141,1608600
2005-09-12,19.6659,19.7033,19.5709,19.64,1143000
2005-09-13,19.6429,19.6429,19.4155,19.4644,1513200
2005-09-14,19.5651,19.5968,19.3982,19.4328,2021200
2005-09-15,19.499,19.5047,19.0701,19.1392,2652800
2005-09-16,19.3119,19.5651,19.286,19.3694,3633400
2005-09-19,19.5421,19.5709,19.2227,19.3493,2086000
2005-09-20,19.4615,19.7839,19.4299,19.6256,4277600
2005-09-21,19.499,19.5306,19.2111,19.3061,3408000
2005-09-22,19.3608,19.5882,19.2975,19.5018,2748600
2005-09-23,19.5853,20.135,19.5767,20.0343,4970400
2005-09-26,20.1465,20.1782,20.0055,20.0343,5143000
2005-09-27,20.1321,20.2645,20.0717,20.2041,4964600
2005-09-28,20.348,20.607,20.2041,20.4948,4967000
2005-09-29,20.3768,20.7336,20.2329,20.6847,3069000
2005-09-30,20.5782,20.7164,20.5178,20.6646,2913600
2005-10-03,20.6502,20.6646,20.5005,20.6502,3544200
2005-10-04,20.679,20.7509,20.2962,20.3451,3262200
2005-10-05,20.3192,20.4027,20.089,20.1091,2789600
2005-10-06,20.1811,20.4631,20.0602,20.2617,5244000
2005-10-07,20.3221,20.348,20.0832,20.1235,3826000
2005-10-10,20.0602,20.1379,19.8961,19.9566,2315400
2005-10-11,19.9566,20.017,19.8127,19.8587,2255600
2005-10-12,19.8587,20.0659,19.568,19.7436,3261200
2005-10-13,19.758,19.7896,19.5709,19.7551,2255400
2005-10-14,19.7637,20.0602,19.6774,19.9882,3852800
2005-10-17,20.0026,20.0199,19.6659,19.8501,2604000
2005-10-18,19.7609,19.8386,19.5191,19.663,3531400
2005-10-19,19.5047,20.0084,19.2083,19.9997,3644400
2005-10-20,19.9594,20.1436,19.6659,19.7493,2724600
2005-10-21,19.8155,19.8875,19.3781,19.758,3897400
2005-10-24,19.758,20.158,19.7465,20.0774,3087800
2005-10-25,20.0026,20.1436,19.9566,20.1177,2765600
2005-10-26,20.0602,20.2904,19.9393,19.9451,3887200
2005-10-27,19.9451,19.9451,19.5508,19.5508,2189800
2005-10-28,19.6026,19.7925,19.4155,19.7407,3534200
2005-10-31,19.8961,20.1293,19.8098,20.017,3278800
2005-11-01,20.0026,20.3739,19.9681,20.2127,5353400
2005-11-02,20.2156,20.3624,20.0602,20.3163,3350400
2005-11-03,20.3365,20.4314,20.2501,20.2875,3927000
2005-11-04,20.2904,20.3365,20.23,20.3163,3089800
2005-11-07,20.4343,20.5034,20.3624,20.4631,2230000
2005-11-08,20.4617,20.6528,20.4356,20.5746,2414000
2005-11-09,20.479,20.5717,20.3429,20.3979,2090600
2005-11-10,20.4472,20.702,20.3371,20.6818,2113000
2005-11-11,20.7078,20.8034,20.676,20.7223,1205000
2005-11-14,20.7223,20.8903,20.6065,20.7773,1688000
2005-11-15,20.7687,20.9801,20.7658,20.7802,1977800
2005-11-16,20.7947,20.8613,20.7194,20.8237,1710200
2005-11-17,20.8961,21.1104,20.8556,21.1104,2396600
2005-11-18,21.2581,21.261,20.9308,21.0003,2428000
2005-11-21,20.9395,21.1046,20.8556,21.0988,1555400
2005-11-22,21.1423,21.2436,20.9714,21.206,2091000
2005-11-23,21.1423,21.2784,21.0843,21.206,1600000
2005-11-25,21.2002,21.2552,21.1307,21.1452,418000
2005-11-28,21.1712,21.5477,21.1539,21.5188,2808800
2005-11-29,21.6925,21.9213,21.5941,21.8866,4888400
2005-11-30,21.8663,22.0082,21.8287,21.8982,2978600
2005-12-01,21.9677,22.4571,21.9329,22.3703,4206600
2005-12-02,22.3587,22.4369,22.2283,22.3876,3493800
2005-12-05,22.3181,22.35,22.2341,22.3007,2298200
2005-12-06,22.3876,22.4455,22.292,22.3645,3531200
2005-12-07,22.2428,22.2805,22.127,22.1849,2904600
2005-12-08,22.2139,22.3239,22.098,22.1878,2706400
2005-12-09,22.3442,22.4137,22.0546,22.0719,2922400
2005-12-12,22.2863,22.2979,22.0835,22.1791,1976400
2005-12-13,22.1501,22.4456,22.0835,22.4079,2095000
2005-12-14,22.4571,22.544,22.2805,22.4166,2196000
2005-12-15,22.4195,22.4195,21.8779,21.9532,3464200
2005-12-16,21.9532,22.0488,21.8721,21.8721,4483800
2005-12-19,21.9966,22.0198,21.8258,21.8547,1763400
2005-12-20,21.8663,21.9966,21.8084,21.8287,2361600
2005-12-21,21.9532,22.0256,21.8374,21.8779,1910800
2005-12-22,21.9677,22.1617,21.8721,22.1212,1673200
2005-12-23,22.1849,22.2718,22.1212,22.2283,1043600
2005-12-27,22.2863,22.4369,21.9358,21.9474,2072800
2005-12-28,22.0111,22.0546,21.8518,21.9387,1193200
2005-12-29,21.9822,22.0111,21.8084,21.846,916000
2005-12-30,21.736,21.7707,21.6143,21.6346,1414200
2006-01-03,21.736,21.8229,21.3045,21.7592,3250000
2006-01-04,21.8171,22.1357,21.791,21.791,2839200
2006-01-05,21.791,21.8982,21.6752,21.7447,3791000
2006-01-06,21.9098,22.3384,21.9098,22.1067,3803000
2006-01-09,22.098,22.3905,22.0111,22.3732,2835200
2006-01-10,22.3732,22.7641,22.321,22.7323,3548000
2006-01-11,22.7352,22.7612,22.573,22.6454,2180000
2006-01-12,22.6512,22.6802,22.4282,22.6454,2169000
2006-01-13,22.7352,22.9437,22.6773,22.7989,2260200
2006-01-17,22.7989,22.8568,22.5759,22.5788,3061600
2006-01-18,22.5904,22.9234,22.5093,22.6454,3166000
2006-01-19,22.6599,23.0943,22.5614,22.909,3610400
2006-01-20,23.103,23.103,22.4398,22.4658,3142800
2006-01-23,22.5064,22.5267,22.1473,22.266,3178600
2006-01-24,22.3876,22.5556,22.2631,22.3587,2743400
2006-01-25,22.5064,22.7757,22.4542,22.6454,3340800
2006-01-26,22.6801,22.7178,22.4456,22.4774,3299800
2006-01-27,22.4456,22.6135,22.4282,22.5701,3177000
2006-01-30,22.3181,22.6309,22.3181,22.3558,2606400
2006-01-31,22.2834,22.544,21.9966,22.4311,3679800
2006-02-01,22.3876,22.7294,22.35,22.7033,2408200
2006-02-02,22.6338,22.7786,22.2834,22.4166,2414600
2006-02-03,22.2718,22.6193,22.2718,22.4021,2263600
2006-02-06,22.3007,22.6251,22.2457,22.2631,2817000
2006-02-07,23.8647,23.969,22.851,22.8684,16489400
2006-02-08,23.242,23.2623,23.074,23.1667,6964800
2006-02-09,23.1696,23.9226,23.103,23.7691,5812400
2006-02-10,23.7923,24.0906,23.7749,23.995,5023000
2006-02-13,24.2499,24.2499,23.8415,24.0385,3725400
2006-02-14,24.0414,24.525,24.0298,24.4179,4701800
2006-02-15,24.1893,24.5853,24.1893,24.4164,3601200
2006-02-16,24.1223,24.2825,23.9535,24.0961,3562600
2006-02-17,23.9913,24.0641,23.837,23.8458,3505800
2006-02-21,23.8458,24.067,23.674,23.8603,3658200
2006-02-22,24.1456,24.4193,23.9622,24.2912,3129200
2006-02-23,24.2825,24.3174,24.1311,24.2126,2841800
2006-02-24,24.166,24.2767,23.9797,24.1078,1515800
2006-02-27,24.1806,24.4281,24.1748,24.2475,2756800
2006-02-28,23.9826,24.3203,23.738,23.8195,3378600
2006-03-01,23.8195,24.5154,23.8166,24.4746,3646400
2006-03-02,24.4747,24.5242,24.1602,24.2796,2294400
2006-03-03,24.1078,24.6755,24.1078,24.2912,2495400
2006-03-06,24.2388,24.4979,24.0728,24.1223,2582000
2006-03-07,24.1223,24.4746,24.1223,24.3407,2909800
2006-03-08,24.3407,24.4979,23.9942,24.2009,2541600
2006-03-09,24.201,24.5911,24.1718,24.4019,2498000
2006-03-10,24.4572,24.7454,24.4222,24.6027,1836600
2006-03-13,24.6464,24.6785,24.4717,24.5766,1586200
2006-03-14,24.594,24.9405,24.5853,24.8706,2219200
2006-03-15,24.8066,24.9056,24.6115,24.8386,1937800
2006-03-16,24.8881,24.9056,24.6406,24.7716,1916600
2006-03-17,24.923,25.0482,24.8619,24.9434,2434200
2006-03-20,24.9434,25.0337,24.8269,24.9347,1420400
2006-03-21,24.8939,24.9725,24.6581,24.6843,1882800
2006-03-22,24.6843,24.9521,24.6523,24.9114,1977000
2006-03-23,24.8211,24.8473,24.5882,24.6697,2081000
2006-03-24,24.6202,24.8939,24.5183,24.8386,1519000
2006-03-27,24.8386,24.8386,24.5882,24.6231,2450000
2006-03-28,24.6319,24.9521,24.594,24.7774,2356800
2006-03-29,24.7774,25.0104,24.693,24.7833,2103400
2006-03-30,24.6901,24.8328,24.2592,24.4251,3184800
2006-03-31,24.3989,24.5911,24.3087,24.3494,2429200
2006-04-03,24.6028,24.7542,24.3407,24.3407,2677800
2006-04-04,24.3553,24.3989,24.1078,24.2068,3762000
2006-04-05,24.166,24.3553,24.0903,24.1398,2744000
2006-04-06,24.1951,24.2796,24.0787,24.1078,2799800
2006-04-07,24.1951,24.3116,23.706,23.7613,2747800
2006-04-10,23.7788,23.8283,23.5983,23.6594,2817400
2006-04-11,23.6274,23.7409,23.5488,23.6245,5177000
2006-04-12,23.6623,23.8428,23.6012,23.6827,2476000
2006-04-13,23.6128,23.7788,23.5255,23.6652,3078800
2006-04-17,23.6652,23.8457,23.54,23.5691,2382200
2006-04-18,23.5255,24.3,23.3799,24.2708,4190000
2006-04-19,24.1718,24.859,24.1718,24.7862,3998400
2006-04-20,24.859,25.1326,24.7833,24.9376,3130600
2006-04-21,25.1967,25.2404,25.0133,25.121,3887400
2006-04-24,25.1152,25.2142,25.0075,25.0133,1933800
2006-04-25,24.9521,25.0016,24.5969,24.7454,2238400
2006-04-26,24.8182,25.0104,24.6785,24.7862,2473800
2006-04-27,24.5241,24.8357,24.2184,24.6581,2687800
2006-04-28,24.6726,24.8299,24.5795,24.7338,2008400
2006-05-01,24.7192,25.0832,24.7076,24.8706,2348400
2006-05-02,25.2287,26.3264,25.0686,25.1938,5737400
2006-05-03,25.1938,25.3306,25.0977,25.2084,2804600
2006-05-04,25.3161,25.5869,25.0744,25.2404,5428800
2006-05-05,25.2375,25.6567,25.2375,25.4675,3643600
2006-05-08,25.5403,25.7091,25.2637,25.351,3480200
2006-05-09,25.351,25.4413,25.188,25.4413,2318400
2006-05-10,25.4223,25.6066,25.2145,25.3754,2514200
2006-05-11,25.472,25.6505,25.1969,25.2086,4128400
2006-05-12,25.2672,25.2847,24.8194,24.8838,2688400
2006-05-15,24.9335,25.033,24.6555,24.8955,2195400
2006-05-16,24.9979,25.0857,24.7902,24.7931,1890200
2006-05-17,24.6994,24.8662,24.0849,24.1961,4487600
2006-05-18,24.2546,24.2546,23.5786,23.5844,3780200
2006-05-19,23.6986,23.6986,23.046,23.3971,5997600
2006-05-22,23.0606,23.4849,23.0548,23.2772,4424400
2006-05-23,23.4118,23.8215,23.3386,23.4059,5662200
2006-05-24,23.4059,23.7278,23.2947,23.5727,5689600
2006-05-25,23.7776,23.8478,23.602,23.6459,3555400
2006-05-26,23.7483,24.2049,23.722,24.1551,3324000
2006-05-30,24.0556,24.4946,23.643,23.6722,3165400
2006-05-31,23.7805,24.1814,23.7103,24.1493,5144200
2006-06-01,24.2458,24.4273,24.0293,24.4273,2990800
2006-06-02,24.3951,24.4653,24.0556,24.2341,2935400
2006-06-05,24.1727,24.2604,23.5991,23.6254,2659800
2006-06-06,23.6195,23.8273,23.362,23.5961,3359800
2006-06-07,23.6371,23.7366,23.362,23.3767,3934800
2006-06-08,23.643,23.643,22.3583,23.0079,6049800
2006-06-09,23.3386,23.5259,23.1543,23.4557,4369600
2006-06-12,23.4703,23.5786,23.1045,23.1162,2675000
2006-06-13,22.9289,23.4235,22.844,23.2655,4752400
2006-06-14,23.5552,23.8244,23.3767,23.7951,4616400
2006-06-15,23.7951,24.199,23.7747,24.1258,3638200
2006-06-16,24.0088,24.12,23.7776,23.9532,3574400
2006-06-19,24.0263,24.1668,23.5522,23.7074,2923800
2006-06-20,23.8244,23.842,23.4967,23.561,3067600
2006-06-21,23.5581,23.7483,23.5405,23.6752,2868000
2006-06-22,23.6986,23.8244,23.6078,23.7951,2226800
2006-06-23,23.722,24.2458,23.722,24.0556,3236800
2006-06-26,24.1141,24.2429,23.9503,24.1141,2341000
2006-06-27,23.8566,24.2019,23.8566,23.9795,2894000
2006-06-28,23.9971,24.0468,23.6576,23.9093,1855000
2006-06-29,24.0117,24.5824,23.9239,24.5736,4088200
2006-06-30,24.5707,24.5999,24.3687,24.5268,2762200
2006-07-03,24.5326,24.6702,24.5004,24.5999,1024000
2006-07-05,24.4536,24.4653,24.161,24.24,2541000
2006-07-06,24.2429,24.4595,24.2019,24.4595,2922800
2006-07-07,24.4565,24.4887,23.8595,23.9444,2553200
2006-07-10,24.0029,24.1434,23.8917,24.0468,1822000
2006-07-11,23.9971,24.0146,23.523,23.9503,3470400
2006-07-12,23.9883,24.3014,23.959,24.1083,3299400
2006-07-13,23.9298,23.9298,23.3562,23.3854,3145600
2006-07-14,23.3123,23.4089,22.8733,23.1191,2189600
2006-07-17,23.0313,23.1045,22.7153,22.8089,2329800
2006-07-18,22.7211,22.847,22.2997,22.8323,4163600
2006-07-19,22.9055,23.6283,22.8762,23.5786,3387800
2006-07-20,23.5142,23.7483,22.9523,22.9523,4545400
2006-07-21,22.9523,22.9699,22.2119,22.2851,5524200
2006-07-24,22.3582,22.5338,22.3114,22.4314,5289200
2006-07-25,22.3904,22.7709,22.2646,22.6128,2984000
2006-07-26,22.4841,22.6831,22.2617,22.566,3443800
2006-07-27,22.6802,22.8265,22.4577,22.5368,2869400
2006-07-28,22.5631,22.7387,22.367,22.645,4903400
2006-07-31,22.645,23.1338,22.4929,23.0957,4919800
2006-08-01,23.1221,23.7161,23.1045,23.2655,8553000
2006-08-02,23.2654,23.3562,23.0986,23.2596,3905800
2006-08-03,23.2596,23.7161,23.242,23.6283,3898800
2006-08-04,23.9385,23.9619,23.4557,23.5961,3041000
2006-08-07,23.5581,23.7747,23.4966,23.6371,2399600
2006-08-08,23.6517,23.6752,23.163,23.2333,3283400
2006-08-09,23.3701,23.4967,22.9699,23.0111,2796400
2006-08-10,22.911,23.3171,22.7845,23.2524,2767600
2006-08-11,23.1464,23.4201,23.0611,23.3583,2937600
2006-08-14,23.5732,23.7792,23.3789,23.3966,2212800
2006-08-15,23.6026,23.8351,23.5437,23.7498,1955000
2006-08-16,23.9558,24.356,23.7792,24.2618,4133800
2006-08-17,24.2795,24.3531,24.1206,24.1618,2533800
2006-08-18,24.1735,24.3325,24.0058,24.1618,1402400
2006-08-21,24.1029,24.1176,23.9322,23.9881,1323400
2006-08-22,23.8822,24.0176,23.6791,23.8792,2330000
2006-08-23,24.0058,24.2501,23.7115,23.9587,2645400
2006-08-24,23.9587,24.0676,23.7645,23.8527,2138200
2006-08-25,23.7497,23.7968,23.4996,23.632,3345600
2006-08-28,23.5879,24.0794,23.5879,24.0617,2420800
2006-08-29,24.0617,24.2147,23.8792,24.1206,2338200
2006-08-30,24.1794,24.2353,23.9116,24.0264,2477400
2006-08-31,24.0852,24.1941,23.9705,24.1765,2113600
2006-09-01,24.203,24.5708,24.203,24.3354,2071600
2006-09-05,24.5002,24.6562,24.3737,24.5444,2233800
