date,open,high,low,close,volume
2005-01-03,21.2964,21.3228,20.8094,20.8652,1117000
2005-01-04,20.7684,20.8622,20.1817,20.302,2685200
2005-01-05,20.299,20.3284,19.9705,20.0057,2448600
2005-01-06,20.0644,20.1318,19.9265,20.0644,2554800
2005-01-07,20.0204,20.079,19.683,19.8796,2307400
2005-01-10,19.9177,20.167,19.9177,20.0145,1520400
2005-01-11,20.0174,20.1524,19.9001,20.0702,1395600
2005-01-12,20.0908,20.3577,20.0497,20.3342,1768200
2005-01-13,20.3372,20.4164,20.1524,20.167,1718400
2005-01-14,20.2404,20.4457,20.1318,20.3284,1083000
2005-01-18,20.255,20.299,20.0057,20.2668,2614200
2005-01-19,20.3724,20.3871,20.123,20.1377,1008600
2005-01-20,19.9764,20.0057,19.5481,19.6185,2585600
2005-01-21,19.639,19.6508,19.0582,19.1844,5552800
2005-01-24,19.3017,19.4337,18.891,19.0084,5474600
2005-01-25,19.2137,19.5217,19.2137,19.4044,5021800
2005-01-26,19.683,19.7681,19.5921,19.6977,3299600
2005-01-27,19.463,19.7505,19.4366,19.7358,3149800
2005-01-28,19.8004,19.815,19.6038,19.6537,3108800
2005-01-31,19.7124,19.947,19.6977,19.9441,1835600
2005-02-01,20.0057,20.0057,19.8004,19.8884,3406800
2005-02-02,19.8854,19.9617,19.7094,19.9177,2645600
2005-02-03,19.9943,20.0385,19.8794,19.9796,2491600
2005-02-04,20.0385,20.3008,20.009,20.2153,1675400
2005-02-07,20.2448,20.4393,20.1829,20.3479,2093600
2005-02-08,20.3332,20.5483,20.3332,20.398,1518000
2005-02-09,20.3774,20.3774,20.2153,20.2507,2033000
2005-02-10,20.2743,20.4629,20.2389,20.4363,1176400
2005-02-11,20.4805,20.7693,20.3479,20.6338,1681800
2005-02-14,20.7016,20.8459,20.5542,20.5896,1524400
2005-02-15,20.5837,20.678,20.51,20.5925,953200
2005-02-16,20.6279,20.6485,20.4128,20.4864,1079400
2005-02-17,20.4658,20.5248,20.2065,20.2301,2264200
2005-02-18,20.2448,20.3627,20.1652,20.2212,2381000
2005-02-22,20.2212,20.2713,19.9324,19.9354,2301200
2005-02-23,20.0385,20.2094,19.8617,20.1446,1358600
2005-02-24,20.1446,20.3863,20.0385,20.3597,1084600
2005-02-25,20.2448,20.6986,20.2448,20.6397,2117000
2005-02-28,20.51,20.7016,20.4658,20.5542,2016200
2005-03-01,20.5542,20.9579,20.5365,20.9314,1967000
2005-03-02,20.7016,20.9344,20.569,20.6544,3695400
2005-03-03,20.6868,20.8342,20.6102,20.731,1701600
2005-03-04,20.8636,20.9078,20.5542,20.6574,2949200
2005-03-07,20.6367,20.8401,20.5542,20.731,1446800
2005-03-08,20.7664,20.9078,20.566,20.5807,812600
2005-03-09,20.5807,20.6279,20.3715,20.4216,897200
2005-03-10,20.4953,20.566,20.2448,20.513,966800
2005-03-11,20.51,20.6132,20.4157,20.4805,871600
2005-03-14,20.5248,20.6691,20.4039,20.5837,1171200
2005-03-15,20.5837,20.7163,20.4864,20.4864,1332400
2005-03-16,20.3921,20.3951,20.068,20.2124,1787000
2005-03-17,20.3332,20.3332,20.1328,20.1417,1240000
2005-03-18,20.0975,20.1269,19.8205,20.0385,2833600
2005-03-21,19.9943,20.1859,19.9324,20.0032,1489000
2005-03-22,20.068,20.1829,19.7527,19.7821,1279400
2005-03-23,19.7821,19.8558,19.6937,19.7998,1954600
2005-03-24,19.8175,19.9324,19.6613,19.6849,1759000
2005-03-28,19.6849,19.6878,18.9246,19.3401,5388400
2005-03-29,19.3313,19.3814,18.9099,18.9099,2974600
2005-03-30,18.9777,19.2134,18.9777,19.1545,1819000
2005-03-31,19.2576,19.3372,19.1751,19.2723,2263200
2005-04-01,19.3902,19.4521,19.0543,19.1663,2138000
2005-04-04,19.1545,19.2046,18.9482,19.0572,1701000
2005-04-05,18.9924,19.1397,18.9688,19.013,1455400
2005-04-06,19.1545,19.178,19.0071,19.0778,2173600
2005-04-07,19.072,19.1722,19.0071,19.125,2158800
2005-04-08,19.1839,19.1839,18.8303,18.8834,1558400
2005-04-11,18.8745,18.9187,18.6299,18.6329,2373600
2005-04-12,18.6329,18.7537,18.3559,18.7301,4078800
2005-04-13,18.683,18.7891,18.4973,18.5828,2363200
2005-04-14,18.1231,18.4443,16.9856,17.2095,9338800
2005-04-15,17.2096,17.2096,16.794,16.9591,5409600
2005-04-18,16.9591,17.2538,16.9561,17.242,4944400
2005-04-19,17.242,17.4748,17.239,17.4158,4363000
2005-04-20,17.5337,17.6398,17.3687,17.4129,4235800
2005-04-21,17.6221,17.9463,17.5337,17.8755,2793600
2005-04-22,17.7989,18.0022,17.6162,17.7724,3095200
2005-04-25,17.8137,17.8785,17.6722,17.7695,1887800
2005-04-26,17.7694,17.7694,17.4423,17.4836,2213800
2005-04-27,17.3864,17.404,17.1182,17.3716,2204600
2005-04-28,17.2832,17.4483,17.2567,17.2773,2366200
2005-04-29,17.3569,17.3746,17.1094,17.2832,2079200
2005-05-02,17.3127,17.46,17.3097,17.3716,1987000
2005-05-03,17.3716,17.463,17.3156,17.3746,3182800
2005-05-04,16.9443,17.6869,16.9443,17.628,2289600
2005-05-05,17.4177,17.5539,17.3347,17.4562,3551200
2005-05-06,17.5214,17.7287,17.5066,17.6073,1553200
2005-05-09,17.7731,17.8353,17.6606,17.785,1756600
2005-05-10,17.7435,17.7465,17.4088,17.4621,1408600
2005-05-11,17.4621,17.6013,17.2962,17.551,1392200
2005-05-12,17.5362,17.9035,17.1955,17.24,1623400
2005-05-13,17.1955,17.2577,16.9674,17.0918,2283800
2005-05-16,17.1067,17.3022,17.0326,17.2607,1640000
2005-05-17,17.1955,17.4473,17.083,17.4177,998800
2005-05-18,17.4621,17.9065,17.4621,17.8472,2236000
2005-05-19,17.8472,17.9509,17.6458,17.7139,2108800
2005-05-20,17.7583,17.7613,17.4621,17.5836,2820200
2005-05-23,18.0694,18.2619,17.9687,18.1049,3258800
2005-05-24,18.0842,18.0842,17.8324,17.9775,1314000
2005-05-25,17.9657,17.9657,17.6961,17.7909,1091200
2005-05-26,17.8916,18.1227,17.8916,18.0309,2049200
2005-05-27,18.0042,18.0575,17.9361,17.9657,957400
2005-05-31,17.9064,17.9213,17.6695,17.7287,2766400
2005-06-01,17.7554,17.9775,17.6399,17.7998,1560000
2005-06-02,17.8324,17.9509,17.7554,17.9301,4307600
2005-06-03,17.8768,18.0042,17.6043,17.6221,2092400
2005-06-06,17.6843,17.7228,17.5628,17.6132,1428600
2005-06-07,17.6991,17.9568,17.6162,17.7791,1674600
2005-06-08,17.862,18.0694,17.785,17.7939,1707400
2005-06-09,17.8324,17.8502,17.4947,17.6191,1810800
2005-06-10,17.6221,17.788,17.5214,17.6784,1500400
2005-06-13,17.6635,17.9361,17.6161,17.785,1238800
2005-06-14,17.7731,17.9598,17.7287,17.9094,1349200
2005-06-15,17.9331,17.9509,17.6487,17.9509,1576800
2005-06-16,17.942,18.2412,17.8916,18.1938,2263800
2005-06-17,18.3508,18.3922,18.1701,18.1701,2706600
2005-06-20,18.173,18.2945,18.0398,18.0546,1329800
2005-06-21,18.0634,18.3389,18.0634,18.2116,1416800
