date,open,high,low,close,volume
2005-01-03,5.6425,5.6975,5.4185,5.6172,157500
2005-01-04,5.6636,5.8327,5.6636,5.6721,74700
2005-01-05,5.7059,5.7059,5.4777,5.4946,77800
2005-01-06,5.5368,5.7397,5.4946,5.6848,60800
2005-01-07,5.7059,5.8961,5.6129,5.8158,68600
2005-01-10,5.7735,5.7989,5.6636,5.6679,123200
2005-01-11,5.6636,5.7017,5.5368,5.689,41800
2005-01-12,5.727,5.7355,5.5411,5.7059,120200
2005-01-13,5.6636,5.6763,5.4946,5.5157,281100
2005-01-14,5.6002,5.8581,5.5749,5.8581,525800
2005-01-18,5.6848,5.6848,5.4734,5.6002,790700
2005-01-19,5.5791,5.6806,5.41,5.6214,1628200
2005-01-20,5.6636,5.6636,5.5368,5.558,229000
2005-01-21,5.5707,5.5791,5.5242,5.5707,64500
2005-01-24,5.5664,5.6002,5.5495,5.5918,161900
2005-01-25,5.5918,5.6214,5.4734,5.5411,246300
2005-01-26,5.5791,5.5791,5.41,5.4734,94400
2005-01-27,5.4734,5.5199,5.4692,5.4946,61500
2005-01-28,5.5368,5.5368,5.4101,5.4692,114800
2005-01-31,5.4861,5.5199,5.3889,5.4819,208200
2005-02-01,5.4819,5.5326,5.4734,5.5157,283000
2005-02-02,5.5242,5.5749,5.4143,5.4777,162300
2005-02-03,5.5284,5.5664,5.4439,5.4946,76800
2005-02-04,5.4523,5.6256,5.4439,5.5791,175800
2005-02-07,5.6172,5.651,5.5876,5.6087,65300
2005-02-08,5.6087,5.6425,5.6002,5.6425,65200
2005-02-09,5.651,5.689,5.5791,5.6172,87300
2005-02-10,5.6594,5.7397,5.6214,5.7144,90200
2005-02-11,5.7144,5.8961,5.7144,5.8496,84100
2005-02-14,5.8919,5.9806,5.7482,5.8285,68000
2005-02-15,5.8327,5.9595,5.727,5.7693,82800
2005-02-16,5.8116,5.9806,5.7904,5.9299,135200
2005-02-17,5.9722,5.9722,5.7693,5.9299,102200
2005-02-18,5.9722,5.9722,5.8158,5.9088,230400
2005-02-22,5.9088,5.9088,5.7693,5.7947,75400
2005-02-23,5.8369,5.8961,5.8116,5.8327,60400
2005-02-24,5.8412,5.8834,5.7651,5.8327,227200
2005-02-25,5.8116,6.0229,5.8116,5.9172,112000
2005-02-28,5.9172,5.9172,5.7904,5.875,102500
2005-03-01,5.9595,6.0018,5.8581,5.9172,99000
2005-03-02,5.9806,6.0187,5.875,5.9341,60700
2005-03-03,5.9595,5.9764,5.875,5.875,51700
2005-03-04,5.9595,5.9764,5.9003,5.9511,104600
2005-03-07,5.9511,5.9722,5.8834,5.9384,134200
2005-03-08,5.9806,6.044,5.9257,5.9595,36300
2005-03-09,5.9384,5.9975,5.7904,5.9384,90700
2005-03-10,5.9595,5.9806,5.8158,5.9088,41300
2005-03-11,5.9294,5.9896,5.8005,5.9079,70500
2005-03-14,5.9337,5.9337,5.822,5.8864,24600
2005-03-15,5.9079,5.981,5.7704,5.8048,31000
2005-03-16,5.8048,5.8048,5.6802,5.749,49700
