date,open,high,low,close,volume
2005-01-03,31.1157,31.3507,30.3892,30.4586,834900
2005-01-04,30.4533,30.8967,29.6894,29.839,477750
2005-01-05,29.5719,29.6467,29.1713,29.2728,448650
2005-01-06,29.2193,29.7001,28.9629,29.3849,325950
2005-01-07,29.433,29.604,29.1285,29.1446,208350
2005-01-10,29.2621,29.5772,29.0431,29.1606,278100
2005-01-11,30.2343,30.3945,28.7599,29.0804,711000
2005-01-12,29.0805,29.3529,28.5516,28.8828,367050
2005-01-13,28.9202,28.979,28.589,28.7119,374400
2005-01-14,28.7386,29.0965,28.5516,29.0965,338550
2005-01-18,29.2461,29.9458,29.1446,29.871,484650
2005-01-19,30.0473,30.0793,29.1339,29.23,284550
2005-01-20,29.1659,29.1926,28.4234,28.8294,646350
2005-01-21,28.8081,28.9202,28.4822,28.541,425400
2005-01-24,28.6478,28.6638,27.5314,27.6115,544800
2005-01-25,27.6061,28.1457,27.5687,27.5955,257100
2005-01-26,27.6489,28.0922,27.4619,28.0922,452700
2005-01-27,28.1777,28.1777,27.6168,27.6702,249600
2005-01-28,27.5634,28.0014,27.4405,27.8198,306000
2005-01-31,27.9534,28.6531,27.9534,28.5249,359550
2005-02-01,28.354,28.3593,27.6756,27.7984,593700
2005-02-02,27.932,27.9373,27.4192,27.7878,473850
2005-02-03,27.9373,28.3005,27.7877,28.2952,338550
2005-02-04,28.3112,29.5185,28.0442,29.2407,784050
2005-02-07,29.6467,29.6467,28.8694,29.19,320400
2005-02-08,29.2701,29.5585,29.0457,29.0778,217800
2005-02-09,28.9977,29.0938,27.8278,27.9801,380000
2005-02-10,28.4448,28.5409,26.2654,26.6099,1470800
2005-02-11,26.2814,26.9945,25.8407,26.8984,819000
2005-02-14,26.8423,27.1387,26.4817,26.5618,281600
2005-02-15,26.3214,26.9304,26.1532,26.4416,292800
2005-02-16,26.2814,26.4817,25.8166,26.3054,425500
2005-02-17,26.5778,26.8102,26.065,26.3455,334400
2005-02-18,26.3134,26.3295,26.009,26.065,194600
2005-02-22,26.041,26.1291,25.2718,25.384,260200
2005-02-23,25.6404,25.7125,25.1917,25.4,349000
2005-02-24,25.3438,25.729,25.0228,25.6167,235600
2005-02-25,25.5525,26.1223,25.4562,26.042,297200
2005-02-28,25.8414,26.6439,25.7611,26.4754,489300
2005-03-01,26.5235,27.0372,26.3791,26.5235,267300
2005-03-02,26.4032,26.8445,26.3229,26.4914,181600
2005-03-03,26.4914,26.7162,26.1062,26.355,267300
2005-03-04,26.363,26.6921,26.339,26.5235,312500
2005-03-07,26.6038,26.8124,26.4914,26.6038,221800
2005-03-08,26.6198,26.8847,26.1945,26.3711,206000
2005-03-09,26.2426,26.5235,26.0019,26.1945,189800
2005-03-10,26.1945,26.2346,25.6408,25.9216,506900
2005-03-11,25.8414,25.9297,25.0549,25.2796,473800
2005-03-14,25.8013,25.9216,25.2555,25.5525,529000
2005-03-15,25.6327,25.8253,24.7901,25.071,365500
2005-03-16,25.071,25.2716,24.8142,24.9987,327200
2005-03-17,25.1592,25.9457,24.9586,25.6648,417200
2005-03-18,26.026,26.026,25.5124,25.6889,836900
2005-03-21,25.6969,26.5877,25.2796,26.3229,475800
2005-03-22,25.6408,26.8446,24.2363,25.6889,1523200
2005-03-23,25.6889,26.1142,25.5204,25.7451,715400
2005-03-24,25.8815,26.1223,25.6809,26.0019,507300
2005-03-28,25.9939,26.2186,25.8976,26.0099,371100
2005-03-29,25.8815,26.1223,25.705,25.8815,335100
2005-03-30,25.8895,26.5637,25.8895,26.4834,401700
2005-03-31,26.5958,26.8847,26.3711,26.4914,384300
2005-04-01,26.5958,27.1174,25.8895,26.2346,417800
2005-04-04,26.0821,26.0821,25.5685,25.8093,328100
2005-04-05,25.7611,26.1544,25.6408,25.8815,234900
2005-04-06,25.9618,26.2346,25.5043,25.5765,440900
2005-04-07,25.4,25.4802,25.071,25.2716,561000
2005-04-08,25.071,25.2716,24.4691,24.6215,743300
2005-04-11,24.7018,25.1432,24.6617,24.766,383600
2005-04-12,24.766,24.9185,24.3407,24.8784,263000
2005-04-13,24.7981,24.9987,24.453,24.5975,329100
2005-04-14,24.5975,24.7981,24.1561,24.4049,289800
2005-04-15,24.4049,24.4771,23.5702,23.803,245700
2005-04-18,23.803,24.0437,22.7677,24.0357,499200
2005-04-19,24.116,24.14,23.2011,23.5702,491500
2005-04-20,23.5702,23.7307,23.1288,23.2733,630000
2005-04-21,23.6505,23.9153,23.3857,23.8511,214300
2005-04-22,23.7548,23.7548,22.9523,23.0967,615700
2005-04-25,22.551,23.0325,22.551,22.8881,513700
2005-04-26,22.5912,22.8159,22.1738,22.4066,483000
2005-04-27,22.23,22.4708,21.9572,22.2782,477600
2005-04-28,22.2862,22.3905,21.7164,22.23,691100
2005-04-29,22.3343,22.3504,21.8448,22.2782,485500
2005-05-02,22.0856,22.3103,21.8689,22.2059,310300
2005-05-03,22.1257,22.3664,21.9732,22.3664,332700
2005-05-04,22.3504,22.6233,22.2701,22.3905,538700
2005-05-05,22.4547,22.5751,22.2461,22.4788,329500
2005-05-06,22.5109,22.6794,22.3664,22.3825,302200
2005-05-09,22.4306,22.4467,22.1819,22.3825,398000
2005-05-10,22.3103,22.4627,22.1096,22.1979,267600
2005-05-11,22.23,22.3664,21.7565,22.2621,223100
2005-05-12,22.23,22.4226,21.9571,22.1578,258300
2005-05-13,22.1819,22.5109,21.917,22.1979,499300
2005-05-16,22.1257,22.551,22.0856,22.5029,317300
2005-05-17,22.4627,23.4739,22.4627,23.3857,762300
2005-05-18,24.4771,25.3037,24.2765,25.3037,1797400
2005-05-19,25.1994,25.5364,24.7178,25.4883,494600
2005-05-20,25.5605,25.6408,25.2636,25.4161,295300
2005-05-23,25.3358,25.9858,25.3358,25.8334,389700
2005-05-24,26.4032,26.4433,25.8735,26.0821,533200
2005-05-25,25.8655,25.9537,25.416,25.4481,430900
2005-05-26,25.4883,25.7777,25.416,25.6411,210700
2005-05-27,25.7295,25.842,25.6571,25.7134,183800
2005-05-31,25.7616,25.8581,25.5768,25.7295,186300
2005-06-01,25.7536,26.3082,25.5687,25.7938,280300
2005-06-02,25.7214,25.9626,25.5125,25.6411,248800
2005-06-03,25.6009,25.633,24.9418,24.998,278300
2005-06-06,25.0061,25.2311,24.789,25.0543,192400
2005-06-07,25.0784,25.1668,24.6042,24.781,345200
2005-06-08,24.9819,25.2392,24.8292,24.9578,308000
2005-06-09,24.9578,25.6411,24.7167,25.5526,379500
2005-06-10,25.5848,25.633,25.2713,25.6089,167400
2005-06-13,25.5044,25.6571,25.3356,25.5848,299400
2005-06-14,25.5687,25.7134,25.408,25.617,243100
2005-06-15,25.8099,25.8983,25.4883,25.7536,298200
2005-06-16,25.6973,26.5252,25.5607,26.5252,457000
2005-06-17,27.7309,27.8354,26.6538,27.0477,683800
2005-06-20,26.9673,26.9673,26.2841,26.7262,236900
2005-06-21,27.7309,28.9768,27.3612,28.6874,984100
2005-06-22,28.6553,29.017,28.5749,28.9607,732100
2005-06-23,28.8241,29.1858,28.7759,29.0491,550900
2005-06-24,29.0009,29.0009,28.4383,28.6473,450300
2005-06-27,28.4704,28.7196,28.3338,28.5669,185100
2005-06-28,28.6955,29.2421,28.4543,29.0652,280300
2005-06-29,29.025,29.1376,28.8,28.8562,198600
2005-06-30,28.9125,29.1617,28.5347,28.808,195900
2005-07-01,29.0974,29.3305,28.7678,29.2742,205900
2005-07-05,29.2742,29.2983,28.8,28.9366,242800
2005-07-06,29.0009,29.0009,28.5749,28.7276,187200
2005-07-07,28.2454,28.8241,28.2373,28.7919,232700
2005-07-08,28.8321,29.1697,28.6553,29.0491,362600
2005-07-11,28.9205,29.3626,28.8562,29.3465,230300
2005-07-12,29.1938,29.3385,28.9688,29.2903,278800
2005-07-13,29.2983,29.3787,28.9366,29.1536,134500
2005-07-14,29.4269,29.644,28.9447,29.2019,225300
2005-07-15,29.0652,29.3144,28.7437,29.226,115000
2005-07-18,29.1054,29.1858,28.9366,28.9768,147300
2005-07-19,28.9366,29.5475,28.816,29.5475,159500
2005-07-20,29.3546,30.1343,29.2742,30.086,215000
2005-07-21,30.0619,30.078,29.1376,29.6681,249100
2005-07-22,29.7404,29.9092,29.2421,29.5395,170300
2005-07-25,29.3546,29.8208,29.1858,29.242,261000
2005-07-26,29.2983,29.6038,29.0411,29.4189,83700
2005-07-27,29.2581,29.3546,28.7839,29.1858,168000
2005-07-28,29.1778,29.853,28.9929,29.7485,113900
2005-07-29,29.6198,29.8288,29.3224,29.4832,103800
2005-08-01,29.4752,30.3191,29.4752,30.1503,239000
2005-08-02,30.1262,30.4477,29.9333,30.3593,183000
2005-08-03,30.2789,30.2789,29.7806,30.1986,150000
2005-08-04,30.1021,30.1021,29.5314,29.7806,185300
2005-08-05,29.66,29.6761,28.6071,28.8562,218100
2005-08-08,28.7759,28.8884,27.9078,28.1248,373600
2005-08-09,28.374,28.374,27.0879,27.4818,513700
2005-08-10,27.6666,27.8113,27.4416,27.6907,479900
2005-08-11,27.5943,28.0203,27.5702,27.956,308900
2005-08-12,27.7952,27.9158,27.5059,27.5702,241600
2005-08-15,27.8113,28.0524,27.5702,27.6666,395800
2005-08-16,27.6666,27.8354,27.3933,27.5139,236500
2005-08-17,27.4898,28.1328,27.4496,27.9319,280400
2005-08-18,27.8515,27.8756,27.4898,27.6264,117100
2005-08-19,27.5943,27.8194,27.538,27.6264,67500
2005-08-22,27.7068,27.8837,27.4094,27.53,123200
2005-08-23,27.4898,27.538,27.0718,27.3933,214300
2005-08-24,27.4737,28.0685,27.329,27.4174,153800
2005-08-25,27.4576,27.9238,27.4576,27.747,265900
2005-08-26,27.8193,27.9721,27.6023,27.6666,226100
2005-08-29,27.5861,27.9242,27.4251,27.9162,96000
2005-08-30,27.7552,27.9725,27.6908,27.8437,164700
2005-08-31,27.7793,28.2381,27.6505,28.1737,121200
2005-09-01,28.1738,28.7775,28.1738,28.4233,135000
2005-09-02,28.3669,28.3669,28.0611,28.214,148900
2005-09-06,28.1979,28.5762,28.1979,28.5762,142400
2005-09-07,28.4958,28.4958,27.731,27.8115,266000
2005-09-08,27.6505,27.6586,27.1031,27.248,314500
2005-09-09,27.3285,27.9242,27.1997,27.9162,181900
2005-09-12,27.7874,28.2059,27.6505,28.0772,209300
2005-09-13,27.8759,27.9403,27.4412,27.5539,154500
2005-09-14,27.6988,27.9966,27.3849,27.4573,103700
2005-09-15,27.5781,27.7149,27.1917,27.3124,122100
2005-09-16,27.5137,27.6103,26.0245,26.2016,800600
2005-09-19,26.2821,26.3384,25.4691,25.7589,525500
2005-09-20,28.536,30.8301,28.536,30.3874,1965200
2005-09-21,30.1057,31.627,29.7917,30.4276,584500
2005-09-22,30.3874,30.3874,28.7614,29.0431,763800
2005-09-23,29.0431,29.0431,28.1335,28.6648,505200
2005-09-26,28.8097,29.6468,28.4153,28.6567,299300
2005-09-27,28.7372,28.7372,28.0691,28.3186,259000
2005-09-28,27.409,28.214,27.3929,28.1255,1285400
2005-09-29,28.1899,28.5923,27.8518,28.5762,420600
2005-09-30,28.4957,28.5682,28.1255,28.3669,201700
2005-10-03,28.5118,28.705,28.045,28.2059,234100
2005-10-04,28.3347,28.5762,27.6586,27.7793,331200
