date,open,high,low,close,volume
2005-01-03,24.9237,25.1121,24.7562,24.8871,6261600
2005-01-04,24.8976,24.9185,24.594,24.7091,2143600
2005-01-05,24.7248,24.8033,24.3113,24.3113,2586700
2005-01-06,24.3637,24.4684,24.1543,24.2119,2190700
2005-01-07,24.3375,24.3375,24.013,24.0497,1858500
2005-01-10,24.034,24.1334,23.945,24.0915,2503900
2005-01-11,24.17,24.1753,23.7984,23.9031,3083800
2005-01-12,23.9031,23.945,23.5524,23.6833,2876200
2005-01-13,23.7304,23.7566,23.2227,23.3012,3735300
2005-01-14,23.385,23.4478,23.2384,23.296,4024600
2005-01-18,23.7356,24.7091,23.5524,24.6882,8064000
2005-01-19,24.6777,24.7301,24.4108,24.4317,3473400
2005-01-20,24.4265,24.5312,24.0706,24.2276,2706000
2005-01-21,24.0706,24.3166,24.0654,24.0811,2119800
2005-01-24,24.2067,24.7615,24.102,24.3951,3524400
2005-01-25,24.348,24.4788,24.1543,24.2067,3451900
2005-01-26,24.2538,24.5312,24.2276,24.4056,2179500
2005-01-27,24.3846,24.5102,24.2381,24.3009,2507700
2005-01-28,24.348,24.348,23.8194,23.9712,3190400
2005-01-31,24.2328,24.3427,24.1753,24.3218,2509700
2005-02-01,24.3742,24.6882,24.3323,24.573,2409300
2005-02-02,24.6306,24.8452,24.4684,24.8033,4168900
2005-02-03,24.7248,24.8033,24.6882,24.7876,2259800
2005-02-04,24.8138,25.1749,24.7039,25.1697,2484800
2005-02-07,25.1226,25.1854,24.9918,25.1017,1852100
2005-02-08,24.9551,25.1331,24.8609,24.9237,2576300
2005-02-09,24.9394,24.9865,24.6987,24.8818,2719400
2005-02-10,24.8452,25.0807,24.8452,24.9761,2563400
2005-02-11,24.9656,25.0232,24.7981,24.908,2092100
2005-02-14,24.9865,24.9865,24.7667,24.8347,1478900
2005-02-15,24.8661,24.8818,24.4684,24.6097,2280900
2005-02-16,24.6463,24.6463,24.348,24.4945,2438800
2005-02-17,24.5207,24.5573,24.2328,24.2538,2143900
2005-02-18,24.2695,24.3114,23.788,23.9188,2276800
2005-02-22,23.9711,24.0654,23.2646,23.4687,4274000
2005-02-23,23.5263,23.6571,23.4111,23.4949,3061700
2005-02-24,23.5263,23.7513,23.453,23.6938,2474700
2005-02-25,23.6624,23.7618,23.5995,23.7095,1574000
2005-02-28,23.6309,23.6728,23.3221,23.4321,2551700
2005-03-01,23.4739,23.6048,23.4321,23.4687,2957200
2005-03-02,23.4321,23.6048,23.3483,23.542,2499100
2005-03-03,23.5681,23.5943,23.4478,23.4739,1813200
2005-03-04,23.6414,24.0758,23.5263,24.013,3192100
2005-03-07,24.0601,24.348,24.0601,24.2747,2838000
2005-03-08,24.2799,24.2799,23.9188,23.9188,2793500
2005-03-09,23.8089,23.8089,23.3902,23.3902,7074700
2005-03-10,23.3954,23.5995,23.2907,23.5786,2916000
2005-03-11,23.6257,23.7618,23.0605,23.1023,2807000
2005-03-14,23.1494,23.1808,22.8877,23.0343,2813600
2005-03-15,23.1337,23.1337,22.6365,22.6365,2684700
2005-03-16,22.6313,22.7098,22.3748,22.4481,2918500
2005-03-17,22.5318,22.6313,22.4429,22.5266,2707400
2005-03-18,22.5057,22.6627,22.1759,22.1759,6122700
2005-03-21,22.223,22.4847,22.223,22.2806,2697200
2005-03-22,22.3225,22.4167,22.066,22.0974,2605700
2005-03-23,22.2283,22.3748,22.1393,22.1812,2210400
2005-03-24,22.2597,22.5057,22.0085,22.0085,2174800
2005-03-28,22.1916,22.4062,22.087,22.2492,1854000
2005-03-29,22.2703,22.5817,22.2703,22.3653,2453000
2005-03-30,22.4022,22.7242,22.2914,22.6819,2229600
2005-03-31,22.9827,23.0989,22.6819,22.6819,2560400
2005-04-01,22.6872,22.9564,22.5025,22.6133,2870100
2005-04-04,22.5395,22.6133,22.2175,22.4181,2547300
2005-04-05,22.4286,22.74,22.4286,22.6239,1931400
2005-04-06,22.6925,22.9775,22.6239,22.7769,2174900
2005-04-07,22.8139,23.0936,22.7558,22.8455,1632500
