date,open,high,low,close,volume
2019-03-12,34.6001,34.6001,34.6001,34.6001,10000
2019-03-13,35.5106,36.3301,35.2375,36.1935,20477400
2019-03-14,36.1935,37.6959,36.1935,37.013,6248600
2019-03-15,37.6777,38.1239,37.5502,37.9691,7107300
2019-03-18,38.1967,38.1967,37.3772,37.9691,4020900
2019-03-19,37.8325,37.9691,36.2755,36.7308,10118500
2019-03-20,36.8673,37.1587,34.8186,35.1646,15683200
2019-03-21,35.5107,36.4849,35.283,36.4394,12751700
2019-03-22,36.3574,36.4121,34.3179,35.2557,10898000
2019-03-25,35.4105,35.4742,34.0447,34.0902,9338900
2019-03-26,34.2814,34.8551,34.154,34.1813,6287100
2019-03-27,34.1631,34.5182,33.4711,33.6167,5578100
2019-03-28,33.553,33.8262,33.0886,33.1433,5326200
2019-03-29,33.2798,33.6076,32.9156,33.4255,5895300
2019-04-01,33.6076,33.8262,33.4255,33.553,5311200
2019-04-02,33.6532,33.8535,32.688,33.034,6704600
2019-04-03,33.1159,33.289,32.688,32.8519,8393500
2019-04-04,32.9612,33.5075,32.7882,33.4711,4908400
2019-04-05,33.4984,34.4635,33.4073,34.3088,7344900
2019-04-08,34.2359,34.3087,33.9309,34.1175,3393300
2019-04-09,34.072,34.2814,33.8444,33.9719,5725900
2019-04-10,33.9901,34.1722,33.1069,33.2161,4828400
2019-04-11,33.2981,33.8353,32.77,33.7715,4791400
2019-04-12,33.8262,34.2541,33.207,34.1722,6368500
2019-04-15,34.1084,34.2086,33.6805,34.1722,3927100
2019-04-16,34.2996,34.4635,34.1175,34.3725,5722000
2019-04-17,34.4817,35.3741,34.3816,35.365,7603800
2019-04-18,35.4287,35.5106,34.9916,35.0007,4737400
2019-04-22,34.9279,35.0008,34.2541,34.327,7675300
2019-04-23,34.4089,34.9552,34.2632,34.673,6328800
2019-04-24,34.5546,34.8824,34.4226,34.5637,5323500
2019-04-25,34.5819,34.7822,34.1813,34.7367,5309700
2019-04-26,34.673,35.0827,34.5091,35.0372,5297400
2019-04-29,35.0918,35.9887,34.8824,35.6928,6885200
2019-04-30,35.6836,35.8111,35.0281,35.5015,5044400
2019-05-01,35.6199,35.9568,35.2011,35.8749,5149800
2019-05-02,35.7201,35.9386,33.7624,33.9445,11495900
2019-05-03,34.0629,34.3725,33.7988,34.1175,4809800
2019-05-06,33.8444,34.591,33.6532,34.5273,4801300
2019-05-07,34.2177,34.4271,33.7988,33.9263,6053300
2019-05-08,33.9992,34.327,33.5576,34.072,8635300
2019-05-09,35.0554,35.7383,34.154,35.0554,15210200
2019-05-10,35.1829,35.283,34.0902,35.0827,6742500
2019-05-13,34.3907,35.2193,34.3543,34.5728,5604000
2019-05-14,34.6456,35.0736,34.4836,34.5,6198600
2019-05-15,34.327,34.5728,34.2086,34.3361,2975400
2019-05-16,34.5182,34.673,33.4164,33.4529,8704900
2019-05-17,33.4987,34.4424,33.4895,34.195,5508000
