date,open,high,low,close,volume
2016-07-05,29.9449,32.9394,29.3357,29.46,9880426
2016-07-06,28.5325,29.46,28.0597,28.9447,10634933
2016-07-07,28.866,29.0963,28.6993,28.9387,8700775
2016-07-08,29.0721,30.6784,28.8114,30.4299,6729194
2016-07-11,29.8298,31.0542,29.6904,30.9876,9581668
2016-07-12,30.9148,30.9512,30.4662,30.6542,8805594
2016-07-13,30.6542,30.9754,30.2056,30.6845,7714271
2016-07-14,30.5087,31.3634,30.2783,31.2603,5520999
2016-07-15,31.3876,31.4664,30.6784,31.0542,5851156
2016-07-18,30.7754,31.2664,30.6178,31.0906,2469829
2016-07-19,30.9391,31.2543,30.5754,31.2482,3099695
2016-07-20,31.424,31.4725,30.3147,30.5147,5315009
2016-07-21,30.5511,30.6845,30.3026,30.4541,4804709
2016-07-22,30.3086,30.4844,29.8783,29.9449,3886076
2016-07-25,29.8358,29.9752,29.0114,29.6903,4828337
2016-07-26,29.4358,29.9571,29.266,29.8722,2491871
2016-07-27,29.751,30.0056,29.5297,29.654,2582577
2016-07-28,29.5449,29.757,29.3054,29.4903,4635350
2016-07-29,29.3751,29.5812,29.1024,29.2236,7110729
2016-08-01,29.163,29.4054,28.8478,28.9751,4727165
2016-08-02,28.7932,29.1084,28.5992,28.7932,5181170
2016-08-03,28.7932,29.9934,28.7023,29.8722,7468795
2016-08-04,30.0601,30.3753,29.9934,30.3268,4831509
2016-08-05,30.4663,30.9027,30.4663,30.6602,4227491
2016-08-08,30.6905,30.836,30.2723,30.339,3356272
2016-08-09,29.5388,30.6299,29.3515,30.5875,1709296
2016-08-10,30.5935,30.7936,30.3693,30.5814,1875009
2016-08-11,30.7512,31.9514,30.733,31.8544,3159954
2016-08-12,31.521,32.0484,31.3998,31.9514,2042148
2016-08-15,32.0968,32.5939,32.0423,32.5272,2311887
2016-08-16,32.4787,32.703,32.2908,32.4606,1589412
2016-08-17,32.5333,32.5697,32.3333,32.3757,1636668
2016-08-18,32.2605,32.4424,32.0847,32.2242,1387069
2016-08-19,32.0969,32.0969,31.3452,31.4725,1896734
2016-08-22,31.4725,31.5452,30.9633,31.0724,1715322
2016-08-23,31.133,31.5816,30.9997,31.4604,3985979
2016-08-24,31.1144,31.43,30.7162,31.1812,1098618
2016-08-25,31.0658,31.4968,30.9444,31.3329,2196126
2016-08-26,31.345,31.7699,31.2783,31.4847,1486813
2016-08-29,31.43,32.0431,31.2965,31.8124,1656807
2016-08-30,31.6789,32.4558,31.6789,31.9338,1509807
2016-08-31,31.8489,32.0613,31.5636,31.9703,2622221
2016-09-01,32.1463,32.2373,31.6485,31.946,1521383
2016-09-02,32.1827,32.4558,32.0552,32.4012,1333311
2016-09-06,32.474,32.5044,31.7396,32.0067,2051663
2016-09-07,31.8246,32.2434,31.5757,32.1341,2764306
2016-09-08,31.9763,32.1463,31.7274,31.7639,1740853
2016-09-09,31.424,31.5696,30.6834,30.6834,3442220
2016-09-12,30.3617,31.2236,30.2646,31.084,2953329
2016-09-13,30.8716,31.1994,30.3314,30.3739,2548483
2016-09-14,30.3799,30.6531,30.1311,30.3617,1827277
2016-09-15,30.3374,30.7138,30.0461,30.647,2236087
2016-09-16,30.4163,30.5863,29.9975,30.5074,3729561
2016-09-19,30.5984,31.2024,30.5802,30.823,1546597
2016-09-20,30.823,31.0051,30.477,30.5013,1697403
2016-09-21,30.6349,30.9626,30.4831,30.9444,1349169
2016-09-22,31.169,31.5575,31.1326,31.3451,2615244
2016-09-23,31.1387,31.3086,30.7441,30.8837,1280030
2016-09-26,30.7502,31.254,30.5317,31.0901,1690901
2016-09-27,31.0173,31.43,30.9869,31.3268,1897209
2016-09-28,31.4057,31.424,31.169,31.3936,1436227
2016-09-29,31.0112,31.3268,30.732,30.7745,2312204
2016-09-30,31.0294,31.1205,30.5195,30.8959,3096048
2016-10-03,30.7198,31.3572,30.7198,31.1933,2157750
2016-10-04,31.1144,31.2297,30.6895,30.8412,1923216
2016-10-05,30.9687,31.1356,30.7138,30.9201,1402609
2016-10-06,30.8534,30.9384,30.6531,30.7745,1211524
2016-10-07,30.6531,30.8412,30.2707,30.3071,1673934
2016-10-10,30.4892,30.5438,30.2889,30.3192,1619383
2016-10-11,30.301,30.4467,29.7547,29.8761,2223084
2016-10-12,29.9854,29.9854,29.5301,29.7365,2568939
2016-10-13,29.518,30.1553,29.1356,29.6333,1918141
2016-10-14,29.7851,30.3101,29.6273,30.0218,1383263
2016-10-17,30.0825,30.1007,29.688,29.779,1770507
2016-10-18,30.1371,30.5438,29.7426,29.7972,1827753
2016-10-19,29.9065,30.2258,29.4148,29.9793,1205023
2016-10-20,29.8276,29.8518,29.4027,29.5605,2250676
2016-10-21,29.2691,29.6758,29.2145,29.5423,2706901
2016-10-24,29.6637,29.9004,29.3541,29.4694,2013287
2016-10-25,29.4391,29.4391,29.0506,29.087,2028828
2016-10-26,29.0142,29.2084,28.8564,28.996,2497104
2016-10-27,28.9474,28.9474,28.4133,28.826,4985962
2016-10-28,30.4892,31.3754,30.1857,30.4771,6309442
2016-10-31,30.477,31.169,30.3739,30.9869,2476489
2016-11-01,30.9202,30.9687,30.3435,30.647,2816001
2016-11-02,30.6227,31.0476,30.5195,30.5438,1374224
2016-11-03,30.5256,31.078,30.3435,30.9444,1816811
2016-11-04,30.9687,31.3572,30.6774,31.0233,2486797
2016-11-07,31.3026,31.6061,30.9778,31.4361,2242113
2016-11-08,31.4907,32.0492,31.1812,31.9581,1848843
2016-11-09,31.5575,32.7351,31.5053,32.4498,2654412
2016-11-10,32.7472,33.5909,32.5924,32.899,2848351
2016-11-11,32.8322,33.2267,32.3405,32.4134,2269864
2016-11-14,32.5712,32.814,32.468,32.6683,4171196
2016-11-15,32.7411,33.0507,32.5894,32.8504,2701192
2016-11-16,32.6501,33.0537,32.6015,33.0446,2431771
2016-11-17,33.0082,33.1782,32.729,33.081,1478567
2016-11-18,33.0689,33.2328,32.8322,33.1599,1926546
2016-11-21,32.9293,33.4817,32.7775,33.2813,2206275
2016-11-22,33.2692,33.8952,33.1598,33.6521,2114142
2016-11-23,33.7979,33.9924,33.5913,33.9134,1562137
2016-11-25,34.0836,34.1261,33.7007,34.0167,775915
2016-11-28,34.0836,34.1809,33.6217,33.7858,1671555
2016-11-29,33.646,34.0228,33.5548,33.5974,1709455
2016-11-30,33.8223,34.1292,33.3057,33.4211,7483066
2016-12-01,33.5123,33.5548,32.8194,32.9349,5273144
2016-12-02,32.9957,33.4454,32.8255,33.1112,4036406
2016-12-05,33.2874,33.3604,32.5581,32.7647,2253055
2016-12-06,32.8012,32.8924,32.5399,32.8195,3617606
2016-12-07,32.8194,33.0656,32.4609,32.9653,5210348
2016-12-08,33.0443,33.099,32.4761,32.625,3493757
2016-12-09,32.5216,32.9167,32.4062,32.8195,2285722
2016-12-12,32.7465,33.0443,32.6614,32.8134,2431295
2016-12-13,32.9896,33.0929,32.3636,32.7283,4364025
2016-12-14,32.7526,33.6308,32.7404,32.9714,2473318
2016-12-15,32.9471,33.6035,32.7769,33.3117,2502496
2016-12-16,33.3421,33.4394,33.0625,33.3239,4196093
2016-12-19,33.3117,33.4454,33.0565,33.4029,1854235
2016-12-20,33.5731,33.7068,33.3117,33.4576,1883730
2016-12-21,33.409,33.409,32.7708,32.8924,2330757
2016-12-22,32.8924,33.4151,32.631,32.8741,2447311
2016-12-23,33.02,33.2813,32.6797,33.1294,811753
2016-12-27,33.2753,33.33,32.8863,33.099,1451609
2016-12-28,33.2206,33.2206,32.4973,32.6675,955741
2016-12-29,32.8134,32.9045,32.5703,32.8255,788442
2016-12-30,32.941,33.1112,32.4487,32.5946,1118123
2017-01-03,32.7526,32.9313,32.2056,32.6553,2561169
2017-01-04,32.8924,33.1416,32.8012,32.9714,2358191
2017-01-05,33.02,33.2449,32.6432,32.783,2267644
2017-01-06,32.7587,32.941,32.4487,32.7404,1998064
2017-01-09,32.8316,32.941,32.5703,32.6553,1178699
2017-01-10,32.6554,32.8681,32.5034,32.6979,2079889
2017-01-11,32.6857,32.7465,32.3697,32.6128,5854169
2017-01-12,32.4973,32.7526,32.4305,32.6189,3219420
2017-01-13,33.0626,33.5245,33.0626,33.2814,2282550
2017-01-17,33.0869,33.1416,32.6189,32.8985,1958261
2017-01-18,32.8863,33.0626,32.7283,32.9045,2134598
2017-01-19,32.9592,33.2327,32.8195,32.9836,1302072
2017-01-20,33.0747,33.2327,32.9471,33.1355,2890691
2017-01-23,33.0139,33.3117,32.5703,32.8863,2176938
2017-01-24,33.0079,33.4211,32.8735,33.2449,2712451
2017-01-25,33.3907,33.6339,33.2449,33.5305,2784445
2017-01-26,33.4272,34.0228,33.2813,33.8466,3645039
2017-01-27,33.8709,34.035,33.7615,33.9924,2487590
2017-01-30,33.9924,33.9924,33.2753,33.6946,2490603
2017-01-31,33.5731,33.7554,33.3725,33.6156,2842959
2017-02-01,33.7129,33.8223,33.3087,33.5062,1839012
2017-02-02,33.3057,33.7311,33.1233,33.5549,3005342
2017-02-03,33.7676,34.43,33.4698,34.0471,2295236
2017-02-06,33.8527,33.9985,33.7372,33.9195,1394839
2017-02-07,34.035,34.1079,33.7676,33.8162,3009782
2017-02-08,33.409,34.272,33.3567,34.1444,7339238
2017-02-09,34.1322,34.7339,34.1322,34.6549,1789219
2017-02-10,34.7582,34.898,34.4483,34.7339,1983475
2017-02-13,34.9223,35.2748,34.8737,34.9649,1883572
2017-02-14,34.9466,34.9649,34.5941,34.819,1599403
2017-02-15,34.7886,35.0986,34.692,34.9953,1620652
2017-02-16,35.0439,35.3964,34.5212,34.8798,1776691
2017-02-17,34.8919,35.0803,34.7218,35.0621,1430360
2017-02-21,35.0621,35.4025,34.9649,35.3295,2463010
2017-02-22,35.1531,35.3965,35.0192,35.1044,1489985
2017-02-23,35.2991,35.3843,34.7575,34.8427,1616370
2017-02-24,34.7393,35.2321,34.5202,35.1652,2928432
2017-02-27,35.074,35.22,34.9705,35.0801,1413868
2017-02-28,35.0922,35.2261,34.8732,35.0801,2614451
2017-03-01,35.4269,36.0475,35.3417,35.8467,2277476
2017-03-02,35.8467,35.9076,35.4877,35.6764,3082093
2017-03-03,35.6642,35.8285,35.5182,35.7372,2280964
2017-03-06,35.4877,35.6946,35.2961,35.4938,2485211
2017-03-07,35.5182,35.6277,35.2991,35.4147,2639664
2017-03-08,35.4208,35.579,35.3052,35.3965,2046430
2017-03-09,35.3417,35.579,35.1896,35.3052,2074339
2017-03-10,35.4634,35.6277,35.2809,35.4817,1933206
2017-03-13,35.5668,35.8833,35.3478,35.7616,2495360
2017-03-14,35.5851,35.6885,35.4451,35.6277,1508063
2017-03-15,35.7677,36.437,35.7677,36.3275,2828846
2017-03-16,36.3457,36.4613,36.1449,36.2118,2264631
2017-03-17,36.3457,36.3975,36.1693,36.2545,3058148
2017-03-20,36.2666,36.4187,35.8772,35.9015,2327586
2017-03-21,36.0719,36.1875,35.4999,35.6034,2943973
2017-03-22,35.6033,35.792,35.4695,35.5912,2634114
2017-03-23,35.4816,35.8042,35.4695,35.6155,1672189
2017-03-24,36.6195,36.6195,35.865,36.0901,2872138
2017-03-27,35.7311,36.0841,35.3843,35.9502,1495694
2017-03-28,35.9259,36.3701,35.7494,36.2605,1296997
2017-03-29,36.4248,36.7595,36.2118,36.297,2182488
2017-03-30,36.3396,36.5039,36.1753,36.2788,1832193
2017-03-31,36.2484,36.7534,36.1327,36.6439,1935743
2017-04-03,36.6439,36.9055,36.2301,36.5891,3041497
2017-04-04,36.583,36.6926,36.3914,36.5222,2401483
2017-04-05,36.6682,36.9907,36.5465,36.6621,2204055
2017-04-06,36.6743,36.9846,36.6013,36.8568,1141592
