date,open,high,low,close,volume
2005-01-03,105.6702,106.1883,104.893,105.3248,4638370
2005-01-04,105.3535,106.0732,103.9719,104.0582,3932780
2005-01-05,104.0582,104.6051,103.4249,103.4249,3955628
2005-01-06,103.7128,104.8355,103.4538,104.2597,3992645
2005-01-07,104.6627,104.6915,103.1947,103.6265,3130766
2005-01-10,103.281,104.0294,102.8493,103.3674,3433013
2005-01-11,102.4751,102.8493,101.6691,101.8994,3945696
2005-01-12,101.9857,102.7629,101.0358,102.7054,4794950
2005-01-13,102.475,102.5902,101.0358,101.41,3011578
2005-01-14,101.7842,102.5326,101.5251,102.2448,3041646
2005-01-18,101.5539,103.5689,100.9494,103.5113,4222862
2005-01-19,103.1084,103.3386,101.9282,102.0145,2655830
2005-01-20,102.0433,102.7629,101.5539,101.813,3735657
2005-01-21,103.0507,103.1371,101.0646,101.1221,5863655
2005-01-24,101.3812,102.7629,100.604,101.4963,4733792
2005-01-25,102.619,103.281,102.3887,102.7629,4557931
2005-01-26,103.4537,103.9143,102.0433,102.1584,4598495
2005-01-27,102.4751,102.7629,101.813,102.5039,3845517
2005-01-28,102.3311,102.9644,101.9569,102.9068,3703898
2005-01-31,103.4825,104.1446,103.3386,104.0006,3590991
2005-02-01,103.6264,104.7203,103.3098,104.4324,3883661
2005-02-02,104.1445,104.4324,103.6264,104.346,2909063
2005-02-03,104.0582,104.0582,103.425,103.828,2750354
2005-02-04,103.684,104.5763,103.684,104.346,3685286
2005-02-07,103.7704,104.6627,103.7704,104.2885,2889511
2005-02-08,104.4325,105.1521,104.2022,104.8642,3666861
2005-02-09,104.5475,104.6627,103.2522,103.8855,4006229
2005-02-10,104.1158,104.3173,103.6552,103.7704,2701819
2005-02-11,103.6265,104.9794,103.4825,104.2885,3355725
2005-02-14,104.2885,104.7778,104.2021,104.5475,2187885
2005-02-15,104.4037,105.3824,104.3461,104.7491,3255191
2005-02-16,104.3749,104.6052,103.7992,104.2597,2817877
2005-02-17,104.0007,104.7779,103.684,103.7128,3382454
2005-02-18,103.7992,103.7992,102.7341,103.281,4622804
2005-02-22,102.4462,103.3674,101.7266,101.7554,4502782
2005-02-23,101.1797,101.8129,101.0933,101.5251,4066136
2005-02-24,101.6699,103.1472,101.5251,102.9734,3346105
2005-02-25,102.9734,103.4079,102.5679,103.1762,2972454
2005-02-28,102.5969,102.7707,101.7858,101.9596,3887813
